사용승인일자,화재조기진압용스프링클러보유여부,건물일련번호,스프링클러가용여부,기본주소,시도명,시군구명,법정동명,스프링클러보유여부,화재조기진압용스프링클러가용여부,간이스프링클러보유여부,대상물명,간이스프링클러가용여부,X좌표,Y좌표
19921201.0,N,11000000073366,N,서울특별시 종로구 관철동,서울특별시,종로구,관철동,N,N,Y,금옥빌딩,Y,198692.39,451868.81
19921217.0,N,11000000073541,Y,서울특별시 강남구 논현동,서울특별시,강남구,논현동,Y,N,N,엘리에나호텔,N,202596.32,445602.7
19850223.0,N,11000000073542,N,서울특별시 강남구 논현동,서울특별시,강남구,논현동,Y,N,N,힐탑호텔,N,202596.32,445602.7
19930329.0,N,11000000074534,Y,서울특별시 강남구 삼성동,서울특별시,강남구,삼성동,Y,N,N,호텔 페이토 삼성(구.해광빌딩),N,205485.15,445790.25
19930714.0,N,11000000075324,N,서울특별시 종로구 종로5가,서울특별시,종로구,종로5가,N,N,N,행운빌딩(구.벤허모텔),N,200242.0,452035.19
19930813.0,N,11000000076259,N,서울특별시 강남구 역삼동,서울특별시,강남구,역삼동,N,N,N,노보텔앰버서더서울,N,202854.29,443685.08
19941020.0,N,11000000077500,Y,서울특별시 용산구 이태원동,서울특별시,용산구,이태원동,Y,N,Y,H호스텔(소망빌딩),Y,199181.54,448667.98
19680828.0,N,11000000077594,N,서울특별시 용산구 이태원동,서울특별시,용산구,이태원동,N,N,N,뷰모텔,N,199181.54,448667.98
19950713.0,N,11000000079345,N,서울특별시 마포구 노고산동,서울특별시,마포구,노고산동,N,N,N,피터캣호텔(구:노고산모텔),N,194443.93,450233.27
19940915.0,N,11000000080883,N,서울특별시 종로구 관수동,서울특별시,종로구,관수동,Y,N,N,호텔베뉴지,N,199087.59,451864.0
19940816.0,N,11000000080998,N,서울특별시 종로구 돈의동,서울특별시,종로구,돈의동,N,N,N,지수게스트하우스,N,199111.2,452186.81
19950104.0,N,11000000082878,N,서울특별시 중구 북창동,서울특별시,중구,북창동,N,N,N,LS빌딩(구.동아빌딩),N,197990.37,451104.82
19950107.0,N,11000000082898,Y,서울특별시 강남구 역삼동,서울특별시,강남구,역삼동,Y,N,N,(철거예정)르메르디앙서울호텔,N,202854.29,443685.08
19661213.0,N,11000000083022,N,서울특별시 중구 명동2가,서울특별시,중구,명동2가,N,N,N,남영빌딩,N,198625.18,451178.81
19950628.0,N,11000000083685,N,서울특별시 종로구 효제동,서울특별시,종로구,효제동,N,N,N,더원호텔,N,200200.41,452255.99
19950803.0,N,11000000084768,N,서울특별시 중구 소공동,서울특별시,중구,소공동,N,N,N,소공빌딩,N,198145.18,451291.22
19951010.0,N,11000000085373,N,서울특별시 중구 을지로2가,서울특별시,중구,을지로2가,Y,N,N,와이즈빌딩(호텔스카이파크 명동2호점),N,198517.18,451508.81
20081118.0,N,11000000085679,N,서울특별시 강남구 역삼동,서울특별시,강남구,역삼동,N,N,Y,시티타워빌딩,Y,202854.29,443685.08
19951103.0,N,11000000085685,N,서울특별시 마포구 노고산동,서울특별시,마포구,노고산동,N,N,N,성도모텔,N,194443.93,450233.27
19951201.0,N,11000000085953,N,서울특별시 중구 충무로1가,서울특별시,중구,충무로1가,N,N,N,"사보이호텔(A,B동)",N,198354.37,451017.61
19951212.0,N,11000000086083,N,서울특별시 송파구 방이동,서울특별시,송파구,방이동,N,N,N,호텔짬,N,210886.78,445428.16
19960122.0,N,11000000086202,Y,서울특별시 종로구 신문로2가,서울특별시,종로구,신문로2가,Y,N,N,샬롬교회,N,197255.58,452042.04
19951227.0,N,11000000086219,Y,서울특별시 중구 예장동,서울특별시,중구,예장동,Y,N,N,서울유스호스텔,N,199054.37,450326.79
19960510.0,N,11000000087301,N,서울특별시 중구 충무로2가,서울특별시,중구,충무로2가,N,N,N,"프리엠상가(구. 삼익빌딩, 새마을식당)",N,199012.38,451085.6
19960610.0,N,11000000087556,N,서울특별시 중구 명동2가,서울특별시,중구,명동2가,N,N,N,삼존빌딩,Y,198625.18,451178.81
19960820.0,N,11000000088084,Y,서울특별시 중구 을지로6가,서울특별시,중구,을지로6가,Y,N,N,현대시티아울렛(구.동대문케레스타),N,200516.4,451720.78
19961029.0,N,11000000088600,N,서울특별시 종로구 운니동,서울특별시,종로구,운니동,N,N,N,"현)아늑호텔 앤 스파 종로운니점,  구)씨티파크",N,198890.0,452675.61
