"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","관광숙박업상세명"
"3010000","CDFI2260031989000001","1989-05-04","","03","폐업","03","폐업","2022-12-31","","","","753-7788","","100-802","서울특별시 중구 남대문로5가 395","서울특별시 중구 소월로 50 (남대문로5가)","","(주)씨디엘호텔코리아(밀레니엄 힐튼 서울)","2023-01-03 16:58:17","U","2023-01-05 02:40:00.0","","197762.501510022","450337.580626313","관광숙박업","관광사업","","0","","","5성","","0","0","680","0","CDL HOTEL KOREA(MILLENNIUM HILTON SEOUL)","Tourist Hotel","0","0","","0","0","","0","82856","","0","","","","","","","0","","","","82856","관광호텔업"
"3010000","CDFI2260032006000001","2006-09-15","","03","폐업","03","폐업","2018-07-01","","","","777-7731","","100-873","서울특별시 중구 회현동1가 92-6번지","서울특별시 중구 퇴계로8길 13 (회현동1가)","","호텔 파레스","2018-08-09 14:24:32","I","2018-08-31 23:59:59.0","","198164.258357664","450703.59926523","관광숙박업","관광사업","준주거지역","8","기타","","","호텔","8","1","52","0","HOTEL PALACE","Tourist Hotel","0","0","","0","0","","0","2772.84","","0","","","","","","","0","","","","2773","관광호텔업"
"3010000","CDFI2260032007000001","2007-04-03","","01","영업/정상","13","영업중","","","","","2266-1446","","100-849","서울특별시 중구 을지로4가 310","서울특별시 중구 을지로 164 (을지로4가)","","호텔 국도","2024-11-12 15:32:28","U","2024-11-14 02:40:00.0","","199603.040706779","451543.643423302","관광숙박업","관광사업","일반상업지역","25","기타","","3성","호텔","21","4","295","0","HOTEL KUKDO","TOURIST HOTEL","0","0","","0","0","","0","18305","","0","","","","","","","0","","","","18305","관광호텔업"
"3010000","CDFI2260032007000002","2007-07-03","","01","영업/정상","13","영업중","","","","","6361-8011","","100-021","서울특별시 중구 명동1가 59-5","서울특별시 중구 남대문로 78 (명동1가)","","이비스 앰배서더 명동","2025-07-07 10:56:00","U","2025-07-09 02:40:00.0","","198433.903211956","451323.216289926","관광숙박업","관광사업","중심상업지역","18","기타","","3성","기타","0","0","280","0","IBIS AMBASSADOR MYEONGDONG","Tourist Hotel","0","0","","0","0","","0","14697.67","","0","","","","","","","0","","","","14698","관광호텔업"
"3010000","CDFI2260032008000001","2008-01-11","2011-01-05","04","취소/말소/만료/정지/중지","31","등록취소","","","","","","","100-130","서울특별시 중구 순화동 151번지 외 1필지 C동","서울특별시 중구 칠패로 27  (순화동,외 1필지 C동)","","라마다호텔앤스위트 서울센트럴","2011-01-06 09:07:18","I","2018-08-31 23:59:59.0","","197462.198757043","450878.211786274","관광숙박업","관광사업","일반상업지역","28","기타","","","숙박시설","25","3","0","0","","","0","0","","0","0","","0","25524.92","","0","","","","","","","100000000","","","","25525",""
"3010000","CDFI2260032008000002","2008-10-22","","01","영업/정상","13","영업중","","","","","2220-8210","","100-130","서울특별시 중구 순화동 214-0 외 1필지","서울특별시 중구 통일로 78 (순화동,외 1필지)","","디에스디엘(주) 프레이저 플레이스 센트럴 서울","2025-07-07 11:23:54","U","2025-07-09 02:40:00.0","","197268.885433824","451148.620978965","관광숙박업","관광사업","일반상업지역","28","기타","","4성","숙박시설","23","5","258","34332","DSDL Co., Ltd. FRASER PLACE CENTRAL SEOUL","Family Hotel","0","0","","0","0","","0","34332.13","","0","","","","","","","0","","","","34332","가족호텔업"
"3010000","CDFI2260032009000001","2009-05-22","","03","폐업","03","폐업","2014-03-05","","","","3407-0700","","","서울특별시 중구 을지로6가 17-2번지 케레스타 빌딩 18층~20층","서울특별시 중구 장충단로13길 20  (을지로6가,케레스타 빌딩 18층~20층)","","이스트게이트 타워호텔","2014-03-05 11:19:00","I","2018-08-31 23:59:59.0","","200613.510297669","451817.515366883","관광숙박업","","일반상업지역","0","기타","","","","0","0","0","0","","","0","0","","0","0","","0","5996.79","","0","","","","","","","0","","","","5997",""
"3010000","CDFI2260032009000002","2009-09-22","","03","폐업","03","폐업","2020-02-17","","","","2277-4917","","100-195","서울특별시 중구 을지로5가 99번지","서울특별시 중구 동호로 360 (을지로5가)","","호텔아카시아","2020-03-06 14:17:33","U","2020-03-08 02:40:00.0","","200170.834204583","451577.602493325","관광숙박업","","상업지역","15","기타","","","숙박시설","12","3","134","0","HOTEL ACACIA","Tourist Hotel","0","0","","0","0","","0","8839.81","","0","","","","","","","0","","","","8840","관광호텔업"
"3010000","CDFI2260032011000001","2011-09-28","","01","영업/정상","13","영업중","","","","","756-9700","","100-861","서울특별시 중구 충무로2가 62-9","서울특별시 중구 퇴계로 139 (충무로2가)","","호텔 스카이파크3","2025-07-07 11:15:03","U","2025-07-09 02:40:00.0","","198814.884440598","451003.686958642","관광숙박업","","중심상업지역","11","","","2성","호텔","9","2","136","0","HOTEL SKYPARK Ⅲ","TOURIST HOTEL","0","0","","0","0","","0","5866","","0","","","","","","","1500000000","","","","5866","관광호텔업"
"3010000","CDFI2260032012000001","2012-01-19","","03","폐업","03","폐업","2016-02-12","","","","2119-8974","","100-195","서울특별시 중구 을지로5가 275-3번지","서울특별시 중구 동호로 354 (을지로5가)","04561","라마다호텔 동대문","2016-02-12 16:49:43","I","2018-08-31 23:59:59.0","","200161.192418006","451521.415517111","관광숙박업","","","0","","","","","12","4","0","0","","","0","0","","0","0","","0","11378","","0","","","","","","","500000000","","","","11378","관광호텔업"
