"X 좌표","Y 좌표","대지위치","시군구코드","법정동코드","대지구분코드","번","지","사업장명","관리건축물대장PK","도로명 / 대지위치","연면적 / 대지면적","건축면적","구조코드","기타구조","주용도코드","기타용도","지상층수","지하층수","사용승인일 / 허가일","승용승강기수","비상용승강기수","내진설계적용여부"
"209595.213143028","445912.216884712","서울특별시 송파구 방이동 36-5번지","11710","11100","0","0036","0005","주식회사 딜라이트호텔","1025112124","서울특별시 송파구 오금로11길 21-9 (방이동) / 서울특별시 송파구 방이동 36-5번지","2348.58 / 366.7","217","21","철근콘크리트조","15000","관광숙박시설 및 근린생활시설","10","1","19981114 / 19971203","1","0","0"
"209074.900840074","445657.80932984","서울특별시 송파구 신천동 29번지","11710","10200","0","0029","0000","시그니엘서울 호텔","10251100497324","서울특별시 송파구 올림픽로 300 (신천동) / 서울특별시 송파구 신천동 29번지","162587.71 / 0","13422.71","42","철골철근콘크리트구조","07000","판매시설,문화및집회시설","12","6","20170209 / 19980519","24","4","1"
"210868.397496689","442053.227933005","서울특별시 송파구 문정동 618번지","11710","10800","0","0618","0000","(주)호텔파크하비오","10251100486991","서울특별시 송파구 송파대로 111 (문정동) / 서울특별시 송파구 문정동 618번지","12851.5006 / 0","998.94","21","철근콘크리트구조","02000","공동주택(아파트)","19","0","20160929 / 20130531","0","2","0"
"207148.374688088","445418.562120928","서울특별시 송파구 잠실동 180-7번지","11710","10100","0","0180","0007","호텔포레스타","10251100512056","서울특별시 송파구 백제고분로7길 23-6 (잠실동) / 서울특별시 송파구 잠실동 180-7번지","1996.722 / 339","194.031","21","철근콘크리트구조","15000","숙박시설(관광호텔)","13","1","20171207 / 20160330","2","0","1"
"210664.369854452","443861.184407649","서울특별시 송파구 가락동 73-1번지","11710","10700","0","0073","0001","부티크호텔 XYM","10251100530442","서울특별시 송파구 송이로 104 (가락동) / 서울특별시 송파구 가락동 73-1번지","971.18 / 281.9","140.81","21","철근콘크리트구조","15000","숙박시설, 제1종근린생활시설","7","2","20191126 / 20171109","1","0","1"
"209337.104501753","445744.864426145","서울특별시 송파구 신천동 29-1번지","11710","10200","0","0029","0001","소피텔 앰배서더 서울호텔 앤 서비스드 레지던스","10251100555722","서울특별시 송파구 잠실로 209 (신천동) / 서울특별시 송파구 신천동 29-1번지","132134.02 / 9775.8","5512.75","42","철골철근콘크리트구조,철근콘크리트구조","15000","숙박시설(관광호텔,가족호텔),업무시설,문화 및 집회시설,근린생활시설,판매시설","32","5","20210630 / 20171012","29","3","1"
"210857.025715606","442611.394350958","서울특별시 송파구 문정동 61-15번지","11710","10800","0","0061","0015","메리제인","10251100526662","서울특별시 송파구 송파대로20길 6 (문정동) / 서울특별시 송파구 문정동 61-15번지","996.15 / 249.6","123.57","21","철근콘크리트구조","15000","관광숙박시설(소형호텔)","8","2","20190418 / 20170105","1","0","1"
"199362.51518342","448070.485388482","서울특별시 용산구 이태원동 108-9번지","11170","13000","0","0108","0009","해밀톤관광호텔","1004111248","서울특별시 용산구 이태원로 179 (이태원동) / 서울특별시 용산구 이태원동 108-9번지","19508.04 / 3422","1845.98","21","철근콘크리트조","15000","관광숙박시설,관람집회시설,근린생활시설, 영업, 판매시설","9","4","19700730","0","0","0"
"199737.097413554","448587.753314794","서울특별시 용산구 한남동 747-7번지","11170","13100","0","0747","0007","서울미라마(유)그랜드하얏트서울","1004122145","서울특별시 용산구 소월로 322 (한남동) / 서울특별시 용산구 한남동 747-7번지","60422.86 / 59387.2","11405.15","31","철골.철근콘크리트조","15000","관광숙박시설(호텔)","17","2","19780529 / 19921007","7","0","1"
"199788.755748324","448121.175798434","서울특별시 용산구 한남동 737-25번지","11170","13100","0","0737","0025","임피리얼팰리스 부티크호텔(Imperial Palace Boutique Hotel)","100414796","서울특별시 용산구 이태원로 221 (한남동) / 서울특별시 용산구 한남동 737-25번지","10653.55 / 1488.57","715.24","21","철근콘크리트라멘조","15000","관광숙박시설, 위락시설,근린생활시설","11","4","19881005 / 19920722","2","1","1"
"199337.628628981","447413.487156381","서울특별시 용산구 이태원동 22-76번지","11170","13000","0","0022","0076","몬드리안 서울 이태원","100418920","서울특별시 용산구 장문로 23 (이태원동) / 서울특별시 용산구 이태원동 22-76번지","38503.89 / 6811","2456.83","21","철근콘크리트구조","15000","숙박시설","17","6","19880912","5","1","0"
"197525.407310462","449844.319841559","서울특별시 용산구 동자동 56번지","11170","10700","0","0056","0000","(주)조선호텔앤리조트 포포인츠 조선 서울역","10041100202565","서울특별시 용산구 한강대로 366 (동자동) / 서울특별시 용산구 동자동 56번지","91298.84 / 5886.8","2997.47","42","철골철근콘크리트구조","14000","업무시설","30","7","20150327 / 19970122","13","2","1"
"199190.671806282","447977.234335253","서울특별시 용산구 이태원동 64-32번지","11170","13000","0","0064","0032","에이원호텔","10041100206878","서울특별시 용산구 이태원로20길 2-8 (이태원동) / 서울특별시 용산구 이태원동 64-32번지","738.84 / 186.23","111.3","21","철근콘크리트구조","15000","소형호텔","6","1","20161110 / 20151026","1","0","1"
"197478.685653861","450063.434682284","서울특별시 용산구 동자동 43-59번지","11170","10700","0","0043","0059","케이 그랜드 호텔 서울(K-Grand Hotel Seoul)","100414393","서울특별시 용산구 한강대로 385 (동자동) / 서울특별시 용산구 동자동 43-59번지","1933.07 / 661.2","296.92","21","철근콘크리트조","10000","교육연구시설,근린생활시설,숙박시설","5","1","19811217","0","0","0"
"197419.271266145","449254.786813543","서울특별시 용산구 갈월동 69-27번지","11170","10400","0","0069","0027","호텔 더 디자이너스","10041100206838","서울특별시 용산구 한강대로 305 (갈월동) / 서울특별시 용산구 갈월동 69-27번지","5006.45 / 450.3","269.73","21","철근콘크리트구조","15000","관광호텔","20","3","20161103 / 20140702","2","1","1"
"196610.663839509","447742.348636253","서울특별시 용산구 한강로3가 40-969번지","11170","12800","0","0040","0969","(주)서부티엔디 그랜드 머큐어 앰버서더 서울 용산","10041100208778","서울특별시 용산구 청파로20길 95 (한강로3가) / 서울특별시 용산구 한강로3가 40-969번지","185482.49 / 14797.7","8811.4","21","철근콘크리트구조","15000","숙박시설(관광호텔,가족호텔)","40","4","20170713 / 20140514","26","7","0"
"196610.663839509","447742.348636253","서울특별시 용산구 한강로3가 40-969번지","11170","12800","0","0040","0969","(주)서부티엔디 이비스 스타일 앰배서더 서울 용산","10041100208778","서울특별시 용산구 청파로20길 95 (한강로3가) / 서울특별시 용산구 한강로3가 40-969번지","185482.49 / 14797.7","8811.4","21","철근콘크리트구조","15000","숙박시설(관광호텔,가족호텔)","40","4","20170713 / 20140514","26","7","0"
"196610.663839509","447742.348636253","서울특별시 용산구 한강로3가 40-969번지","11170","12800","0","0040","0969","(주)서부티엔디 노보텔 앰배서더 서울 용산","10041100208778","서울특별시 용산구 청파로20길 95 (한강로3가) / 서울특별시 용산구 한강로3가 40-969번지","185482.49 / 14797.7","8811.4","21","철근콘크리트구조","15000","숙박시설(관광호텔,가족호텔)","40","4","20170713 / 20140514","26","7","0"
"196610.663839509","447742.348636253","서울특별시 용산구 한강로3가 40-969번지","11170","12800","0","0040","0969","(주)서부티엔디 노보텔 스위트 앰배서더 서울 용산","10041100208778","서울특별시 용산구 청파로20길 95 (한강로3가) / 서울특별시 용산구 한강로3가 40-969번지","185482.49 / 14797.7","8811.4","21","철근콘크리트구조","15000","숙박시설(관광호텔,가족호텔)","40","4","20170713 / 20140514","26","7","0"
"199451.81421534","447757.249356311","서울특별시 용산구 이태원동 99-16번지","11170","13000","0","0099","0016","H호스텔","1004111028","서울특별시 용산구 보광로 103-2 (이태원동) / 서울특별시 용산구 이태원동 99-16번지","1317.31 / 416.97","204.67","21","철근콘크리트조, 연와조","15000","관광숙박시설외1","5","1","19941020 / 19921124","1","0","1"
"196785.404801941","447267.982864433","서울특별시 용산구 한강로3가 99번지","11170","12800","0","0099","0000","나인트리 프리미어 로카우스호텔 서울 용산(Nine Tree Premier ROKAUS Hotel Seoul Yongsan)","1000000000000002224405","서울특별시 용산구 한강대로23길 25 (한강로3가) / 서울특별시 용산구 한강로3가 99번지","40265.72 / 2733","1469.28","21","철근콘크리트구조,철골구조","33000","국방군사시설,숙박시설,업무시설,판매시설","30","7","20230228","5","1","1"
