소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,최근접_소화용수_거리등급,총층수,연면적,cluster_label,최종위험점수_new,PC1,PC2
0.2337,19,94.7,0.619443985,0.1322,0.08,0,30,10.72570933,저위험군,15.44674591,-1.6189748607558994,4.889202870612054
0.2195,24,75.0,0.281116061,0.1436,0.08,0,13,8.799360083,저위험군,13.84635558,-0.7463937170214942,2.624678350591224
0.3626,5,60.0,1.212706484,0.1565,0.12,0,18,9.660141294,저위험군,18.68581043,-1.6791937092636156,3.144295407161313
0.6046,11,9.1,0.012012156,0.1136,0.55,2,32,11.11641019,중위험군,31.72027245,-3.80968371683848,3.584211597686688
0.0959,62,69.4,2.171745492,0.1851,1.0,0,4,6.152732695,중위험군,32.68575111,2.7757687362872265,1.8800380189349928
0.1556,22,54.5,3.049457673,0.1279,0.85,1,6,7.114769448,중위험군,33.81378816,0.5285501123283368,1.684081866237381
0.1556,90,66.7,0.978467977,0.248,1.0,0,6,7.301822342,중위험군,29.84933743,3.187525344392832,2.2950696350110973
0.1581,12,58.3,2.352052076,0.1165,0.7,1,12,9.57129614,중위험군,30.06805753,-0.727591615166195,2.7464392733079905
0.1658,15,73.3,1.909085153,0.1136,1.0,1,16,10.6390235,중위험군,34.13172046,-0.5400967917523537,3.50390335333671
0.2481,26,88.5,3.678599523,0.1094,0.7,2,16,8.42156296,중위험군,40.74850581,-0.018566121322929768,2.9661138770742057
0.3718,13,84.6,2.205256749,0.1065,0.7,0,11,4.564348191,중위험군,24.44987108,0.8004495647018863,1.5743774207582568
0.129,2,50.0,2.577167207,0.178,0.08,1,6,6.212606096,저위험군,24.7643374,-0.9703657534087111,0.8348917424654685
0.1433,2,100.0,1.437617921,0.1837,0.18,2,6,5.624017506,저위험군,31.80805952,-0.8210755043460177,0.30134919775412283
0.3935,3,0.0,0.0,0.188,0.45,2,20,10.40123614,저위험군,33.10607195,-3.5515180231768806,2.0360334277970407
0.2394,14,42.9,4.611152258,0.115,0.85,2,13,8.064174105,중위험군,43.2702304,-0.45097722419334574,2.37575313272425
0.2223,0,0.0,0.021978907,0.1136,0.12,2,6,6.863803391,저위험군,19.18754948,-2.9155708884324536,-0.13598485939232666
0.3196,10,70.0,1.390913307,0.1136,0.7,1,25,9.438590861,중위험군,29.76813948,-1.4608785920654492,3.6353763792558915
0.0877,5,0.0,0.488531707,0.1136,0.12,0,10,7.228388452,저위험군,7.095617712,-1.9393007502930655,1.3455548733413907
