구,동,숙소명,승인연도,소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,x_5181,y_5181,최근접_소화용수_거리등급,업종,건물용도명,총층수,연면적,cluster,최종위험점수_new,cluster_label
마포구,연남동,연남동 진영이네,2022,0.6925,26,96.2,0.488278249,0.1036,1,37.56280602,126.923179,193212.7594,451477.5886,0,외국인관광도시민박업,다가구용 주택(공동주택적용),5,4.836281907,0,28.53430499,중위험군
마포구,대흥동,D.1881,1989,0.4244,13,7.7,0.228057566,0.4218,0.85,37.55119125,126.9436133,195017.3822,450187.2076,2,외국인관광도시민박업,다가구주택(3가구),4,3.784189634,2,42.93021176,고위험군
마포구,서교동,바이 리틀 클라우드,2009,0.0688,11,63.6,0.519875459,0.1222,0.12,37.55111615,126.915764,192556.4723,450180.713,2,외국인관광도시민박업,"사무소, 다가구주택",7,4.110873864,1,21.12490948,저위험군
마포구,서교동,가자하우스,1997,0.0652,2,50,0.751987681,0.4077,1,37.55041295,126.9146111,192454.5244,450102.7581,1,외국인관광도시민박업,단독주택,3,4.290459441,2,37.02913524,고위험군
마포구,망원동,Jolly house,1994,0.5682,8,37.5,0.362292936,0.413,0.7,37.55223742,126.9016061,191305.5348,450306.3757,1,외국인관광도시민박업,다가구용 주택(공동주택적용),4,3.583518938,2,37.13179658,고위험군
마포구,연남동,무야스튜디오,1998,0.4735,32,90.6,0.977956278,0.138,0.85,37.55946985,126.9181048,192764.1279,451107.6915,2,외국인관광도시민박업,다가구용 주택(공동주택적용),3,4.262679877,0,39.64028168,중위험군
마포구,신수동,스테이 헤리티지 경의선숲길,1991,0.2774,34,82.4,0.849396497,0.4183,1,37.54391637,126.9390634,194614.8094,449380.0345,0,외국인관광도시민박업,다가구용 주택(공동주택적용),3,3.583518938,2,35.95046545,고위험군
마포구,상수동,Ella House,2019,0.412,0,0,0.336472237,0.1079,0.18,37.54363872,126.9214664,193059.6734,449350.3721,2,외국인관광도시민박업,다세대주택,5,3.433987204,1,21.12409776,저위험군
마포구,상수동,상수하우스,1992,0.4643,0,0,0,0.4165,0.18,37.5435241,126.9232158,193214.268,449337.5229,2,외국인관광도시민박업,다가구용 주택(공동주택적용),3,3.295836866,1,32.32957744,저위험군
마포구,연남동,진 하우스,1966,0.5392,15,73.3,0.171332435,0.4623,0.35,37.56088256,126.9169292,192660.3969,451264.5768,1,외국인관광도시민박업,단독주택,1,3.135494216,2,36.33522867,고위험군
