승인연도,소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,총층수,연면적,cluster_label,최종위험점수_new,PC1,PC2
1959,0.1408,6,100.0,1.812922168,0.4747,0.25,2,5.424950017,고위험군,43.18296159,1.492196240928244,0.9832881149502682
1975,0.3379,5,0.0,0.057523844,0.1708,0.08,5,4.17438727,저위험군,23.67381825,-0.6344476752725121,2.2967363777567535
1994,0.3379,8,75.0,0.802631413,0.1436,1.0,6,5.703782475,중위험군,39.79377633,-0.3490957119267705,-0.722096929216786
2000,0.2029,16,75.0,1.574628508,0.5361,0.08,7,6.318968114,고위험군,27.46548794,-0.08828205031773352,0.40286612939186195
2024,0.2984,48,66.7,1.133727308,0.1011,0.7,5,6.391917113,중위험군,21.14529386,-0.7236249498521339,-2.249609322964903
2022,0.1457,3,66.7,1.650240536,0.1036,0.18,8,6.871091295,저위험군,25.0569827,-2.1277755025722334,-0.2814290437754848
1969,0.3074,1,0.0,1.652923024,0.1794,0.55,7,5.214935758,저위험군,34.79954247,-0.42143471518034914,1.4863334694246402
1965,0.3811,3,0.0,0.36772478,0.4641,0.55,8,5.459585514,고위험군,41.77586694,0.1241644119117426,2.1476116955923183
1934,0.129,2,50.0,2.585960082,0.2295,0.08,6,3.850147602,저위험군,28.05798271,1.1348042828963498,1.956858998070097
2009,0.1632,66,71.2,2.277267285,0.1222,0.85,3,4.94875989,중위험군,32.19474877,0.8500601155049456,-2.861679272504187
1980,0.2365,2,50.0,0.702363836,0.1637,0.18,6,4.672828834,저위험군,21.08551939,-0.5347042824889126,1.2516280376137472
1971,0.192,7,85.7,0.36427755,0.1766,0.08,6,4.48863637,저위험군,14.86759141,-0.012102167685386439,0.9669855295861676
1992,0.2954,17,94.1,1.496001983,0.4165,0.08,6,4.356708827,저위험군,31.17951278,0.44967705124685275,0.21109513318801482
1996,0.3349,2,0.0,1.284015512,0.1408,0.12,9,5.641907071,저위험군,19.26915095,-1.7695428401850168,1.4201556994838336
2023,0.2744,21,90.5,0.8184643,0.1022,0.55,13,6.818924065,중위험군,18.8161887,-1.9151610745018692,-1.692711049428805
1992,0.341,2,0.0,1.739491041,0.1465,0.08,11,5.755742214,저위험군,14.39556882,-1.8167148158698303,1.3753792411549757
1971,0.3842,0,0.0,0.414123171,0.1766,0.08,12,8.711937268,저위험군,15.15989744,-2.2154193265359385,1.9294243195081444
2017,0.3318,10,100.0,1.699297463,0.1108,1.0,16,5.147494477,중위험군,40.15268664,-1.3322442420496878,-2.091481385515668
1965,0.1658,76,63.2,1.244643844,0.1851,1.0,6,5.973809612,중위험군,31.16213307,1.7346570345002426,-2.29171645173214
1991,0.4028,19,73.7,0.957370758,0.4183,0.25,6,5.198497031,저위험군,33.0946072,0.2085350464609201,0.2958497585233229
1965,0.2112,24,87.5,0.720687647,0.1851,0.12,6,5.666426688,저위험군,18.00246441,0.27352834773673645,0.2816140049269884
1971,0.5007,0,0.0,2.597384633,0.1766,0.18,7,5.433722004,저위험군,21.85697839,-0.7660384111355453,1.6474416234682994
1999,0.2685,27,55.6,0.303535128,0.1365,0.85,4,5.556828062,중위험군,28.64444955,-0.19772661048656984,-0.7809296682338766
2019,0.3749,37,67.6,0.693147181,0.1079,1.0,9,4.369447852,중위험군,30.80334323,-0.4807940962040264,-2.0667162919341435
2020,0.3044,11,100.0,0.874609262,0.1065,0.25,11,8.004699511,저위험군,28.05377359,-2.305496013888766,-1.114085876489926
2019,0.2308,5,0.0,1.063272922,0.1079,0.18,20,9.873749734,저위험군,17.49537536,-4.163663274482859,0.24006621207093592
1968,0.1266,6,0.0,0.148253004,0.1808,0.08,6,5.517452896,저위험군,22.90804819,-0.7341241560168249,2.319725307842497
2020,0.1735,21,71.4,0.940845537,0.1065,0.45,11,6.742880636,중위험군,16.14393547,-1.8003289556085662,-1.1638956822108057
1970,0.2056,30,46.7,1.251289129,0.4553,0.85,4,4.430816799,고위험군,35.49600889,1.7155259106589844,0.1282781200864578
2005,0.1761,18,55.6,2.672021859,0.1279,0.7,8,6.948897222,중위험군,30.95267857,-0.9805555652614674,-1.1559639677426174
2012,0.1433,21,71.4,2.500969679,0.1179,0.7,10,5.902633333,중위험군,29.68497731,-0.9332597824383846,-1.5711324106786722
1981,0.4058,5,0.0,0.559615788,0.1623,0.55,6,5.365976015,중위험군,25.97377645,-0.79953675507458,1.3557461470874097
1982,0.1337,10,40.0,1.999777092,0.1608,1.0,4,5.955837369,중위험군,34.54718315,0.10716650358797164,-0.2073689811759567
2025,0.3379,11,63.6,1.028335445,0.1,1.0,12,7.194436851,중위험군,36.98701582,-2.0238465872767586,-1.615180662004426
2019,0.2984,22,90.9,0.794064852,0.1079,0.7,11,6.251903883,중위험군,33.38826274,-1.3974345325524486,-1.7360527369090988
1969,0.1947,25,64.0,2.574111725,0.1794,0.85,10,8.749890956,중위험군,38.31717841,-0.2805779341010874,-1.1315771238717351
1969,0.1108,14,71.4,0.056485602,0.1794,0.85,9,8.099554282,중위험군,25.16109034,-0.47245717664231834,-0.1992640605832488
1998,0.1867,5,0.0,2.628800829,0.138,0.18,8,5.857933154,저위험군,27.63239309,-1.4953332579182304,0.952828277739508
2017,0.3287,2,100.0,0.269476108,0.1108,0.25,15,7.600402335,저위험군,26.92374553,-2.683229949922146,-0.7154754530634845
1992,0.129,6,0.0,0.281001209,0.1465,0.18,6,5.030437921,저위험군,21.70793886,-1.2063578528847514,1.7133601566445995
1985,0.2744,14,0.0,0.441832752,0.1565,0.08,6,5.683579767,저위험군,17.48344907,-1.1144579418994205,1.5914385247568228
2014,0.2365,17,70.6,1.200842911,0.115,0.18,15,8.505929999,저위험군,14.95589031,-2.624317303495621,-0.8853177367418247
1997,0.1658,54,72.2,2.313554124,0.1394,0.85,6,7.210818453,중위험군,34.38596742,0.1957033115450665,-2.4884832180139953
2015,0.4643,2,50.0,0.589606502,0.1136,0.08,23,9.775426882,저위험군,19.90447402,-4.206851112216671,-0.2309753961327756
2004,0.2167,31,74.2,0.3467463,0.1293,0.18,17,9.207335863,저위험군,20.4974136,-2.4667410710793414,-1.1067677294698983
2016,0.1658,18,61.1,1.875842586,0.1122,0.85,12,7.380879036,중위험군,24.1597545,-1.6487512994296538,-1.6074431387989299
2016,0.3595,18,88.9,0.997443054,0.1122,1.0,22,8.005700679,중위험군,39.68270504,-2.4563267428049507,-2.3949659440259805
1967,0.3997,4,25.0,2.415417623,0.1823,0.08,14,6.378426184,저위험군,20.84757253,-1.2424339778666424,1.1430165762770932
2012,0.1735,19,47.4,2.781729284,0.1179,0.7,10,6.759255271,중위험군,24.01764966,-1.3048689804426945,-1.28234686460626
2013,0.1482,22,77.3,1.98572961,0.1165,0.7,10,6.863803391,중위험군,28.99010129,-1.1952865434159334,-1.6594295745324532
1988,0.1947,8,62.5,0.982472639,0.1523,0.55,11,8.363342467,중위험군,27.58183873,-1.526006116821552,-0.20094743976803478
1990,0.5451,0,0.0,0.0,0.1494,1.0,6,8.061802275,중위험군,38.32306966,-1.586836617519596,0.6974100313441505
2002,0.2337,19,94.7,0.619443985,0.1322,0.08,30,10.72570933,저위험군,15.44674591,-3.9209872400406547,-1.4111051786809328
1994,0.2195,24,75.0,0.281116061,0.1436,0.08,13,8.799360083,저위험군,13.84635558,-1.9877280774311066,-0.39839235270934303
1985,0.3626,5,60.0,1.212706484,0.1565,0.12,18,9.660141294,저위험군,18.68581043,-2.6975234544287696,0.12391213479068552
2015,0.6046,11,9.1,0.012012156,0.1136,0.55,32,11.11641019,중위험군,31.72027245,-5.090649655834865,-0.7704246004442961
1965,0.0959,62,69.4,2.171745492,0.1851,1.0,4,6.152732695,중위험군,32.68575111,1.748104708546199,-2.0645000572689436
2005,0.1556,22,54.5,3.049457673,0.1279,0.85,6,7.114769448,중위험군,33.81378816,-0.6406298717223484,-1.4880254778213273
2013,0.1556,90,66.7,0.978467977,0.248,1.0,6,7.301822342,중위험군,29.84933743,0.6655269572549953,-3.6091904807277286
2013,0.1581,12,58.3,2.352052076,0.1165,0.7,12,9.57129614,중위험군,30.06805753,-2.267589715962571,-1.3791596116602056
2015,0.1658,15,73.3,1.909085153,0.1136,1.0,16,10.6390235,중위험군,34.13172046,-2.5784347153874814,-2.200578230692394
2018,0.2481,26,88.5,3.678599523,0.1094,0.7,16,8.42156296,중위험군,40.74850581,-1.8628711908838285,-2.7618242948832914
2020,0.3718,13,84.6,2.205256749,0.1065,0.7,11,4.564348191,중위험군,24.44987108,-1.0971871143593153,-1.5946006066081522
1970,0.129,2,50.0,2.577167207,0.178,0.08,6,6.212606096,저위험군,24.7643374,-0.43982749452319003,1.069399791791773
1966,0.1433,2,100.0,1.437617921,0.1837,0.18,6,5.624017506,저위험군,31.80805952,0.061574246761034096,0.5903794517176414
1963,0.3935,3,0.0,0.0,0.188,0.45,20,10.40123614,저위험군,33.10607195,-2.7451114593155723,1.2754469495031888
2014,0.2394,14,42.9,4.611152258,0.115,0.85,13,8.064174105,중위험군,43.2702304,-1.734789048016787,-1.892085163256018
2015,0.2223,0,0.0,0.021978907,0.1136,0.12,6,6.863803391,저위험군,19.18754948,-2.5074512936248814,1.4300999182913696
2015,0.3196,10,70.0,1.390913307,0.1136,0.7,25,9.438590861,중위험군,29.76813948,-3.425307615325206,-1.732079607348629
2015,0.0877,5,0.0,0.488531707,0.1136,0.12,10,7.228388452,저위험군,7.095617712,-2.707960203656291,1.0472240372835373
1964,0.2167,41,70.7,0.800201177,0.1866,1.0,11,5.590986981,중위험군,42.33502976,0.7784222775183696,-1.2568346148551863
2015,0.4213,53,67.9,0.616029877,0.1136,0.85,20,8.477412321,중위험군,31.39745444,-2.0201358045303532,-2.9442226399446434
