승인연도,소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,총층수,연면적,cluster_label,최종위험점수_new,PC1,PC2
2023,0.2597,26,80.8,0.989301119,0.1022,0.55,13,7.832629071,중위험군,19.14622446,-2.097889980206453,-1.820062693362829
1989,0.129,1,0.0,2.0452686,0.1509,0.08,7,7.741298983,저위험군,25.84870906,-1.8091358743330328,1.4422558831422352
1980,0.3718,3,0.0,0.527354926,0.1637,0.12,1,7.484919054,저위험군,14.33050933,-1.22377694313585,1.9920098137448823
1939,0.2774,9,77.8,0.807027996,0.9413,0.18,2,4.538709819,고위험군,50.03752853,3.0756256997554727,2.6117186486764044
2022,0.3564,1,0.0,0.693147181,0.1036,0.55,13,6.667376552,중위험군,27.49322716,-2.844575295180368,0.34055041056734864
2003,0.1337,1,0.0,0.0,0.1308,0.85,1,6.368478739,중위험군,29.56219847,-1.107337669072643,0.9611371938839436
2020,0.4028,4,0.0,0.893817876,0.1065,0.55,1,7.676009932,중위험군,23.05380376,-2.0387525454771063,0.5174160853997346
1968,0.1607,26,69.2,2.035232102,0.1808,1.0,6,7.21910749,중위험군,32.48141629,0.5281722071454944,-1.0464473276877233
2018,0.1384,1,0.0,0.0,0.24,1.0,4,5.577500929,중위험군,33.77842402,-1.1375406168565105,0.6312627560104113
2022,0.4089,4,0.0,0.575364145,0.1036,0.55,1,7.293888049,중위험군,27.97695518,-2.0424217372271563,0.5744305305998473
2023,0.1556,25,72.0,2.233422945,0.1022,1.0,1,7.601232405,중위험군,32.76263651,-0.6968116589878962,-2.0871013400793688
1966,0.2252,30,80.0,0.897308281,0.1837,0.08,1,6.719315041,저위험군,18.06818819,0.43494436285198107,0.2569402442352535
2020,0.1607,21,81.0,0.693147181,0.1065,0.08,1,7.387034507,저위험군,10.77021425,-1.406099374603588,-0.5336214386655304
1975,0.3471,0,0.0,0.773189888,0.86,0.55,1,6.059356813,고위험군,42.10691938,1.2759212541036953,2.7456328729827746
2020,0.2308,23,82.6,0.841296342,0.1065,0.08,1,7.789595343,저위험군,12.14639805,-1.4608189741654902,-0.7038073170654594
2015,0.3257,4,25.0,1.011600912,0.1136,0.12,1,6.96054695,저위험군,23.78195396,-1.832795490239207,0.8185619593572687
2013,0.1506,13,61.5,2.096475727,0.1165,0.7,12,9.57129614,중위험군,35.51385295,-2.2551622137856087,-1.3986399840248624
1965,0.0959,62,69.4,2.171745492,0.1851,1.0,4,6.152732695,중위험군,32.68575111,1.748104708546199,-2.0645000572689436
2002,0.2337,19,94.7,0.619443985,0.1322,0.08,30,10.72570933,저위험군,15.44674591,-3.9209872400406547,-1.4111051786809328
1985,0.3626,5,60.0,1.212706484,0.1565,0.12,18,9.660141294,저위험군,18.68581043,-2.6975234544287696,0.12391213479068552
1981,0.1198,2,50.0,2.665848455,0.4359,0.25,1,5.783363537,저위험군,34.30395,0.562592978377746,1.2108873690237485
2022,0.2394,27,96.3,1.594591404,0.1036,0.7,15,8.13189829,중위험군,29.36597329,-1.997280043727583,-2.459243416995574
1960,0.2744,17,17.6,0.423814247,0.4729,0.08,5,5.905770484,저위험군,23.88574147,0.4845443066386013,2.1785070113620995
2003,0.3349,8,50.0,0.730454233,0.1308,0.08,10,7.636197207,저위험군,13.4208505,-2.1816367258918685,0.35384768331777733
2015,0.1735,3,100.0,0.955511445,0.1136,0.08,5,6.961343438,저위험군,18.43119385,-1.6717097550978375,-0.27062223417202225
1963,0.2597,22,50.0,0.309604949,0.4676,0.85,1,5.168094779,고위험군,34.93091504,1.7143620562737645,0.7331846396298118
1981,0.2029,16,75.0,0.549033679,0.2991,0.18,1,7.411332698,저위험군,20.71736838,-0.06694852717739028,0.6131468681014947
1968,0.1243,25,40.0,2.349342047,0.4588,1.0,1,5.894650737,고위험군,39.77307222,1.7769132668896646,0.011462472933025608
1989,0.1709,62,64.5,1.969138577,0.1509,0.85,1,6.626413067,중위험군,34.11193236,1.0086160549196326,-2.2097492454293355
2004,0.2834,5,0.0,0.575364145,0.1293,0.12,13,8.44263558,저위험군,17.1935316,-2.977603779130455,1.0241669988200128
2003,0.3687,24,0.0,0.008032172,0.1308,0.18,11,7.46975109,저위험군,23.67672872,-2.2520108839534463,0.5747442448245065
1969,0.098,1,100.0,2.526599935,0.457,0.25,1,4.54986887,고위험군,36.75775525,1.4901975056804426,0.8786241824104875
1971,0.0938,0,0.0,1.101835499,0.1766,0.25,1,5.498233232,저위험군,26.73716083,-0.30222127671363674,2.1923636773409747
1965,0.3564,13,15.4,0.693147181,0.1851,0.55,10,9.522907721,중위험군,23.93288864,-1.3697531459462793,0.7666826980804995
2003,0.1787,4,100.0,0.949420056,0.264,0.08,8,6.326077914,저위험군,17.80721927,-1.0623256668270764,0.09105540148634204
2004,0.184,21,71.4,0.695775303,0.1293,0.85,7,6.879047115,중위험군,29.12810108,-0.8264986010316343,-1.1637843325473798
1983,0.4058,16,68.8,0.492924413,0.4324,0.25,1,5.95702837,고위험군,27.00323146,0.5018449462954236,0.8393152181944004
1970,0.1243,10,70.0,1.581944772,0.178,1.0,3,5.438644367,중위험군,35.81858638,0.7882600540641708,-0.24188739692064007
1972,0.1947,3,33.3,4.729913073,0.8668,0.18,2,5.236122763,고위험군,58.33196648,1.9991872522050058,1.8291077789951402
1983,0.3904,4,0.0,0.559615788,0.4324,0.55,4,5.73521654,고위험군,34.17025885,-0.11494179489681339,1.7966290093372823
1968,0.1022,2,50.0,2.731659529,0.4588,0.25,1,4.815269024,고위험군,35.54286008,1.1827093420154708,1.5359274068330404
1961,0.3257,16,0.0,0.013072082,0.4712,0.08,4,5.755394052,저위험군,34.54604797,0.3743848153424231,2.5712940858514473
1935,0.2365,5,60.0,0.205708489,0.9503,0.25,1,4.596028528,고위험군,48.90870587,3.0652612912819874,3.1825040921884917
1988,0.3441,2,100.0,0.7618651,0.1523,1.0,6,6.455583709,중위험군,41.63107897,-0.32419350487726784,-0.8126319143810093
2012,0.192,15,66.7,0.646000402,0.1179,0.18,6,6.126978348,저위험군,12.21183715,-1.4172827583391767,-0.1475590999256269
1970,0.1384,14,64.3,1.052190452,0.4553,0.08,1,5.54603645,저위험군,30.30742429,0.945117942479081,1.4205943440944908
1939,0.1022,2,50.0,2.771831777,0.9413,0.25,1,5.183916106,고위험군,46.8412654,3.02496036944153,2.7491537565566686
2004,0.1632,4,100.0,0.60804785,0.1293,0.08,8,7.594200048,저위험군,13.02213867,-1.7630318207158053,-0.1321233639608175
1967,0.1581,5,60.0,1.050669223,0.4606,0.18,3,5.537373636,저위험군,31.9767233,0.7438880427532318,1.65772703626542
1971,0.1065,0,0.0,2.572002096,0.4535,0.25,1,5.712279605,고위험군,33.12462701,0.5095498130580904,2.250716950152498
1968,0.4947,14,85.7,0.0,0.4588,0.08,5,6.537806917,저위험군,27.17721169,0.34951765156485887,1.1050262249289244
1970,0.2894,12,66.7,0.460942079,0.4553,0.18,1,5.40483721,저위험군,31.94163398,0.9064189578361913,1.4344133490103579
1971,0.2112,34,61.8,1.090330668,0.4535,0.85,1,4.975146276,고위험군,35.8959241,1.939054005545145,-0.15824780396232763
1981,0.1175,4,75.0,2.180950825,0.1623,0.25,2,7.955239172,저위험군,20.44571112,-0.5823935612115723,0.30134238848160166
1970,0.1556,85,64.7,1.665206472,0.178,1.0,1,5.965710747,중위험군,43.67071914,2.2154296048183353,-2.6558879940228053
1952,0.3014,38,50.0,0.442568858,0.9119,0.85,1,4.876341706,고위험군,56.48822658,3.4800733499170424,1.0445252693321656
1989,0.1632,7,71.4,0.907834022,0.4218,0.08,5,5.918006364,저위험군,28.17160591,-0.1153175177875557,1.034453405990037
1964,0.1043,4,100.0,2.007612587,0.4658,0.55,2,4.839214112,고위험군,34.56898523,1.6946118383484046,0.5837697486951328
1967,0.192,4,0.0,0.274943047,0.1823,0.18,1,5.764720773,저위험군,25.4660468,-0.3549314556100145,2.3719262480243346
1978,0.1867,11,63.6,0.458423682,0.4412,0.18,4,6.610830625,저위험군,30.13445299,0.152234135529951,1.202771806455033
1968,0.2365,20,45.0,1.295150747,0.4588,0.08,1,4.990840667,저위험군,31.34957852,1.123045152709452,1.5024733189099062
2011,0.1867,24,66.7,0.715269098,0.1194,0.85,10,7.99638457,중위험군,28.7057577,-1.4915851994445046,-1.5075932435753776
1956,0.1531,1,100.0,2.031392628,0.48,0.25,1,4.95342982,고위험군,43.95079617,1.6939299051353742,1.2202003518047662
1990,0.5451,0,0.0,0.0,0.1494,1.0,6,8.061922103,중위험군,38.32311422,-1.5868652154921317,0.6974018937650489
2005,0.1632,20,80.0,1.733981669,0.1279,0.85,7,6.847814174,중위험군,31.60994562,-0.6856811632635058,-1.508538064102712
1969,0.3257,5,60.0,1.142974401,0.1794,0.18,1,5.54603645,저위험군,31.13513818,0.09146279497824526,1.1941855428609836
1965,0.2139,13,53.8,0.763070393,0.4641,0.85,1,5.94549914,고위험군,41.5548098,1.3907720288592456,0.7896739452949028
1989,0.1787,24,75.0,1.585468722,0.1509,0.08,1,6.976590805,저위험군,16.36162914,-0.3224948952254897,-0.09924891630657029
1988,0.1947,10,70.0,0.992276639,0.1523,0.55,1,8.363286482,중위험군,21.86310718,-0.6679858503199081,-0.07747806062350655
1996,0.1632,42,69.0,2.792677787,0.1408,0.85,5,7.481431751,중위험군,35.3805663,0.04275800752346462,-2.1205639311832116
2000,0.2481,7,71.4,0.02645657,0.1351,0.7,1,6.833764223,중위험군,26.26287133,-0.7120178345454172,-0.11327236361677825
1966,0.2167,17,47.1,0.896906865,0.4623,0.85,1,6.073942748,고위험군,35.63344025,1.3798630320478793,0.6944748712771948
1958,0.1531,12,58.3,2.317524489,0.8984,0.08,1,4.962494919,고위험군,41.66958079,2.559524611302019,2.2005230974487
1967,0.2804,6,66.7,2.130928116,0.4606,0.18,1,4.939855112,저위험군,35.97716569,1.184359874969403,1.345604613899026
1960,0.1814,26,76.9,2.004817973,0.8939,0.85,1,4.988526009,고위험군,58.72604468,3.3726527638790325,0.5401986594404687
1960,0.3014,48,68.8,1.746416963,0.4729,0.55,1,5.361479942,고위험군,36.32694724,2.3100672884206195,-0.33227796243824537
1966,0.378,11,9.1,1.712052727,0.4623,0.25,1,5.564137192,고위험군,35.15587756,0.7651976065611628,1.9903641498306686
2001,0.1735,5,80.0,0.637690105,0.1337,0.08,7,7.601312376,저위험군,12.76870153,-1.7099036034311128,0.2101904566145126
1966,0.3997,23,26.1,0.09237332,0.4623,0.25,1,5.346154696,고위험군,32.29166394,0.9599179811815474,1.7234526603786953
1961,0.2308,4,50.0,0.518205731,0.4712,0.25,1,4.721173862,고위험군,32.48426828,1.1475455389672284,2.095950686872676
1990,0.3318,9,77.8,0.297959655,0.1494,1.0,1,6.961210734,중위험군,39.52892043,-0.1702222426339585,-0.5317783888425008
1966,0.113,24,66.7,0.42114903,0.4623,0.85,1,5.25733911,고위험군,33.95162918,1.8124976534193085,0.36640638719810065
2015,0.1787,6,50.0,1.38563625,0.1136,0.08,13,7.306189058,저위험군,11.77229195,-2.580617841371569,5.5345695204422925e-05
2018,0.3997,7,42.9,2.254211509,0.1094,0.12,13,7.050842123,저위험군,22.15106071,-2.576730257694469,-0.28000750386027434
1932,0.1001,4,100.0,2.490339805,0.9571,0.55,1,3.425889994,고위험군,58.70687078,4.187091644530551,1.9150771812658904
1982,0.184,7,100.0,0.955511445,0.1608,0.08,1,7.01396943,저위험군,16.41080117,-0.377189296108979,0.3795080803059513
1968,0.3935,3,0.0,0.527354926,0.1808,0.55,1,6.495477014,중위험군,27.60207095,-0.3566631012323707,1.7705172432910306
1934,0.1761,1,100.0,0.54883495,0.9526,0.25,1,4.224934132,고위험군,44.6088199,3.4191719554451927,2.71048831106718
1966,0.3811,15,80.0,2.711270816,0.4623,0.18,5,5.416500322,고위험군,33.50913576,1.0786022338786283,0.5578397302786079
1963,0.3441,19,68.4,1.516427717,0.4676,0.55,1,5.219274159,고위험군,41.27516171,1.6596607368353629,0.6249186635043827
2002,0.1867,17,64.7,0.489548225,0.1322,0.18,10,7.273661483,저위험군,19.34174296,-1.7095881934556878,-0.1434460974879625
2015,0.4643,2,50.0,0.589606502,0.1136,0.08,23,9.775426882,저위험군,19.90447402,-4.206851112216671,-0.2309753961327756
2001,0.1735,12,83.3,0.598401813,0.1337,0.18,7,6.870883804,저위험군,20.05910925,-1.3153681879483758,-0.13433814836789254
1969,0.2002,31,61.3,1.373324011,0.457,1.0,2,4.413040688,고위험군,38.53511017,2.1348978780630534,-0.2474986610061904
1969,0.2774,5,20.0,0.585184191,0.1794,0.12,1,5.566663703,저위험군,20.82481309,-0.25466664906799036,1.996264292597106
2000,0.1506,97,60.8,0.072759354,0.1351,1.0,1,6.614470876,중위험군,24.60732007,1.2426798588345187,-3.280610901510518
1968,0.1683,17,82.4,0.527632742,0.4588,0.45,3,5.114154115,고위험군,29.43029865,1.3120697032729276,0.7251176383000767
2020,0.1735,21,71.4,0.940845537,0.1065,0.45,1,7.597546836,중위험군,16.38362715,-1.2327919566467045,-0.9194353830768844
2002,0.2423,10,90.0,0.276900297,0.1322,0.7,1,7.40368247,중위험군,27.58237864,-0.6992131847357048,-0.621960183631463
2013,0.2804,13,92.3,0.664826704,0.1165,0.55,1,7.247877987,중위험군,25.65833529,-0.9724824604031487,-0.8835876709295969
1968,0.5334,6,50.0,1.012227674,0.4588,0.55,1,6.545033518,고위험군,41.02907176,0.7121911831492869,1.198608503786397
2012,0.1735,22,72.7,0.478193683,0.1179,0.45,6,6.993758648,저위험군,22.07065528,-1.2760286020592626,-0.8136252552278145
2005,0.3687,29,48.3,0.739592678,0.1279,0.55,1,10.8434202,중위험군,21.59106779,-1.598776917252366,-0.8900706464737627
1983,0.4089,13,61.5,0.394439638,0.1594,0.25,1,6.455748726,저위험군,24.14569735,-0.42123462505743947,0.6256039804937727
1971,0.1108,0,0.0,2.339894874,0.1766,0.25,1,6.551937111,저위험군,30.3082539,-0.4172722279787329,1.8314083226193403
2011,0.1506,23,73.9,2.062112157,0.1194,0.7,1,5.704348981,중위험군,28.81326703,-0.16232863822209329,-1.2692359133555309
1967,0.1506,1,100.0,2.158832146,0.4606,0.25,1,4.760719887,고위험군,30.77747565,1.4376260317735434,0.9763909236497131
1968,0.1894,21,76.2,0.704919717,0.1808,0.08,1,6.210158212,저위험군,16.47670349,0.2945214428028135,0.659472864062514
2012,0.1867,16,75.0,0.580449875,0.1179,0.18,6,6.012369508,저위험군,18.30250129,-1.3243589158397722,-0.27863874863864796
1969,0.192,2,0.0,2.094533272,0.457,0.18,4,6.54540713,저위험군,38.54734483,0.04198375600509552,2.2509362406483047
1968,0.2167,35,68.6,0.83066546,0.4588,0.85,1,5.141722034,고위험군,36.0576003,2.01614426299013,-0.1823222811871749
1993,0.3014,13,84.6,1.696339634,0.1451,0.25,1,7.020333683,저위험군,26.09524827,-0.5049517141183765,-0.2259161645984674
2004,0.2539,15,86.7,0.934620832,0.1293,0.08,10,7.938274291,저위험군,20.61410807,-1.8663400538827921,-0.48478733287051723
1955,0.378,26,11.5,0.091114789,0.4817,0.08,2,5.441334873,저위험군,36.5657773,1.0312612616761982,2.244321174624216
1999,0.1683,20,75.0,1.736765893,0.1365,0.85,8,6.591275848,중위험군,26.07734752,-0.5661229650052287,-1.3282430427428262
1995,0.122,28,42.9,2.013954704,0.1422,1.0,1,5.875295833,중위험군,27.33818654,0.36098635254083655,-1.014625553154875
2013,0.2452,13,53.8,0.528470088,0.1165,0.12,11,7.159789448,저위험군,17.42811312,-2.2706251209324835,-0.04677503161492107
1960,0.1108,3,0.0,0.251314428,0.4729,1.0,1,4.78423645,고위험군,39.1525801,1.3647401652488262,2.058126870247638
2000,0.1709,18,72.2,1.74138911,0.1351,0.85,8,6.677675226,중위험군,25.88709458,-0.670892994968892,-1.248483694924795
2014,0.2337,23,87.0,0.573726679,0.115,0.08,11,7.911067388,저위험군,12.51989791,-2.097295143136542,-0.8971656489880695
1984,0.2167,4,100.0,0.0,0.158,1.0,1,7.302604235,중위험군,39.16457703,-0.03424199408334006,-0.494803226467014
1988,0.0799,19,78.9,0.592051064,0.1523,1.0,1,6.367689635,중위험군,31.71146887,0.34543462280645393,-0.798971465940397
2023,0.3135,1,100.0,0.679654501,0.1022,0.25,8,7.598955566,저위험군,20.9832185,-2.2779646261919044,-0.6822528597177817
1985,0.1361,34,32.4,0.0,0.1565,1.0,1,6.619606431,중위험군,29.7410763,0.2762872160036769,-0.44769101088022034
2005,0.341,0,0.0,0.844938673,0.1279,0.25,9,7.057906543,저위험군,25.54696045,-2.3594492185452256,1.1484948296548778
1963,0.1022,36,44.4,0.722134717,0.188,1.0,3,6.210861087,중위험군,28.03190414,1.0449063536144207,-0.43491222955928144
1971,0.3997,18,72.2,0.922848132,0.4535,0.25,3,5.92045178,고위험군,35.65537389,0.8138578858357667,0.816505910044665
2003,0.1787,21,71.4,0.508718141,0.1308,0.45,1,6.783313876,저위험군,23.05278772,-0.6130863477969191,-0.42187868274328993
1981,0.1787,21,71.4,0.769133088,0.1623,0.85,1,6.958800042,중위험군,31.88508783,0.27300708741206714,-0.5372274031934128
1958,0.3287,0,0.0,0.980829253,0.8984,0.55,7,7.479909277,고위험군,45.38043697,1.0164852019648132,2.790186587397012
1984,0.3287,2,50.0,1.039146789,0.158,0.18,6,6.441393012,저위험군,29.10775644,-1.0617288445980095,0.9482992381205358
1976,0.3749,10,10.0,0.087011377,0.1694,0.25,6,6.045360701,저위험군,27.60929002,-0.917554431081853,1.5814866742242946
1966,0.1198,1,0.0,2.110726679,0.1837,0.08,4,7.101346428,저위험군,28.29342125,-0.7693994401154384,2.029503886896637
1983,0.3074,0,0.0,1.466337069,0.4324,0.04,6,6.873774414,저위험군,28.67964125,-0.8430224292574766,2.2288514387146763
1988,0.3196,1,100.0,0.634775174,0.1523,0.25,3,6.149322632,저위험군,24.40003305,-0.5716534200062086,0.28496992340168964
1968,0.1709,40,72.5,0.626831456,0.1808,1.0,1,5.466793517,중위험군,34.87994139,1.455109643093472,-0.9681377079482716
2013,0.1787,22,59.1,1.067429361,0.1165,0.85,10,7.534751973,중위험군,22.7261508,-1.4804208717352778,-1.4174215636678629
2012,0.1531,25,60.0,2.033992945,0.1179,1.0,1,6.928743478,중위험군,26.79025973,-0.32536098041034334,-1.595525401898874
1987,0.1787,5,80.0,0.636298316,0.1536,0.08,6,6.905713195,저위험군,14.16613774,-1.076299596432893,0.5699288852500028
1983,0.2834,9,66.7,0.654394194,0.1594,0.12,1,6.586433689,저위험군,21.76317754,-0.5147264213387204,0.8058059877449224
1982,0.2139,4,50.0,0.764606145,0.1608,0.25,1,5.533191841,저위험군,28.05294735,-0.3082400675754643,1.1436742934377668
1983,0.098,7,42.9,0.873246739,0.8419,0.7,1,4.058717385,고위험군,41.68499332,2.1175836094590172,1.7061992417462923
1996,0.1894,31,71.0,0.693147181,0.1408,0.85,1,6.899944857,중위험군,36.22857537,0.04237985618737715,-1.1484554963677926
1967,0.2834,6,33.3,0.475107541,0.1823,0.12,5,5.67119041,저위험군,27.47629724,-0.44398565276564594,1.7034695245698515
1972,0.2029,11,81.8,0.328925031,0.1752,0.25,1,5.419073755,저위험군,23.38965557,0.28712844659236214,0.7568396671697702
1982,0.1556,0,0.0,0.0,0.1608,1.0,1,6.817152004,중위험군,34.4713758,-0.5467264808450141,1.1997784008409103
2014,0.2365,17,70.6,1.200842911,0.115,0.18,15,8.505929999,저위험군,14.95589031,-2.624317303495621,-0.8853177367418247
1983,0.1198,13,76.9,0.378469604,0.1594,0.7,1,6.69076774,중위험군,27.9405299,0.03239510053972603,-0.08592687365999571
2008,0.3044,0,0.0,1.485385264,0.1237,0.04,9,7.400993141,저위험군,17.53837107,-2.5866394725593227,1.1838422871302199
1989,0.1022,5,40.0,2.215353573,0.1509,0.25,1,7.426179957,저위험군,23.85338247,-0.7950334305768848,0.6837957509126461
1988,0.1581,17,76.5,1.02840803,0.1523,0.45,1,6.088704682,저위험군,25.68830734,-0.004085830585475353,-0.12722026858899127
1968,0.2337,36,77.8,0.127585918,0.4588,0.85,1,5.339987002,고위험군,35.00397822,1.9592004569356807,-0.20721795726721928
1971,0.129,1,0.0,0.619039208,0.4535,0.85,1,5.543652845,고위험군,43.00543775,0.758189401521945,1.938602250104175
2001,0.1658,37,59.5,2.548159171,0.1337,0.85,1,7.292384827,중위험군,27.67227492,0.0721153706450607,-1.7265597339356404
1971,0.2423,2,100.0,1.809808657,0.1766,0.18,1,6.051594929,저위험군,33.33837737,0.21411520229300166,0.49918975973436813
1969,0.4182,0,0.0,0.0,0.457,1.0,4,6.331839871,고위험군,47.32919591,0.3126820330263738,1.7502812218096608
2014,0.2308,19,73.7,0.349845393,0.115,0.12,1,7.598414367,저위험군,11.70907686,-1.407860389742259,-0.24151991592226243
1969,0.1683,25,56.0,2.51319684,0.1794,0.85,1,6.281238181,중위험군,30.57214321,0.9546666468696132,-0.5528088996141757
1967,0.1243,24,79.2,0.353279355,0.1823,1.0,1,6.807327024,중위험군,34.30593781,0.8842893824473704,-0.5309698242612131
2023,0.3105,1,100.0,0.69828858,0.1022,0.25,8,7.598955566,저위험군,20.99536939,-2.274799365736356,-0.6857338242136828
2003,0.192,28,71.4,0.710107796,0.1308,0.85,12,7.590367158,중위험군,29.79650496,-1.221120541202738,-1.5807541266171286
1985,0.3349,0,0.0,0.980571488,0.4289,0.25,6,6.945994742,저위험군,36.52327095,-0.8357010323296028,2.030083365547175
1986,0.3935,28,21.4,0.039530839,0.4272,0.25,5,6.105105684,저위험군,35.80277165,-0.04514364284527142,1.0532358908607313
2016,0.2252,22,63.6,1.063687165,0.1122,0.7,10,7.205219351,중위험군,26.83826556,-1.579296820814977,-1.3502744543350074
1965,0.4028,5,0.0,0.476924072,0.4641,0.55,1,7.109225655,고위험군,36.87224453,0.31387116816042726,2.150004116555103
1961,0.3564,1,0.0,0.386772975,0.1909,0.55,1,6.216785726,중위험군,21.52588172,-0.13527984858908074,2.0400192701103945
1992,0.0743,3,33.3,2.489536754,0.1465,0.25,1,6.832719184,저위험군,17.33658883,-0.7771357992035155,0.7726026162977911
1973,0.0818,7,42.9,2.420529536,0.1737,0.7,1,6.710401299,중위험군,32.15330741,0.22735450938559132,0.3552775062320558
1957,0.2804,2,50.0,0.701179352,0.9006,1.0,2,5.111566013,고위험군,63.73001112,2.6504000726734724,1.848369999834882
1960,0.1894,3,66.7,2.276412219,0.8939,0.12,2,4.917569261,고위험군,54.41302238,2.324671385422121,2.256212862395543
1969,0.3533,2,0.0,0.653926467,0.1794,0.08,4,5.945237346,저위험군,26.57386875,-0.8056507051658048,2.2864791329158924
2005,0.3904,8,87.5,1.072909939,0.1279,0.08,1,9.489714529,저위험군,16.74437072,-1.729674661694798,-0.18604489556916637
1971,0.1974,51,74.5,0.582395816,0.1766,0.18,3,5.358377123,저위험군,23.49177552,0.875552095313275,-0.4706724381798247
1965,0.1384,9,66.7,0.257634563,0.1851,0.7,4,5.787388059,중위험군,29.13434266,0.3605198186167132,0.5548247383101268
1966,0.1867,42,90.5,0.978508445,0.1837,0.85,3,6.046307783,중위험군,29.02197648,1.2997582718051361,-1.2605194997942724
1985,0.3595,6,16.7,1.699539747,0.1565,0.18,1,9.108029645,저위험군,24.61641575,-1.4081983944963323,1.0953268548215407
1966,0.2308,18,27.8,2.047692843,0.4623,1.0,4,6.168773562,고위험군,39.97448974,1.2562638661844454,0.3962488846190135
1960,0.2626,47,95.7,0.814569173,0.1922,0.85,3,7.540340023,중위험군,30.9999906,1.1947638148935498,-1.4657629849625196
1970,0.0519,18,72.2,0.331777392,0.178,0.7,1,8.849916983,중위험군,23.28634844,-0.03443185094821526,-0.037058196865921295
1967,0.251,45,97.8,0.682390533,0.4606,0.85,3,6.190889012,고위험군,37.95439684,1.9863504648036965,-1.0300921173673794
1970,0.2112,0,0.0,0.0,0.4553,0.45,2,5.587248658,고위험군,36.9432646,0.3004314183834284,2.5688066206197613
1974,0.3318,46,73.9,0.327848114,0.4483,1.0,4,6.130574103,고위험군,50.2522974,1.6273300103320207,-1.0063517541338476
1942,0.2056,13,69.2,1.253107143,0.9345,1.0,2,4.759692225,고위험군,55.19424843,3.6063587795766607,1.440073355766236
1970,0.1947,30,86.7,0.621450433,0.178,1.0,4,6.900166557,중위험군,29.8450753,0.7150758324905859,-1.078937220128965
1970,0.4028,20,50.0,2.37291041,0.4553,0.18,3,5.540478924,저위험군,37.3479289,0.9485345716547696,0.8746816016461815
1990,0.1433,10,60.0,1.347534371,0.1494,0.08,1,6.795101566,저위험군,14.36334194,-0.6844715646743901,0.642419654549423
2008,0.1814,6,16.7,1.314320861,0.1237,0.35,3,9.859370761,저위험군,21.75860098,-2.250759213024315,0.4467891340412523
1961,0.1243,18,66.7,1.839012354,0.1909,0.7,45,7.116394144,중위험군,40.24138876,-2.648996160588368,-1.3532873784670283
1964,0.3873,2,0.0,1.39687647,0.1866,0.08,1,7.386984967,저위험군,17.83334135,-0.7041740128596141,2.2005873235659474
2009,0.2924,12,33.3,1.225951711,0.1222,0.7,15,8.422963827,중위험군,27.87537113,-2.4452538333474343,-0.7199566104804233
1980,0.2084,37,89.2,0.635988767,0.1637,0.45,6,6.876883615,중위험군,21.40955276,0.046089948270859556,-0.9440104664399345
1988,0.1506,11,36.4,0.034045841,0.1523,0.45,1,4.868841288,저위험군,27.03755835,-0.19139340969520513,0.9758188246913603
2007,0.4856,5,20.0,0.063948725,0.1251,0.08,30,11.15748519,저위험군,25.21365402,-5.051163306226355,0.08276524591887577
1969,0.1408,8,62.5,0.820611821,0.1794,0.08,1,8.690294034,저위험군,22.25125029,-0.6300079221655885,1.0904041791794208
1967,0.3656,3,0.0,0.730887509,0.1823,0.08,3,5.125153748,저위험군,26.83168419,-0.4528328209323674,2.3587830028982375
2020,0.4244,23,82.6,0.610596778,0.1065,0.85,1,7.609604487,중위험군,30.4245853,-0.9697752343277808,-1.6320222384933007
2023,0.1266,0,0.0,0.175720873,0.1022,0.08,1,9.761555262,저위험군,18.06731881,-3.0153008944038646,1.2618700050926943
1965,0.113,0,0.0,0.492220436,0.1851,0.08,1,6.20279864,저위험군,12.04523986,-0.4982495756372583,2.6088530371122816
2020,0.3379,8,0.0,0.405465108,0.1065,0.7,1,7.756884319,중위험군,29.36314984,-1.9102273779845853,0.32554843377344644
2018,0.2112,4,50.0,0.177681177,0.1094,0.35,1,8.386047522,저위험군,18.91760295,-1.9949299435699903,0.23452084225907582
2000,0.0551,28,75.0,0.480197397,0.1351,1.0,1,10.54008131,중위험군,31.34074,-0.8439546614999244,-1.534279580594964
2018,0.4244,34,85.3,1.098612289,0.1094,0.85,1,5.289074785,중위험군,25.27763389,-0.07653503299992595,-1.950968602012697
1959,0.0618,15,66.7,0.281103101,0.4747,1.0,1,7.406322069,고위험군,42.67144237,1.4367494238855958,0.5270650291614218
2021,0.1761,34,73.5,0.677879708,0.105,1.0,15,9.6737907,중위험군,24.55657585,-2.219915098176192,-2.5793565714388964
1979,0.2452,3,33.3,1.35167416,0.1652,0.12,21,10.16708183,저위험군,23.5381471,-3.031393992660547,0.5793991054789309
2023,0.228,6,33.3,0.165985137,0.1022,0.35,1,7.903622148,저위험군,17.68387672,-2.094025878187365,0.34358423868956334
1976,0.1384,14,78.6,1.485993721,0.1694,0.08,1,6.549207153,저위험군,16.98168538,-0.022202169127850068,0.5055040538241447
2020,0.4244,23,82.6,0.610596778,0.1065,0.85,6,7.609604487,중위험군,30.4636478,-1.3555304168654951,-1.7832727915046112
2011,0.3287,19,52.6,0.36772478,0.1194,0.45,1,6.792243412,저위험군,22.65125809,-1.0633463409920498,-0.24917342176226578
