사용승인일자,화재조기진압용스프링클러(H)설치여부,건축물일련번호,스프링클러(AV)설치여부,주소,시도명,시군구명,읍면동명,스프링클러(H)설치여부,화재조기진압용스프링클러(AV)설치여부,간이스프링클러(H)설치여부,대상물명,간이스프링클러(AV)설치여부
20180601," ""N""          "," ""11000000318305"""," ""Y""      "," ""서울특별시 중구 을지로6가""      "," ""서울특별시"""," ""중구""    "," ""을지로6가""  "," ""Y""     "," ""N""           "," ""N""    "," ""노보텔 앰배서더 서울 동대문""                       "," ""N"""
20180523," ""N""          "," ""11000000318372"""," ""N""      "," ""서울특별시 강남구 논현동""       "," ""서울특별시"""," ""강남구""  "," ""논현동""     "," ""N""     "," ""N""           "," ""N""    "," ""선우현숙건물""                                      "," ""N"""
20180626," ""N""          "," ""11000000318547"""," ""Y""      "," ""서울특별시 서초구 서초동""       "," ""서울특별시"""," ""서초구""  "," ""서초동""     "," ""Y""     "," ""N""           "," ""N""    "," ""토요코인호텔(서울강남점)""                          "," ""N"""
20180710," ""N""          "," ""11000000318655"""," ""Y""      "," ""서울특별시 송파구 잠실동""       "," ""서울특별시"""," ""송파구""  "," ""잠실동""     "," ""Y""     "," ""N""           "," ""N""    "," ""호텔포레스타2(잠실포레스타관광호텔)""               "," ""N"""
20180720," ""N""          "," ""11000000318989"""," ""N""      "," ""서울특별시 영등포구 영등포동3가"""," ""서울특별시"""," ""영등포구"""," ""영등포동3가"""," ""N""     "," ""N""           "," ""N""    "," ""아이리스호텔""                                      "," ""N"""
20210903," ""N""          "," ""11000000319454"""," ""Y""      "," ""서울특별시 강남구 논현동""       "," ""서울특별시"""," ""강남구""  "," ""논현동""     "," ""Y""     "," ""N""           "," ""N""    "," ""보코서울강남호텔""                                  "," ""N"""
20181022," ""N""          "," ""11000000319852"""," ""Y""      "," ""서울특별시 서초구 방배동""       "," ""서울특별시"""," ""서초구""  "," ""방배동""     "," ""Y""     "," ""N""           "," ""Y""    "," ""방배아이파크빌""                                    "," ""Y"""
20181026," ""N""          "," ""11000000319944"""," ""N""      "," ""서울특별시 중구 황학동""         "," ""서울특별시"""," ""중구""    "," ""황학동""     "," ""N""     "," ""N""           "," ""Y""    "," ""BIGSTAY(빅스테이)""                                 "," ""Y"""
20181109," ""N""          "," ""11000000319986"""," ""Y""      "," ""서울특별시 중구 광희동2가""      "," ""서울특별시"""," ""중구""    "," ""광희동2가""  "," ""Y""     "," ""N""           "," ""N""    "," ""토요코인호텔(동대문2호점)""                         "," ""N"""
20181112," ""N""          "," ""11000000320069"""," ""N""      "," ""서울특별시 영등포구 당산동1가""  "," ""서울특별시"""," ""영등포구"""," ""당산동1가""  "," ""N""     "," ""N""           "," ""Y""    "," ""더리베라""                                          "," ""Y"""
