구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,residual,coef_intercept,bw_intercept,coef_구조노후도,bw_구조노후도,coef_도로폭위험도,bw_도로폭위험도,coef_단속위험도,bw_단속위험도
중구,을지로7가,라하 부티크 디디피,0,중위험군,37.56262124,127.0082658,200730.2962,451454.3384,23.15628176,-4.208697331570537,28.694495900994326,43.0,1.354996034617628,1463.0,2.8332661896226905,1464.0,0.7807959605236618,55.0
중구,서소문동,정동스테이25(JEONGDONG STAY 25),0,중위험군,37.56106147,126.9745929,197755.1957,451281.4936,25.27582847,-1.1819512864484096,29.046176426994073,43.0,1.3599934205328332,1463.0,2.8258513484711636,1464.0,3.380100943876437,55.0
중구,소공동,크라운파크 호텔 서울 명동,0,중위험군,37.56101578,126.9799895,198232.0034,451276.3074,29.1958747,-2.4893747259569174,27.40426803289199,43.0,1.3582357314508082,1463.0,2.8224961584467576,1464.0,3.792984392147094,55.0
중구,황학동,호스텔 소우재,0,중위험군,37.56418869,127.0203495,201797.8721,451628.4694,36.43836708,3.6535893521421414,28.099758377235695,43.0,1.3552208005427304,1463.0,2.8396893752755172,1464.0,0.7854751101019399,55.0
중구,명동,유스테이호스텔(U-STAY HOSTEL),0,중위험군,37.56011013,126.9848633,198662.6016,451175.7104,32.39570051,0.33223793359431397,27.60669847713035,43.0,1.3559767821951019,1463.0,2.821863557965455,1464.0,4.036362204893769,55.0
중구,을지로5가,나인트리 바이 파르나스 서울 동대문,0,중위험군,37.56386326,127.0021197,200187.2712,451592.158,29.13096002,4.0388169286383935,29.250480295812807,43.0,1.3547070081928476,1463.0,2.8283599793953327,1464.0,1.3841212033501151,55.0
중구,주교동,zip 1972 hostel,0,중위험군,37.56535668,126.9974748,199776.9002,451757.911,35.13298823,0.0857926589351834,28.66324444432276,43.0,1.354401807082152,1463.0,2.824070863583542,1464.0,1.7702996848630974,55.0
중구,충무로3가,스테이모드,0,중위험군,37.55941767,126.9897586,199095.1133,451098.7972,22.80810164,-7.434578077367014,28.81541262990489,43.0,1.3550525041194144,1463.0,2.822241490810297,1464.0,1.718735977967468,55.0
중구,을지로7가,스테이 쉼,0,중위험군,37.56263015,127.0080449,200710.7766,451455.3256,24.41990182,-4.197208593701006,28.836661386967037,43.0,1.3549893735835032,1463.0,2.833117410439547,1464.0,0.8057825168857587,55.0
중구,(남산동,더큐브 호텔,0,중위험군,37.55609169,126.9854119,198711.0046,450729.7036,29.89795809,0.21621798996919495,30.270120938763,43.0,1.3556059161580591,1463.0,2.8225085866240405,1464.0,0.31196815939407163,55.0
중구,(광희동,더 페이즈,0,중위험군,37.56088977,127.0077684,200686.3643,451262.1619,25.87779921,-4.356647724959561,28.910353956169292,43.0,1.3551409242078063,1463.0,2.8339814240317915,1464.0,0.32956613661834655,55.0
중구,무학동,로밍 타이거,0,중위험군,37.56131454,127.0144614,201277.7058,451309.3763,22.3773573,-3.110685681892516,27.233165568805216,43.0,1.3552660429026961,1463.0,2.837878253461476,1464.0,-1.3800920718673777,55.0
중구,황학동,유어모먼트,0,중위험군,37.56647742,127.0223181,201971.7344,451882.5311,29.05164303,0.7293399368879356,29.116294042573273,43.0,1.3551266355533165,1463.0,2.8395613675020748,1464.0,1.2533272998754428,55.0
중구,북창동,한 스위트 서울,0,중위험군,37.55960572,126.9768368,197953.4112,451119.8714,30.6122313,-2.107536110054337,29.06497808574025,43.0,1.3594251057557463,1463.0,2.824784064413966,1464.0,3.44928685624023,55.0
중구,충무로4가,제이빌스,0,중위험군,37.55987697,126.9937168,199444.8474,451149.7433,28.94925022,3.024220077045264,28.760719745695493,43.0,1.3550156451848576,1463.0,2.8248759402067853,1464.0,1.726359860983787,55.0
중구,주교동,먼슬리브 을지로 광장시장 호텔 스테이[Monthliv Euljiro Gwangjang Market Hotel Stay],0,중위험군,37.56590912,126.9983882,199857.6048,451819.2235,22.59554452,-2.919753477758672,28.561245108187165,43.0,1.3543620238671623,1463.0,2.8243905377445717,1464.0,1.7567588220910495,55.0
중구,서소문동,THE VILLA 23,0,중위험군,37.56112681,126.97476,197769.9615,451288.7416,30.53976772,5.279099100979554,28.997543539590914,43.0,1.3599460408567678,1463.0,2.825727602993463,1464.0,3.40293674542196,55.0
중구,황학동,FRGE (에프알지이),0,중위험군,37.56738069,127.020034,201769.9179,451982.738,28.47413329,0.2462441418936372,29.153505650164625,43.0,1.3549849734383757,1463.0,2.837774572881741,1464.0,1.7048085193224105,55.0
중구,충무로2가,트래비스타 호스텔,0,중위험군,37.55986394,126.9889152,199020.6073,451148.3363,25.39347081,3.4596362396964864,28.186322602994604,43.0,1.3549954709237546,1463.0,2.821286717971311,1464.0,2.199667761523333,55.0
