건물유형코드,건물ID,건물관리번호,법정동코드,주소,지번,위도,경도,그리드ID,그리드행,그리드열,주부속구분,일반집합구분,건물용도코드,건물용도명,구조코드,구조명,건폐율,사용승인일,연면적,건축면적,높이,기타,용적률,지번코드,대장구분,건물식별번호,갱신일자,행정구역코드,예비1,예비2,지상층수,지하층수,총층수,생성일자
67673,2021193027424510489900000000,1144012400105150016,1144012400,서울특별시 마포구 연남동,515-16,37.56169248,126.92187097,YN_50000SQM_R05_C04,5,4,1,일반,18000,창고시설,63.0,,38.61,2021-03-25,38.61,143.2,3.1,26.96,26.96,100275043,N,B00200000000DVE34,2026-04-06,11440,,,2.0,0.0,2,2021-09-06
67674,2021192933644510315500000000,1144012400105610051,1144012400,서울특별시 마포구 연남동,561-51,37.56153455,126.92080972,YN_50000SQM_R05_C04,5,4,1,일반,01000,단독주택,21.0,철근콘크리트구조,75.57,2021-07-21,204.21,126.22,12.01,59.87,161.79,100278683,Y,B00200000000DVE45,2026-04-06,11440,The 연남,,5.0,0.0,5,2022-08-03
46113,2017192878694512876400000000,1144012400103690012,1144012400,서울특별시 마포구 연남동,369-12,37.56384140,126.92018519,YN_50000SQM_R06_C03,6,3,1,일반,01000,단독주택,21.0,철근콘크리트구조,73.65,2017-03-15,197.96,135.3,11.5,54.43,123.5,100246978,N,B002000000005D3PO,2026-04-06,11440,파크 팰리스,,4.0,1.0,5,2017-06-28
46114,2017193307424511515800000000,1144012400102280034,1144012400,서울특별시 마포구 연남동,228-34,37.56261880,126.92503911,YN_50000SQM_R06_C05,6,5,1,일반,04000,제2종근린생활시설,21.0,철근콘크리트구조,84.28,2017-06-19,274.08,140.5,14.3,59.99,195.07,100248718,N,B002000000005D3YX,2026-04-06,11440,,,6.0,0.0,6,2024-11-22
46115,2017193171424513144100000000,1144012400102390051,1144012400,서울특별시 마포구 연남동,239-51,37.56408500,126.92349833,YN_50000SQM_R06_C05,6,5,1,일반,02000,공동주택,21.0,철근콘크리트구조,137.53,2017-02-27,426.75,244.3,16.94,56.3,174.68,100246758,N,B002000000005D433,2026-04-06,11440,경휘재,,6.0,0.0,6,2017-06-28
46116,2017192855914508382600000000,1144012400105650028,1144012400,서울특별시 마포구 연남동,565-28,37.55979245,126.91993189,YN_50000SQM_R04_C03,4,3,1,일반,02000,공동주택,21.0,철근콘크리트구조,154.85,2017-03-02,465.76,282.3,16.55,54.85,164.99,100246809,N,B002000000005D4EE,2026-04-06,11440,청암,,6.0,0.0,6,2019-03-15
18863,1992193360234511262000000000,1144012400103870039,1144012400,서울특별시 마포구 연남동,387-39,37.56239060,126.92563713,YN_50000SQM_R06_C06,6,6,1,일반,04000,제2종근린생활시설,11.0,벽돌구조,83.46,1992-01-30,311.11,142.4,9.8,58.6,159.86,28721,N,B00100000000J9CM4,2026-04-06,11440,,,4.0,1.0,5,2022-03-09
38595,2016192975194511401400000000,1144012400105090019,1144012400,서울특별시 마포구 연남동,509-19,37.56251330,126.92127897,YN_50000SQM_R06_C04,6,4,1,일반,02000,공동주택,21.0,철근콘크리트구조,107.88,2016-08-12,348.95,187.1,16.0,57.66,186.5,100241916,Y,B002000000003KQTL,2026-04-06,11440,루하우스,,6.0,0.0,6,2016-10-26
38596,2016192963244511325400000000,1144012400105090018,1144012400,서울특별시 마포구 연남동,509-18,37.56244487,126.92114382,YN_50000SQM_R06_C04,6,4,1,일반,02000,공동주택,21.0,철근콘크리트구조,99.9,2016-07-18,312.43,167.48,16.2,59.65,186.55,100240796,Y,B002000000003KQUM,2026-04-06,11440,MIO  Vill,,6.0,0.0,6,2017-02-09
38597,2016192616004513134600000000,1144012400104870282,1144012400,서울특별시 마포구 연남동,487-282,37.56407197,126.91721170,YN_50000SQM_R06_C02,6,2,1,일반,01000,단독주택,21.0,철근콘크리트구조,60.23,2016-06-01,198.8,101.0,11.2,59.63,169.88,100239921,N,B002000000003KR4W,2026-04-06,11440,,,4.0,1.0,5,2018-09-29
