구,동,숙소명,승인연도,위험도점수,위험점수_AHP,사각지대_위험도점수,fire_count_150m,target_damage_sum_천원,예상_화재발생확률,기대피해액_백만원,주변건물수,집중도,도로폭위험도,단속위험도,구조노후도
마포구,연남동,밀리언스테이1,1991,44.891182073318966,73.33,44.891182073318966,14,8244.0,0.15310830157209,0.0188304256324518,42,92.9,0.85,0.4658968472930821,0.5535
마포구,망원동,스테이 다담,1986,44.8793313597664,62.74,44.8793313597664,6,1920.0,0.3490450469174563,0.0403403233423275,41,97.6,1.0,0.682527611732485,0.4272
마포구,성산동,성산아뜰리에,2018,44.87016438936343,59.18,44.87016438936343,7,1116.0,0.2707428826303458,0.0465373801379922,15,93.3,0.7,0.9950000252038128,0.1094
마포구,서교동,오리 게스트하우스,1991,44.85949096999195,42.31,44.85949096999195,8,3450.0,0.4326545406841108,0.0626207934270122,21,90.5,0.85,0.2952292780871638,0.148
마포구,연남동,스윗스토리,1993,44.78060453981964,71.79,44.78060453981964,12,4552.0,0.4855563556667526,0.0727804717472341,15,100.0,0.18,1.7657408412557287,0.5496
마포구,동교동,티오피 하우스,1993,44.75986996139161,50.41,44.75986996139161,6,2413.0,0.3701713345835854,0.0525556942746535,28,96.4,1.0,0.7871939363174982,0.1451
마포구,연남동,탠저린스테이 홍대,1992,44.73173202153546,68.41,44.73173202153546,7,3340.0,0.3960179829358283,0.0614959731215977,24,79.2,0.35,0.9692874925715548,0.4165
마포구,연남동,컴피리피,1991,44.728227217227534,80.68,44.728227217227534,18,15730.0,0.0946689246928496,0.0125166180371325,39,100.0,1.0,0.6200475271203404,0.4183
마포구,대흥동,루트9,2002,44.72677554546334,55.24,44.72677554546334,2,69.0,0.4000596236999195,0.0570302006208236,33,93.9,1.0,1.3370730695456343,0.1322
마포구,동교동,서울맨션,1973,44.62673427018373,73.89,44.62673427018373,24,60315.0,0.3407731296201958,0.0468378644145697,27,92.6,0.55,0.9818703775201368,0.45
마포구,연남동,시와 하우스,1991,44.61947258811805,50.2,44.61947258811805,7,944.0,0.3730413658362774,0.0599408584453163,7,85.7,0.12,0.6513000706244448,0.4183
마포구,서교동,딥 서울,1996,44.60742783850214,32.28,44.60742783850214,14,204928.0,0.6435420941969158,0.0836004025792639,27,96.3,1.0,0.6033771811312358,0.1408
마포구,합정동,KS guest house,1989,44.5868479643982,37.66,44.5868479643982,3,23538.0,0.6199814138041001,0.1006735518237511,7,85.7,0.25,1.742969305058623,0.1509
마포구,연남동,BS 하우스,1991,44.5695863572833,79.42,44.5695863572833,13,14998.0,0.089612712630438,0.011869184600014,38,100.0,1.0,0.410914712875729,0.4183
마포구,동교동,로브그리에 연남,1997,44.56766723727677,59.38,44.56766723727677,23,58445.0,0.544613244634513,0.0952318335656181,14,78.6,0.35,1.4891517465595985,0.1394
마포구,망원동,리버레스트,1988,44.56203736523408,58.39,44.56203736523408,0,0.0,0.0591804669222765,0.0130116802231976,24,95.4,1.0,0.0,0.1523
마포구,서교동,더 홍대 스테이,1995,44.54275823944527,36.98,44.54275823944527,15,2131.0,0.6240884440185568,0.0755630659233775,27,96.3,0.55,1.563975538357343,0.4113
마포구,연남동,연남 베통부르트2,2017,44.53795859797757,65.86,44.53795859797757,2,2207.0,0.1353026125291488,0.0250638310155618,8,100.0,0.7,0.4700036292457356,0.1108
마포구,성산동,네스트 인 망원,1990,44.51367652809408,64.14,44.51367652809408,8,12714.0,0.3157786693174432,0.039372512753899,37,97.3,0.85,0.9832868605401596,0.42
마포구,연남동,연남민박 1971,1971,44.50126266172331,80.23,44.50126266172331,7,1665.0,0.2591825832098835,0.0431446019966022,10,90.0,0.25,0.286041382994321,0.4535
마포구,동교동,메종513,2017,44.48130878273263,39.34,44.48130878273263,11,5018.0,0.4484797519331183,0.0634744968121185,28,92.9,1.0,0.6000567574939334,0.1108
마포구,서교동,모스트스테이,1970,44.46304515291296,45.55,44.46304515291296,9,1283.0,0.5587238810495907,0.0726870970873112,21,85.7,0.25,1.3975939163738238,0.4553
마포구,서교동,서교 게스트하우스 다날,1997,44.454765351287726,31.63,44.454765351287726,10,2715.0,0.6023312023403675,0.0826017485363859,23,95.7,0.85,0.9283390703903296,0.1394
마포구,서교동,스테이 패스포트 삿포로 료칸 서울 홍대 2,2017,44.44774867441132,38.2,44.44774867441132,22,39499.0,0.6214474508292536,0.0874681357804527,25,100.0,0.85,1.8026427913854484,0.1108
마포구,공덕동,"Hey, SEOUL Stay",1985,44.40882951112559,44.16,44.40882951112559,10,11633.0,,,19,68.4,0.12,0.5857269319391084,0.4289
마포구,연남동,blossom Yeonnam 11,2003,44.37654716302429,44.19,44.37654716302429,8,973.0,0.5468455265170712,0.1017289851171838,10,60.0,0.12,0.752034517893489,0.1308
마포구,연남동,La Lune,2010,44.33177088216293,55.42,44.33177088216293,11,3080.0,0.2725518231414244,0.046018682044973,18,88.9,0.7,0.6931471805599453,0.1208
마포구,성산동,Onul,2022,44.30502837416783,52.02,44.30502837416783,10,9244.0,0.431895620135579,0.0703582600644422,29,79.3,0.7,1.4702663469333166,0.1036
마포구,동교동,엣홈,1990,44.29013456122555,39.12,44.29013456122555,8,5833.0,0.385595016115532,0.0539060882041173,20,80.0,0.35,0.2644987369961236,0.42
마포구,연남동,민트하우스,2018,44.2827937259169,58.66,44.2827937259169,16,3453.0,0.4464459019473298,0.0729882897252333,27,92.6,0.7,2.342121014975784,0.1094
마포구,서교동,하모니 스테이,2004,44.23263252075442,33.71,44.23263252075442,11,203978.0,0.6373977191407285,0.0868124027520163,22,100.0,0.85,1.1542731357736635,0.1293
마포구,동교동,Jin's House,1989,44.22774387836895,52.18,44.22774387836895,10,5011.0,0.3557931302645949,0.0429347411928355,33,97.0,0.85,0.2602252262187416,0.4218
마포구,연남동,찬스하우스,1991,44.22513169345269,55.18,44.22513169345269,5,1051.0,0.2947959067161677,0.0389113084862009,26,100.0,0.7,0.5749542248322346,0.4183
