구,업종,시설수,위험도점수_평균,위험도점수_중앙값,위험점수_AHP_평균,위험점수_AHP_중앙값,사각지대_위험도점수_평균,사각지대_위험도점수_중앙값,fire_count_150m_평균,fire_count_150m_중앙값,fire_exists_150m_평균,fire_exists_150m_중앙값,target_damage_sum_천원_평균,target_damage_sum_천원_중앙값,예상_화재발생확률_평균,예상_화재발생확률_중앙값,기대피해액_백만원_평균,기대피해액_백만원_중앙값,주변건물수_평균,주변건물수_중앙값,집중도_평균,집중도_중앙값,단속위험도_평균,단속위험도_중앙값,구조노후도_평균,구조노후도_중앙값,도로폭위험도_평균,도로폭위험도_중앙값
서초구,숙박업,26,45.87036776683691,46.54780694174387,48.093076923076914,49.675,45.87036776683691,46.54780694174387,5.538461538461538,6.0,0.9615384615384616,1.0,13399.461538461539,2102.0,0.4182951139597313,0.41311620555025363,0.07399829944986816,0.06721757189137445,12.038461538461538,9.5,79.41923076923075,93.30000000000001,0.8563644361124781,0.7836141444676248,0.14641538461538461,0.13005,0.49461538461538457,0.25
서초구,외국인관광도시민박업,49,46.240447581248816,44.3220887075897,49.89163265306122,50.12,46.240447581248816,44.3220887075897,3.693877551020408,3.0,0.9183673469387755,1.0,5748.2040816326535,888.0,0.44727308996650533,0.4400608814919723,0.07754815832091276,0.0777371895343213,13.10204081632653,10.0,76.53061224489797,83.3,0.7456798228754786,0.6295933960849136,0.21908367346938779,0.138,0.43816326530612243,0.35
성동구,관광숙박업,12,50.43437851119641,50.130564847119246,29.850000000000005,29.725,50.43437851119641,50.130564847119246,6.666666666666667,8.0,0.8333333333333334,1.0,1461.4166666666667,812.0,0.6036943337849551,0.6282585741253277,0.09153653648595578,0.0932633214021325,23.5,27.0,58.48333333333333,57.2,1.3065579510730332,0.6109125179664745,0.17037499999999997,0.1408,0.6591666666666667,0.7
성동구,숙박업,53,52.731415401736065,52.689369369369366,43.05245283018868,41.79,52.731415401736065,52.689369369369366,5.3584905660377355,5.0,0.8679245283018868,1.0,1378.2641509433963,670.0,0.478934819826789,0.5253328342809103,0.07022940726848646,0.078745439252628,17.92452830188679,12.0,67.26792452830189,72.4,0.8070647561510246,0.5713423066757419,0.3235528301886793,0.4342,0.720377358490566,0.85
성동구,외국인관광도시민박업,146,53.1242110467736,52.86404614052613,46.1336301369863,45.85,53.1242110467736,52.86404614052613,3.719178082191781,3.0,0.7945205479452054,1.0,10929.828767123288,1081.5,0.3723002717415823,0.37875365699122276,0.058071250021176316,0.05691139218005995,14.054794520547945,9.0,67.9917808219178,66.7,0.9341323102836643,0.6931471805599453,0.3664732876712329,0.4148,0.6082191780821917,0.7
송파구,관광숙박업,29,50.236673262770175,50.08995857279154,54.485172413793094,55.61,50.236673262770175,50.08995857279154,6.551724137931035,7.0,0.8620689655172413,1.0,22029.103448275862,10029.0,0.35111359195320707,0.3098234522926384,0.06426763127958228,0.047727173164127,13.413793103448276,14.0,75.04827586206896,80.0,1.2059294186124065,1.2284702759263235,0.1268793103448276,0.1179,0.7237931034482759,1.0
송파구,숙박업,53,46.73148314350749,46.58868337321589,64.24490566037736,62.18,46.73148314350749,46.58868337321589,9.358490566037736,10.0,0.9811320754716981,1.0,35222.24528301887,24066.0,0.2929151114302841,0.2651813519881153,0.04882280326387085,0.0387407582946356,19.49056603773585,20.0,87.40566037735849,94.4,1.0142613513269791,0.925075561429888,0.17864339622641506,0.1494,0.7581132075471698,1.0
송파구,외국인관광도시민박업,163,46.14202154269555,45.49947543502739,56.34128834355829,55.17,46.14202154269555,45.49947543502739,5.773006134969325,5.0,0.9325153374233128,1.0,11405.588957055215,1505.0,0.32292806014483943,0.331703451243725,0.05655636147171015,0.053136140086013,16.932515337423315,16.0,84.64110429447852,91.7,0.6257783285126477,0.4749911707567746,0.18815766871165643,0.1408,0.675398773006135,0.85
영등포구,관광숙박업,64,51.387555356032664,53.39499616820256,38.68375,37.705,51.387555356032664,53.39499616820256,5.21875,5.0,0.90625,1.0,29458.234375,9633.0,0.484334664714513,0.4692928145910954,0.08783274713077553,0.0860526871085196,12.28125,7.0,59.8265625,63.3,1.104063895945968,1.0038712756855352,0.115009375,0.1108,0.5973437500000001,0.7
영등포구,숙박업,166,50.896839061842975,50.82185121534749,41.71560240963855,41.495,50.896839061842975,50.82185121534749,5.981927710843373,5.0,0.8795180722891566,1.0,20552.831325301206,10969.0,0.4662180317751789,0.4716568862853119,0.07291068040221503,0.07296241162607006,12.337349397590362,6.0,70.46897590361445,73.85,0.9847295353902095,0.8438987232668824,0.3149698795180723,0.1844,0.5070481927710844,0.5
영등포구,외국인관광도시민박업,69,50.38448015155348,49.616004447581744,42.46855072463767,41.64,50.38448015155348,49.616004447581744,4.9855072463768115,4.0,0.8985507246376812,1.0,14428.942028985508,2411.0,0.4757289297265264,0.4765104191188785,0.07201711643764237,0.073363293662178,17.463768115942027,7.0,70.05942028985508,73.0,1.124815775395041,0.9528554009693202,0.29356086956521743,0.376,0.57768115942029,0.7
용산구,관광숙박업,24,46.71829599741252,51.432435149628446,39.35666666666666,43.7,46.71829599741252,51.432435149628446,3.75,4.0,0.75,1.0,5097.375,2469.0,0.6737300874240495,0.777417982586579,0.10778365135901526,0.1060923458802558,23.875,13.0,56.7875,56.3,1.31480122716826,0.838301778875147,0.18603333333333336,0.1208,0.3775000000000001,0.12
용산구,숙박업,63,51.42198885997652,52.0019069633096,51.64968253968254,50.95,51.42198885997652,52.0019069633096,5.698412698412699,5.0,0.9841269841269841,1.0,8660.761904761905,4036.0,0.49826483822665735,0.5039584937362275,0.06622625516409683,0.0700062572901469,21.126984126984127,16.0,68.35317460317461,68.8,0.9903463195339229,0.6931471805599453,0.43047777777777785,0.4588,0.5687301587301588,0.55
용산구,외국인관광도시민박업,406,48.84348813716297,48.66053902687038,45.89694581280788,46.16,48.84348813716297,48.66053902687038,4.108374384236453,3.0,0.8399014778325123,1.0,6630.995073891626,1437.0,0.48598349919433365,0.4797347558018673,0.06585189816023661,0.0659451774676034,25.660098522167488,22.5,78.79581280788179,84.4,0.8398744333491692,0.6551852588785971,0.3725334975369458,0.4148,0.721896551724138,0.85
종로구,관광숙박업,106,46.482814615609364,47.30114450129422,39.89433962264151,39.555,46.482814615609364,47.30114450129422,9.90566037735849,8.5,0.9811320754716981,1.0,25540.254716981133,7485.0,0.5825622549064466,0.5679362109432092,0.09396661860732942,0.10030888127764105,16.59433962264151,11.5,69.64150943396227,67.7,1.1914770962010872,1.0446037029687025,0.16656226415094336,0.1422,0.424622641509434,0.215
종로구,숙박업,174,49.23185600465597,49.60967924125037,40.14873563218391,39.08,49.23185600465597,49.60967924125037,8.241379310344827,8.0,0.9597701149425287,1.0,21188.103448275862,5679.5,0.5279537095604145,0.5431889154648749,0.0823966533095691,0.0877873398489244,14.505747126436782,12.0,69.67068965517242,71.4,1.0458410668674638,0.818846728260894,0.28207183908045974,0.16655,0.45804597701149424,0.25
종로구,외국인관광도시민박업,300,49.19612874354792,48.7879562376353,44.22946666666667,43.364999999999995,49.19612874354792,48.7879562376353,4.793333333333333,4.0,0.8966666666666666,1.0,10508.953333333333,1449.0,0.4853913717441293,0.49269013700769504,0.0683816095094808,0.06626186652497495,24.10333333333333,23.0,73.05400000000002,73.1,0.8754155195866218,0.5916089048191433,0.3261276666666667,0.4077,0.6804333333333333,0.85
중구,관광숙박업,185,48.28213880663029,47.300286661789954,34.11286486486487,34.12,48.28213880663029,47.300286661789954,5.091891891891892,4.0,0.9621621621621622,1.0,47808.637837837836,6792.0,0.5582984547614896,0.5595597999533337,0.08959382813930152,0.09255801313959766,16.0,10.0,71.57081081081083,75.0,1.0275775789958845,0.752336051950276,0.1798562162162162,0.148,0.5684324324324325,0.7
중구,숙박업,241,48.31515446659813,48.25686807873228,39.910954356846474,39.19,48.31515446659813,48.25686807873228,6.029045643153527,5.0,0.9626556016597511,1.0,52010.41078838174,13576.0,0.5547320382879416,0.5732806909969511,0.08054167217808567,0.08327895440088705,22.07883817427386,18.0,68.49502074688796,71.4,0.8766998213420566,0.6931471805599453,0.25183983402489624,0.178,0.5992116182572614,0.7
중구,외국인관광도시민박업,207,49.65997841050067,49.23222576327355,37.091111111111104,37.38,49.65997841050067,49.23222576327355,2.893719806763285,2.0,0.8067632850241546,1.0,11199.541062801933,326.0,0.46756893660181137,0.4413826136626626,0.07113307740049535,0.0730020826457707,16.396135265700483,10.0,79.69927536231886,90.5,0.8862970498203707,0.5999981253811083,0.3380657004830918,0.4077,0.6252173913043477,0.85
