X좌표,Y좌표,대지위치,시군구코드,법정동코드,대지구분코드,번,지,사업장명,관리건축물대장PK,도로명대지위치,연면적(㎡),구조코드,기타구조,주용도코드,기타용도,지상층수,지하층수,사용승인일,허가일,승용승강기수,비상용승강기수,내진설계적용여부,소방청_매칭상태,소방청_스프링클러(AV)설치여부,소방청_간이스프링클러(AV)설치여부,소방청_대상물명,소방청_지번주소_매칭,소방청_도로명주소_매칭,소방청_매칭방식,소방청_매칭점수,용적률,건폐률,고유단속지점수_50m,로그_주변대비_상대위험도_고유단속지점_50m,원본행번호,필지키,주변건물수_50m,주변_사용승인일유효건물수_50m,주변_사용승인일유효률_50m,주변_노후건물수_30년이상_50m,주변_노후건물비율_30년이상_50m,주변_초노후건물수_50년이상_50m,주변_초노후건물비율_50년이상_50m,주변_평균건물연한_50m,주변_중위건물연한_50m,주변_최대건물연한_50m,주변_평균사용승인연도_50m,주변_연면적합계_m2_50m,주변_노후연면적비율_30년이상_50m,주변_초노후연면적비율_50년이상_50m,최근접_노후건물거리_30년이상_m_50m,최근접_초노후건물거리_50년이상_m_50m,주변건물수_100m,주변_사용승인일유효건물수_100m,주변_사용승인일유효률_100m,주변_노후건물수_30년이상_100m,주변_노후건물비율_30년이상_100m,주변_초노후건물수_50년이상_100m,주변_초노후건물비율_50년이상_100m,주변_평균건물연한_100m,주변_중위건물연한_100m,주변_최대건물연한_100m,주변_평균사용승인연도_100m,주변_연면적합계_m2_100m,주변_노후연면적비율_30년이상_100m,주변_초노후연면적비율_50년이상_100m,최근접_노후건물거리_30년이상_m_100m,최근접_초노후건물거리_50년이상_m_100m
203475.825,444490.505,서울특별시 강남구 역삼동 677-20번지,11680,10100,0,677,20,엘르모텔,102417627,서울특별시 강남구 테헤란로33길 6-7 (역삼동),1999.02,21.0,철근콘크리트조,16000,"숙박시설,위락시설",6,3,20020124.0,20000630.0,1,0,1.0,이름+주소일치,N,N,엘르모텔,서울특별시 강남구 역삼동 677-20번지,서울특별시 강남구 테헤란로33길 6-7 (역삼동),hospitality_exact_name_gu_dong,100.0,275.71,57.69,112,0.6397464038328301,1390,1168010100106770020,13,13,1.0,5,0.38461538461538464,1,0.07692307692307693,30.66245458853262,23.64955509924709,50.625598904859686,1994.923076923077,16941.120000000003,0.2278739540242912,0.013497926937534233,36.19297452215516,46.577603999576155,44,41,0.9318181818181818,15,0.36585365853658536,1,0.024390243902439025,28.343967546451644,24.87337440109514,50.625598904859686,1997.3170731707316,49410.560000000005,0.3010755190793223,0.004627958072120615,36.19297452215516,46.577603999576155
203499.125348536,444302.142147878,서울특별시 강남구 역삼동 719-23번지,11680,10100,0,719,23,바레,1024121627,서울특별시 강남구 테헤란로34길 9 (역삼동),1344.7,21.0,철근콘크리트조,15000,숙박시설,6,1,19881115.0,19880421.0,0,0,0.0,주소만일치,N,N,호텔바레,서울특별시 강남구 역삼동 719-23번지,서울특별시 강남구 테헤란로34길 9 (역삼동),hospitality_fuzzy_name_address,14.45,800.0,60.0,398,1.4312677267626217,1391,1168010100107190023,16,15,0.9375,4,0.26666666666666666,1,0.06666666666666667,28.763130276066626,25.065023956194388,50.8062970568104,1997.0,25042.799999999996,0.05252328014439281,0.014404938744868787,20.785097806047524,38.35857699802689,59,53,0.8983050847457628,23,0.4339622641509434,1,0.018867924528301886,30.29633360453553,25.065023956194388,50.8062970568104,1995.4150943396226,71724.62,0.37749910700119427,0.0050295142727838785,20.785097806047524,38.35857699802689
202522.284271414,443907.839722418,서울특별시 강남구 역삼동 825-39번지,11680,10100,0,825,39,강남캠퍼스호텔B동,10241100251330,서울특별시 강남구 테헤란로2길 11 (역삼동),1962.7,21.0,철근콘크리트구조,15000,"일반숙박시설,근린생활시설",11,3,20160126.0,20140905.0,1,0,1.0,이름+주소일치,Y,N,강남캠퍼스 호텔(B동),서울특별시 강남구 역삼동 825-39번지,서울특별시 강남구 테헤란로2길 11 (역삼동),hospitality_exact_name_gu_dong,100.0,586.49,54.97,223,1.0238887424721732,1392,1168010100108250039,10,8,0.8,1,0.125,0,0.0,22.69917864476386,22.33538672142368,31.370294318959616,2002.75,75153.16,0.15186946230870396,0.0,43.279310942010135,,34,26,0.7647058823529411,10,0.38461538461538464,0,0.0,26.66761438424683,27.652292950034223,41.210130047912386,1999.0,292236.45,0.23634153097602983,0.0,43.279310942010135,
202511.316146586,443900.589322013,서울특별시 강남구 역삼동 825-30번지,11680,10100,0,825,30,강남캠퍼스호텔A동,10241100251329,서울특별시 강남구 테헤란로2길 13 (역삼동),1754.28,21.0,철근콘크리트구조,15000,"일반숙박시설,근린생활시설",14,2,20160126.0,20140905.0,1,0,1.0,이름+주소일치,Y,N,강남캠퍼스 호텔 A동,서울특별시 강남구 역삼동 825-30번지,서울특별시 강남구 테헤란로2길 13 (역삼동),hospitality_exact_name_gu_dong,100.0,660.5,54.18,222,1.021011042644558,1393,1168010100108250030,13,11,0.8461538461538461,3,0.2727272727272727,0,0.0,25.092153568539608,22.80082135523614,34.8829568788501,2000.4545454545455,96316.82999999999,0.2353974897222012,0.0,44.75652917137531,,32,24,0.75,10,0.4166666666666667,0,0.0,26.990759753593426,27.652292950034223,38.288843258042434,1998.625,244952.25,0.2404122436107445,0.0,44.75652917137531,
203222.796248226,445181.486645117,서울특별시 강남구 논현동 237-9번지,11680,10800,0,237,9,호텔야자강남논현점,1024120171,서울특별시 강남구 봉은사로37길 6 (논현동),1389.33,21.0,철근콘크리트조,15000,근린생활시설 숙박시설,5,1,19830914.0,19821110.0,0,0,0.0,주소만일치,N,N,호텔야자(칼튼호텔),서울특별시 강남구 논현동 237-9번지,서울특별시 강남구 봉은사로37길 6 (논현동),hospitality_fuzzy_name_address,14.42,169.74,46.98,62,0.4767541918554661,1394,1168010800102370009,31,31,1.0,2,0.06451612903225806,0,0.0,25.96356892097768,24.791238877481177,48.28747433264887,1999.741935483871,16528.639999999996,0.032577392937349965,0.0,38.51404492207038,,95,94,0.9894736842105263,19,0.20212765957446807,0,0.0,27.54723520759608,24.85284052019165,48.28747433264887,1998.127659574468,54267.48999999999,0.14708769467686825,0.0,38.51404492207038,
203458.924840003,446115.179238239,서울특별시 강남구 논현동 118-7번지,11680,10800,0,118,7,호텔 올인,1024122304,서울특별시 강남구 학동로53길 3-4 (논현동),905.57,21.0,철근콘크리트조,15000,"근린생활시설, 숙박시설, 단독주택",4,1,19800829.0,,0,0,0.0,불일치,,,,,,,,174.26,57.16,190,1.054981207308705,1395,1168010800101180007,12,12,1.0,5,0.4166666666666667,0,0.0,30.179329226557154,27.211498973305954,47.43874058863792,1995.4166666666667,28023.8,0.07066564848450246,0.0,14.889379093753487,,39,38,0.9743589743589743,13,0.34210526315789475,2,0.05263157894736842,29.714615079793937,23.88501026694045,51.87132101300479,1995.9473684210527,89780.93699999999,0.09044124812375261,0.004052976190257404,14.889379093753487,82.30450752454642
204802.926536616,446693.113699792,서울특별시 강남구 청담동 68-7번지,11680,10400,0,68,7,펜타리움,102416604,서울특별시 강남구 영동대로 725 (청담동),3077.05,21.0,철근콘크리트구조,04000,"근린생활시설, 숙박시설",7,1,19821123.0,,0,1,0.0,이름+주소일치,N,N,펜타리움,서울특별시 강남구 청담동 68-7번지,서울특별시 강남구 영동대로 725 (청담동),hospitality_exact_name_gu_dong,100.0,286.25,49.93,16,0.1369658550731574,1396,1168010400100680007,1,1,1.0,1,1.0,0,0.0,41.74127310061601,41.74127310061601,41.74127310061601,1984.0,14758.3,1.0,0.0,29.19108202269258,,23,14,0.6086956521739131,10,0.7142857142857143,0,0.0,32.615038623252175,34.95824777549623,42.02874743326489,1993.0,61894.42999999999,0.8870355539262581,0.0,29.19108202269258,
204726.815964424,444767.500140506,서울특별시 강남구 대치동 891-35번지,11680,10600,0,891,35,호텔컬리넌대치,1024112475,서울특별시 강남구 테헤란로78길 14-16 (대치동),1986.71,21.0,철근콘크리트구조,15000,숙박시설,9,1,20030307.0,20020221.0,2,0,1.0,이름만일치,,,,,,,,493.74,59.88,524,1.7440947975803576,1397,1168010600108910035,29,29,1.0,6,0.20689655172413793,0,0.0,26.31461681890061,25.297741273100616,37.28678986995209,1999.3793103448277,20323.41,0.14633666299110237,0.0,22.018105597689274,,99,99,1.0,23,0.23232323232323232,0,0.0,27.085364251688684,24.550308008213552,48.69815195071869,1998.6060606060605,66990.21999999999,0.20061167137531424,0.0,22.018105597689274,
203823.339934332,444653.866691723,서울특별시 강남구 역삼동 703-3번지,11680,10100,0,703,3,몰타 1호점(Malta 1호점),1024118143,서울특별시 강남구 테헤란로43길 12 (역삼동),1020.59,21.0,철근콘크리트라멘조,15000,숙박시설 근린생활시설,5,1,19880329.0,19870613.0,0,0,0.0,불일치,,,,,,,,254.24,50.58,468,1.5568806616954245,1398,1168010100107030003,5,4,0.8,1,0.25,0,0.0,24.58590006844627,23.403148528405204,33.229295003422315,2001.25,51628.157,0.02637727316123254,0.0,42.5475984657434,,33,26,0.7878787878787878,8,0.3076923076923077,0,0.0,26.191860159005955,23.772758384668037,41.437371663244356,1999.6538461538462,160433.815,0.1094458172673884,0.0,42.5475984657434,
203651.669007478,444353.684205677,서울특별시 강남구 역삼동 720-23번지,11680,10100,0,720,23,호텔 컬리넌 역삼(HOTEL CULLINAN Yeoksam),10241100221069,서울특별시 강남구 언주로87길 11 (역삼동),1999.26,21.0,철근콘크리트구조,15000,숙박시설,10,1,20130626.0,20120510.0,2,0,1.0,이름+주소일치,N,N,호텔컬리넌역삼,서울특별시 강남구 역삼동 720-23번지,서울특별시 강남구 언주로87길 11 (역삼동),exact_name_gu_dong,100.0,546.43,59.95,36,0.2530906276821618,1399,1168010100107200023,20,20,1.0,11,0.55,0,0.0,31.02203969883641,30.324435318275157,47.50444900752909,1994.75,17820.559999999998,0.43163290042512703,0.0,6.997688466933116,,84,84,1.0,30,0.35714285714285715,0,0.0,28.159773149506208,27.214236824093085,48.049281314168375,1997.5833333333333,69804.41,0.2753513710666704,0.0,6.997688466933116,
202451.742958279,444092.87549641,서울특별시 강남구 역삼동 819-9번지,11680,10100,0,819,9,더제리스플래닛호텔,10241100234712,서울특별시 강남구 강남대로92길 13 (역삼동),4669.5,21.0,철근콘크리트구조,15000,"숙박시설(관광호텔),근린생활시설",10,4,20140703.0,20121211.0,2,0,1.0,불일치,,,,,,,,531.48,59.97,55,0.3646431135879093,1400,1168010100108190009,4,4,1.0,0,0.0,0,0.0,19.492128678986997,17.93702943189596,27.140314852840522,2006.5,246471.61000000002,0.0,0.0,,,21,13,0.6190476190476191,3,0.23076923076923078,0,0.0,22.651081977570684,20.525667351129364,32.602327173169066,2003.076923076923,397811.41,0.04475653425828083,0.0,70.73988999637847,
203403.958035024,444303.258173666,서울특별시 강남구 역삼동 718-15번지,11680,10100,0,718,15,펠리스,1024116887,서울특별시 강남구 테헤란로28길 3-8 (역삼동),1370.52,42.0,철골철근콘크리트구조,15000,숙박시설 위락시설,6,1,19821004.0,,0,0,0.0,주소만일치,N,Y,펠리스호텔,서울특별시 강남구 역삼동 718-15번지,서울특별시 강남구 테헤란로28길 3-8 (역삼동),hospitality_fuzzy_name_address,14.5,356.34,59.39,62,0.4027948795522855,1401,1168010100107180015,11,10,0.9090909090909091,4,0.4,0,0.0,29.352772073921972,24.171115674195757,47.67967145790554,1996.4,17464.48,0.17413973963152637,0.0,17.512213289978526,,41,35,0.8536585365853658,19,0.5428571428571428,1,0.02857142857142857,32.18335777842964,33.35797399041752,50.8062970568104,1993.4857142857143,112157.09,0.6306768479817013,0.0032163815947792514,17.512213289978526,89.25286307489333
202708.424437436,445478.950854571,서울특별시 강남구 논현동 151-30번지,11680,10800,0,151,30,힐탑관광호텔,102419269,서울특별시 강남구 논현로 647 (논현동),6373.01,21.0,철근콘크리트조 철골조,16000,숙박시설 위락시설 근린생활시설,5,2,19850223.0,19840118.0,3,0,0.0,주소만일치,N,N,힐탑호텔,서울특별시 강남구 논현동 151-30번지,서울특별시 강남구 논현로 647 (논현동),fuzzy_name_address,13.0,205.67,49.94,82,0.5921558690127829,1402,1168010800101510030,25,25,1.0,19,0.76,0,0.0,32.95748117727584,34.29705681040383,40.70362765229295,1992.64,16819.3,0.7224955854286446,0.0,6.501278270641828,,97,97,1.0,56,0.5773195876288659,1,0.010309278350515464,30.59934940762223,30.4476386036961,52.22724161533196,1995.041237113402,56017.350000000006,0.5666023116052437,0.002994964952822652,6.501278270641828,84.90946944791062
203497.925,444499.025,서울특별시 강남구 역삼동 677-19번지,11680,10100,0,677,19,호텔스타프리미어 역삼,1024123715,서울특별시 강남구 테헤란로33길 6-11 (역삼동),1995.02,21.0,철근콘크리트구조,15000,"숙박시설,여관 45객실",9,1,20040107.0,20020830.0,1,0,1.0,주소만일치,N,N,호텔스타 프리미어(구.호텔맥스),서울특별시 강남구 역삼동 677-19번지,서울특별시 강남구 테헤란로33길 6-11 (역삼동),exact_name_gu_dong,100.0,434.51,59.33,64,0.4134332777573413,1403,1168010100106770019,13,13,1.0,6,0.46153846153846156,0,0.0,31.647238456273364,25.793292265571527,47.318275154004105,1993.8461538461538,17143.24,0.313740576460459,0.0,22.365404164508046,,45,44,0.9777777777777777,17,0.38636363636363635,1,0.022727272727272728,28.353493870947663,24.882956878850102,50.625598904859686,1997.2954545454545,54376.36,0.3393860861595002,0.004205320106016658,22.365404164508046,52.11521453246207
203337.196235346,444489.700861753,서울특별시 강남구 역삼동 678-8번지,11680,10100,0,678,8,화이트모텔,1024115061,서울특별시 강남구 테헤란로33길 13-8 (역삼동),1058.46,21.0,철근콘크리트조,15000,숙박시설,5,1,19801215.0,,1,0,0.0,이름+주소일치,N,N,화이트모텔,서울특별시 강남구 역삼동 678-8번지,서울특별시 강남구 테헤란로33길 13-8 (역삼동),hospitality_exact_name_gu_dong,100.0,229.49,55.32,32,0.2279320680460069,1404,1168010100106780008,4,1,0.25,1,1.0,0,0.0,34.53798767967146,34.53798767967146,34.53798767967146,1991.0,49786.89,1.0,0.0,12.58484842615864,,14,7,0.5,2,0.2857142857142857,0,0.0,26.347902610736288,24.706365503080082,34.53798767967146,1999.4285714285713,315703.74,0.3104680356336609,0.0,12.58484842615864,
203049.773186505,444765.332557321,서울특별시 강남구 역삼동 659-7번지,11680,10100,0,659,7,몰타 2호점(Malta 2호점),1024117478,서울특별시 강남구 논현로 548 (역삼동),1047.49,21.0,철근콘크리트조,15000,"숙박시설, 근린생활시설",4,1,19810908.0,,0,0,0.0,불일치,,,,,,,,250.0,50.0,106,0.6141039732194925,1405,1168010100106590007,28,27,0.9642857142857143,7,0.25925925925925924,0,0.0,27.093771389459274,25.322381930184804,43.3429158110883,1998.5925925925926,20467.7,0.3088500417731352,0.0,9.141026046528948,,78,76,0.9743589743589743,38,0.5,0,0.0,30.223603155733283,30.123203285420946,43.58384668035592,1995.4342105263158,59127.82,0.4552454326914134,0.0,9.141026046528948,
204625.666457606,444668.916070318,서울특별시 강남구 대치동 890-40번지,11680,10600,0,890,40,프린스,1024121041,서울특별시 강남구 선릉로86길 43 (대치동),1809.48,21.0,철근콘크리트조,15000,숙박시설,6,1,19840517.0,19820531.0,0,0,0.0,주소만일치,N,N,프린스호텔,서울특별시 강남구 대치동 890-40번지,서울특별시 강남구 선릉로86길 43 (대치동),exact_name_gu_dong,100.0,284.53,49.01,212,1.0681221219103223,1406,1168010600108900040,19,18,0.9473684210526315,6,0.3333333333333333,0,0.0,30.599893528024943,29.136208076659823,47.85215605749487,1995.1666666666667,30553.254999999997,0.23140202246863717,0.0,25.81516892178888,,71,67,0.9436619718309859,15,0.22388059701492538,0,0.0,27.962242177204327,24.62422997946612,48.87337440109514,1997.7462686567164,75962.075,0.25925338400774334,0.0,25.81516892178888,
205130.591678902,445590.096837802,서울특별시 강남구 삼성동 159번지,11680,10500,0,159,0,웨스틴 서울 파르나스,102412509,서울특별시 강남구 봉은사로 524 (삼성동),109978.95,31.0,"철골철근콘크리트조, 철골구조",15000,숙박시설 판매및영업시설,29,6,20020313.0,19961105.0,12,3,1.0,이름+주소일치,Y,N,웨스틴서울파르나스,서울특별시 강남구 삼성동 159번지,서울특별시 강남구 봉은사로 524 (삼성동),exact_name_gu_dong,100.0,38.81,3.84,106,0.9051174312760298,1407,1168010500101590000,9,7,0.7777777777777778,5,0.7142857142857143,0,0.0,30.475408233108435,32.903490759753595,36.087611225188226,1995.4285714285713,38081.549999999996,0.827358655306835,0.0,5.1560739989401965,,51,34,0.6666666666666666,25,0.7352941176470589,0,0.0,33.054072553045856,33.5523613963039,48.21629021218344,1992.7058823529412,161100.88,0.8063325911068892,0.0,5.1560739989401965,
203451.550821003,444529.420299492,서울특별시 강남구 역삼동 677-9번지,11680,10100,0,677,9,리치웰호텔,10241100244149,서울특별시 강남구 테헤란로37길 13-10 (역삼동),3227.77,21.0,철근콘크리트구조,15000,숙박시설(관광호텔),14,3,20150422.0,20121220.0,2,0,1.0,이름만일치,,,,,,,,735.84,57.97,190,0.924258901523332,1408,1168010100106770009,10,10,1.0,6,0.6,0,0.0,29.23148528405202,30.340862422997944,46.365503080082135,1996.5,16124.18,0.5111602574518518,0.0,1.2076977861411498,,43,39,0.9069767441860465,21,0.5384615384615384,1,0.02564102564102564,30.829674090454382,30.439425051334702,50.625598904859686,1994.871794871795,107987.94000000002,0.6568554784913944,0.002117551274707157,1.2076977861411498,91.41776104578041
