TOT_OA_CD,전체건물수
11030630010109,3
11030630010110,6
11030630010201,6
11030630010202,8
11030630010203,7
11030630010204,6
11030630010301,3
11030630010501,5
11030630010601,96
11030630010701,5
11030630010702,10
11030630010901,4
11030630010902,7
11030630010903,2
11030630010904,8
11030630011001,6
11030630011201,5
11030630011202,4
11030630011203,5
11030630011204,6
11030630011205,7
11030630011206,1
11030630011301,6
11030630011302,11
11030630011303,6
11030630011401,10
11030630011402,4
11030630011403,2
11030630011404,7
11030630011701,5
11030630011801,9
11030630011901,15
11030630012001,10
11030630012002,4
11030630012701,19
11030640010001,73
11030640010002,81
11030640010003,64
11030640010301,8
11030640010401,6
11030640010501,5
11030640010502,2
11030640010601,1
11030640010602,4
11030640010603,2
11030640020001,10
11030640020002,14
11030640020101,7
11030640020102,11
11030640020103,5
11030640020201,7
11030640020501,5
11030640020502,10
11030650010001,151
11030650010002,81
11030650010003,129
11030650010004,165
11030650010005,142
11030650010006,106
11030650010007,89
11030650010008,175
11030650010009,120
11030650010010,195
11030650010011,104
11030650010012,250
11030650010101,10
11030650010102,9
11030650010103,3
11030660010001,162
11030660010002,162
11030660010003,108
11030660010004,119
11030660010005,102
11030660010006,136
11030660010007,73
11030660010008,143
11030660010009,77
11030660010010,113
11030660010011,124
11030660010012,100
11030660010013,66
11030660010014,127
11030660010015,67
11030660010016,88
11030660010101,11
11030660010301,8
11030660010302,11
11030690010001,65
11030690010002,118
11030690010003,105
11030690010004,167
11030690010005,104
11030690010006,77
11030690010007,119
11030690010008,129
11030690010009,115
11030690010101,7
11030690010102,5
11030690010103,6
11030690010104,4
11030690010105,6
11030690020001,405
11030690020201,3
11030690020301,6
11030690030001,114
11030690030101,4
11030690030102,16
11030690030103,3
11030690030104,3
11030690030105,6
11030690030106,8
11030690030107,4
11030700010001,116
11030700010002,389
11030700010003,170
11030700010004,122
11030700010005,307
11030700010006,184
11030700010007,98
11030700010008,319
11030700010009,354
11030700010010,152
11030700010011,97
11030700010012,181
11030700010013,86
11030700010014,125
11030700010101,3
11030700010301,5
11030710010001,38
11030710010002,96
11030710010003,101
11030710010004,69
11030710010005,75
11030710010006,157
11030710010007,55
11030710010008,88
11030710010009,112
11030710010010,127
11030710010011,161
11030710010012,64
11030710010013,81
11030710010014,155
11030710010015,39
11030710010016,216
11030710010017,31
11030710010018,32
11030710010019,149
11030710010020,44
11030710010021,124
11030710010022,66
11030710010023,48
11030710010024,68
11030710010025,83
11030710010026,98
11030710010027,65
11030710010028,103
11030710010029,56
11030710010030,46
11030710010031,113
11030710010032,41
11030710010033,52
11030710010034,125
11030710010035,73
11030710010036,70
11030710010037,156
11030710010038,29
11030710010039,123
11030710010040,122
11030720010001,49
11030720010002,76
11030720010003,123
11030720010004,91
11030720010005,34
11030720010006,72
11030720010007,69
11030720010008,47
11030720010009,61
11030720020001,152
11030720020002,5
11030720020003,25
11030720020101,2
11030720020102,1
11030720020201,5
11030720020202,4
11030720020401,3
11030720020501,7
11030720020502,1
11030720020601,1
11030720020602,9
11030720030001,80
11030720030002,174
11030720040001,284
11030720040002,255
11030720040003,43
11030720040201,3
11030720040202,1
11030720040401,2
11030720040601,6
11030720040602,6
11030720040603,4
11030720040604,12
11030730010001,381
11030730010002,207
11030730010101,6
11030730020001,146
11030730020101,7
11030730020201,4
11030730020202,6
11030730030001,109
11030730030101,2
11030730040001,302
11030730040002,210
11030730040003,83
11030730040004,194
