숙소ID,구,동,업소명,주소,위도,경도,인접도로명,인접도로폭,지도표시도로폭,도로폭_출처,도로폭_도로구간매칭,도로폭_거리m,공식도로폭m,도로폭_위험도,도로폭_속도계수,도로폭_보정이동시간초,도로폭_보정예상도착초,실폭도로ID,실폭도로일련번호,도로구간관리번호,도로명코드
52,종로구,창신동,동대문 서울달빛,서울특별시 종로구 창신동 329-18번지,37.56916257,127.01374879,마장로1길,6m미만,폭10-12m,API,교차,9.22,5.0,1.0,1.3,44,104,2695,100,555.0,4103137
53,종로구,연건동,브루클린,서울특별시 종로구 연건동 195-14번지,37.57244418,127.00083322,대학로1길,6m미만,6m미만,API,교차,22.08,5.0,1.0,1.3,117,177,1115,243,696.0,4100037
54,종로구,숭인동,케이디 호스텔,서울특별시 종로구 숭인동 217-26번지,37.57044997,127.01867554,마장로9길,폭8-10m,폭10-12m,API,교차,2.19,8.0,0.7,1.14,92,152,2410,60,1702.0,4103141
55,종로구,장사동,센추럴,서울특별시 종로구 장사동 227-1번지,37.56604937,126.99210865,을지로14길,폭6-8m,6m미만,API,교차,3.14,6.0,0.85,1.22,65,125,2087,261,104.0,4103235
56,종로구,창신동,VATICA HOTEL(바티카 호텔),서울특별시 종로구 창신동 436-73번지,37.56737832,127.01474752,다산로47길,폭6-8m,폭6-8m,API,교차,24.24,6.0,0.85,1.22,33,93,1609,330,696.0,4103070
57,종로구,,호스텔 데이,서울특별시 종로구 명륜4가 188-12번지,37.57929506,126.99713608,창경궁로,폭25-30m,폭25-30m,공식만,교차,30.12,28.0,0.18,0.98,49,109,376,703,390.0,3005008
58,종로구,숭인동,루미아호텔,서울특별시 종로구 숭인동 1405번지,37.57109607,127.02145559,무교로,폭20-25m,폭20-25m,공식만,교차,60.87,20.0,0.25,1.0,89,149,1435,678,1512.0,3005002
59,종로구,창신동,24guesthouse동대문마켓점,서울특별시 종로구 창신동 444-9번지,37.56790086,127.00943028,장충단로,폭25-30m,폭25-30m,공식만,교차,0.0,25.0,0.18,0.98,32,92,1503,568,1514.0,3101021
60,종로구,관철동,호스텔 클로이,서울특별시 종로구 관철동 35-1번지,37.56597443,126.98782642,퇴계로,폭35-40m,6m미만,API,교차,0.0,39.0,0.08,0.95,71,131,1723,350,1507.0,3101011
61,종로구,원남동,메이플레이스 호텔 서울 동대문,서울특별시 종로구 원남동 25번지,37.57336561,126.99794846,창경궁로,폭25-30m,폭25-30m,공식만,교차,19.0,28.0,0.18,0.98,64,124,376,703,390.0,3005008
62,종로구,권농동,언플러그 안국,서울특별시 종로구 권농동 127-1번지,37.57427525,126.99045283,삼일대로30길,폭6-8m,6m미만,API,교차,1.64,6.0,0.85,1.22,55,115,999,200,1302.0,4100145
63,종로구,수송동,신라스테이 광화문,서울특별시 종로구 수송동 156번지,37.56990125,126.98030475,종로,폭35-40m,6m미만,API,교차,11.14,35.0,0.08,0.95,116,176,2584,214,687.0,3100013
64,종로구,인의동,호텔 아트리움,서울특별시 종로구 인의동 48-26번지,37.56913495,126.99733645,청계천로,폭25-30m,폭25-30m,공식만,교차,11.4,25.0,0.18,0.98,59,119,817,464,1513.0,3100021
65,종로구,낙원동,베스트웨스턴 종로(인사동),서울특별시 종로구 낙원동 132-2번지,37.5696394,126.98875606,종로16길,폭6-8m,6m미만,API,교차,0.0,7.0,0.85,1.22,54,114,351,198,1103.0,4100309
66,종로구,숭인동,아이비씨호텔,서울특별시 종로구 숭인동 1396번지,37.57050676,127.02206499,난계로21길,6m미만,6m미만,API,교차,0.07,4.0,1.0,1.3,125,185,1986,158,1574.0,4103008
67,종로구,관철동,호스텔 하루,서울특별시 종로구 관철동 43-8번지,37.56622871,126.98353342,남대문로,폭35-40m,폭6-8m,API,교차,0.0,39.0,0.08,0.95,101,161,2535,533,1523.0,3101001
68,종로구,익선동,ICON,서울특별시 종로구 익선동 33-24번지,37.57209924,126.98812931,종로17길,폭8-10m,폭6-8m,API,교차,3.02,9.0,0.7,1.14,54,114,865,214,842.0,4100310
69,종로구,익선동,호텔 다다-인사,서울특별시 종로구 익선동 46번지,37.57189895,126.98875238,종로17길,폭8-10m,폭6-8m,API,교차,14.03,9.0,0.7,1.14,44,104,865,214,842.0,4100310
70,종로구,낙원동,종로크라운,서울특별시 종로구 낙원동 25번지,37.57131629,126.9874005,인사동길,폭10-12m,6m미만,API,교차,0.03,11.0,0.55,1.08,57,117,798,343,1934.0,4100259
71,종로구,평창동,동화킴스관광호텔,서울특별시 종로구 평창동 66-50번지,37.60669991,126.97433044,평창문화로,6m미만,6m미만,API,교차,141.94,4.95,1.0,1.3,186,246,604,1074,3574.0,3100023
72,종로구,낙원동,오라카이 인사동 스위츠,서울특별시 종로구 낙원동 272번지,37.57025733,126.98654665,종로,폭35-40m,6m미만,API,교차,0.0,35.0,0.08,0.95,60,120,2584,214,687.0,3100013
73,종로구,관수동,호텔베뉴지,서울특별시 종로구 관수동 124번지,37.56598513,126.9900523,퇴계로,폭35-40m,6m미만,API,교차,13.99,39.0,0.08,0.95,57,117,1723,350,1507.0,3101011
74,종로구,관훈동,아미드 호텔 서울,서울특별시 종로구 관훈동 198-42번지,37.56984481,126.98341181,우정국로,폭30-35m,6m미만,API,교차,1.94,30.0,0.12,0.96,93,153,259,338,1690.0,3100009
75,종로구,당주동,포시즌스 호텔 서울,서울특별시 종로구 당주동 30번지,37.56801651,126.97463351,덕수궁길,폭10-12m,폭10-12m,공식만,교차,66.25,10.0,0.55,1.08,172,232,2670,4,1733.0,4103076
76,종로구,와룡동,Hostel Tommy 호스텔 토미,서울특별시 종로구 와룡동 68번지,37.5716747,126.99041695,수표로22길,6m미만,6m미만,API,교차,0.0,5.0,1.0,1.3,29,89,1146,201,1263.0,4100196
77,종로구,운니동,노블관광호텔,서울특별시 종로구 운니동 19번지,37.57393452,126.98887068,삼일대로30길,폭6-8m,6m미만,API,교차,10.14,6.0,0.85,1.22,51,111,999,200,1302.0,4100145
78,종로구,와룡동,바운드 호스텔,서울특별시 종로구 와룡동 140번지,37.57338396,126.98952523,돈화문로11다길,6m미만,6m미만,API,교차,0.28,3.0,1.0,1.3,53,113,515,294,1898.0,4100053
79,종로구,익선동,호텔 이비스앰배서더 인사동,서울특별시 종로구 익선동 34-8번지,37.57168791,126.98843016,종로17길,폭8-10m,폭6-8m,API,교차,11.17,9.0,0.7,1.14,48,108,865,214,842.0,4100310
80,종로구,,주) 동승 JW메리어트 동대문 스퀘어 서울,서울특별시 종로구 종로6가 289-3번지,37.56764454,127.00812433,장충단로,6m미만,6m미만,공식만,교차,18.67,4.0,1.0,1.3,58,118,2580,583,138.0,3101021
81,종로구,인사동,도미인 익스프레스 서울 인사동,서울특별시 종로구 인사동 34-2번지,37.56962018,126.9863919,삼일대로17길,폭8-10m,6m미만,API,교차,3.23,9.0,0.7,1.14,76,136,1288,20,1818.0,4100140
82,종로구,효제동,더도아스테이,서울특별시 종로구 효제동 19-4번지,37.57184081,127.00175573,종로33길,폭8-10m,폭6-8m,API,교차,3.63,9.0,0.7,1.14,113,173,23,641,756.0,4100323
83,종로구,창신동,케이스테이,서울특별시 종로구 창신동 464-4번지,37.56874973,127.01018412,퇴계로,폭35-40m,6m미만,API,교차,0.0,39.0,0.08,0.95,31,91,1723,350,1507.0,3101011
84,종로구,창신동,오리지날 백패커스,서울특별시 종로구 창신동 150번지,37.56968368,127.01175024,청계천로,폭25-30m,폭25-30m,공식만,교차,0.0,25.0,0.18,0.98,37,97,817,464,1513.0,3100021
85,중구,장충동,앰배서더 서울 풀만 호텔,서울특별시 중구 장충동2가 186-54번지,37.55742965,127.00160709,필동로,폭12-15m,6m미만,API,교차,105.0,12.0,0.45,1.04,109,169,1751,191,1509.0,3101012
86,성동구,성동,호텔 포코 성수,서울특별시 성동구 성수동2가 317-5번지,37.54070199,127.0562547,연무장11길,폭6-8m,폭8-10m,API,교차,26.79,7.0,0.85,1.22,81,141,5194,412,1446.0,4109400
87,중구,회현동,루미아 호텔,서울특별시 중구 회현동1가 99-18번지,37.55527178,126.97898241,소파로,폭30-35m,6m미만,API,교차,62.01,34.0,0.12,0.96,59,119,1387,19,1510.0,3101005
88,중구,광희동,소테츠호텔즈 더 스프라지르 서울 동대문,서울특별시 중구 광희동2가 17번지,37.5619628,127.00695765,장충단로8길,폭8-10m,6m미만,API,교차,0.0,9.0,0.7,1.14,98,158,1814,1064,1140.0,4103274
89,중구,명동,호텔 크레토,서울특별시 중구 충무로2가 12-7번지,37.55924412,126.98729931,소파로,폭30-35m,6m미만,API,교차,7.11,34.0,0.12,0.96,17,77,1387,19,1510.0,3101005
90,중구,남창동,24게스트하우스 명동타운점,서울특별시 중구 남창동 9-15번지,37.55661038,126.97811019,퇴계로6가길,6m미만,6m미만,API,교차,10.78,3.0,1.0,1.3,77,137,2354,230,96.0,4103372
91,중구,쌍림동,호텔 더 디자이너스 동대문,서울특별시 중구 쌍림동 270-2번지,37.56091185,127.00486601,장충단로7길,폭6-8m,6m미만,API,교차,9.72,6.0,0.85,1.22,137,197,2289,338,216.0,4103272
92,중구,명동,솔라리아 니시테츠 호텔 서울 명동,서울특별시 중구 명동2가 31-1번지,37.55974994,126.98437425,퇴계로18길,폭8-10m,6m미만,API,교차,10.35,9.0,0.7,1.14,26,86,2573,307,401.0,4103327
93,중구,,24게스트하우스 서울시청점,서울특별시 중구 태평로2가 366-1번지,37.56195615,126.97553552,세종대로11길,폭10-12m,6m미만,API,교차,0.0,11.97,0.55,1.08,104,164,1586,65,1030.0,4103187
94,중구,명동,호텔 스카이파크 센트럴 명동점,서울특별시 중구 명동1가 10-1번지,37.56189383,126.9844402,명동4길,폭6-8m,6m미만,API,교차,2.27,6.0,0.85,1.22,61,121,2202,126,272.0,4103156
95,중구,,에이큐브 호텔,서울특별시 중구 을지로5가 274-1번지,37.56347491,127.00124884,퇴계로45길,폭6-8m,6m미만,API,교차,7.19,7.0,0.85,1.22,110,170,1778,110,40.0,4103351
96,중구,북창동,소테츠호텔즈 더 스프라지르 서울 명동,서울특별시 중구 북창동 93-42번지,37.55930346,126.97797124,남대문시장길,폭6-8m,폭6-8m,API,교차,1.06,7.0,0.85,1.22,71,131,1486,187,1522.0,4103023
97,중구,주교동,2U호스텔,서울특별시 중구 주교동 125-2번지,37.56586745,126.99740093,을지로24길,6m미만,폭8-10m,API,교차,13.07,3.0,1.0,1.3,90,150,1423,186,795.0,4103244
98,중구,장교동,롯데시티호텔명동,서울특별시 중구 장교동 74번지,37.56418691,126.9872883,퇴계로,폭35-40m,6m미만,API,교차,25.34,39.0,0.08,0.95,63,123,1723,350,1507.0,3101011
99,중구,,호텔 스카이파크3,서울특별시 중구 충무로2가 62-9번지,37.55856041,126.98658709,퇴계로20가길,6m미만,6m미만,API,교차,2.31,3.0,1.0,1.3,34,94,2234,194,557.0,4103328
100,중구,남산동,자자백팩커스,서울특별시 중구 남산동2가 18-6번지,37.55605441,126.98563136,남산공원길,폭6-8m,폭6-8m,공식만,교차,21.45,7.0,0.85,1.22,48,108,2636,23,1508.0,4103024
101,중구,명동,서울 라이트 인 명동,서울특별시 중구 명동1가 7-1번지,37.56145726,126.98456352,명동길,폭15-20m,폭8-10m,API,교차,0.0,15.0,0.35,1.02,46,106,1419,679,1524.0,4103165
102,중구,남산동,오요5,서울특별시 중구 남산동2가 35-2번지,37.55618747,126.98405523,소파로,폭30-35m,6m미만,API,교차,0.0,34.0,0.12,0.96,28,88,1387,19,1510.0,3101005
103,중구,남산동,오요6(OYO6),서울특별시 중구 남산동2가 32-13번지,37.55655506,126.98441998,퇴계로18길,폭8-10m,6m미만,API,교차,0.0,9.0,0.7,1.14,30,90,2573,307,401.0,4103327
104,중구,,케이스타호텔,서울특별시 중구 을지로6가 18-130번지,37.56374548,127.00581237,장충단로7길,폭6-8m,6m미만,API,교차,0.0,6.0,0.85,1.22,98,158,2289,338,216.0,4103272
105,중구,주교동,엘림 호스텔,서울특별시 중구 주교동 8-1번지,37.56629135,127.00045147,동호로35길,폭8-10m,폭6-8m,API,교차,3.58,9.0,0.7,1.14,111,171,2355,86,778.0,4103111
106,중구,,로스터블록,서울특별시 중구 을지로3가 282-7번지,37.56339033,126.99268792,충무로,6m미만,6m미만,API,교차,15.63,2.0,1.0,1.3,22,82,2673,130,1849.0,3101009
107,중구,회현동,제이오너 호스텔,서울특별시 중구 회현동2가 42-10번지,37.55530397,126.98284082,소공로,폭35-40m,폭6-8m,API,교차,21.25,38.0,0.08,0.95,38,98,1608,544,1511.0,3101004
108,중구,,머룸스테이,서울특별시 중구 충무로5가 22-19번지,37.56119377,127.00084581,필동로,폭12-15m,6m미만,API,교차,7.8,12.0,0.45,1.04,87,147,1751,191,1509.0,3101012
109,중구,광희동,STAY ON,서울특별시 중구 광희동2가 12-1번지,37.5618116,127.00675249,장충단로6길,6m미만,6m미만,API,교차,10.48,4.0,1.0,1.3,116,176,1668,987,1946.0,4103270
110,중구,,라하 부티크 디디피,서울특별시 중구 을지로7가 58-1번지,37.56262124,127.0082658,장충단로8나길,폭6-8m,6m미만,API,교차,9.22,6.0,0.85,1.22,87,147,2460,974,321.0,4103275
111,중구,회현동,호텔 블리스 I,서울특별시 중구 회현동3가 8번지,37.55681031,126.98310837,소공로,폭35-40m,폭6-8m,API,교차,0.0,38.0,0.08,0.95,19,79,1608,544,1511.0,3101004
112,중구,서소문동,정동스테이25(JEONGDONG STAY 25),서울특별시 중구 서소문동 25번지,37.56106147,126.97459289,세종대로9길,폭8-10m,폭6-8m,API,교차,26.29,9.0,0.7,1.14,113,173,1354,661,101.0,4103203
113,중구,소공동,크라운파크 호텔 서울 명동,서울특별시 중구 소공동 70번지,37.56101578,126.9799895,남대문시장길,폭6-8m,폭6-8m,API,교차,11.04,7.0,0.85,1.22,62,122,1486,187,1522.0,4103023
114,중구,황학동,호스텔 소우재,서울특별시 중구 황학동 641번지,37.56418869,127.0203495,퇴계로84길,6m미만,6m미만,API,교차,3.54,3.0,1.0,1.3,68,128,2216,1034,741.0,4103386
115,중구,회현동,호텔블리스Ⅱ,서울특별시 중구 회현동3가 8-4번지,37.55663789,126.9831709,소공로,폭35-40m,폭6-8m,API,교차,0.0,38.0,0.08,0.95,21,81,1608,544,1511.0,3101004
116,중구,회현동,보코 언 아이에이치지 호텔,서울특별시 중구 회현동1가 194-15번지,37.5557044,126.97785909,소파로,폭30-35m,6m미만,API,교차,32.49,34.0,0.12,0.96,64,124,1387,19,1510.0,3101005
117,중구,명동,유스테이호스텔(U-STAY HOSTEL),서울특별시 중구 명동2가 27-1번지,37.56011013,126.98486327,퇴계로18길,폭8-10m,6m미만,API,교차,24.81,9.0,0.7,1.14,34,94,2573,307,401.0,4103327
118,중구,,나인트리 바이 파르나스 서울 동대문,서울특별시 중구 을지로5가 92-2번지,37.56386326,127.00211965,퇴계로51길,폭8-10m,폭6-8m,API,교차,7.4,9.0,0.7,1.14,114,174,2604,34,1324.0,4103358
119,중구,,스탠포드호텔 명동,서울특별시 중구 남대문로2가 9-1번지,37.56189911,126.98190996,남대문로,폭35-40m,폭6-8m,API,교차,10.53,39.0,0.08,0.95,48,108,2020,183,1523.0,3101001
120,중구,신당동,케이그랜드호텔 DDP,서울특별시 중구 신당동 775번지,37.56571746,127.0106231,을지로45길,폭10-12m,폭20-25m,API,교차,17.23,11.0,0.55,1.08,25,85,1549,210,224.0,4103261
121,중구,주교동,zip 1972 hostel,서울특별시 중구 주교동 122-3번지,37.56535668,126.99747477,을지로24길,6m미만,폭8-10m,API,교차,35.83,3.0,1.0,1.3,83,143,1423,186,795.0,4103244
122,중구,,스테이모드,서울특별시 중구 충무로3가 59-13번지,37.55941767,126.98975855,퇴계로26가길,폭8-10m,폭8-10m,공식만,교차,0.0,9.0,0.7,1.14,11,71,2095,189,1290.0,4103333
123,중구,,미리네 스테이,서울특별시 중구 을지로5가 148-2번지,37.56263589,127.00240658,퇴계로,폭35-40m,6m미만,API,교차,0.0,39.0,0.08,0.95,95,155,1723,350,1507.0,3101011
