iter	Passed	Remaining
761	50919	69362
762	50978	69284
763	51028	69195
764	51081	69110
765	51131	69021
766	51190	68943
767	51295	68928
768	51350	68845
769	51405	68762
770	51455	68674
771	51506	68586
772	51599	68555
773	51696	68527
774	51754	68449
775	51840	68408
776	51902	68334
777	51953	68247
778	52005	68160
779	52065	68086
780	52116	67998
781	52169	67913
782	52220	67826
783	52282	67754
784	52365	67708
785	52420	67626
786	52472	67541
787	52523	67453
788	52573	67365
789	52624	67279
790	52683	67202
791	52741	67125
792	52843	67103
793	52910	67038
794	52967	66959
795	53019	66873
796	53077	66796
797	53131	66713
798	53183	66628
799	53234	66543
800	53297	66472
801	53349	66387
802	53400	66301
803	53505	66283
804	53559	66200
805	53616	66122
806	53679	66052
807	53732	65968
808	53782	65882
809	53834	65797
810	53884	65711
811	53939	65630
812	54039	65605
813	54104	65537
814	54162	65460
815	54217	65379
816	54267	65293
817	54320	65211
818	54379	65135
819	54450	65075
820	54517	65009
821	54567	64923
822	54619	64840
823	54670	64755
824	54727	64677
825	54776	64591
826	54826	64505
827	54880	64424
828	54947	64359
829	55107	64402
830	55164	64325
831	55231	64259
832	55283	64176
833	55333	64091
834	55382	64004
835	55442	63930
836	55563	63927
837	55614	63843
838	55666	63760
839	55716	63675
840	55771	63596
841	55822	63513
842	55873	63429
843	55924	63346
844	55986	63274
845	56106	63269
846	56158	63186
847	56219	63114
848	56270	63030
849	56320	62946
850	56371	62863
851	56431	62790
852	56481	62705
853	56597	62695
854	56649	62612
855	56701	62530
856	56754	62449
857	56803	62365
858	56863	62292
859	56920	62215
860	56989	62152
861	57049	62079
862	57181	62084
863	57236	62006
864	57287	61923
865	57345	61848
866	57396	61765
867	57452	61689
868	57506	61609
869	57568	61538
870	57636	61474
871	57712	61419
872	57773	61346
873	57824	61265
874	57884	61192
875	57935	61110
876	57991	61032
877	58041	60950
878	58092	60868
879	58164	60808
880	58217	60728
881	58354	60736
882	58409	60658
883	58486	60603
884	58548	60533
885	58606	60459
886	58664	60383
887	58726	60313
888	58777	60232
889	58826	60148
890	58882	60071
891	58936	59993
892	58985	59910
893	59076	59868
894	59145	59806
895	59198	59726
896	59249	59645
897	59300	59564
898	59397	59529
899	59475	59475
900	59527	59395
901	59578	59313
902	59635	59238
903	59689	59161
904	59740	59080
905	59803	59010
906	59853	58929
907	59901	58846
908	59958	58771
909	60078	58757
910	60143	58690
911	60193	58609
912	60246	58531
913	60301	58453
914	60407	58427
915	60460	58348
