대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력
서울특별시 서초구 방배동 906-13번지,11650,10100,0,906,13,10231100198086,2,집합,3,표제부,서울특별시 서초구 효령로33길 50 (방배동),방배 서리풀 e-편한세상,,,,0,116504163633.0,10101.0,0.0,50.0,,109동,0,주건축물,0.0,691.79,0.0,4686.8,4686.8,0.0,21.0,철근콘크리트구조,철근콘크리트구조,02000,공동주택,아파트,10.0,(철근)콘크리트,(철근)콘크리트,55,0,23.97,8,0,1,0,0,0.0,4686.8,0,0.0,0,0.0,0,0.0,0,0.0,20060331,20070905,20100203,2010.0,3210000.0,서초구,5809.0,재건축협의(주택건설사업계획승인),0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
서울특별시 서초구 방배동 906-13번지,11650,10100,0,906,13,10231100198069,2,집합,3,표제부,서울특별시 서초구 효령로33길 50 (방배동),방배 서리풀 e-편한세상,,,,0,116504163633.0,10101.0,0.0,50.0,,108동,0,주건축물,0.0,333.74,0.0,2421.24,2421.24,0.0,21.0,철근콘크리트구조,철근콘크리트구조,02000,공동주택,아파트,10.0,(철근)콘크리트,(철근)콘크리트,16,0,30.37,10,0,1,0,0,0.0,2421.24,0,0.0,0,0.0,0,0.0,0,0.0,20060331,20070905,20100203,2010.0,3210000.0,서초구,5809.0,재건축협의(주택건설사업계획승인),0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
서울특별시 서초구 방배동 906-13번지,11650,10100,0,906,13,10231100198146,2,집합,3,표제부,서울특별시 서초구 효령로33길 50 (방배동),방배 서리풀 e-편한세상,,,,0,116504163633.0,10101.0,0.0,50.0,,P2동,1,부속건축물,0.0,48.96,0.0,20858.211,0.0,0.0,21.0,철근콘크리트구조,철근콘크리트구조,02000,공동주택,지하주차장,10.0,(철근)콘크리트,(철근)콘크리트,0,0,0.0,0,4,0,0,0,0.0,20858.211,0,0.0,0,0.0,0,0.0,0,0.0,20060331,20070905,20100203,2010.0,3210000.0,서초구,5809.0,재건축협의(주택건설사업계획승인),0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
서울특별시 서초구 방배동 906-13번지,11650,10100,0,906,13,10231100197840,2,집합,3,표제부,서울특별시 서초구 효령로33길 50 (방배동),방배 서리풀 e-편한세상,,,,0,116504163633.0,10101.0,0.0,50.0,,104동,0,주건축물,0.0,1002.55,0.0,8579.7,8579.7,0.0,21.0,철근콘크리트구조,철근콘크리트구조,02000,공동주택,아파트,10.0,(철근)콘크리트,(철근)콘크리트,50,0,30.37,10,0,3,0,0,0.0,8579.7,0,0.0,0,0.0,0,0.0,0,0.0,20060331,20070905,20100203,2010.0,3210000.0,서초구,5809.0,재건축협의(주택건설사업계획승인),0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
서울특별시 서초구 방배동 906-13번지,11650,10100,0,906,13,10231100198154,2,집합,3,표제부,서울특별시 서초구 효령로33길 50 (방배동),방배 서리풀 e-편한세상,,,,0,116504163633.0,10101.0,0.0,50.0,,119동,1,부속건축물,0.0,0.0,0.0,27.17,0.0,0.0,21.0,철근콘크리트구조,철근콘크리트구조,02000,공동주택,경비실1,10.0,(철근)콘크리트,(철근)콘크리트,0,0,0.0,0,3,0,0,0,0.0,27.17,0,0.0,0,0.0,0,0.0,0,0.0,20060331,20070905,20100203,2010.0,3210000.0,서초구,5809.0,재건축협의(주택건설사업계획승인),0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
서울특별시 서초구 방배동 906-13번지,11650,10100,0,906,13,10231100198148,2,집합,3,표제부,서울특별시 서초구 효령로33길 50 (방배동),방배 서리풀 e-편한세상,,,,0,116504163633.0,10101.0,0.0,50.0,,113동,1,부속건축물,0.0,0.0,0.0,294.57,0.0,0.0,21.0,철근콘크리트구조,철근콘크리트구조,02000,공동주택,"문고,독서실",10.0,(철근)콘크리트,(철근)콘크리트,0,0,0.0,0,2,0,0,0,0.0,294.57,0,0.0,0,0.0,0,0.0,0,0.0,20060331,20070905,20100203,2010.0,3210000.0,서초구,5809.0,재건축협의(주택건설사업계획승인),0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
서울특별시 서초구 방배동 906-13번지,11650,10100,0,906,13,10231100198144,2,집합,3,표제부,서울특별시 서초구 효령로33길 50 (방배동),방배 서리풀 e-편한세상,,,,0,116504163633.0,10101.0,0.0,50.0,,121동,1,부속건축물,0.0,54.29,0.0,13.58,13.58,0.0,21.0,철근콘크리트구조,철근콘크리트구조,02000,공동주택,경비실3,10.0,(철근)콘크리트,(철근)콘크리트,0,0,0.0,1,0,0,0,0,0.0,13.58,0,0.0,0,0.0,0,0.0,0,0.0,20060331,20070905,20100203,2010.0,3210000.0,서초구,5809.0,재건축협의(주택건설사업계획승인),0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
서울특별시 서초구 방배동 906-13번지,11650,10100,0,906,13,10231100198150,2,집합,3,표제부,서울특별시 서초구 효령로33길 50 (방배동),방배 서리풀 e-편한세상,,,,0,116504163633.0,10101.0,0.0,50.0,,115동,1,부속건축물,0.0,47.89,0.0,47.89,47.89,0.0,21.0,철근콘크리트구조,철근콘크리트구조,02000,공동주택,"지상ELEV,코어",10.0,(철근)콘크리트,(철근)콘크리트,0,0,0.0,1,0,0,0,0,0.0,47.89,0,0.0,0,0.0,0,0.0,0,0.0,20060331,20070905,20100203,2010.0,3210000.0,서초구,5809.0,재건축협의(주택건설사업계획승인),0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
서울특별시 서초구 방배동 906-13번지,11650,10100,0,906,13,10231100198151,2,집합,3,표제부,서울특별시 서초구 효령로33길 50 (방배동),방배 서리풀 e-편한세상,,,,0,116504163633.0,10101.0,0.0,50.0,,116동,1,부속건축물,0.0,0.0,0.0,130.9,0.0,0.0,21.0,철근콘크리트구조,철근콘크리트구조,02000,공동주택,다목적시설,10.0,(철근)콘크리트,(철근)콘크리트,0,0,0.0,0,3,0,0,0,0.0,130.9,0,0.0,0,0.0,0,0.0,0,0.0,20060331,20070905,20100203,2010.0,3210000.0,서초구,5809.0,재건축협의(주택건설사업계획승인),0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
서울특별시 서초구 방배동 906-13번지,11650,10100,0,906,13,10231100198145,2,집합,3,표제부,서울특별시 서초구 효령로33길 50 (방배동),방배 서리풀 e-편한세상,,,,0,116504163633.0,10101.0,0.0,50.0,,P1동,1,부속건축물,0.0,80.29,0.0,13600.669,0.0,0.0,21.0,철근콘크리트구조,철근콘크리트구조,02000,공동주택,지하주차장,10.0,(철근)콘크리트,(철근)콘크리트,0,0,0.0,0,3,0,0,0,0.0,13600.669,0,0.0,0,0.0,0,0.0,0,0.0,20060331,20070905,20100203,2010.0,3210000.0,서초구,5809.0,재건축협의(주택건설사업계획승인),0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
