구,위도,경도,위험점수_AHP,소방위험도_점수,반경_50m_건물수,집중도(%),로그_주변대비_상대위험도_고유단속지점_50m,공식도로폭m,구조_노후_통합점수,상업비율(%)
중구,37.56088977,127.00776838,43.87,0.3471,21,100.0,0.6931471805599453,3.0,0.1094,58.06
중구,37.56466188,127.00107824,38.97,0.3441,31,58.1,0.9496384970203852,20.0,0.105,35.71
중구,37.56131454,127.01446136,33.86,0.1787,28,82.1,0.6554068525770982,8.0,0.148,0.0
중구,37.55599413,126.98473806,11.23,0.1313,0,0.0,1.13560085803745,34.0,0.1337,0.0
중구,37.55945274,126.99012549,38.73,0.0743,1,0.0,1.519252194795509,9.0,0.4817,54.55
중구,37.5614873,126.9924598,29.09,0.067,22,54.5,0.0994449297057108,6.0,0.4535,56.0
중구,37.5646535,127.00666628,52.21,0.2423,25,60.0,1.8674258023017924,4.0,0.4712,28.57
중구,37.56281707,127.001911,53.04,0.3564,14,64.3,0.1943595353534336,39.0,0.1808,0.0
중구,37.55926806,126.98767512,27.17,0.078,4,0.0,0.481258947477698,34.0,0.1823,26.67
중구,37.56647742,127.02231807,38.01,0.2774,15,73.3,0.1725257551322526,6.0,0.1422,48.0
중구,37.55608468,126.96814345,67.54,0.4552,25,76.0,1.1301819904368455,28.0,0.3278,16.67
중구,37.5583226,126.98161125,39.96,0.0858,24,20.8,0.3457963134963362,8.0,0.6113,100.0
중구,37.55960572,126.97683678,54.86,0.2597,14,100.0,0.5684437020589881,3.0,0.1794,0.0
중구,37.55898959,126.98911126,29.89,0.0473,3,0.0,2.841286274533761,20.0,0.4817,0.0
중구,37.55981918,126.98998281,25.83,0.0799,2,0.0,1.3201915862543043,39.0,0.1494,0.0
중구,37.55543671,126.97494606,60.48,0.341,6,0.0,0.6931471805599453,39.0,0.4606,0.0
중구,37.55987697,126.99371678,24.7,0.122,2,0.0,1.0543572796640688,9.0,0.1265,0.0
중구,37.56491356,126.98031531,51.32,0.3502,2,0.0,0.0714589639821449,15.0,0.178,0.0
중구,37.55927368,126.98753085,6.45,0.0818,4,0.0,0.4909442532121617,34.0,0.105,59.38
중구,37.56344317,126.99317659,50.48,0.0858,32,65.6,0.3669189783089517,20.0,0.6692,0.0
중구,37.55847797,126.99426166,46.35,0.1867,2,0.0,0.0266682470821613,12.0,0.1823,0.0
중구,37.56006354,126.98895997,20.92,0.078,3,0.0,0.0386148361277795,40.0,0.1509,59.26
중구,37.56590912,126.99838824,42.09,0.2834,27,74.1,0.6931471805599453,9.0,0.138,0.0
중구,37.56112681,126.97475999,31.39,0.3656,2,0.0,1.0620228412358177,9.0,0.1011,28.77
중구,37.56738069,127.02003395,35.17,0.2139,73,79.5,0.0281312502503589,5.0,0.1,0.0
중구,37.55986394,126.98891523,3.91,0.0706,4,0.0,0.2647841083585263,9.0,0.1011,0.0
중구,37.56027363,126.98140792,23.94,0.129,0,0.0,1.4455626827148471,39.0,0.1808,11.11
중구,37.55896817,126.98192631,13.79,0.0838,9,11.1,0.5121362399431111,4.0,0.1036,28.57
중구,37.55934315,126.98332654,34.03,0.078,7,42.9,1.1668880572200644,13.0,0.2009,0.0
중구,37.55561712,126.98432036,15.34,0.1408,0,0.0,2.677441572623574,7.0,0.4148,0.0
중구,37.5530029,126.97995879,23.3,0.2112,0,0.0,0.0192578166044145,22.0,0.42,0.0
중구,37.56283151,126.98864042,24.23,0.1735,2,0.0,0.4075593497112791,39.0,0.1065,33.33
