Y,건물나이,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,구_강서구,구_마포구,구_서초구,구_성동구,구_송파구,구_영등포구,구_용산구,구_종로구,구_중구,잔차,예측값
1.9459101490553128,61,3,0.0,0.3677247801253173,0.4641,0.55,37.56669767,126.98479778,0,0,0,0,0,0,0,1,0,0.7924230482541501,1.1534871008011627
1.3862943611198906,92,2,50.0,2.585960082443016,0.2295,0.08,37.56877711,127.01021919,0,0,0,0,0,0,0,1,0,-0.49926895452512965,1.8855633156450202
2.5649493574615367,17,66,71.2,2.277267285009756,0.1222,0.85,37.57416521,126.99046732,0,0,0,0,0,0,0,1,0,1.112336543724953,1.4526128137365837
1.791759469228055,46,2,50.0,0.7023638356648694,0.1637,0.18,37.56925877,127.006942,0,0,0,0,0,0,0,1,0,0.1917360557168264,1.6000234135112286
3.044522437723423,55,7,85.7,0.3642775497015497,0.1766,0.08,37.57009871,126.98769431,0,0,0,0,0,0,0,1,0,1.4581111380086211,1.5864112997148019
1.791759469228055,34,17,94.1,1.4960019827707285,0.4165,0.08,37.56957912,126.99966041,0,0,0,0,0,0,0,1,0,0.25021641431430464,1.5415430549137503
2.3978952727983707,30,2,0.0,1.2840155119994725,0.1408,0.12,37.56632523,126.98626896,0,0,0,0,0,0,0,1,0,1.0637996150258577,1.334095657772513
2.70805020110221,3,21,90.5,0.8184642999558599,0.1022,0.55,37.56665459,126.98850671,0,0,0,0,0,0,0,1,0,1.3305746591979162,1.3774755419042939
2.079441541679836,34,2,0.0,1.7394910406822983,0.1465,0.08,37.56594442,126.98577426,0,0,0,0,0,0,0,1,0,0.7049142989497637,1.3745272427300725
1.6094379124341005,55,0,0.0,0.414123170851279,0.1766,0.08,37.57038151,126.98267937,0,0,0,0,0,0,0,1,0,0.24867262292290304,1.3607652895111975
1.791759469228055,9,10,100.0,1.6992974632002564,0.1108,1.0,37.5705788,127.02004352,0,0,0,0,0,0,0,1,0,0.1777417223170188,1.6140177469110362
2.5649493574615367,61,76,63.2,1.244643844056864,0.1851,1.0,37.57389547,126.9897488,0,0,0,0,0,0,0,1,0,1.0861058067789626,1.4788435506825741
2.079441541679836,35,19,73.7,0.9573707576176196,0.4183,0.25,37.56890164,127.00203539,0,0,0,0,0,0,0,1,0,0.6287099500743136,1.4507315916055226
2.6390573296152584,61,24,87.5,0.7206876474967924,0.1851,0.12,37.56619998,126.99118829,0,0,0,0,0,0,0,1,0,1.0101859869029806,1.6288713427122778
1.3862943611198906,55,0,0.0,2.597384633214691,0.1766,0.18,37.56915801,126.9800544,0,0,0,0,0,0,0,1,0,-0.06228188559635739,1.448576246716248
1.6094379124341005,27,27,55.6,0.3035351275471273,0.1365,0.85,37.57248011,127.01971336,0,0,0,0,0,0,0,1,0,0.09354663096340898,1.5158912814706915
1.3862943611198906,7,37,67.6,0.6931471805599453,0.1079,1.0,37.57203715,127.00395269,0,0,0,0,0,0,0,1,0,0.00976343554741832,1.3765309255724723
1.791759469228055,6,11,100.0,0.8746092615811812,0.1065,0.25,37.57059843,127.01860129,0,0,0,0,0,0,0,1,0,0.1206277861384093,1.6711316830896457
0.6931471805599453,7,5,0.0,1.0632729222228008,0.1079,0.18,37.57297519,126.99797784,0,0,0,0,0,0,0,1,0,-0.650157464746577,1.3433046453065223
1.9459101490553128,58,6,0.0,0.1482530044498824,0.1808,0.08,37.56798355,127.00952148,0,0,0,0,0,0,0,1,0,0.42875367291632904,1.5171564761389837
2.995732273553991,6,21,71.4,0.9408455369813622,0.1065,0.45,37.56923344,126.98879056,0,0,0,0,0,0,0,1,0,1.6172238732241366,1.3785084003298542
1.3862943611198906,56,30,46.7,1.2512891288770671,0.4553,0.85,37.57353634,127.0219178,0,0,0,0,0,0,0,1,0,-0.12783431036693016,1.5141286714868207
2.9444389791664403,21,18,55.6,2.672021859258811,0.1279,0.7,37.57227399,126.98806987,0,0,0,0,0,0,0,1,0,1.4894128518624403,1.455026127304
2.995732273553991,14,21,71.4,2.500969678805677,0.1179,0.7,37.57179889,126.98893263,0,0,0,0,0,0,0,1,0,1.532147441286642,1.4635848322673488
1.6094379124341005,45,5,0.0,0.5596157879354227,0.1623,0.55,37.56655068,126.98415388,0,0,0,0,0,0,0,1,0,0.35458396148386084,1.2548539509502397
1.3862943611198906,44,10,40.0,1.9997770917556368,0.1608,1.0,37.56916257,127.01374879,0,0,0,0,0,0,0,1,0,-0.16786042688046066,1.5541547880003512
1.6094379124341005,1,11,63.6,1.0283354452521425,0.1,1.0,37.57244418,127.00083322,0,0,0,0,0,0,0,1,0,0.25893284324175836,1.3505050691923421
1.791759469228055,7,22,90.9,0.7940648516932153,0.1079,0.7,37.57044997,127.01867554,0,0,0,0,0,0,0,1,0,0.21765563222885032,1.5741038369992046
2.6390573296152584,57,25,64.0,2.574111725223541,0.1794,0.85,37.56604937,126.99210865,0,0,0,0,0,0,0,1,0,1.0842634329079441,1.5547938967073143
1.791759469228055,57,14,71.4,0.0564856021345574,0.1794,0.85,37.56737832,127.01474752,0,0,0,0,0,0,0,1,0,0.21393321098599483,1.5778262582420601
0.6931471805599453,28,5,0.0,2.6288008294480694,0.138,0.18,37.57929506,126.99713608,0,0,0,0,0,0,0,1,0,-0.8255295339737995,1.5186767145337448
1.6094379124341005,9,2,100.0,0.2694761079552084,0.1108,0.25,37.57109607,127.02145559,0,0,0,0,0,0,0,1,0,-0.056673221850836786,1.6661111342849373
1.9459101490553128,34,6,0.0,0.2810012094609484,0.1465,0.18,37.56790086,127.00943028,0,0,0,0,0,0,0,1,0,0.5121240746753839,1.4337860743799289
2.4849066497880004,41,14,0.0,0.4418327522790392,0.1565,0.08,37.56597443,126.98782642,0,0,0,0,0,0,0,1,0,1.150994114627502,1.3339125351604983
0.6931471805599453,12,17,70.6,1.2008429113170085,0.115,0.18,37.57336561,126.99794846,0,0,0,0,0,0,0,1,0,-0.8373108833891433,1.5304580639490886
2.5649493574615367,29,54,72.2,2.3135541243646194,0.1394,0.85,37.57427525,126.99045283,0,0,0,0,0,0,0,1,0,1.070297743172918,1.4946516142886188
1.3862943611198906,11,2,50.0,0.589606501619105,0.1136,0.08,37.56990125,126.98030475,0,0,0,0,0,0,0,1,0,0.05238520015909942,1.3339091609607912
1.9459101490553128,22,31,74.2,0.3467462995973981,0.1293,0.18,37.56913495,126.99733645,0,0,0,0,0,0,0,1,0,0.4476034157056714,1.4983067333496414
3.044522437723423,10,18,61.1,1.8758425864385964,0.1122,0.85,37.5696394,126.98875606,0,0,0,0,0,0,0,1,0,1.687615770753001,1.356906666970422
1.0986122886681098,10,18,88.9,0.9974430536743816,0.1122,1.0,37.57050676,127.02206499,0,0,0,0,0,0,0,1,0,-0.4647301968348383,1.563342485502948
1.3862943611198906,59,4,25.0,2.415417623490573,0.1823,0.08,37.56622871,126.98353342,0,0,0,0,0,0,0,1,0,-0.14836357099515296,1.5346579321150435
2.9444389791664403,14,19,47.4,2.7817292841849,0.1179,0.7,37.57209924,126.98812931,0,0,0,0,0,0,0,1,0,1.5238601163208476,1.4205788628455926
2.995732273553991,13,22,77.3,1.9857296100625288,0.1165,0.7,37.57189895,126.98875238,0,0,0,0,0,0,0,1,0,1.55217348764032,1.443558785913671
2.9444389791664403,38,8,62.5,0.9824726387554562,0.1523,0.55,37.57131629,126.9874005,0,0,0,0,0,0,0,1,0,1.5021662418777884,1.442272737288652
0.0,36,0,0.0,0.0,0.1494,1.0,37.60669991,126.97433044,0,0,0,0,0,0,0,1,0,-1.2226433297320844,1.2226433297320844
2.995732273553991,24,19,94.7,0.6194439847728106,0.1322,0.08,37.57025733,126.98654665,0,0,0,0,0,0,0,1,0,1.476134593659995,1.5195976798939959
2.5649493574615367,32,24,75.0,0.2811160606808903,0.1436,0.08,37.56598513,126.9900523,0,0,0,0,0,0,0,1,0,1.0809360836585737,1.484013273802963
2.079441541679836,41,5,60.0,1.2127064842946906,0.1565,0.12,37.56984481,126.98341181,0,0,0,0,0,0,0,1,0,0.58130999035787,1.4981315513219662
1.0986122886681098,11,11,9.1,0.0120121564480035,0.1136,0.55,37.56801651,126.97463351,0,0,0,0,0,0,0,1,0,0.014157184063717354,1.0844551046043924
2.995732273553991,61,62,69.4,2.1717454920352344,0.1851,1.0,37.5716747,126.99041695,0,0,0,0,0,0,0,1,0,1.453300398939322,1.5424318746146688
2.5649493574615367,21,22,54.5,3.049457672910154,0.1279,0.85,37.57393452,126.98887068,0,0,0,0,0,0,0,1,0,1.1034915842788875,1.4614577731826492
2.8903717578961645,13,90,66.7,0.9784679768260464,0.248,1.0,37.57338396,126.98952523,0,0,0,0,0,0,0,1,0,1.6382711370900416,1.252100620806123
2.9444389791664403,13,12,58.3,2.352052076140245,0.1165,0.7,37.57168791,126.98843016,0,0,0,0,0,0,0,1,0,1.5261058035778352,1.418333175588605
1.9459101490553128,11,15,73.3,1.9090851529441544,0.1136,1.0,37.56764454,127.00812433,0,0,0,0,0,0,0,1,0,0.4640442258715749,1.4818659231837379
2.995732273553991,8,26,88.5,3.678599523494187,0.1094,0.7,37.56962018,126.9863919,0,0,0,0,0,0,0,1,0,1.4685828306807052,1.5271494428732857
1.6094379124341005,6,13,84.6,2.205256749033484,0.1065,0.7,37.57184081,127.00175573,0,0,0,0,0,0,0,1,0,0.07415212768140789,1.5352857847526926
