useAprvYmd,frspnSprklHYn,bildSn,sprklAvYn,bassAdres,ctpvNm,sggNm,dongNm,sprklHYn,frspnSprklAvYn,spskHYn,objNm,spskAvYn,대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력,매핑방법
19840702,N,11000000033560,N,서울특별시 서초구 서초동,서울특별시,서초구,서초동,N,N,N,동산빌딩,N,서울특별시 서초구 서초동 1588-4번지,11650,10800,0,1588,0004,10231100181709,1,일반,2,일반건축물,서울특별시 서초구 효령로55길 23 (서초동),동산빌딩,,,,0,116504163647,10801,0,23,,동산빌딩,0,주건축물,507.9,303.07,59.67,3603.01,2809.51,553.16,21,철근콘크리트구조,철근콘크리트구조,14000,업무시설,업무시설,10,(철근)콘크리트,(철근)콘크리트,0,0,43.2,11,2,1,0,0,0,3603.01,18,238.17,0,0,0,0,1,16.5,20060705,20070213,20080425,2006,3210081,건축과,1101,신축허가,0,,0,0,,0,,0,20220813,0,,구+동+건물명
19851224,N,11000000035828,N,서울특별시 송파구 석촌동,서울특별시,송파구,석촌동,N,N,N,남경모텔,N,서울특별시 송파구 석촌동 2-3번지,11710,10500,0,0002,0003,1025111656,1,일반,2,일반건축물,서울특별시 송파구 삼학사로 94 (석촌동),남경모텔,,,,0,117103123008,10502,0,94,,,0,주건축물,304.1,159.79,52.55,612.49,460.95,151.58,21,철근콘크리트구조,철근콘크리트조,15000,숙박시설,숙박시설외1,10,(철근)콘크리트,평스라브,0,0,11.8,3,1,0,0,0,0,612.49,0,0,0,0,0,0,3,34.5,19840709,,19851224,,,,,,0,,0,0,,0,,0,20220813,0,,구+동+건물명
19851217,N,11000000038624,N,서울특별시 강남구 청담동,서울특별시,강남구,청담동,N,N,N,프리마호텔,N,서울특별시 강남구 청담동 52-3번지,11680,10400,0,0052,0003,1024121195,1,일반,2,일반건축물,서울특별시 강남구 도산대로 536 (청담동),프리마호텔,,,,0,116802122001,10401,0,536,0,프리마호텔,0,주건축물,4638.1,0,0,9004.8,0,0,21,철근콘크리트구조,"철근콘크리트라멘조,철골철근콘크리트조",15000,숙박시설,숙박시설 근린생활시설 위락시설,10,(철근)콘크리트,슬라브,0,0,0,0,4,7,0,0,0,9004.8,0,0,0,0,21,980.2,78,0,,,19851217,,,,,,0,,0,0,,0,,0,20240131,0,,구+동+건물명
19870122,N,11000000041791,N,서울특별시 서초구 방배동,서울특별시,서초구,방배동,N,N,N,방배오피스텔,N,서울특별시 서초구 방배동 980-32번지,11650,10100,0,0980,0032,102317494,2,집합,3,표제부,서울특별시 서초구 효령로 53 (방배동),방배오피스텔,,,,2,116503121021,10101,0,53,,,0,주건축물,0,686.2,0,4117.2,3431,0,21,철근콘크리트구조,철근콘크리트조,14000,업무시설,"업무시설, 근린생활시설",10,(철근)콘크리트,스라브,0,0,0,5,1,0,0,0,0,4117.2,0,0,0,0,0,0,0,0,19880423,,19881123,,,,,,83,,0,0,,0,,0,20220813,0,,구+동+건물명
19870501,N,11000000042352,Y,서울특별시 중구 남산동2가,서울특별시,중구,남산동2가,Y,N,N,남문빌딩(남산회관),N,서울특별시 중구 남산동2가 37-2번지,11140,12900,0,0037,0002,100315649,1,일반,2,일반건축물,서울특별시 중구 소공로6길 35 (남산동2가),남문빌딩,,,,0,111404103208,12903,0,35,,,0,주건축물,546.1,288.81,52.885918,1978,1204.29,220.52554,21,철근콘크리트구조,철근콘크리트,04000,제2종근린생활시설,근린생활시설,10,(철근)콘크리트,평스라브,0,0,17.8,5,2,1,0,0,0,1978,0,0,0,0,9,0,2,0,19860528,,19870501,,,,,,0,,0,0,,0,,0,20220813,0,,구+동+건물명
19871128,N,11000000044870,Y,서울특별시 강남구 청담동,서울특별시,강남구,청담동,N,N,N,리베라호텔,N,서울특별시 강남구 청담동 53-7번지,11680,10400,0,0053,0007,102419336,1,일반,2,일반건축물,서울특별시 강남구 영동대로 737 (청담동),리베라호텔,,,,0,116802122002,10402,0,737,,,0,주건축물,5320.3,3720.35,69.93,42108.55,24746.24,465.13,21,철근콘크리트구조,철근콘크리트구조,15000,숙박시설,"숙박시설,위락시설,근린생활시설,운동시설 업무시설",10,(철근)콘크리트,(철근)콘크리트,0,0,56.1,15,5,0,0,0,0,42108.55,0,0,0,0,104,5577.79,171,0,19830914,,19871128,,,,,,0,,0,0,,0,,0,20251015,0,,구+동+건물명
19880901,N,11000000048209,N,서울특별시 송파구 잠실동,서울특별시,송파구,잠실동,N,N,N,하루모텔,N,서울특별시 송파구 잠실동 184-22번지,11710,10100,0,0184,0022,102519761,1,일반,2,일반건축물,서울특별시 송파구 올림픽로12길 5-17 (잠실동),하루모텔,,,,0,117104169427,10101,0,5,17,,0,주건축물,204.2,118.32,57.94,733.14,586.47,287.2,21,철근콘크리트구조,철근콘크리트조,15000,숙박시설,숙박시설외 2,10,(철근)콘크리트,평스라브,0,0,17.6,6,1,0,0,0,0,733.14,0,0,0,0,2,28.35,1,0,19880316,,19880914,,,,,,0,,0,0,,0,,0,20220813,0,,구+동+건물명
19880905,N,11000000048428,N,서울특별시 종로구 숭인동,서울특별시,종로구,숭인동,N,N,N,스튜디오 승학,N,서울특별시 종로구 숭인동 201-15번지,11110,17500,0,0201,0015,1002122990,1,일반,2,일반건축물,서울특별시 종로구 종로66가길 14 (숭인동),스튜디오 승학,,,,0,111104100371,17501,0,14,0,,0,주건축물,206.9,120.5,58.240695,635.245,585.33,282.90478,21,철근콘크리트구조,철근콘크리트조,15000,숙박시설,"숙박시설(여관), 주택",10,(철근)콘크리트,평스라브,0,1,0,5,1,0,0,0,0,635.245,0,0,0,0,0,0,1,11.5,19880111,,19880905,,,,,,0,,0,0,,0,,0,20220813,0,,구+동+건물명
19881005,N,11000000049187,N,서울특별시 용산구 한남동,서울특별시,용산구,한남동,Y,N,N,임피리얼팰리스 부티크호텔,N,서울특별시 용산구 한남동 737-25번지,11170,13100,0,0737,0025,100414796,1,일반,2,일반건축물,서울특별시 용산구 이태원로 221 (한남동),임피리얼팰리스 부티크호텔,,,,2,111703102009,13106,0,221,,,0,주건축물,1488.57,715.24,48.05,10653.55,6684.58,449.06,21,철근콘크리트구조,철근콘크리트라멘조,15000,숙박시설,"관광숙박시설, 위락시설,근린생활시설",10,(철근)콘크리트,평스라브,0,0,46.8,11,4,2,1,0,0,10653.55,0,0,0,0,31,0,9,0,19920722,,19881005,,,,,,0,,0,0,,0,,0,20250901,1,,구+동+건물명
19881224,N,11000000050289,N,서울특별시 중구 흥인동,서울특별시,중구,흥인동,N,N,N,알마호텔(구.플러스모텔),N,서울특별시 중구 흥인동 108번지,11140,16300,0,0108,0000,1003122413,1,일반,2,일반건축물,서울특별시 중구 다산로 259 (흥인동),알마호텔,,,,0,111403101014,16302,0,259,,,0,주건축물,206.9,123.79,59.83,888.3,710.41,343.36,21,철근콘크리트구조,철근콘크리트,15000,숙박시설,숙박시설및근린생활시설,10,(철근)콘크리트,(철근)콘크리트,0,0,20.1,6,1,0,0,0,0,888.3,0,0,0,0,2,29.25,1,11.5,,,19881224,,,,,,0,,0,0,,0,,0,20220813,0,,구+동+건물명
