대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력
서울특별시 강남구 역삼동 677-10번지,11680,10100,0,677,10,1000000000000001789121,1,일반,2,일반건축물,서울특별시 강남구 테헤란로37길 13-12 (역삼동),호텔더지나이너스 리스 스윗 역삼,,,,0,116804166736.0,10101.0,0.0,13.0,12.0,,0,주건축물,339.9,203.65,59.91,3466.0537,2628.2262,773.24,21.0,철근콘크리트구조,철근콘크리트구조,15000,숙박시설,"숙박시설(숙박시설및제1종근생시설(소매점,사무소))",10.0,(철근)콘크리트,(철근)콘크리트,0,0,37.29,14,4,1,0,0,0.0,3466.0537,36,574.965,0,16.5,0,0.0,1,0.0,20210421,20210628,20230517.0,2021.0,3220175.0,건축과,1101.0,신축허가,0,,0.0,0.0,,0.0,,0.0,20231217,1.0,Ⅶ-0.197g
서울특별시 강남구 역삼동 677-11번지,11680,10100,0,677,11,1024112267,1,일반,2,일반건축물,서울특별시 강남구 테헤란로33길 16 (역삼동),트리아관광호텔,,,,0,116804166734.0,10101.0,0.0,16.0,,,0,주건축물,497.3,293.12,58.94,3001.86,2231.76,448.78,21.0,철근콘크리트구조,철근콘크리트조,15000,숙박시설,숙박시설 위락시설,10.0,(철근)콘크리트,슬라브,0,0,29.9,8,2,0,0,0,0.0,3001.86,0,0.0,0,0.0,8,285.82,2,23.0,19890729,,19891031.0,,,,,,0,,0.0,0.0,,0.0,,0.0,20220813,1.0,
서울특별시 강남구 역삼동 677-13번지,11680,10100,0,677,13,102416841,1,일반,2,일반건축물,서울특별시 강남구 테헤란로37길 13-13 (역삼동),,,,,0,116804166736.0,10101.0,0.0,13.0,13.0,,0,주건축물,340.3,203.82,59.89,2785.91,2041.55,599.92653,21.0,철근콘크리트구조,철근콘크리트구조,15000,숙박시설,숙박시설 / 위락시설,10.0,(철근)콘크리트,(철근)콘크리트,0,0,33.35,12,3,1,0,0,0.0,2785.91,0,0.0,8,0.0,0,0.0,5,0.0,20020618,20030129,20031224.0,2002.0,3220088.0,건축과,1101.0,신축허가,0,,0.0,0.0,,0.0,,0.0,20220813,1.0,
서울특별시 강남구 역삼동 677-14번지,11680,10100,0,677,14,1024115490,1,일반,2,일반건축물,서울특별시 강남구 테헤란로37길 13-11 (역삼동),,,,,0,116804166736.0,10101.0,0.0,13.0,11.0,,0,주건축물,340.0,203.84,59.95,2207.76,1844.86,542.61,21.0,철근콘크리트구조,철근콘크리트조,15000,숙박시설,숙박시설,10.0,(철근)콘크리트,평슬라브,0,0,29.3,10,1,1,0,0,0.0,2207.76,0,0.0,0,0.0,8,292.34,0,0.0,20010510,20010518,20020525.0,,,,,,0,,0.0,0.0,,0.0,,0.0,20220813,1.0,
서울특별시 강남구 역삼동 677-16번지,11680,10100,0,677,16,10241100310423,1,일반,2,일반건축물,서울특별시 강남구 테헤란로37길 13-5 (역삼동),브라운 도트 역삼,,,,0,116804166736.0,10101.0,0.0,13.0,5.0,주건축물제1동,0,주건축물,339.9,200.0025,58.84,2408.2463,2153.8575,633.67,21.0,철근콘크리트구조,철근콘크리트구조,15000,숙박시설,숙박시설,10.0,(철근)콘크리트,(철근)콘크리트,0,0,34.0,12,2,2,0,0,0.0,2408.2463,8,0.0,0,0.0,0,0.0,0,0.0,20200720,20201104,20220221.0,2020.0,3220175.0,건축과,1101.0,신축허가,0,,0.0,0.0,,0.0,,0.0,20230330,1.0,Ⅶ-0.204g
서울특별시 강남구 역삼동 677-19번지,11680,10100,0,677,19,1024123715,1,일반,2,일반건축물,서울특별시 강남구 테헤란로33길 6-11 (역삼동),호텔맥스,,,,0,116804166734.0,10101.0,0.0,6.0,11.0,호텔맥스,0,주건축물,414.3,245.8,59.33,1995.02,1800.17,434.51,21.0,철근콘크리트구조,철근콘크리트구조,15000,숙박시설,"숙박시설,여관 45객실",90.0,기타지붕,"기타지붕,평스라브",0,0,27.6,9,1,1,0,0,0.0,1995.02,6,120.7,0,0.0,2,23.0,0,0.0,20020830,20021226,20040107.0,2002.0,3220088.0,건축과,1101.0,신축허가,0,,0.0,0.0,,0.0,,0.0,20220813,1.0,
서울특별시 강남구 역삼동 677-20번지,11680,10100,0,677,20,102417627,1,일반,2,일반건축물,서울특별시 강남구 테헤란로33길 6-7 (역삼동),,,,,0,116804166734.0,10101.0,0.0,6.0,7.0,,0,주건축물,446.6,257.63,57.69,1999.02,1231.3,275.71,21.0,철근콘크리트구조,철근콘크리트조,16000,위락시설,"숙박시설,위락시설",10.0,(철근)콘크리트,평슬라브,0,0,21.1,6,3,1,0,0,0.0,1999.02,12,0.0,0,0.0,0,0.0,2,0.0,20000630,20000817,20020124.0,,,,,,0,,0.0,0.0,,0.0,,0.0,20230804,1.0,
서울특별시 강남구 역삼동 677-21번지,11680,10100,0,677,21,10241100218609,1,일반,2,일반건축물,서울특별시 강남구 테헤란로33길 6-5 (역삼동),호텔그라모스,,,,0,116804166734.0,10101.0,0.0,6.0,5.0,,0,주건축물,331.1,194.76,58.82,1996.4,1697.06,512.55,21.0,철근콘크리트구조,철근콘크리트구조,15000,숙박시설,관광호텔(42실) 및 근린생활시설,10.0,(철근)콘크리트,평슬라브,0,0,33.89,10,2,1,0,0,0.0,1996.4,0,0.0,0,0.0,0,0.0,2,75.81,20111025,20120216,20130222.0,2011.0,3220175.0,건축과,1101.0,신축허가,0,,0.0,0.0,,0.0,,0.0,20220813,1.0,
서울특별시 강남구 역삼동 678-8번지,11680,10100,0,678,8,1024115061,1,일반,2,일반건축물,서울특별시 강남구 테헤란로33길 13-8 (역삼동),,,,,0,116804166734.0,10101.0,0.0,13.0,8.0,,0,주건축물,332.9,184.15,55.32,1058.46,763.98,229.49,21.0,철근콘크리트구조,철근콘크리트조,15000,숙박시설,숙박시설,10.0,(철근)콘크리트,슬라브,0,0,17.1,5,1,1,0,0,0.0,1058.46,0,0.0,0,0.0,0,0.0,0,0.0,,,19801215.0,,,,,,0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
서울특별시 강남구 역삼동 678-9번지,11680,10100,0,678,9,1024117855,1,일반,2,일반건축물,서울특별시 강남구 테헤란로33길 13-12 (역삼동),,,,,0,116804166734.0,10101.0,0.0,13.0,12.0,,0,주건축물,333.7,197.58,59.21,986.25,790.32,236.84,21.0,철근콘크리트구조,철근콘크리트조,15000,숙박시설,숙박시설 근린생활시설,10.0,(철근)콘크리트,슬라브,0,0,12.8,4,1,0,0,0,0.0,986.25,2,0.0,0,0.0,1,0.0,3,0.0,19881129,19881130,19891216.0,,,,,,0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
