구,위도,경도,위험점수_AHP,소방접근성_점수,반경_50m_건물수,집중도(%),로그_주변대비_상대위험도_고유단속지점_50m,공식도로폭m,구조_노후_통합점수,상업비율(%)
종로구,37.57179889,126.98893263,29.4,0.844,21,71.4,2.500969678805677,9.0,0.1179,0.0
종로구,37.56655068,126.98415388,56.38,0.551,5,60.0,0.5596157879354227,10.0,0.1623,30.0
종로구,37.56916257,127.01374879,35.35,0.857,10,40.0,1.9997770917556368,5.0,0.1608,54.55
종로구,37.57244418,127.00083322,35.74,0.623,11,54.5,1.0283354452521425,5.0,0.1,63.64
종로구,37.57044997,127.01867554,37.12,0.663,22,63.6,0.7940648516932153,8.0,0.1079,64.0
종로구,37.56604937,126.99210865,52.15,0.779,25,64.0,2.574111725223541,6.0,0.1794,57.14
종로구,37.56737832,127.01474752,38.54,0.8865,14,57.1,0.0564856021345574,6.0,0.1794,0.0
종로구,37.57929506,126.99713608,34.59,0.79,5,100.0,2.6288008294480694,28.0,0.138,0.0
종로구,37.57109607,127.02145559,37.32,0.6305,2,100.0,0.2694761079552084,20.0,0.1108,0.0
종로구,37.56790086,127.00943028,29.83,0.863,6,100.0,0.2810012094609484,25.0,0.1465,72.73
종로구,37.56597443,126.98782642,42.95,0.689,14,100.0,0.4418327522790392,39.0,0.1565,58.82
종로구,37.57336561,126.99794846,27.78,0.73,17,58.8,1.2008429113170085,28.0,0.115,55.56
종로구,37.57427525,126.99045283,42.04,0.8125,54,55.6,2.3135541243646194,6.0,0.1394,50.0
종로구,37.56990125,126.98030475,38.44,0.4905,2,50.0,0.589606501619105,35.0,0.1136,67.74
종로구,37.56913495,126.99733645,33.47,0.752,31,67.7,0.3467462995973981,25.0,0.1293,55.56
종로구,37.5696394,126.98875606,27.25,0.815,18,55.6,1.8758425864385964,7.0,0.1122,22.22
종로구,37.57050676,127.02206499,44.1,0.598,18,66.7,0.9974430536743816,4.0,0.1122,25.0
종로구,37.56622871,126.98353342,54.39,0.5575,4,50.0,2.415417623490573,39.0,0.1823,42.11
종로구,37.57209924,126.98812931,28.6,0.806,19,42.1,2.7817292841849,9.0,0.1179,72.73
종로구,37.57189895,126.98875238,29.31,0.8355,22,72.7,1.9857296100625288,9.0,0.1165,37.5
종로구,37.57131629,126.9874005,34.99,0.7795,8,37.5,0.9824726387554562,11.0,0.1523,0.0
종로구,37.60669991,126.97433044,56.03,0.4035,0,0.0,0.0,4.95,0.1494,94.74
종로구,37.57025733,126.98654665,34.26,0.7355,19,94.7,0.6194439847728106,35.0,0.1322,70.83
종로구,37.56598513,126.9900523,32.82,0.7505,24,70.8,0.2811160606808903,39.0,0.1436,60.0
종로구,37.56984481,126.98341181,46.79,0.5955,5,60.0,1.2127064842946906,30.0,0.1565,9.09
종로구,37.56801651,126.97463351,62.28,0.3375,11,90.9,0.0120121564480035,10.0,0.1136,30.65
종로구,37.5716747,126.99041695,47.3,0.9095,62,38.7,2.1717454920352344,5.0,0.1851,50.0
종로구,37.57393452,126.98887068,32.56,0.8265,22,50.0,3.049457672910154,6.0,0.1279,53.33
종로구,37.57338396,126.98952523,39.55,0.8275,90,53.3,0.9784679768260464,3.0,0.248,58.33
종로구,37.57168791,126.98843016,27.18,0.8235,12,58.3,2.352052076140245,9.0,0.1165,73.33
종로구,37.56764454,127.00812433,30.31,0.813,15,73.3,1.9090851529441544,4.0,0.1136,88.46
종로구,37.56962018,126.9863919,40.43,0.719,26,88.5,3.678599523494187,9.0,0.1094,84.62
종로구,37.57184081,127.00175573,44.7,0.587,13,84.6,2.205256749033484,9.0,0.1065,50.0
종로구,37.56874973,127.01018412,30.97,0.8615,2,50.0,2.577167206594277,39.0,0.178,50.0
종로구,37.56968368,127.01175024,36.45,0.8425,2,50.0,1.4376179213932505,25.0,0.1837,0.0
중구,37.55742965,127.00160709,66.01,0.5635,3,100.0,0.0,12.0,0.188,28.57
성동구,37.54070199,127.0562547,37.3,0.727,14,57.1,4.611152257665639,7.0,0.115,0.0
중구,37.55527178,126.97898241,12.95,0.7475,0,0.0,0.0219789067187752,34.0,0.1136,50.0
중구,37.5619628,127.00695765,37.12,0.6405,10,50.0,1.3909133069761852,9.0,0.1136,0.0
중구,37.55924412,126.98729931,8.89,0.9235,5,60.0,0.4885317068067778,34.0,0.1136,21.95
중구,37.55661038,126.97811019,55.51,0.754,41,48.8,0.8002011767241046,3.0,0.1866,33.96
중구,37.56091185,127.00486601,50.04,0.535,53,34.0,0.616029877215514,6.0,0.1136,26.09
중구,37.55974994,126.98437425,37.5,0.9045,23,43.5,1.7060041108251514,9.0,0.1766,0.0
