대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력
서울특별시 종로구 가회동 30-2번지,11110,14600,0,30,2,1002116977,1,일반,2,일반건축물,서울특별시 종로구 북촌로 53 (가회동),,,,,0,111103100004.0,14603.0,0.0,53.0,,,0,주건축물,849.0,293.55,34.576,493.58,455.56,53.6584,21.0,철근콘크리트구조,철근콘크리트구조,03000,제1종근린생활시설,제1종근린생활시설,20.0,기와,와즙,0,2,7.6,2,1,0,0,0,0.0,493.58,0,0.0,0,0.0,1,0.0,2,0.0,,,,,,,,,0,,0.0,0.0,,0.0,,0.0,20251103,0.0,
서울특별시 종로구 가회동 30-7번지,11110,14600,0,30,7,1002126693,1,일반,2,일반건축물,서울특별시 종로구 북촌로 53 (가회동),,,,,0,111103100004.0,14603.0,0.0,53.0,,,0,주건축물,0.0,0.0,0.0,119.01,0.0,0.0,51.0,일반목구조,목조,03000,제1종근린생활시설,제1종근린생활시설,20.0,기와,와즙,0,1,0.0,1,0,0,0,0,0.0,119.01,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,0,,0.0,0.0,,0.0,,0.0,20251111,0.0,
서울특별시 종로구 계동 14-1번지,11110,14800,0,14,1,1002114394,1,일반,2,일반건축물,서울특별시 종로구 계동길 121 (계동),121북촌,,,,0,111104100014.0,14802.0,0.0,121.0,,,0,주건축물,92.77,55.47,59.79,277.35,0.0,239.17,21.0,철근콘크리트구조,철근콘크리트조,01000,단독주택,근린생활시설,10.0,(철근)콘크리트,경사스라브위기와,0,1,8.8,4,1,0,0,0,0.0,277.35,0,0.0,0,0.0,2,29.88,0,0.0,19960810,19970329,19971105,,,,,,0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
서울특별시 종로구 계동 58번지,11110,14800,0,58,0,100216969,1,일반,2,일반건축물,서울특별시 종로구 계동길 110 (계동),,,,,0,111104100014.0,14802.0,0.0,110.0,,,0,주건축물,119.44,71.43,59.8,295.15,0.0,179.41,21.0,철근콘크리트구조,철근콘크리트조,01000,단독주택,다가구주택(5),10.0,(철근)콘크리트,경사스라브위한식기와잇기,0,5,10.9,3,1,0,0,0,0.0,295.15,0,0.0,0,0.0,0,0.0,0,0.0,19960109,19960318,19960722,,,,,,0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
서울특별시 종로구 계동 63-2번지,11110,14800,0,63,2,1002113853,1,일반,2,일반건축물,서울특별시 종로구 계동길 103-1 (계동),,,,,0,111104100014.0,14802.0,0.0,103.0,1.0,,0,주건축물,110.08,63.03,57.26,299.26,236.23,214.6,21.0,철근콘크리트구조,철근콘크리트조,04000,제2종근린생활시설,근린생활시설,10.0,(철근)콘크리트,경사 스라브,0,1,12.1,4,1,0,0,0,0.0,299.26,0,0.0,0,0.0,0,0.0,0,0.0,19960227,19960316,19981202,,,,,,0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
서울특별시 종로구 계동 78-2번지,11110,14800,0,78,2,1002112639,1,일반,2,일반건축물,서울특별시 종로구 계동길 73-1 (계동),,,,,0,111104100014.0,14802.0,0.0,73.0,1.0,,0,주건축물,81.29,53.95,66.37,210.99,150.55,185.2,21.0,철근콘크리트구조,철근콘크리트조,03000,제1종근린생활시설,근린생활시설,10.0,(철근)콘크리트,경사스라브,0,1,10.3,3,1,0,0,0,0.0,210.99,0,0.0,0,0.0,0,0.0,0,0.0,19951209,19960401,19960907,,,,,,3,,0.0,0.0,,0.0,,0.0,20250512,0.0,
서울특별시 종로구 원서동 4-4번지,11110,14900,0,4,4,1002116030,2,집합,3,표제부,서울특별시 종로구 창덕궁7길 6-9 (원서동),,,,,0,111104100427.0,14902.0,0.0,6.0,9.0,,0,주건축물,238.0,142.52,59.88,658.5,0.0,222.05,21.0,철근콘크리트구조,철근콘크리트조,02000,공동주택,다세대주택,10.0,(철근)콘크리트,경사스라브위 한식기와잇기,10,0,14.6,4,1,0,0,0,0.0,658.5,0,0.0,0,0.0,0,0.0,3,34.5,19960326,19960403,19961031,,,,,,0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
서울특별시 종로구 원서동 24번지,11110,14900,0,24,0,10021100224145,1,일반,2,일반건축물,서울특별시 종로구 창덕궁5길 15 (원서동),,,,,1,111104100426.0,14901.0,0.0,15.0,0.0,,0,주건축물,139.9,89.66,64.088634,192.25,96.41,68.913509,51.0,일반목구조,목조,01000,단독주택,단독주택,20.0,기와,기와,0,0,5.295,1,1,0,0,0,0.0,192.25,0,0.0,0,0.0,0,0.0,0,0.0,20200305,20200604,20210714,,,,,,1,,0.0,0.0,,0.0,,0.0,20220813,0.0,
서울특별시 종로구 원서동 76-37번지,11110,14900,0,76,37,10021100189617,1,일반,2,일반건축물,서울특별시 종로구 창덕궁3길 47-5 (원서동),,,,,0,111104100423.0,14901.0,0.0,47.0,5.0,,0,주건축물,97.9,41.77,42.67,49.66,49.66,50.73,21.0,철근콘크리트구조,철근콘크리트구조,01000,단독주택,단독주택,10.0,(철근)콘크리트,경사지붕,0,1,6.4,2,0,0,0,0,0.0,49.66,0,0.0,0,0.0,0,0.0,0,0.0,20101028,20101110,20110427,2010,3000080.0,주택과,1201.0,신축신고,0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
서울특별시 종로구 원서동 77-88번지,11110,14900,0,77,88,1002121681,2,집합,3,표제부,서울특별시 종로구 창덕궁3길 8 (원서동),,,,,0,111104100423.0,14901.0,0.0,8.0,,,0,주건축물,80.5,51.25,63.66,247.55,0.0,246.01,21.0,철근콘크리트구조,철근콘크리트조,02000,공동주택,다세대주택,10.0,(철근)콘크리트,경사스라브,5,0,13.9,4,1,0,0,0,0.0,247.55,0,0.0,0,0.0,0,0.0,0,0.0,19960531,19960624,19970415,,,,,,0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
서울특별시 종로구 원서동 86-16번지,11110,14900,0,86,16,1002127764,2,집합,3,표제부,서울특별시 종로구 창덕궁4길 3 (원서동),,,,,1,111104100425.0,14902.0,0.0,3.0,,,0,주건축물,116.49,80.64,69.22,398.52,320.22,274.89,21.0,철근콘크리트구조,철근콘크리트구조,02000,공동주택,공동주택,10.0,(철근)콘크리트,경사슬라브,4,0,13.4,4,1,0,0,0,0.0,398.52,0,0.0,0,0.0,3,78.3,0,0.0,20020326,20030310,20031006,2002,3000080.0,주택과,5410.0,주거환경지구(허가),0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
서울특별시 종로구 원서동 135-58번지,11110,14900,0,135,58,1002117563,2,집합,3,표제부,서울특별시 종로구 창덕궁3나길 1 (원서동),,,,,0,111104100424.0,14902.0,0.0,1.0,,,0,주건축물,147.0,87.5,59.52,437.5,0.0,238.1,21.0,철근콘크리트구조,철근콘크리트조,02000,공동주택,다세대주택,10.0,(철근)콘크리트,경사스라브,9,0,13.2,4,1,0,0,0,0.0,437.5,0,0.0,0,0.0,2,28.89,0,0.0,19960613,19960626,19970502,,,,,,0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
서울특별시 종로구 묘동 121번지,11110,15100,0,121,0,100214703,1,일반,2,일반건축물,서울특별시 종로구 돈화문로 56-1 (묘동),,,,,0,111103100003.0,15102.0,0.0,56.0,1.0,,0,주건축물,0.0,0.0,0.0,744.99,0.0,0.0,21.0,철근콘크리트구조,"철근콘크리트조, 연와조",15000,숙박시설,"숙박시설, 근린생활시설",10.0,(철근)콘크리트,스라브,0,0,0.0,6,0,0,0,0,0.0,744.99,0,0.0,0,0.0,0,0.0,0,0.0,,,19651111,,,,,,0,,0.0,0.0,,0.0,,0.0,20260223,0.0,
서울특별시 종로구 묘동 141번지,11110,15100,0,141,0,1002110376,1,일반,2,일반건축물,서울특별시 종로구 돈화문로 61 (묘동),,,,,0,111103100003.0,15102.0,0.0,61.0,,,0,주건축물,0.0,0.0,0.0,218.19,0.0,0.0,51.0,일반목구조,"목조, 연와조",03000,제1종근린생활시설,영업용,20.0,기와,"와즙, 육옥근",0,1,0.0,2,0,0,0,0,0.0,218.19,0,0.0,0,0.0,0,0.0,0,0.0,,,        ,,,,,,0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
서울특별시 종로구 묘동 141번지,11110,15100,0,141,0,1002110377,1,일반,2,일반건축물,서울특별시 종로구 돈화문로 61 (묘동),,,,,0,111103100003.0,15102.0,0.0,61.0,,,0,주건축물,0.0,0.0,0.0,497.13,0.0,0.0,21.0,철근콘크리트구조,철근콘크리트조,04000,제2종근린생활시설,영업용,10.0,(철근)콘크리트,스라브,0,1,0.0,3,0,0,0,0,0.0,497.13,0,0.0,0,0.0,0,0.0,0,0.0,,,19631230,,,,,,0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
