"X좌표","Y좌표","위도","경도","대지위치","시군구코드","법정동코드","대지구분코드","번","지","사업장명","관리건축물대장PK","도로명대지위치","연면적(㎡)","건축면적","구조코드","기타구조","주용도코드","기타용도","지상층수","지하층수","총층수","사용승인일","허가일","승용승강기수","비상용승강기수","내진설계적용여부","소방청_매칭상태","소방청_스프링클러(AV)설치여부","소방청_간이스프링클러(AV)설치여부","소방청_대상물명","소방청_지번주소_매칭","소방청_도로명주소_매칭","소방청_매칭방식","소방청_매칭점수","용적률","건폐률"
"198047.674063427","451117.674050616","37.55958613","126.97790365","서울특별시 중구 북창동 93-43번지","11140","11300","0","93","43","서울호텔신신","10031100211230","서울특별시 중구 남대문로5길 17-5 (북창동)","1787.63","178.763","21.0","철근콘크리트구조","15000","관광숙박시설(관광호텔) 및 제2종근린생활시설(일반음식점)","7","3","10","20130319.0","20101209.0","3","0","1.0","불일치","","","","","","","","393.51","59.29"
"200538.850127418","451107.614340285","37.55949740","127.00609868","서울특별시 중구 장충동1가 31-7번지","11140","14300","0","31","7","써미트호텔","100318723","서울특별시 중구 장충단로 198 (장충동1가)","9026.49","752.2075","21.0","철근콘크리트조","15000","숙박시설,제2종근린생활시설","9","3","12","19850320.0","19830520.0","2","0","0.0","이름+주소일치","Y","N","봉우빌딩(써미트호텔)","서울특별시 중구 장충동1가 31-7번지","서울특별시 중구 장충단로 198 (장충동1가)","hospitality_exact_name_gu_dong","100.0","361.45","52.23"
"200113.999615549","451324.026100645","37.56144741","127.00129028","서울특별시 중구 오장동 206-2번지","11140","15400","0","206","2","스카이파크호텔 동대문1호점","10031100215413","서울특별시 중구 동호로 335 (오장동)","8243.76","392.56","21.0","철근콘크리트구조","15000","숙박시설(관광숙박시설(관광호텔),근린생활시설)","19","2","21","20140611.0","20121005.0","2","1","1.0","이름+주소일치","Y","N","스카이파크호텔(동대문1호점)","서울특별시 중구 오장동 206-2번지","서울특별시 중구 동호로 335 (오장동)","hospitality_exact_name_gu_dong","100.0","891.03","56.88"
"198484.096465671","450963.971753178","37.55820209","126.98284338","서울특별시 중구 충무로1가 24-30번지","11140","12400","0","24","30","데이즈 호텔 명동","100314761","서울특별시 중구 퇴계로 107 (충무로1가)","2932.36","225.566154","21.0","철근콘크리트조, 라멘조","15000","숙박시설(관광호텔)","11","2","13","19921107.0","19910518.0","0","0","1.0","이름+주소일치","N","N","데이즈호텔명동(명보빌딩)","서울특별시 중구 충무로1가 24-30번지","서울특별시 중구 퇴계로 107 (충무로1가)","hospitality_exact_name_gu_dong","100.0","533.56","59.54"
"199812.204706685","451319.127469002","37.56140326","126.99787449","서울특별시 중구 예관동 70-2번지","11140","13500","0","70","2","뉴 블랑 센트럴 명동","10031100215813","서울특별시 중구 창경궁로 20 (예관동)","6076.97","303.8485","21.0","철근콘크리트구조","15000","관광숙박시설(관광호텔)","18","2","20","20140731.0","20121130.0","2","1","1.0","불일치","","","","","","","","891.81","59.69"
"197867.156641113","451779.880897566","37.56555219","126.97585864","서울특별시 중구 태평로1가 61-1번지","11140","10300","0","61","1","코리아나호텔","100311544","서울특별시 중구 세종대로 135 (태평로1가)","31896.62","1226.793077","21.0","철근콘크리트조","15000","호텔, 관람집회시설, 근린생활시설, 업무시설","24","2","26","19711122.0","","9","0","0.0","이름+주소일치","Y","N","(주)코리아나호텔","서울특별시 중구 태평로1가 61-1번지","서울특별시 중구 세종대로 135 (태평로1가)","hospitality_exact_name_gu_dong","100.0","897.44","58.57"
"200193.232424569","449809.744684888","37.54780376","127.00218665","서울특별시 중구 장충동2가 201번지","11140","14400","0","201","0","반얀트리 클럽 앤 스파 서울","100319639","서울특별시 중구 장충단로 60 (장충동2가)","6949.39","1389.878","21.0","철근콘크리트조","03000","제1종근린생활시설","5","0","5","19741226.0","19921215.0","0","0","0.0","불일치","","","","","","","","102.71","28.21"
"199603.040706779","451543.643423302","37.56342608","126.99550700","서울특별시 중구 을지로4가 310번지","11140","15000","0","310","0","호텔 국도","1003111719","서울특별시 중구 을지로 164 (을지로4가)","18305.52","732.2208","21.0","철근콘크리트구조","15000","업무시설,근린생활시설","21","4","25","20070222.0","20030909.0","4","1","1.0","주소만일치","Y","N","베스트웨스턴호텔국도","서울특별시 중구 을지로4가 310번지","서울특별시 중구 을지로 164 (을지로4가)","fuzzy_name_address","16.4","880.62","50.61"
"198433.903211956","451323.216289926","37.56143879","126.98227454","서울특별시 중구 명동1가 59-5번지","11140","12600","0","59","5","이비스 앰배서더 명동","100315109","서울특별시 중구 남대문로 78 (명동1가)","37285.89","1621.125652","42.0","철골철근콘크리트구조","14000","업무시설,숙박시설","19","4","23","19751020.0","","9","1","1.0","주소만일치","Y","N","타임워크명동빌딩(이비스앰배서더명동호텔)","서울특별시 중구 명동1가 59-5번지","서울특별시 중구 남대문로 78 (명동1가)","exact_name_gu_dong","100.0","674.68","67.2"
"197268.885433824","451148.620978965","37.55986298","126.96908924","서울특별시 중구 순화동 214번지","11140","16800","0","214","0","디에스디엘(주) 프레이저 플레이스 센트럴 서울","1003124676","서울특별시 중구 통일로 78 (순화동)","34332.14","1226.147857","21.0","철근콘크리트구조","15000","숙박시설","23","5","28","20060703.0","20000915.0","4","1","1.0","주소만일치","Y","N","프레이저 플레이스 센트럴 서울(순화동)","서울특별시 중구 순화동 214번지","서울특별시 중구 통일로 78 (순화동)","exact_name_gu_dong","100.0","1061.94","54.35"
