인덱스,보정_X,보정_Y,반경_50m_건물수,주택_수,상업_수,숙박_수,사무_수,기타_수,밀집도,주요_시설군,집중도(%)
2447.0,204584.663119548,548307.1879135051,0,0,0,0,0,0,0개,없음,0.0
2448.0,205396.29482656094,548566.3779421202,15,7,3,1,1,3,15개,주택,46.7
2449.0,202465.53765010112,551269.6854641092,7,3,0,0,0,4,7개,기타,57.1
2450.0,204512.16410942463,551575.2210848179,39,37,2,0,0,0,39개,주택,94.9
2451.0,206167.04866778932,550269.1708354576,25,15,7,0,0,3,25개,주택,60.0
2452.0,204582.55882172377,551562.2691896417,50,50,0,0,0,0,50개,주택,100.0
2453.0,202974.60462172772,551142.7574214053,14,3,7,0,0,4,14개,상업,50.0
2454.0,204240.01511847536,549777.4445307814,6,3,1,0,1,1,6개,주택,50.0
2455.0,205154.62646795769,549375.8575209728,19,0,1,0,0,18,19개,기타,94.7
2456.0,202541.47469327343,551095.204481739,21,19,0,0,0,2,21개,주택,90.5
2457.0,203994.38947192385,549228.9892929583,5,2,0,0,0,3,5개,기타,60.0
2458.0,204526.9995262806,548271.6457985517,0,0,0,0,0,0,0개,없음,0.0
2459.0,202743.23864099133,550846.968804478,15,9,1,0,0,5,15개,주택,60.0
2460.0,202633.75796294905,551052.9548405563,20,11,3,0,0,6,20개,주택,55.0
2461.0,202507.43016328066,550887.5842433613,9,2,1,0,0,6,9개,기타,66.7
2462.0,202709.97020028502,551104.99010246,43,30,10,0,0,3,43개,주택,69.8
2463.0,204753.18317198823,548974.6930846705,6,0,1,0,0,5,6개,기타,83.3
2464.0,204763.54126743245,549400.133228706,18,3,1,0,0,14,18개,기타,77.8
2465.0,205395.2137835331,548617.7777310495,8,2,5,0,0,1,8개,상업,62.5
2466.0,204852.40446268427,548080.4205574072,0,0,0,0,0,0,0개,없음,0.0
2467.0,202691.0806444347,551165.5288197879,42,26,6,0,0,10,42개,주택,61.9
2468.0,203711.32260477633,549580.3223823371,1,1,0,0,0,0,1개,주택,100.0
2469.0,204271.8487426379,549539.5048406508,11,4,3,0,0,4,11개,주택,36.4
2470.0,203102.79589665227,550535.0145271338,5,3,0,0,0,2,5개,주택,60.0
2471.0,203020.26959584226,550850.1217719106,4,0,1,0,0,3,4개,기타,75.0
2472.0,203469.49604743387,550740.2598147214,8,1,0,0,0,7,8개,기타,87.5
2473.0,205363.19895468364,548597.1055809961,6,0,4,0,1,1,6개,상업,66.7
2474.0,204398.35944870848,549143.2421183451,11,0,5,0,1,5,11개,상업,45.5
2475.0,203191.3895440187,551483.739400748,22,7,5,0,1,9,22개,기타,40.9
2476.0,203818.97860107184,549386.931884889,1,0,0,0,0,1,1개,기타,100.0
2477.0,204653.37142686028,549771.9446455479,17,2,3,0,0,12,17개,기타,70.6
2478.0,202929.5297753914,550434.1395767013,4,2,1,0,0,1,4개,주택,50.0
2479.0,204048.34089242318,549347.7299955463,3,2,0,0,0,1,3개,주택,66.7
2480.0,203026.83078862733,550829.0718355689,3,0,0,0,0,3,3개,기타,100.0
2481.0,204088.64483561093,548446.1153233383,0,0,0,0,0,0,0개,없음,0.0
2482.0,203672.06426462386,551129.741117788,6,0,5,0,0,1,6개,상업,83.3
2483.0,204774.30458926945,548294.7275541343,0,0,0,0,0,0,0개,없음,0.0
2484.0,202635.079100905,550799.1734726958,7,3,0,0,0,4,7개,기타,57.1
2485.0,204034.82481244145,549366.5115203459,6,2,1,0,0,3,6개,기타,50.0
2486.0,203698.36646484412,549395.2396713714,0,0,0,0,0,0,0개,없음,0.0
2487.0,202835.15508499742,551268.9791747103,48,25,6,0,0,17,48개,주택,52.1
2488.0,204573.93449242046,551229.3369548863,0,0,0,0,0,0,0개,없음,0.0
2489.0,204582.64324887263,548878.7206755473,3,0,0,0,0,3,3개,기타,100.0
2490.0,205437.40277405505,548637.4635658235,10,2,7,0,0,1,10개,상업,70.0
2491.0,201866.23140429982,549578.2808905605,5,1,0,0,0,4,5개,기타,80.0
2492.0,204070.8491955677,549389.9258787344,5,1,0,0,0,4,5개,기타,80.0
2493.0,204387.2258919936,548773.2955418591,42,14,17,0,0,11,42개,상업,40.5
2494.0,203048.2317713122,550833.8367165272,2,0,0,0,0,2,2개,기타,100.0
2495.0,203906.80431492763,549789.028929474,15,2,4,0,1,8,15개,기타,53.3
2496.0,205247.4947448417,548229.1267371249,2,0,0,0,0,2,2개,기타,100.0
2497.0,204069.3450067926,549339.1648832887,2,1,0,0,0,1,2개,주택,50.0
2498.0,204633.9688797064,548432.5545358288,0,0,0,0,0,0,0개,없음,0.0
2499.0,203946.05271550207,549819.321291535,10,1,3,0,1,5,10개,기타,50.0
2500.0,204086.7386173232,548485.8455856098,0,0,0,0,0,0,0개,없음,0.0
2501.0,205188.27639815578,548163.5143593856,0,0,0,0,0,0,0개,없음,0.0
2502.0,203924.6697479824,549629.4184729963,12,0,5,0,0,7,12개,기타,58.3
2503.0,201365.66174715283,549091.301555293,13,1,4,0,0,8,13개,기타,61.5
2504.0,202299.68923051446,551367.9731696957,6,6,0,0,0,0,6개,주택,100.0
2505.0,204113.3068842915,548393.1844275444,0,0,0,0,0,0,0개,없음,0.0
2506.0,203693.9463358937,550484.814726433,5,0,0,0,0,5,5개,기타,100.0
2507.0,203548.04664062502,549466.348492156,0,0,0,0,0,0,0개,없음,0.0
2508.0,202587.6379035889,549989.8689143555,2,2,0,0,0,0,2개,주택,100.0
2509.0,204564.18124420888,551378.8036254307,27,22,0,0,0,5,27개,주택,81.5
2510.0,202843.78841918884,551304.8652309431,79,46,7,0,0,26,79개,주택,58.2
2511.0,205398.77552912929,548554.2577422205,18,11,3,1,0,3,18개,주택,61.1
2512.0,203398.4475784612,551199.8731855929,1,0,0,0,0,1,1개,기타,100.0
2513.0,204641.56405100203,548344.1235888317,0,0,0,0,0,0,0개,없음,0.0
2514.0,204172.8883174295,548619.1372732864,25,14,2,0,0,9,25개,주택,56.0
2515.0,205956.3992906552,549851.9626773599,3,0,1,0,1,1,3개,상업,33.3
2516.0,200794.15011760988,548740.5423768209,2,2,0,0,0,0,2개,주택,100.0
2517.0,202090.22079917407,550423.9149694393,7,1,0,0,0,6,7개,기타,85.7
2518.0,204617.21528791828,551150.4982843861,2,0,0,0,0,2,2개,기타,100.0
2519.0,203456.95986821014,550975.0307175409,3,0,2,0,0,1,3개,상업,66.7
2520.0,203729.9227180997,549558.5151584187,1,1,0,0,0,0,1개,주택,100.0
2521.0,204003.5872904602,549305.8846233322,22,2,5,0,0,15,22개,기타,68.2
2522.0,204488.5403908746,551284.2419844463,0,0,0,0,0,0,0개,없음,0.0
2523.0,202844.67017847355,550777.4910390258,3,0,1,0,0,2,3개,기타,66.7
2524.0,202907.97493580176,551293.4451300772,50,20,18,0,0,12,50개,주택,40.0
2525.0,203932.44056002988,550931.6770420499,3,0,0,0,0,3,3개,기타,100.0
2526.0,202559.5533015071,551086.4953696271,27,23,1,0,0,3,27개,주택,85.2
2527.0,204931.12423500486,548167.816947135,0,0,0,0,0,0,0개,없음,0.0
2528.0,202681.85449372558,550581.0836692401,0,0,0,0,0,0,0개,없음,0.0
