119안전센터명,기본주소,건물일련번호,시도명,대형화재취약대상여부,법정동명,화재보험종료일자,주용도명,사용여부,등록일자,관할소방서명,대상물명,사용승인일자,자체점검대상여부,문화재여부,공공기관여부,Y좌표,공공기관민간대상여부,화재보험가입일자,소방관련제조업여부,X좌표,소방방화시설완공일자,시군구명,건물명,화재보험회사명,자체점검대상명
영동119안전센터,서울특별시 강남구 논현동,11000000041900,서울특별시,,논현동,,숙박시설,Y,19990224,강남소방서,청아장여관,19870121,Y,N,,446212.63,,,,203656.37,,강남구,,,작동점검대상
영동119안전센터,서울특별시 강남구 논현동,11000000319454,서울특별시,,논현동,,숙박시설,Y,20180820,강남소방서,보코서울강남호텔,20210903,Y,N,,446483.23,,,N,202186.0,20210826,강남구,,,종합및작동점검대상
영동119안전센터,서울특별시 강남구 논현동,11000000333540,서울특별시,,논현동,,숙박시설,Y,20220414,강남소방서,아난티앳강남,20220413,Y,N,,446456.9,,,N,202607.69,20220411,강남구,아난티 앳 강남,,종합및작동점검대상
신길119안전센터,,11000000009230,서울특별시,N,신길동,,숙박시설,Y,20021213,영등포소방서,허브모텔(구.칠성장),19720419,N,,N,446015.32,,,,192833.82,,영등포구,,,
구로119안전센터,서울특별시 구로구 구로동,11000000099447,서울특별시,,구로동,20260223,숙박시설,Y,20050406,구로소방서,베르투(구.호텔베르사이유),20000629,Y,N,,444841.25,,20250223,,190428.03,,구로구,,동부화재,작동점검대상
구로119안전센터,서울특별시 구로구 구로동,11000000003733,서울특별시,N,구로동,,숙박시설,Y,20010708,구로소방서,구일여인숙,19670510,N,,N,443379.17,,,,189801.3,,구로구,,,
공단119안전센터,서울특별시 구로구 구로동,11000000318692,서울특별시,,구로동,,숙박시설,Y,20180625,구로소방서,컬리넌호텔,20180720,Y,N,,442416.55,,,N,191113.36,20180622,구로구,,,종합점검대상
현장대응단,,11000000100595,서울특별시,,불광동,20180501,숙박시설,Y,20040629,은평소방서,W모텔,20001219,Y,,,457899.94,,20170501,,192993.27,20001116,은평구,,(주)삼성화재보험,작동점검대상
현장대응단,서울특별시 강남구 삼성동,11000000074534,서울특별시,,삼성동,,숙박시설,Y,20041223,강남소방서,호텔 페이토 삼성(구.해광빌딩),19930329,Y,N,,445443.87,,,,205186.07,20150917,강남구,해강빌딩,,종합및작동점검대상
현장대응단,서울특별시 강남구 삼성동,11000000255452,서울특별시,,삼성동,,숙박시설,Y,20151222,강남소방서,호텔인나인,20190129,Y,N,,446247.2,,,N,205300.4,20190110,강남구,,,종합및작동점검대상
서교119안전센터,서울특별시 마포구 합정동,11000000028281,서울특별시,,합정동,,숙박시설,Y,20011219,마포소방서,"준희빈모텔(휴업중,261.1. 자체점검 연기)",19821208,Y,N,,449860.13,,,,192143.44,,마포구,준희빈호텔,,작동점검대상
서교119안전센터,,11000000025198,서울특별시,,합정동,,숙박시설,Y,20061220,마포소방서,서원장건물,19811118,Y,N,,449956.22,,,,192218.12,,마포구,,,작동점검대상
신림119안전센터,,11000000034108,서울특별시,,신림동,20180501,숙박시설,Y,20060831,관악소방서,도미니크호텔,19840921,Y,N,,442577.84,,20130501,,192688.04,,관악구,,삼성화재,작동점검대상
신림119안전센터,,11000000324803,서울특별시,,신림동,,숙박시설,Y,20191108,관악소방서,팰리스,20210210,Y,N,,443056.8,,,N,194886.22,20210128,관악구,,,종합점검대상
신림119안전센터,,11000000040335,서울특별시,,신림동,20210919,숙박시설,Y,20040602,관악소방서,홀리데이모텔,19860909,Y,N,,442619.66,,20180919,,193651.33,,관악구,,삼성화재보험,작동점검대상
신림119안전센터,,11000000155690,서울특별시,,신림동,20240903,숙박시설,Y,20131224,관악소방서,K2호텔,20131224,Y,N,,442872.93,,20140108,,193923.64,20131209,관악구,J&B 관광호텔,동부화재,작동점검대상
