시설ID,시설명,시설유형,소방서ID,X좌표,Y좌표,위도,경도,관할구역
1113105,공덕119안전센터,안전센터/구조대,1113000,196441.266,550064.11,37.5500887,126.9597275,"마포구중 : 공덕동, 신공덕동, 아현동"
1113106,성산119안전센터,안전센터/구조대,1113000,191441.542,552345.43,37.5706105,126.9031214,"마포구중 : 망원동(망원2동), 성산동, 중동"
1113107,상암119안전센터,안전센터/구조대,1113000,189510.674,553380.006,37.579912,126.88125,마포구중 : 상암동
1114000,강남소방서,소방서,1100000,205904.581,545647.847,37.5102861,127.0667838,"강남구중 : 개포동(개포1ㆍ2ㆍ4동) / 강남구중 : 삼성동(삼성 1ㆍ2동), 청담동, 대치동 (대치 1ㆍ2ㆍ4동) / 강남구중 : 율현동, 자곡동, 세곡동 / 강남구중 : 수서동, 일원동(일원본동ㆍ1ㆍ2동) / 강남구중 : 역삼동(역삼 1ㆍ2동), 도곡동(도곡 1ㆍ2동) / 강남구중 : 압구정동, 신사동, 논현동(논현 1ㆍ2동)"
1114103,영동119안전센터,안전센터/구조대,1114000,203263.086,546961.138,37.522132,127.036913,"강남구중 : 압구정동, 신사동, 논현동(논현 1ㆍ2동)"
1114104,역삼119안전센터,안전센터/구조대,1114000,203749.221,544188.934,37.4971525,127.0423982,"강남구중 : 역삼동(역삼 1ㆍ2동), 도곡동(도곡 1ㆍ2동)"
1114105,수서119안전센터,안전센터/구조대,1114000,208217.539,542835.887,37.4849325,127.0929132,"강남구중 : 수서동, 일원동(일원본동ㆍ1ㆍ2동)"
1114106,개포119안전센터,안전센터/구조대,1114000,204404.115,541691.158,37.4746445,127.0497891,강남구중 : 개포동(개포1ㆍ2ㆍ4동)
1114107,세곡119안전센터,안전센터/구조대,1114000,209500.811,541216.643,37.4703307,127.1074018,"강남구중 : 율현동, 자곡동, 세곡동"
1114401,삼성119안전센터,안전센터/구조대,1114000,205916.577,545650.852,37.5103131,127.0669195,"강남구중 : 삼성동(삼성 1ㆍ2동), 청담동, 대치동 (대치 1ㆍ2ㆍ4동)"
1115000,서초소방서,소방서,1100000,199281.198,544329.038,37.4984222,126.9918713,"서초구중 : 반포동[반포본ㆍ2ㆍ3동, 반포4동(19, 57, 63~65, 68, 69, 71, 72, 74, 75, 77~111, 520, 535, 547, 549~551, 577, 590, 610, 612번지), 방배동(방배본동ㆍ4동) / 서초구중 : 방배동(방배1~3동) / 서초구 중 : 서초1동(서초1동 중 다음번지 제외 : 360, 362~364, 374, 376~379, 381~384, 390, 400, 402, 409~411, 413, 418, 430, 431, 산30~31ㆍ36ㆍ49~53), 서초2동(서초2동 중 다음번지 제외 : 255~258, 261, 263, 265~272, 275, 278, 367, 369, 370, 산21~30), 서초3동 (서초3동 중 다음번지 제외 : 1420~1541, 1700, 1702~1720, 1725, 1727~1735, 1741~1742, 산121~125ㆍ 133~146ㆍ413~414) / 서초구중 : 양재동(양재1동중1~20번지, 양재2동), 염곡동, 원지동, 신원동, 내곡동 / 서초구 중 : 우면동, 양재1동(양재1동 중 1~20번지 제외), 서초1동 (서초1동 중 360, 362~364, 374, 376~379, 381~384, 390, 400, 402, 409~411, 413, 418, 430, 431, 산30~31ㆍ36ㆍ49~53), 서초2동(서초2동 중 255~258, 261, 263, 265~272, 275, 278, 367, 369, 370, 산21~30), 서초3동(서초3동 중 1420~1541, 1741~1742, 산121~125, 133~146ㆍ413~414) / 서초구중 : 잠원동, 반포1동, 반포4동 (반포4동중 다음번지 제외 : 19, 57, 63~65, 68, 69, 71, 72, 74, 75, 77~111, 520, 535, 547, 549~551, 577, 590, 610, 612), 서초3동(서초3동중 1700, 1702~1720, 1725, 1727~1735), 서초4동"
1115102,방배119안전센터,안전센터/구조대,1115000,198957.096,541787.001,37.4755179,126.9882097,서초구중 : 방배동(방배1~3동)
1115103,양재119안전센터,안전센터/구조대,1115000,203611.597,541107.838,37.4693921,127.0408268,"서초구중 : 양재동(양재1동중1~20번지, 양재2동), 염곡동, 원지동, 신원동, 내곡동"
1115104,서초119안전센터,안전센터/구조대,1115000,202438.48,543182.832,37.4880919,127.0275723,"서초구 중 : 서초1동(서초1동 중 다음번지 제외 : 360, 362~364, 374, 376~379, 381~384, 390, 400, 402, 409~411, 413, 418, 430, 431, 산30~31ㆍ36ㆍ49~53), 서초2동(서초2동 중 다음번지 제외 : 255~258, 261, 263, 265~272, 275, 278, 367, 369, 370, 산21~30), 서초3동 (서초3동 중 다음번지 제외 : 1420~1541, 1700, 1702~1720, 1725, 1727~1735, 1741~1742, 산121~125ㆍ 133~146ㆍ413~414)"
1115105,잠원119안전센터,안전센터/구조대,1115000,201028.564,544400.945,37.4990698,127.0116318,"서초구중 : 잠원동, 반포1동, 반포4동 (반포4동중 다음번지 제외 : 19, 57, 63~65, 68, 69, 71, 72, 74, 75, 77~111, 520, 535, 547, 549~551, 577, 590, 610, 612), 서초3동(서초3동중 1700, 1702~1720, 1725, 1727~1735), 서초4동"
1115106,우면119안전센터,안전센터/구조대,1115000,202099.815,542358.177,37.4806625,127.0237406,"서초구 중 : 우면동, 양재1동(양재1동 중 1~20번지 제외), 서초1동 (서초1동 중 360, 362~364, 374, 376~379, 381~384, 390, 400, 402, 409~411, 413, 418, 430, 431, 산30~31ㆍ36ㆍ49~53), 서초2동(서초2동 중 255~258, 261, 263, 265~272, 275, 278, 367, 369, 370, 산21~30), 서초3동(서초3동 중 1420~1541, 1741~1742, 산121~125, 133~146ㆍ413~414)"
1115401,반포119안전센터,안전센터/구조대,1115000,199281.198,544329.038,37.4984222,126.9918713,"서초구중 : 반포동[반포본ㆍ2ㆍ3동, 반포4동(19, 57, 63~65, 68, 69, 71, 72, 74, 75, 77~111, 520, 535, 547, 549~551, 577, 590, 610, 612번지), 방배동(방배본동ㆍ4동)"
