좌표정보X(EPSG5174),좌표정보Y(EPSG5174),대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,도로명대지위치,연면적(㎡),대지면적(㎡),건축면적(㎡),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지상층수,지하층수,사용승인일,허가일,승용승강기수,비상용승강기수,내진설계적용여부,용적률(%),건폐율(%),용적률산정연면적(㎡),용도지역,건폐율_법정상한(%),용적률_법정상한(%)
203599.06,444556.06,서울특별시 강남구 역삼동 676번지,11680,10100,0,676,0,10241100296843,서울특별시 강남구 테헤란로 231 (역삼동),239267.1,18489.7,6892.15,42.0,철골철근콘크리트구조,철골철근콘크리트구조,14000,업무시설,"업무시설,숙박시설,판매시설,문화 및 집회시설",36,7,20210130.0,20170421.0,48,7,1.0,880.92,37.28,162878.9,일반상업지역,80.0,800.0
203467.67,444535.85,서울특별시 강남구 역삼동 677-8번지,11680,10100,0,677,8,10241100219509,서울특별시 강남구 테헤란로37길 13-8 (역삼동),2967.31,338.2,201.22,21.0,철근콘크리트구조,철근콘크리트구조,02000,공동주택,"도시형생활주택, 업무시설, 관광숙발시설",13,3,20130430.0,20100915.0,1,0,1.0,699.25,59.5,2364.88,일반상업지역,80.0,800.0
203451.55,444529.42,서울특별시 강남구 역삼동 677-9번지,11680,10100,0,677,9,10241100244149,서울특별시 강남구 테헤란로37길 13-10 (역삼동),3227.77,342.5,198.54,21.0,철근콘크리트구조,철근콘크리트구조,15000,숙박시설,숙박시설(관광호텔),14,3,20150422.0,20121220.0,2,0,1.0,735.84,57.97,2520.25,일반상업지역,80.0,800.0
203435.08,444522.85,서울특별시 강남구 역삼동 677-10번지,11680,10100,0,677,10,1000000000000001789121,서울특별시 강남구 테헤란로37길 13-12 (역삼동),3466.0537,339.9,203.65,21.0,철근콘크리트구조,철근콘크리트구조,15000,숙박시설,"숙박시설(숙박시설및제1종근생시설(소매점,사무소))",14,4,20230517.0,20210421.0,1,0,1.0,773.24,59.91,2628.2262,일반상업지역,80.0,800.0
203414.87,444515.57,서울특별시 강남구 역삼동 677-11번지,11680,10100,0,677,11,1024112267,서울특별시 강남구 테헤란로33길 16 (역삼동),3001.86,497.3,293.12,21.0,철근콘크리트구조,철근콘크리트조,15000,숙박시설,숙박시설 위락시설,8,2,19891031.0,19890729.0,0,0,1.0,448.78,58.94,2231.76,일반상업지역,80.0,800.0
203444.74,444499.1,서울특별시 강남구 역삼동 677-13번지,11680,10100,0,677,13,102416841,서울특별시 강남구 테헤란로37길 13-13 (역삼동),2785.91,340.3,203.82,21.0,철근콘크리트구조,철근콘크리트구조,15000,숙박시설,숙박시설 / 위락시설,12,3,20031224.0,20020618.0,1,0,1.0,599.92653,59.89,2041.55,일반상업지역,80.0,800.0
203460.42,444505.16,서울특별시 강남구 역삼동 677-14번지,11680,10100,0,677,14,1024115490,서울특별시 강남구 테헤란로37길 13-11 (역삼동),2207.76,340.0,203.84,21.0,철근콘크리트구조,철근콘크리트조,15000,숙박시설,숙박시설,10,1,20020525.0,20010510.0,1,0,1.0,542.61,59.95,1844.86,일반상업지역,80.0,800.0
203491.72,444517.24,서울특별시 강남구 역삼동 677-16번지,11680,10100,0,677,16,10241100310423,서울특별시 강남구 테헤란로37길 13-5 (역삼동),2408.2463,339.9,200.0025,21.0,철근콘크리트구조,철근콘크리트구조,15000,숙박시설,숙박시설,12,2,20220221.0,20200720.0,2,0,1.0,633.67,58.84,2153.8575,일반상업지역,80.0,800.0
203497.92,444499.02,서울특별시 강남구 역삼동 677-19번지,11680,10100,0,677,19,1024123715,서울특별시 강남구 테헤란로33길 6-11 (역삼동),1995.02,414.3,245.8,21.0,철근콘크리트구조,철근콘크리트구조,15000,숙박시설,"숙박시설,여관 45객실",9,1,20040107.0,20020830.0,1,0,1.0,434.51,59.33,1800.17,일반상업지역,80.0,800.0
203475.82,444490.5,서울특별시 강남구 역삼동 677-20번지,11680,10100,0,677,20,102417627,서울특별시 강남구 테헤란로33길 6-7 (역삼동),1999.02,446.6,257.63,21.0,철근콘크리트구조,철근콘크리트조,16000,위락시설,"숙박시설,위락시설",6,3,20020124.0,20000630.0,1,0,1.0,275.71,57.69,1231.3,일반상업지역,80.0,800.0
