구,동,숙소명,승인연도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,업종,건물용도명,총층수,시설규모/연면적,위험점수_AHP,AHP_매칭방식,업종그룹,공통_3등급,업종군별_3등급,x_5181,y_5181,군집
종로구,창신동,D-STAY HOSTEL,1968,6,0.0,0.1482530044498824,0.1808,0.08,37.56798355,127.00952148,관광숙박업,숙박시설,6,248.0,40.99,exact,기존숙박군,보통,보통,200841.18,452049.5,3
종로구,돈의동,더 메이 호텔,2020,21,71.4,0.9408455369813622,0.1065,0.45,37.56923344,126.98879056,관광숙박업,숙박시설,11,847.0,24.36,exact,기존숙박군,안전,안전,199009.72,452188.24,4
종로구,숭인동,루나하우스,1970,30,46.7,1.2512891288770671,0.4553,0.85,37.57353634,127.0219178,관광숙박업,숙박시설,4,83.0,44.57,exact,기존숙박군,보통,보통,201936.19,452665.98,2
종로구,익선동,엠제이호텔,2005,18,55.6,2.672021859258811,0.1279,0.7,37.57227399,126.98806987,관광숙박업,숙박시설,8,1041.0,26.36,exact,기존숙박군,안전,안전,198946.09,452525.72,5
종로구,익선동,킹스가든,2012,21,71.4,2.500969678805677,0.1179,0.7,37.57179889,126.98893263,관광숙박업,숙박시설,10,365.0,24.39,exact,기존숙박군,안전,안전,199022.3,452472.98,5
종로구,관철동,수레지던스,1981,5,0.0,0.5596157879354227,0.1623,0.55,37.56655068,126.98415388,관광숙박업,숙박시설,6,213.0,53.76,exact,기존숙박군,위험,위험,198600.04,451890.55,6
종로구,창신동,동대문 서울달빛,1982,10,40.0,1.9997770917556368,0.1608,1.0,37.56916257,127.01374879,관광숙박업,숙박시설,4,385.0,27.51,exact,기존숙박군,안전,안전,201214.62,452180.41,5
종로구,연건동,브루클린,2025,11,63.6,1.0283354452521425,0.1,1.0,37.57244418,127.00083322,관광숙박업,숙박시설,12,1331.0,31.44,exact,기존숙박군,안전,안전,200073.61,452544.54,1
종로구,숭인동,케이디 호스텔,2019,22,90.9,0.7940648516932153,0.1079,0.7,37.57044997,127.01867554,관광숙박업,숙박시설,11,518.0,34.75,exact,기존숙박군,안전,보통,201649.84,452323.37,1
종로구,장사동,센추럴,1969,25,64.0,2.574111725223541,0.1794,0.85,37.56604937,126.99210865,관광숙박업,"숙박시설(호텔), 위락시설(주점영업)",10,6309.0,46.1,exact,기존숙박군,보통,보통,199302.82,451834.82,5
종로구,창신동,VATICA HOTEL(바티카 호텔),1969,14,71.4,0.0564856021345574,0.1794,0.85,37.56737832,127.01474752,관광숙박업,영업용,9,3292.0,33.99,exact,기존숙박군,안전,보통,201302.88,451982.39,1
종로구,명륜4가,호스텔 데이,1998,5,0.0,2.6288008294480694,0.138,0.18,37.57929506,126.99713608,관광숙박업,숙박시설,8,349.0,34.82,exact,기존숙박군,안전,보통,199747.02,453304.91,5
종로구,숭인동,루미아호텔,2017,2,100.0,0.2694761079552084,0.1108,0.25,37.57109607,127.02145559,관광숙박업,관광숙박시설,15,1998.0,39.09,exact,기존숙박군,보통,보통,201895.42,452395.13,4
종로구,창신동,24guesthouse동대문마켓점,1992,6,0.0,0.2810012094609484,0.1465,0.18,37.56790086,127.00943028,관광숙박업,근린생활시설,6,152.0,31.72,exact,기존숙박군,안전,안전,200833.12,452040.32,3
종로구,관철동,호스텔 클로이,1985,14,0.0,0.4418327522790392,0.1565,0.08,37.56597443,126.98782642,관광숙박업,"근린생활시설, 업무시설",6,293.0,49.95,exact,기존숙박군,보통,위험,198924.49,451826.54,3
종로구,원남동,메이플레이스 호텔 서울 동대문,2014,17,70.6,1.2008429113170085,0.115,0.18,37.57336561,126.99794846,관광숙박업,숙박시설(관광호텔),15,4943.0,29.53,exact,기존숙박군,안전,안전,199818.77,452646.81,4
종로구,권농동,언플러그 안국,1997,54,72.2,2.3135541243646194,0.1394,0.85,37.57427525,126.99045283,관광숙박업,숙박시설,6,1353.0,38.08,exact,기존숙박군,보통,보통,199156.62,452747.81,0
종로구,수송동,신라스테이 광화문,2015,2,50.0,0.589606501619105,0.1136,0.08,37.56990125,126.98030475,관광숙박업,"숙박시설(관광호텔 및 부대시설),업무시설,판매시설",23,17595.0,42.83,exact,기존숙박군,보통,보통,198260.06,452262.48,4
종로구,인의동,호텔 아트리움,2004,31,74.2,0.3467462995973981,0.1293,0.18,37.56913495,126.99733645,관광숙박업,호텔,17,9969.0,36.49,exact,기존숙박군,안전,보통,199764.69,452177.26,4
종로구,낙원동,베스트웨스턴 종로(인사동),2016,18,61.1,1.8758425864385964,0.1122,0.85,37.5696394,126.98875606,관광숙박업,숙박시설,12,1604.0,21.84,exact,기존숙박군,안전,안전,199006.67,452233.3,1
종로구,숭인동,아이비씨호텔,2016,18,88.9,0.9974430536743816,0.1122,1.0,37.57050676,127.02206499,관광숙박업,호텔,22,2997.0,40.53,exact,기존숙박군,보통,보통,201949.27,452329.74,1
종로구,관철동,호스텔 하루,1967,4,25.0,2.415417623490573,0.1823,0.08,37.56622871,126.98353342,관광숙박업,숙박시설,14,588.0,56.92,exact,기존숙박군,위험,위험,198545.22,451854.82,5
종로구,익선동,ICON,2012,19,47.4,2.7817292841849,0.1179,0.7,37.57209924,126.98812931,관광숙박업,근린생활시설,10,861.0,22.21,exact,기존숙박군,안전,안전,198951.34,452506.32,5
종로구,익선동,호텔 다다-인사,2013,22,77.3,1.9857296100625288,0.1165,0.7,37.57189895,126.98875238,관광숙박업,숙박시설,10,956.0,25.1,exact,기존숙박군,안전,안전,199006.38,452484.08,1
종로구,낙원동,종로크라운,1988,8,62.5,0.9824726387554562,0.1523,0.55,37.57131629,126.9874005,관광숙박업,숙박시설,11,4286.0,30.33,exact,기존숙박군,안전,안전,198886.94,452419.43,4
종로구,평창동,동화킴스관광호텔,1990,0,0.0,0.0,0.1494,1.0,37.60669991,126.97433044,관광숙박업,숙박시설(관광호텔),6,3170.0,50.98,exact,기존숙박군,보통,위험,197733.39,456346.85,6
종로구,낙원동,오라카이 인사동 스위츠,2002,19,94.7,0.6194439847728106,0.1322,0.08,37.57025733,126.98654665,관광숙박업,호텔,30,45510.0,40.0,exact,기존숙박군,보통,보통,198811.5,452301.91,4
종로구,관수동,호텔베뉴지,1994,24,75.0,0.2811160606808903,0.1436,0.08,37.56598513,126.9900523,관광숙박업,숙박시설,13,6629.0,39.35,exact,기존숙박군,보통,보통,199121.14,451827.71,4
종로구,관훈동,아미드 호텔 서울,1985,5,60.0,1.2127064842946906,0.1565,0.12,37.56984481,126.98341181,관광숙박업,숙박시설,18,15679.0,48.72,exact,기존숙박군,보통,위험,198534.55,452256.17,4
종로구,당주동,포시즌스 호텔 서울,2015,11,9.1,0.0120121564480035,0.1136,0.55,37.56801651,126.97463351,관광숙박업,호텔,32,67265.0,63.42,exact,기존숙박군,위험,위험,197758.99,452053.42,6
종로구,와룡동,Hostel Tommy 호스텔 토미,1965,62,69.4,2.1717454920352344,0.1851,1.0,37.5716747,126.99041695,관광숙박업,숙박시설,4,469.0,42.29,exact,기존숙박군,보통,보통,199153.43,452459.18,0
종로구,운니동,노블관광호텔,2005,22,54.5,3.049457672910154,0.1279,0.85,37.57393452,126.98887068,관광숙박업,숙박시설,6,1229.0,25.32,exact,기존숙박군,안전,안전,199016.86,452710.01,5
종로구,와룡동,바운드 호스텔,2013,90,66.7,0.9784679768260464,0.248,1.0,37.57338396,126.98952523,관광숙박업,숙박시설,6,1482.0,38.85,exact,기존숙박군,보통,보통,199074.67,452648.89,0
종로구,익선동,호텔 이비스앰배서더 인사동,2013,12,58.3,2.352052076140245,0.1165,0.7,37.57168791,126.98843016,관광숙박업,호텔,12,14346.0,21.36,exact,기존숙박군,안전,안전,198977.91,452460.66,5
종로구,종로6가,(주) 동승 JW메리어트 동대문 스퀘어 서울,2015,15,73.3,1.9090851529441544,0.1136,1.0,37.56764454,127.00812433,관광숙박업,숙박시설,16,41731.0,24.49,exact,기존숙박군,안전,안전,200717.75,452011.86,1
종로구,인사동,도미인 익스프레스 서울 인사동,2018,26,88.5,3.678599523494187,0.1094,0.7,37.56962018,126.9863919,관광숙박업,호텔,16,4543.0,35.69,exact,기존숙박군,안전,보통,198797.82,452231.19,5
종로구,효제동,더도아스테이,2020,13,84.6,2.205256749033484,0.1065,0.7,37.57184081,127.00175573,관광숙박업,업무시설,11,95.0,41.48,exact,기존숙박군,보통,보통,200155.1,452477.57,1
종로구,창신동,케이스테이,1970,2,50.0,2.577167206594277,0.178,0.08,37.56874973,127.01018412,관광숙박업,숙박시설,6,498.0,31.56,exact,기존숙박군,안전,안전,200899.71,452134.55,5
종로구,창신동,오리지날 백패커스,1966,2,100.0,1.4376179213932505,0.1837,0.18,37.56968368,127.01175024,관광숙박업,숙박시설,6,276.0,34.61,exact,기존숙박군,안전,보통,201038.05,452238.22,4
중구,(장충동,앰배서더 서울 풀만 호텔,1963,3,0.0,0.0,0.188,0.45,37.55742965,127.00160709,숙박업,"숙박시설,호텔, 관광호텔, 관람집회시설, 근린생활시설, 영업, 운동시설",20,32899.27,65.74,exact,기존숙박군,위험,위험,200142.0,450878.1,3
성동구,성동,호텔 포코 성수,2014,14,42.9,4.611152257665639,0.115,0.85,37.54070199,127.0562547,관광숙박업,관광호텔,13,3177.53,28.78,exact,기존숙박군,안전,안전,204971.65,449023.02,5
중구,(회현동,루미아 호텔,2015,0,0.0,0.0219789067187752,0.1136,0.12,37.55527178,126.97898241,관광숙박업,호텔,6,956.0,14.35,exact,기존숙박군,안전,안전,198142.88,450638.81,3
중구,(광희동,소테츠호텔즈 더 스프라지르 서울 동대문,2015,10,70.0,1.3909133069761852,0.1136,0.7,37.5619628,127.00695765,관광숙박업,호텔,25,12563.0,33.04,exact,기존숙박군,안전,안전,200614.72,451381.25,1
중구,명동,호텔 크레토,2015,5,0.0,0.4885317068067778,0.1136,0.12,37.55924412,126.98729931,관광숙박업,관광호텔,10,1377.0,11.38,exact,기존숙박군,안전,안전,198877.82,451079.56,3
중구,남창동,24게스트하우스 명동타운점,1964,41,70.7,0.8002011767241046,0.1866,1.0,37.55661038,126.97811019,관광숙박업,"업무시설, 제1종근린생활시설",11,267.0,51.4,exact,기존숙박군,보통,위험,198065.85,450787.4,0
중구,쌍림동,호텔 더 디자이너스 동대문,2015,53,67.9,0.616029877215514,0.1136,0.85,37.56091185,127.00486601,관광숙박업,관광호텔,20,4804.0,48.98,exact,기존숙박군,보통,위험,200429.93,451264.6,0
중구,명동,솔라리아 니시테츠 호텔 서울 명동,1971,23,69.6,1.7060041108251514,0.1766,0.7,37.55974994,126.98437425,관광숙박업,호텔,24,12389.0,31.78,exact,기존숙박군,안전,안전,198619.39,451135.74,1
중구,태평로2가,24게스트하우스 서울시청점,1960,3,0.0,2.1118068261818674,0.1922,0.55,37.56195615,126.97553552,관광숙박업,제2종근린생활시설,6,358.0,58.65,exact,기존숙박군,위험,위험,197838.51,451380.77,5
중구,명동,호텔 스카이파크 센트럴 명동점,2002,28,85.7,2.0163512467186298,0.1322,0.85,37.56189383,126.9844402,관광숙박업,"숙박시설, 제2종근린생활시설",23,18586.0,36.31,exact,기존숙박군,안전,보통,198625.25,451373.69,1
중구,을지로5가,에이큐브 호텔,1985,49,85.7,0.6879433526849182,0.1565,0.85,37.56347491,127.00124884,관광숙박업,"관광숙박시설, 근린생활시설",10,2387.0,58.95,exact,기존숙박군,위험,위험,200110.34,451549.05,0
중구,북창동,소테츠호텔즈 더 스프라지르 서울 명동,2015,15,73.3,0.123132685403624,0.1136,0.85,37.55930346,126.97797124,관광숙박업,관광숙박시설(관광호텔),22,18599.0,27.65,exact,기존숙박군,안전,안전,198053.64,451086.3,1
중구,주교동,2U호스텔,1967,21,0.0,1.9250905212729232,0.1823,1.0,37.56586745,126.99740093,관광숙박업,"점포, 사무실, 숙박시설",5,358.0,56.73,exact,기존숙박군,위험,위험,199770.38,451814.6,6
중구,장교동,롯데시티호텔명동,2015,3,0.0,0.752336051950276,0.1136,0.08,37.56418691,126.9872883,관광숙박업,관광호텔,30,25334.0,32.71,exact,기존숙박군,안전,안전,198876.93,451628.15,3
중구,충무로2가,호텔 스카이파크3,1969,27,81.5,0.7798304197287472,0.1794,1.0,37.55856041,126.98658709,관광숙박업,호텔,11,5866.0,38.27,exact,기존숙박군,보통,보통,198814.88,451003.69,1
중구,(남산동,자자백팩커스,1985,0,0.0,0.0,0.1565,0.85,37.55605441,126.98563136,관광숙박업,숙박시설,5,608.0,18.99,exact,기존숙박군,안전,안전,198730.4,450725.56,6
중구,명동,서울 라이트 인 명동,1969,19,68.4,1.7510884294971272,0.1794,0.35,37.56145726,126.98456352,관광숙박업,"사무실, 근린생활시설,숙박시설",17,506.0,42.64,exact,기존숙박군,보통,보통,198636.14,451325.23,4
중구,(남산동,오요5,1983,1,100.0,2.128231705849268,0.1594,0.12,37.55618747,126.98405523,관광숙박업,"숙박시설, 주택",5,611.0,32.77,exact,기존숙박군,안전,안전,198591.13,450740.35,4
중구,(남산동,오요6(OYO6),2011,3,100.0,1.845368919833436,0.1194,0.7,37.55655506,126.98441998,관광숙박업,제2종근린생활시설,6,260.0,15.96,exact,기존숙박군,안전,안전,198623.37,450781.15,1
중구,을지로6가,케이스타호텔,1986,19,47.4,0.6931471805599453,0.1551,0.85,37.56374548,127.00581237,관광숙박업,"업무시설, 근린생활시설",15,5706.0,44.91,exact,기존숙박군,보통,보통,200513.52,451579.1,1
중구,주교동,엘림 호스텔,1968,34,58.8,0.1177830356563834,0.1808,0.7,37.56629135,127.00045147,관광숙박업,"영업, 관광숙박시설",6,880.5,61.58,exact,기존숙박군,위험,위험,200039.89,451861.65,0
중구,을지로3가,로스터블록,1971,37,78.4,0.2993933318726824,0.1766,1.0,37.56339033,126.99268792,관광숙박업,"주택, 점포",3,116.2,35.76,exact,기존숙박군,안전,보통,199353.97,451539.69,0
중구,(회현동,제이오너 호스텔,2006,3,0.0,0.7282385003712154,0.1265,0.08,37.55530397,126.98284082,관광숙박업,숙박시설,4,613.0,27.78,exact,기존숙박군,안전,안전,198483.81,450642.31,3
중구,충무로5가,머룸스테이,1955,32,62.5,0.5643439291313687,0.4817,0.45,37.56119377,127.00084581,관광숙박업,숙박시설,2,43.0,59.75,exact,기존숙박군,위험,위험,200074.73,451295.87,2
중구,(광희동,STAY ON,1966,9,55.6,1.0736109864626924,0.1837,1.0,37.5618116,127.00675249,관광숙박업,영업,6,79.0,52.07,exact,기존숙박군,위험,위험,200596.6,451364.47,1
중구,을지로7가,라하 부티크 디디피,2012,24,95.8,0.4663738611951568,0.1179,0.85,37.56262124,127.0082658,관광숙박업,"제1종근린생활시설, 업무시설, 관광숙박시설",13,328.0,32.53,exact,기존숙박군,안전,안전,200730.3,451454.34,1
중구,(회현동,호텔 블리스 I,2025,9,88.9,0.5616258388634469,0.1,0.08,37.55681031,126.98310837,관광숙박업,관광숙박시설,8,1048.0,8.1,exact,기존숙박군,안전,안전,198507.48,450809.5,4
중구,서소문동,정동스테이25(JEONGDONG STAY 25),2024,2,0.0,1.3293120501244582,0.1011,0.7,37.56106147,126.97459289,관광숙박업,제2종근린생활시설,10,1348.48,31.82,exact,기존숙박군,안전,안전,197755.2,451281.49,6
중구,소공동,크라운파크 호텔 서울 명동,1971,7,71.4,1.3237147044676525,0.1766,0.85,37.56101578,126.9799895,관광숙박업,"업무시설, 근린생활시설, 관광숙박시설",18,10258.0,41.38,exact,기존숙박군,보통,보통,198232.0,451276.31,1
중구,황학동,호스텔 소우재,1984,51,82.4,1.6453061451866118,0.158,1.0,37.56418869,127.0203495,관광숙박업,근린생활시설(소매점),4,301.52,46.61,exact,기존숙박군,보통,보통,201797.87,451628.47,0
중구,(회현동,호텔블리스Ⅱ,2025,4,100.0,0.2089589163222533,0.1,0.08,37.55663789,126.9831709,관광숙박업,숙박시설,7,468.0,10.73,exact,기존숙박군,안전,안전,198513.0,450790.36,4
중구,(회현동,보코 언 아이에이치지 호텔,1979,3,33.3,1.3516741604732871,0.1652,0.12,37.5557044,126.97785909,관광숙박업,숙박시설,21,26031.0,41.84,exact,기존숙박군,보통,보통,198043.64,450686.85,3
중구,명동,유스테이호스텔(U-STAY HOSTEL),1964,19,52.6,1.7645098267806796,0.1866,0.7,37.56011013,126.98486327,관광숙박업,숙박시설,6,398.0,35.58,exact,기존숙박군,안전,보통,198662.6,451175.71,1
중구,을지로5가,나인트리 바이 파르나스 서울 동대문,2019,26,76.9,0.8946039777841406,0.1079,0.7,37.56386326,127.00211965,관광숙박업,관광숙박시설,23,8872.0,42.71,exact,기존숙박군,보통,보통,200187.27,451592.16,1
중구,남대문로2가,스탠포드호텔 명동,2021,6,33.3,5.676753802268282,0.105,0.08,37.56189911,126.98190996,관광숙박업,"숙박시설,판매시설,근린생활시설",22,12100.0,15.5,exact,기존숙박군,안전,안전,198401.7,451374.31,5
중구,신당동,케이그랜드호텔 DDP,1971,4,0.0,2.25044254165524,0.4535,0.55,37.56571746,127.0106231,관광숙박업,숙박시설,7,294.0,32.35,exact,기존숙박군,안전,안전,200938.53,451798.0,5
중구,주교동,zip 1972 hostel,1963,9,22.2,1.2918251737361308,0.188,1.0,37.56535668,126.99747477,관광숙박업,"근린생활시설,교육연구시설,관광숙박시설",3,179.0,50.54,exact,기존숙박군,보통,위험,199776.9,451757.91,6
중구,충무로3가,스테이모드,1965,3,0.0,1.6193781504839415,0.1851,0.7,37.55941767,126.98975855,관광숙박업,관광숙박시설(호스텔),4,276.52,34.12,exact,기존숙박군,안전,보통,199095.11,451098.8,6
