X좌표,Y좌표,대지위치,시군구코드,법정동코드,대지구분코드,번,지,사업장명,관리건축물대장PK,도로명대지위치,연면적(㎡),구조코드,기타구조,주용도코드,기타용도,지상층수,지하층수,총층수,사용승인일,허가일,승용승강기수,비상용승강기수,내진설계적용여부,구,동,위도,경도,최근접_안전센터,안전센터_유클리드m,최근접_소방서,소방서_유클리드m,최근접_거리m,이동시간초,예상도착초,담당_안전센터,담당_소방서,승인연도,건물나이,소방접근성_점수,반경_50m_건물수,집중도(%),주요_시설군,위험점수_PCA,위험점수_AHP,군집,노후도_zscore,고유단속지점수_50m,로그_주변대비_상대위험도_고유단속지점_50m,숙소ID,인접도로명,인접도로폭,지도표시도로폭,도로폭_출처,도로폭_도로구간매칭,도로폭_거리m,공식도로폭m,도로폭_위험도,도로폭_속도계수,도로폭_보정이동시간초,도로폭_보정예상도착초,실폭도로ID,실폭도로일련번호,도로구간관리번호,도로명코드,구조_노후_통합점수,상업비율(%)
200328.85058794,451973.845648666,서울특별시 종로구 종로5가 503-7번지,11110,16300,0,503,7,고유리(Goyu;re),100217381,서울특별시 종로구 종로36나길 10-1 (종로5가),348.19,21.0,철근콘크리트조,04000,"사무실, 점포, 주택",4,1,5,19751229.0,,0,0,0.0,종로구,,37.56730221,127.0037223,을지로119안전센터,754.0,중부소방서,1066.0,754.0,90.0,150.0,,,1975.0,50.0,0.623,5.0,100.0,기타,96.91,56.87,1.0,1.0144113552805107,18.0,0.0575238441381866,21.0,퇴계로,폭35-40m,6m미만,API,교차,38.73,39.0,0.08,0.95,86.0,146.0,1723.0,350.0,1507.0,3101011.0,0.1708,75.0
200297.411363988,452567.967939751,서울특별시 종로구 충신동 69-4번지,11110,16700,0,69,4,온코리아 스테이,1002116930,서울특별시 종로구 율곡로 230-13 (충신동),396.42,21.0,철근콘크리트조,15000,"숙박시설(호스텔), 창고시설",5,1,6,19940113.0,19930603.0,0,0,0.0,종로구,충신동,37.57265524,127.00336668,연건119안전센터,759.0,중부소방서,1367.0,759.0,91.0,150.0,숭인119안전센터,종로소방서,1994.0,31.0,0.6205,8.0,75.0,상업,72.96,46.34,0.0,-0.0819917164347653,149.0,0.8026314134016336,22.0,대학로2길,6m미만,6m미만,API,교차,77.48,4.0,1.0,1.3,118.0,178.0,1016.0,246.0,1418.0,4100038.0,0.1436,75.0
198906.525582464,452222.26053706,서울특별시 종로구 낙원동 235-11번지,11110,13700,0,235,11,하프레스트 호스텔,1002122538,서울특별시 종로구 종로17길 48 (낙원동),554.17,21.0,"철근콘크리트조, 경량철골조",15000,근린생활시설 및 관광숙박시설(호스텔),5,2,7,20000502.0,19940910.0,0,0,0.0,종로구,낙원동,37.56953983,126.98762245,종로119안전센터,464.0,종로소방서,821.0,464.0,56.0,114.0,종로119안전센터,종로소방서,2000.0,25.0,0.768,16.0,75.0,상업,73.46,34.4,1.0,-0.4282242653974841,1455.0,1.5746285077682394,23.0,종로,폭35-40m,6m미만,API,교차,0.0,35.0,0.08,0.95,53.0,113.0,2584.0,214.0,687.0,3100013.0,0.5361,50.0
201689.360291466,452306.010081257,서울특별시 종로구 숭인동 217-6번지,11110,17500,0,217,6,엔조이스테이 호스텔,1000000000000004896269,서울특별시 종로구 난계로29길 65-14 (숭인동),998.35,21.0,철근콘크리트구조,15000,"근린생활시설, 숙박시설(관광숙박시설)",5,0,5,20241226.0,20230428.0,1,0,1.0,종로구,숭인동,37.57029351,127.01912285,무학119안전센터,686.0,중부소방서,676.0,676.0,81.0,144.0,,,2024.0,1.0,0.662,48.0,50.0,상업,51.52,36.9,0.0,-1.813154461248359,511.0,1.1337273076890122,24.0,마장로9길,폭8-10m,폭10-12m,API,교차,5.6,8.0,0.7,1.14,92.0,152.0,2410.0,60.0,1702.0,4103141.0,0.1011,33.33
201057.431070167,452245.944639053,서울특별시 종로구 창신동 160번지,11110,17400,0,160,0,이온호텔,1000000000000000165930,서울특별시 종로구 종로 313-6 (창신동),962.63,21.0,철근콘크리트구조,15000,관광숙박시설(호스텔),7,1,8,20220928.0,20161229.0,1,0,1.0,종로구,창신동,37.56975326,127.01196959,을지로119안전센터,321.0,중부소방서,615.0,321.0,39.0,96.0,,,2022.0,3.0,0.8395,3.0,33.3,주택,32.29,10.45,0.0,-1.6977436115941196,869.0,1.6502405363066972,25.0,청계천로,폭25-30m,폭25-30m,공식만,교차,0.0,25.0,0.18,0.98,38.0,98.0,817.0,464.0,1513.0,3100021.0,0.1036,0.0
198819.574269631,451942.979071945,서울특별시 종로구 관철동 6-2번지,11110,13500,0,6,2,오아시스 트레블러스 종로,1002110085,서울특별시 종로구 삼일대로 393-1 (관철동),626.6,21.0,철근콘크리트조,03000,"점포, 노래연습장, 일반음식점",6,1,7,19690603.0,,0,0,0.0,종로구,관철동,37.56702341,126.98663866,종로119안전센터,695.0,종로소방서,1105.0,695.0,83.0,144.0,세종로119안전센터,종로소방서,1969.0,56.0,0.6525,1.0,100.0,사무,96.66,55.97,1.0,1.3606439042432297,152.0,1.652923024373839,26.0,남대문로10길,폭10-12m,폭6-8m,API,교차,19.54,10.0,0.55,1.08,90.0,150.0,2124.0,169.0,1225.0,4103012.0,0.1794,0.0
198656.933623902,451906.850293023,서울특별시 종로구 관철동 19-1번지,11110,13500,0,19,1,스테이 마루 종로,1002128077,서울특별시 종로구 종로12길 14 (관철동),1756.9,21.0,"철근콘크리트조, 연와조",04000,제2종근린생활시설,7,1,8,19650925.0,19650810.0,1,0,0.0,종로구,관철동,37.56669767,126.98479778,종로119안전센터,843.0,종로소방서,1166.0,843.0,101.0,162.0,세종로119안전센터,종로소방서,1965.0,60.0,0.5785,3.0,66.7,사무,64.76,58.48,1.0,1.5914656035517083,16.0,0.3677247801253173,27.0,남대문로10길,폭10-12m,폭6-8m,API,교차,5.38,10.0,0.55,1.08,109.0,169.0,2124.0,169.0,1225.0,4103012.0,0.4641,50.0
200902.807232242,452137.584346747,서울특별시 종로구 창신동 465번지,11110,17400,0,465,0,동대문인순,1002116828,서울특별시 종로구 종로 298 (창신동),272.63,21.0,철근콘크리트조,04000,"점포, 도서실",5,1,6,19341125.0,,0,0,0.0,종로구,창신동,37.56877711,127.01021919,을지로119안전센터,277.0,중부소방서,627.0,277.0,33.0,96.0,,,1934.0,91.0,0.8615,2.0,50.0,상업,48.68,45.68,1.0,3.380333773192422,2535.0,2.585960082443016,28.0,퇴계로,폭35-40m,6m미만,API,교차,0.0,39.0,0.08,0.95,31.0,91.0,1723.0,350.0,1507.0,3101011.0,0.2295,60.61
199157.903207703,452735.594736647,서울특별시 종로구 권농동 134-1번지,11110,13100,0,134,1,스테이 종로 온당,10021100186947,서울특별시 종로구 율곡로 110-16 (권농동),140.38,21.0,철근콘크리트구조,15000,관광숙박시설(호스텔),2,1,3,20091231.0,20090604.0,0,0,0.0,종로구,권농동,37.57416521,126.99046732,종로119안전센터,363.0,종로소방서,390.0,363.0,44.0,102.0,종로119안전센터,종로소방서,2009.0,16.0,0.8185,66.0,60.6,상업,63.0,36.56,1.0,-0.9475730888415622,1190.0,2.277267285009756,29.0,삼일대로30길,폭6-8m,6m미만,API,교차,6.31,6.0,0.85,1.22,54.0,114.0,999.0,200.0,1302.0,4100145.0,0.1222,50.0
200613.281663753,452191.016680922,서울특별시 종로구 종로6가 49번지,11110,16400,0,49,0,편안정,1002129286,서울특별시 종로구 종로43길 15 (종로6가),703.1,21.0,철근콘크리트조,04000,근린생활시설,5,1,6,19801110.0,19920724.0,0,0,0.0,종로구,,37.56925877,127.006942,을지로119안전센터,538.0,중부소방서,890.0,538.0,65.0,126.0,,,1980.0,45.0,0.731,2.0,50.0,상업,48.51,37.81,1.0,0.7258842311449117,165.0,0.7023638356648694,30.0,청계천로,폭25-30m,폭25-30m,공식만,교차,20.52,25.0,0.18,0.98,64.0,124.0,817.0,464.0,1513.0,3100021.0,0.1637,85.71
