구,동,숙소명,승인연도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도
종로구,창신동,케이스테이,1970,2,50.0,2.577167206594277,0.178,0.08,37.56874973,127.01018412
종로구,창신동,오리지날 백패커스,1966,2,100.0,1.4376179213932505,0.1837,0.18,37.56968368,127.01175024
중구,(장충동,앰배서더 서울 풀만 호텔,1963,3,0.0,0.0,0.188,0.45,37.55742965,127.00160709
성동구,성동,호텔 포코 성수,2014,14,42.9,4.611152257665639,0.115,0.85,37.54070199,127.0562547
중구,(회현동,루미아 호텔,2015,0,0.0,0.0219789067187752,0.1136,0.12,37.55527178,126.97898241
중구,(광희동,소테츠호텔즈 더 스프라지르 서울 동대문,2015,10,70.0,1.3909133069761852,0.1136,0.7,37.5619628,127.00695765
중구,명동,호텔 크레토,2015,5,0.0,0.4885317068067778,0.1136,0.12,37.55924412,126.98729931
중구,남창동,24게스트하우스 명동타운점,1964,41,70.7,0.8002011767241046,0.1866,1.0,37.55661038,126.97811019
중구,쌍림동,호텔 더 디자이너스 동대문,2015,53,67.9,0.616029877215514,0.1136,0.85,37.56091185,127.00486601
중구,명동,솔라리아 니시테츠 호텔 서울 명동,1971,23,69.6,1.7060041108251514,0.1766,0.7,37.55974994,126.98437425
중구,,24게스트하우스 서울시청점,1960,3,0.0,2.1118068261818674,0.1922,0.55,37.56195615,126.97553552
중구,명동,호텔 스카이파크 센트럴 명동점,2002,28,85.7,2.0163512467186298,0.1322,0.85,37.56189383,126.9844402
중구,,에이큐브 호텔,1985,49,85.7,0.6879433526849182,0.1565,0.85,37.56347491,127.00124884
중구,북창동,소테츠호텔즈 더 스프라지르 서울 명동,2015,15,73.3,0.123132685403624,0.1136,0.85,37.55930346,126.97797124
중구,주교동,2U호스텔,1967,21,0.0,1.9250905212729232,0.1823,1.0,37.56586745,126.99740093
중구,장교동,롯데시티호텔명동,2015,3,0.0,0.752336051950276,0.1136,0.08,37.56418691,126.9872883
중구,,호텔 스카이파크3,1969,27,81.5,0.7798304197287472,0.1794,1.0,37.55856041,126.98658709
중구,(남산동,자자백팩커스,1985,0,0.0,0.0,0.1565,0.85,37.55605441,126.98563136
중구,명동,서울 라이트 인 명동,1969,19,68.4,1.7510884294971272,0.1794,0.35,37.56145726,126.98456352
중구,(남산동,오요5,1983,1,100.0,2.128231705849268,0.1594,0.12,37.55618747,126.98405523
