구조노후도,단속위험도,도로폭위험도,집중도,주변건물수,승인연도,총층수,연면적,업종그룹,위도,경도,Y_평균재산피해액,Y_최근접거리m
0.1823,1.9250905212729232,1.0,0.0,21,1967,5,358.0,기존숙박군,37.56586745,126.99740093,339.2,94.3
0.1136,0.752336051950276,0.08,0.0,3,2015,30,25334.0,기존숙박군,37.56418691,126.9872883,1561.6,63.8
0.1794,0.7798304197287472,1.0,81.5,27,1969,11,5866.0,기존숙박군,37.55856041,126.98658709,411.4,81.9
0.1565,0.0,0.85,0.0,0,1985,5,608.0,기존숙박군,37.55605441,126.98563136,367.4,83.5
0.1794,1.7510884294971272,0.35,68.4,19,1969,17,506.0,기존숙박군,37.56145726,126.98456352,138.2,18.9
0.1594,2.128231705849268,0.12,100.0,1,1983,5,611.0,기존숙박군,37.55618747,126.98405523,348.6,99.3
0.1194,1.845368919833436,0.7,100.0,3,2011,6,260.0,기존숙박군,37.55655506,126.98441998,367.4,56.0
0.1551,0.6931471805599453,0.85,47.4,19,1986,15,5706.0,기존숙박군,37.56374548,127.00581237,159.2,20.0
0.1808,0.1177830356563834,0.7,58.8,34,1968,6,880.5,기존숙박군,37.56629135,127.00045147,35355.2,29.5
0.1766,0.2993933318726824,1.0,78.4,37,1971,3,116.2,기존숙박군,37.56339033,126.99268792,1339.6,25.7
0.1265,0.7282385003712154,0.08,0.0,3,2006,4,613.0,기존숙박군,37.55530397,126.98284082,523.6,105.8
0.4817,0.5643439291313687,0.45,62.5,32,1955,2,43.0,기존숙박군,37.56119377,127.00084581,4407.4,49.3
0.1837,1.0736109864626924,1.0,55.6,9,1966,6,79.0,기존숙박군,37.5618116,127.00675249,140.0,21.3
0.1179,0.4663738611951568,0.85,95.8,24,2012,13,328.0,기존숙박군,37.56262124,127.0082658,6098.2,24.5
0.1,0.5616258388634469,0.08,88.9,9,2025,8,1048.0,기존숙박군,37.55681031,126.98310837,1900.0,82.0
0.1011,1.3293120501244582,0.7,0.0,2,2024,10,1348.48,기존숙박군,37.56106147,126.97459289,155.0,111.4
0.1766,1.3237147044676525,0.85,71.4,7,1971,18,10258.0,기존숙박군,37.56101578,126.9799895,3688.8,3.5
0.158,1.6453061451866118,1.0,82.4,51,1984,4,301.52,기존숙박군,37.56418869,127.0203495,207.8,14.1
0.1,0.2089589163222533,0.08,100.0,4,2025,7,468.0,기존숙박군,37.55663789,126.9831709,8427.2,72.1
0.1652,1.3516741604732871,0.12,33.3,3,1979,21,26031.0,기존숙박군,37.5557044,126.97785909,741.2,101.7
