119안전센터명,기본주소,건물일련번호,시도명,대형화재취약대상여부,법정동명,화재보험종료일자,주용도명,사용여부,등록일자,관할소방서명,대상물명,사용승인일자,자체점검대상여부,문화재여부,공공기관여부,Y좌표,공공기관민간대상여부,화재보험가입일자,소방관련제조업여부,X좌표,소방방화시설완공일자,시군구명,건물명,화재보험회사명,자체점검대상명
백운119안전센터,,11000000332771,서울특별시,,사당동,,숙박시설,Y,20220103,동작소방서,썬 빌리지,20210113,,N,,,,,N,,,동작구,썬 빌리지,,
백운119안전센터,,11000000336001,서울특별시,,사당동,,숙박시설,Y,20230110,동작소방서,파라미타,20221102,,N,,,,,N,,,동작구,파라미타,,
신림119안전센터,,11000000258159,서울특별시,,신림동,,숙박시설,Y,20160322,관악소방서,가든빌(구.가든관광호텔),20161031,Y,N,,,,,N,,20161007,관악구,가든빌,,작동점검대상
난곡119안전센터,,11000000313193,서울특별시,,신림동,,숙박시설,Y,20170316,관악소방서,어반네이버 건물,20170518,,,,,,,N,,20170510,관악구,어반 네버,,
당산119안전센터,,11000000329171,서울특별시,,당산동2가,,숙박시설,Y,20210109,영등포소방서,당산동2가 147-9건물,20201013,,,,,,,N,,,영등포구,,,
당산119안전센터,,11000000329173,서울특별시,,당산동2가,,숙박시설,Y,20210109,영등포소방서,Alpha.V,20200710,,N,,,,,N,,,영등포구,Alpha.V,,
이태원119안전센터,,11000000297227,서울특별시,,이태원동,,숙박시설,Y,20161111,용산소방서,어뮤즈게스트하우스,19931229,,,,,,,N,,,용산구,,,
북가좌119안전센터,,11000000282338,서울특별시,,남가좌동,,숙박시설,Y,20161027,서대문소방서,서진룸 건물,19741220,,N,,,,,N,,,서대문구,,,
망우119안전센터,,11000000321306,서울특별시,,면목동,,숙박시설,Y,20190111,중랑소방서,면목동92-77번지건물,20180803,,N,,,,,N,,,중랑구,,,
망우119안전센터,,11000000321319,서울특별시,,면목동,,숙박시설,Y,20190111,중랑소방서,면목동66-81번지건물,20180518,,N,,,,,N,,,중랑구,,,
망우119안전센터,,11000000321359,서울특별시,,면목동,,숙박시설,Y,20190111,중랑소방서,면목동506-18번지건물,20181112,,,,,,,N,,,중랑구,,,
