OPNSFTEAMCODE,MGTNO,APVPERMYMD,APVCANCELYMD,TRDSTATEGBN,TRDSTATENM,DTLSTATEGBN,DTLSTATENM,DCBYMD,CLGSTDT,CLGENDDT,ROPNYMD,SITETEL,SITEAREA,SITEPOSTNO,SITEWHLADDR,RDNWHLADDR,RDNPOSTNO,BPLCNM,LASTMODTS,UPDATEGBN,UPDATEDT,UPTAENM,X,Y,CULPHYEDCOBNM,CULWRKRSENM,REGNSENM,TOTNUMLAY,NEARENVNM,MNFACTREARTCLCN,INSURORGNM,BDNGSRVNM,JISGNUMLAY,UNDERNUMLAY,STROOMCNT,CNSTYAREA,ENGSTNTRNMNM,ENGSTNTRNMADDR,SHPTOTTONS,SHPCNT,SHPINFO,STAGEAR,CHAIRCNT,SVNSR,MEETSAMTIMESYGSTF,FACILAR,PLAYUTSCNTDTL,PLAYFACILCNT,BCFACILEN,GEICPFACILEN,DISPENEN,INFOBEN,PLNINSURSTDT,PLNINSURENDDT,CAPT,INSURSTDT,INSURENDDT,AFC,FACILSCP,TRSTLODGCLNM
3000000,CDFI2260032026000012,2026-03-03,,01,영업/정상,13,영업중,,,,,,,,서울특별시 종로구 관철동 6-2,"서울특별시 종로구 삼일대로 393-1, 4, 5층 (관철동)",03190,오아시스 트레블러스 종로,2026-03-03 09:36:37,I,2026-03-05 00:20:02.0,,198819.574269631,451942.979071945,관광숙박업,,,7,,,,,6,1,0,0,Oasis Travelers Jongro,Tourist Accommodation Business(Hostel),0,0,,0,0,,0,183.48,,0,,,,,,,0,,,,183,호스텔업
3000000,CDFI2260032026000013,2026-03-05,,01,영업/정상,13,영업중,,,,,,,,서울특별시 종로구 숭인동 1049,"서울특별시 종로구 숭인동길 1-3, 2, 3층 (숭인동)",03112,더온재,2026-03-05 17:09:50,I,2026-03-07 00:20:02.0,,201801.300137307,452526.951324552,관광숙박업,,,0,,,,,0,0,0,0,The Onjae,Tourist Accommodation Business(Hostel),0,0,,0,0,,0,152.3,,0,,,,,,,20000000,,,,152,호스텔업
3000000,CDFI2260032026000014,2026-03-05,,01,영업/정상,13,영업중,,,,,,,,서울특별시 종로구 숭인동 1049,"서울특별시 종로구 숭인동길 1-3, 4층 (숭인동)",03112,VERANDA11,2026-03-05 17:12:30,I,2026-03-07 00:20:02.0,,201801.300137307,452526.951324552,관광숙박업,,,0,,,,,0,0,0,0,VERANDA11,Tourist Accommodation Business(Hostel),0,0,,0,0,,0,51.28,,0,,,,,,,25000000,,,,51,호스텔업
3000000,CDFI2260032026000015,2026-03-10,,01,영업/정상,13,영업중,,,,,,,,서울특별시 종로구 관철동 19-3 대성빌딩,"서울특별시 종로구 종로12길 16, 대성빌딩 6층 (관철동)",03189,아울스테이,2026-03-12 17:13:39,U,2026-03-14 02:40:00.0,,198657.113035591,451894.389633456,관광숙박업,,,0,,,,,0,0,0,0,OWL STAY,Tourist Accommodation Business(Hostel),0,0,,0,0,,0,80.1,,0,,,,,,,20000000,,,,80,호스텔업
3000000,CDFI2260032026000016,2026-03-10,,01,영업/정상,13,영업중,,,,,,,,서울특별시 종로구 창신동 444-9 임진빌딩,"서울특별시 종로구 종로46길 22, 임진빌딩 2층 (창신동)",03119,호스텔 메가 동대문역,2026-03-10 11:53:42,I,2026-03-12 00:20:31.0,,200833.121381281,452040.323909642,관광숙박업,,,0,,,,,0,0,0,0,Hostel Mega Dongdaemun Station,Tourist Accommodation Business(Hostel),0,0,,0,0,,0,151.96,,0,,,,,,,0,,,,152,호스텔업
3000000,CDFI2260032026000017,2026-03-10,,01,영업/정상,13,영업중,,,,,,,,서울특별시 종로구 봉익동 10-1 디아망 쥬얼리,"서울특별시 종로구 율곡로10길 105, 디아망 쥬얼리 4층 (봉익동)",03134,포레스트 스테이 종로,2026-03-16 17:56:50,U,2026-03-18 02:40:00.0,,199243.960959498,452293.899531079,관광숙박업,,,0,,,,,0,0,0,0,Forest Stay Jongno,Tourist Accommodation Business(Hostel),0,0,,0,0,,0,284.79,,0,,,,,,,6500000,,,,285,호스텔업
3000000,CDFI2260032026000018,2026-03-10,,01,영업/정상,13,영업중,,,,,,,,서울특별시 종로구 관철동 19-20 삼보빌딩,"서울특별시 종로구 삼일대로17길 52, 삼보빌딩 4, 5층 (관철동)",03189,MOMENTO HOSTEL,2026-03-10 12:48:57,I,2026-03-12 00:20:31.0,,198568.77792237,451891.299622979,관광숙박업,,,0,,,,,0,0,0,0,MOMENTO HOSTEL,Tourist Accommodation Business(Hostel),0,0,,0,0,,0,435.3,,0,,,,,,,400000000,,,,435,호스텔업
3000000,CDFI2260032026000019,2026-03-19,,01,영업/정상,13,영업중,,,,,,,,서울특별시 종로구 당주동 20-1,"서울특별시 종로구 새문안로9길 25, 3층 (당주동)",03183,SOUNDS INN GWANGHWAMUN,2026-03-19 18:24:10,I,2026-03-22 00:20:02.0,,197769.253723172,452117.73988487,관광숙박업,,,5,,,,,5,0,0,0,SOUNDS INN GWANGHWAMUN,Tourist Accommodation Business(Hostel),0,0,,0,0,,0,161.95,,0,,,,,,,210000000,,,,162,호스텔업
3000000,CDFI2260032026000020,2026-03-19,,01,영업/정상,13,영업중,,,,,,,,서울특별시 종로구 종로4가 167-1,"서울특별시 종로구 종로 198, 3,4,5층 (종로4가)",03195,진가,2026-03-19 18:22:35,I,2026-03-22 00:20:02.0,,199893.409361955,452037.93796291,관광숙박업,,,5,,,,,5,0,0,0,Jinga,Tourist Accommodation Business(Hostel),0,0,,0,0,,0,150.94,,0,,,,,,,50000000,,,,151,호스텔업
3000000,CDFI2260032026000021,2026-03-19,,01,영업/정상,13,영업중,,,,,,,,서울특별시 종로구 묘동 121,"서울특별시 종로구 돈화문로 56-1, 2, 3층 (묘동)",03134,스테이 안 익선,2026-04-03 09:24:31,U,2025-12-04 00:05:00.0,,199177.064296757,452360.626823417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000000,CDFI2260032026000022,2026-03-19,,01,영업/정상,13,영업중,,,,,,,,서울특별시 종로구 묘동 121,"서울특별시 종로구 돈화문로 56-1, 4, 5층 (묘동)",03134,킴스텔코리아 종로점,2026-03-19 18:25:40,I,2026-03-22 00:20:02.0,,199177.064296757,452360.626823417,관광숙박업,,,6,,,,,6,0,0,0,Kimstel Korea (Jongno Branch),Tourist Accommodation Business(Hostel),0,0,,0,0,,0,291.24,,0,,,,,,,570000000,,,,291,호스텔업
