cluster,x_5181,y_5181,local_R2,residual
0,191851.1929099071,444816.90924247936,0.5032328948534489,-0.4590652493038174
0,190171.84508470487,446760.1314099791,0.5079915522319997,4.085432011607994
0,191019.9937083667,446713.40881972807,0.5417544915148915,-0.056277270354236464
0,191332.50562589304,446266.9206710932,0.5364515638973415,-2.3687630547774834
0,192277.6572229364,446153.5325444884,0.5619022285003881,-2.04203794063739
0,190876.3447033305,446715.0967984997,0.5363679280201321,0.16914455079837776
0,190808.81651481224,446805.8835416435,0.5376439353662216,0.5213839160188529
0,189552.0221881823,446847.7048828627,0.49896651229690564,-0.6174115380587071
0,192622.20943297067,447248.1417238701,0.6170800904788302,0.29322672171553665
0,189670.6983614413,447129.4276246657,0.4965443455470568,2.395650328897981
0,190507.59760099096,448477.5222690395,0.5490216899486905,1.8319449480391201
0,192140.0735522469,446141.8867547337,0.5566115635973862,-1.3494606729585934
0,202811.3575121145,442727.7479532215,0.388843244270186,0.6591117783943012
0,201434.032009902,443506.57973159774,0.3978330241177794,2.303272856653768
0,203610.12327320845,446848.6545030879,0.532587685246995,2.1714348755339525
0,201799.77692456945,445833.2461169901,0.47500733622878777,1.1070127639860585
0,204966.4353470633,445144.6149385955,0.48740469150510396,5.091597987819053
0,203467.6678728022,444535.8545859839,0.42797006110033975,-0.3090792164872056
0,202451.7432374157,444092.8759556344,0.39204324812804026,0.5662232195389221
0,205121.655366983,445138.69019716926,0.49070274912667927,-1.795608136878256
0,202220.140199804,444805.62521028303,0.418891500209703,5.447738031138997
0,204272.80293652083,444535.33666879695,0.45376050817325836,-2.8921581057371526
0,201696.5174566482,446580.46216838463,0.5636700787496354,-0.6925682311204611
0,203599.06242373763,444556.06229362567,0.43333135507708204,-3.6915274857048708
0,204976.28428524247,444767.61739476543,0.47893832065800596,0.5210671385119365
0,201658.4161883144,446639.5663728558,0.5750600940995921,-4.30507965718798
0,204714.7580462661,446852.0786472139,0.5408626619456075,-2.6797396693020716
0,202635.8846147008,443611.2378089911,0.391934356912912,4.215143046131365
0,204077.37868015296,445400.1981262671,0.475545924468634,-4.3849674730876425
0,209337.10488690645,445744.8643966457,0.5548584612158562,-0.9185901200994908
0,209635.62216314333,444386.0428269684,0.5403917661430735,-0.9117499410028556
0,210463.2828673048,443549.8936268455,0.5272347618664192,-1.0266290378805443
0,194117.36552926232,450220.18805898994,0.6814057185698215,-2.999439194688999
0,198686.19060083685,451852.0533913462,0.6678222595916837,-1.9249130614166212
0,198596.0889930704,451932.1317644456,0.659595185387753,2.6087832340964514
0,201833.32952916133,452396.5896062058,0.4300889861217173,3.8514618113400534
0,201416.64445682016,452371.7576298795,0.43416131464174657,3.7738054017594393
0,204013.3161590484,444912.2706548166,0.45861810727380803,-1.31116546845871
0,199095.639402346,451905.3885034294,0.6506179903445618,3.0720618972706504
0,199821.3637646393,452603.47566635,0.6394578881836418,1.5462767506081656
0,200303.6640689257,452208.5216046989,0.508942455620798,1.8862585082930114
0,200239.74554741592,452552.5057802588,0.5487298845170351,-1.811189789831828
0,198721.6915299949,451900.0769229429,0.657893423524562,-1.0134407467996596
0,199470.76593860183,451906.3206050532,0.6542641097948948,-3.707784963059531
0,199127.3384181601,452117.4360519506,0.6317563129649809,2.1312118035090037
0,199159.5848497393,451879.9033118902,0.6486665141133371,2.6872610858956847
0,198534.5492685304,452256.167278387,0.6545347953847092,2.1776855722051334
0,198908.2842566612,451804.8978126198,0.658004258805851,-0.043276544973166686
0,198586.8649520342,452307.07189909474,0.6484071396953349,2.9138111796077446
0,198942.10459226105,452338.0125293595,0.6339282738892864,-0.34279939621920974
0,198913.4609898341,451841.9727690985,0.6511056811590883,0.43763377517935
0,200292.32898555687,452150.5675262346,0.5107179001254172,-1.5023874081769968
0,200950.6822099372,452062.79396778345,0.45866613258294436,-2.62715256618495
0,199732.8774310373,453387.8424989379,0.6569966746907997,1.5941823717372017
0,201896.94543453708,452832.133563979,0.4346452125507566,2.4648069821518
0,198975.3581089648,452321.8040565719,0.6338405123936549,-2.810185021741212
0,196404.7660691731,452269.0762214982,0.6692187769810688,-2.923309259930779
0,200964.68491614136,452138.7193688602,0.46016621145585046,-5.011495535316798
0,199759.34874525867,453458.7322964207,0.6533872047400262,-2.5062943574500887
0,199080.6833886121,452074.80825089896,0.6307603981510951,2.5738632035516114
0,200900.6186492404,452210.9833394264,0.4652173555876198,-0.19035049836689222
0,199878.3536634345,452271.6604342568,0.6239718203966012,6.861327518671013
0,200292.49089840284,452218.891954542,0.5115239452161142,3.36572522032703
0,200225.5842585208,452144.9483246764,0.5261961844774007,-3.388484413868058
0,200303.5112001208,452257.79265690304,0.5122108515523337,3.4131448599782845
0,199065.132338692,452085.4149219221,0.6304100486432551,0.374954226229125
0,198260.0635281629,452262.4844535804,0.6926942647525399,-3.194800348299882
0,199102.3405282002,452093.5495893415,0.6319249201997998,1.7477197615767341
0,198574.38374266977,452516.90201189776,0.676689472087469,3.001675520478546
0,200197.57951976187,452129.3204537076,0.532687834595009,-3.267719409268924
0,199032.8082555176,452104.0824219166,0.6281745116909826,-1.752818393503329
0,201381.8689557252,452248.2294859065,0.43258195321556264,3.2747122504876174
0,199062.53066448643,451882.7106082718,0.649398347982249,-1.2612198031150594
0,200246.34480812587,452037.2103280508,0.529653779913644,0.009296033168892492
0,199070.0373489318,451865.513238445,0.6516284972234401,1.694783143970911
0,199974.8178529197,453430.3768189088,0.6244566792226848,-0.847083338897022
0,201706.9121319881,452391.2640638664,0.42921002123055146,0.7473308227125681
0,198754.08595125368,451949.15657407104,0.652546738675805,0.6992417851872825
0,198572.5109300373,452064.80566532817,0.6521603453912496,4.254897752881016
0,198935.37004878887,452308.7302196714,0.6295009996353996,0.7004124407237953
0,198538.1876745798,452524.5509686444,0.6826516265706121,0.1028574463925036
0,200640.836893369,452139.1275676743,0.47771931996130024,1.6202580521326224
0,198565.5689019235,452505.2242210871,0.676024749284064,3.072366711824646
0,199114.1892441439,451852.6581865739,0.6535076961587422,3.327641669468136
0,201894.07583421355,452435.2183242544,0.43244997701849924,1.1662916103761267
0,198694.7877049286,451930.8992296962,0.6566933363461785,-2.762482628108412
0,200538.85030786807,451107.6144318838,0.5070328278073682,-2.1782886769061367
0,198660.3855019677,451251.3303523847,0.657531014693178,4.24649283968431
0,200721.9775373468,451377.406196785,0.4886002518277161,1.9687944597174836
0,197462.1986380715,450878.2114894265,0.5012820292937489,-0.7558153114329729
0,198606.5947373061,451266.2804337641,0.6598936375601107,4.63528581468195
0,200339.94908412045,451007.8677370801,0.5196501307715828,1.5015637812719904
0,199297.8764114981,451025.51648636494,0.6407235083357793,-0.09674483535656542
0,198043.63550769063,450686.8494071406,0.5094498977742595,-1.636398658632313
0,198670.42179056417,451235.96575491055,0.654698089159492,2.189041618490492
0,198076.9497162037,451651.9226649981,0.6460053279380467,-0.1974632451260554
0,200698.77478326965,451404.8127495537,0.48965892487647195,-0.6147657889128784
0,198867.05991820607,451076.9704654079,0.6380367212007398,-0.2356142280630431
0,200053.4529184705,451280.89072493545,0.5663740125558795,-1.2413139260105694
0,197793.23324653888,450624.9974552591,0.5103533281708951,3.896558461264936
0,199023.96772940867,451105.4744984944,0.6458247727729581,-2.9317159170441895
0,200112.1269751389,451452.2848404134,0.5669915656056539,-1.0588375206665415
0,197916.17332429704,451198.4547078691,0.5608275401407908,-0.838224701269036
0,197199.9835665004,450649.1075123662,0.49957173075460015,2.0699615992398224
0,197920.2370531152,451125.6265774981,0.543222381581118,1.0394943131242274
0,200486.79650746583,451608.330045636,0.5048347773169766,2.554887983915661
0,197102.7610605625,450548.2038482556,0.500842377881502,-2.890270202881055
0,198315.594861342,450545.5641284954,0.5087368212595658,-2.249987531149972
0,197847.75449531927,451011.2317902758,0.5202165930128939,-2.5818866088027566
0,197616.92735725804,450266.263953584,0.5406382280795838,1.564912366430712
0,198800.1268920992,450904.682986005,0.5974011681277558,-5.799768469601726
0,199636.14610381145,451249.4966370581,0.6482345738142796,1.4590204916521117
0,198333.3354696573,451110.7852900659,0.6031313168269224,-1.200508778626058
0,198876.92514570573,451628.1531850207,0.680736479262998,-1.7021195593688576
0,197673.7263196275,450696.1523464431,0.5063891267152055,1.811698617364173
0,200271.3984257164,451530.97694897646,0.5349676799472891,0.1636945252226285
0,201273.5838361631,451300.0260202504,0.4894520072076627,2.6446195391497866
0,199799.2077886578,451816.8063215089,0.6367148267618745,0.9364638055359435
0,198911.02898526256,451082.2143232476,0.6418001976043899,0.3159934784853635
0,200414.40491082167,451048.4428348369,0.5154515027658987,-2.3482541506742542
0,199463.5346706764,451139.160442485,0.6547016104246522,-2.317872783088948
0,200388.03966746005,451045.300596497,0.5184906144229459,-0.8920629318533169
0,199100.34559357187,451122.184019763,0.6558423465708765,1.557874403543245
0,197862.6528810736,450519.2664881912,0.515628740525436,7.307222509880649
0,200504.48464832123,451629.3611541558,0.5027086242041882,0.37353547710756274
0,201037.91952349697,450825.1226417099,0.5112369888926335,1.0662403112424252
0,199237.85921905245,451136.459987095,0.6561206492488011,-1.0353916343192973
0,197173.85970980136,450729.06886055216,0.4935533286631935,1.9500057680750427
0,198691.0296693552,450839.3585372904,0.5643996033868784,-6.708438498091654
