그리드ID,건물ID,구,법정동코드,법정동명,주소,지번,연면적_m2,건축면적_m2,지상층수,지하층수,총층수,보정분자,보정사유
G50K_R0027_C0104,0000202377034422494500000000,서초구,1165010800,서초동,서울특별시 서초구 서초동,380-1,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0027_C0104,0000202388994422659800000000,서초구,1165010800,서초동,서울특별시 서초구 서초동,380-1,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0009_C0114,0000204618144383287000000000,서초구,1165010400,원지동,서울특별시 서초구 원지동,335,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0009_C0114,0000204721864382978900000000,서초구,1165010400,원지동,서울특별시 서초구 원지동,342-2,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0009_C0114,0000204751734382162200000000,서초구,1165010400,원지동,서울특별시 서초구 원지동,345,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0009_C0114,0000204739954382568700000000,서초구,1165010400,원지동,서울특별시 서초구 원지동,350-2,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0057_C0110,0000203658904489601600000000,성동구,1120011400,성수동1가,서울특별시 성동구 성수동1가,685-20,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0057_C0110,0000203662414490128400000000,성동구,1120011400,성수동1가,서울특별시 성동구 성수동1가,685-20,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0057_C0110,0000203663774490166700000000,성동구,1120011400,성수동1가,서울특별시 성동구 성수동1가,685-20,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0057_C0110,0000203665064490204900000000,성동구,1120011400,성수동1가,서울특별시 성동구 성수동1가,685-20,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0057_C0110,0000203668694490312800000000,성동구,1120011400,성수동1가,서울특별시 성동구 성수동1가,685-20,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0057_C0110,0000203670204490349800000000,성동구,1120011400,성수동1가,서울특별시 성동구 성수동1가,685-20,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0057_C0110,0000203671664490388100000000,성동구,1120011400,성수동1가,서울특별시 성동구 성수동1가,685-20,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0058_C0109,0000203540614493129100000000,성동구,1120011400,성수동1가,서울특별시 성동구 성수동1가,685-20,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0058_C0109,0000203590744493147900000000,성동구,1120011400,성수동1가,서울특별시 성동구 성수동1가,685-20,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0052_C0115,0000204975774478852600000000,성동구,1120011500,성수동2가,서울특별시 성동구 성수동2가,158-2,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0025_C0142,0000210872024418707000000000,송파구,1171010800,문정동,서울특별시 송파구 문정동,284-1,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0025_C0142,0000210890514418783900000000,송파구,1171010800,문정동,서울특별시 송파구 문정동,284-1,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0025_C0142,0000210946554418409900000000,송파구,1171010800,문정동,서울특별시 송파구 문정동,535,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0025_C0142,0000210984664417195800000000,송파구,1171010800,문정동,서울특별시 송파구 문정동,597,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0035_C0128,1994207875034441739200000000,송파구,1171010600,삼전동,서울특별시 송파구 삼전동,53-9,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0035_C0135,0000209238734440448000000000,송파구,1171010700,가락동,서울특별시 송파구 가락동,479,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0035_C0135,0000209432124440912400000000,송파구,1171010700,가락동,서울특별시 송파구 가락동,479,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0035_C0136,0000209522384441738700000000,송파구,1171010700,가락동,서울특별시 송파구 가락동,477,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0035_C0136,0000209526864441280100000000,송파구,1171010700,가락동,서울특별시 송파구 가락동,479,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0035_C0136,0000209531634440813400000000,송파구,1171010700,가락동,서울특별시 송파구 가락동,479,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0035_C0136,1980209549054441063800000000,송파구,1171010700,가락동,서울특별시 송파구 가락동,479,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0041_C0134,0000209003444455085200000000,송파구,1171010200,신천동,서울특별시 송파구 신천동,29,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0041_C0134,0000209018414455119000000000,송파구,1171010200,신천동,서울특별시 송파구 신천동,29,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0041_C0134,0000209022454455126700000000,송파구,1171010200,신천동,서울특별시 송파구 신천동,29,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0046_C0046,0000189452674464637900000000,영등포구,1156013400,양평동,서울특별시 영등포구 양평동,498,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0046_C0046,0000189508064465601400000000,영등포구,1156012600,양평동2가,서울특별시 영등포구 양평동2가,23-2,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0046_C0046,0000189517994465980700000000,영등포구,1156012600,양평동2가,서울특별시 영등포구 양평동2가,23-2,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0046_C0046,0000189528984465481700000000,영등포구,1156012600,양평동2가,서울특별시 영등포구 양평동2가,23-2,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0055_C0082,0000197421694485121000000000,용산구,1117012400,한강로1가,서울특별시 용산구 한강로1가,1-1,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0055_C0082,0000197421694485718100000000,용산구,1117012400,한강로1가,서울특별시 용산구 한강로1가,1-1,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0055_C0082,0000197423594485993500000000,용산구,1117012400,한강로1가,서울특별시 용산구 한강로1가,1-1,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
