cluster,x_5181,y_5181,local_R2,residual,coef_intercept,coef_승인연도,coef_소방위험도_점수,coef_주변건물수,coef_집중도,coef_단속위험도,coef_구조노후도,coef_도로폭위험도,coef_최근접_소화용수_거리등급,coef_총층수,coef_연면적
0,198866.36487878367,451021.051400363,1.0,7.105427357601002e-15,28.32931435696029,-2.220446049250313e-15,1.9448073001988748,0.6512251612160808,1.73929772838932,1.9602369584221033,5.017345180432831,4.884792836832023,2.5665454516831687,0.08671595896965581,1.2021744737434263
0,198047.67409477703,451117.6744149651,1.0,-1.0658141036401503e-14,28.329314356960282,0.0,1.9448073001988555,0.6512251612160773,1.7392977283893196,1.960236958422103,5.017345180432841,4.884792836832023,2.566545451683166,0.08671595896965065,1.202174473743434
0,199603.0407712856,451543.6435396375,1.0,-7.105427357601002e-15,28.32931435696028,1.7763568394002505e-15,1.94480730019886,0.6512251612160787,1.7392977283893174,1.9602369584221047,5.017345180432838,4.884792836832029,2.566545451683173,0.08671595896965906,1.202174473743423
0,200171.9358521608,451444.24587707873,1.0,-2.1316282072803006e-14,28.329314356960282,1.9984014443252818e-15,1.9448073001988637,0.6512251612160718,1.7392977283893223,1.9602369584221022,5.017345180432839,4.884792836832028,2.5665454516831674,0.08671595896965656,1.2021744737434246
0,199957.6594127101,451651.9675612194,1.0,3.552713678800501e-15,28.329314356960268,-8.881784197001252e-16,1.9448073001988555,0.6512251612160823,1.7392977283893178,1.9602369584221027,5.017345180432836,4.884792836832023,2.5665454516831696,0.08671595896965723,1.2021744737434246
0,196785.4050126272,447267.9827527134,1.0,-7.105427357601002e-15,28.329314356960293,2.886579864025407e-15,1.9448073001988648,0.6512251612160801,1.7392977283893205,1.9602369584221004,5.0173451804328355,4.8847928368320215,2.566545451683168,0.08671595896964762,1.2021744737434332
0,197525.4074654696,449844.3199155784,1.0,1.0658141036401503e-14,28.32931435696028,-1.5543122344752192e-15,1.9448073001988617,0.6512251612160755,1.7392977283893223,1.9602369584221018,5.017345180432838,4.8847928368320215,2.5665454516831665,0.0867159589696547,1.2021744737434235
0,197419.2711880972,449254.786661492,1.0,1.7763568394002505e-14,28.329314356960257,1.1102230246251565e-15,1.9448073001988515,0.6512251612160891,1.7392977283893183,1.9602369584221015,5.017345180432841,4.884792836832016,2.566545451683166,0.08671595896965276,1.2021744737434341
0,203118.0363607778,450853.02718076535,1.0,0.0,28.329314356960275,-1.9984014443252818e-15,1.944807300198852,0.6512251612160765,1.739297728389321,1.9602369584221044,5.017345180432836,4.884792836832023,2.5665454516831643,0.08671595896966244,1.2021744737434243
0,205439.23645614384,448604.9337713651,1.0,-1.0658141036401503e-14,28.329314356960285,2.050443148604586e-15,1.944807300198858,0.6512251612160804,1.7392977283893196,1.9602369584221013,5.017345180432839,4.884792836832022,2.5665454516831683,0.08671595896965623,1.2021744737434261
0,194224.2110418873,450250.9067266414,1.0,-1.0658141036401503e-14,28.329314356960282,-2.220446049250313e-15,1.944807300198862,0.6512251612160771,1.7392977283893192,1.9602369584221004,5.017345180432836,4.884792836832023,2.566545451683168,0.08671595896965123,1.2021744737434332
0,195359.80777854903,448841.03196425,1.0,-1.0658141036401503e-14,28.32931435696027,4.440892098500626e-15,1.9448073001988577,0.651225161216081,1.7392977283893196,1.960236958422103,5.017345180432843,4.884792836832021,2.5665454516831665,0.08671595896965711,1.2021744737434281
0,195484.91964791343,448958.5824011154,1.0,3.552713678800501e-15,28.32931435696026,2.886579864025407e-15,1.9448073001988557,0.6512251612160775,1.7392977283893187,1.9602369584221044,5.017345180432839,4.884792836832023,2.5665454516831687,0.08671595896965636,1.2021744737434261
