구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,local_R2,residual,coef_intercept,tval_intercept,bw_intercept,coef_구조노후도,tval_구조노후도,bw_구조노후도,coef_단속위험도,tval_단속위험도,bw_단속위험도,coef_도로폭위험도,tval_도로폭위험도,bw_도로폭위험도,coef_최근접_소화용수_거리등급,tval_최근접_소화용수_거리등급,bw_최근접_소화용수_거리등급,coef_소방위험도_점수,tval_소방위험도_점수,bw_소방위험도_점수,coef_집중도,tval_집중도,bw_집중도,z_구조노후도,contrib_구조노후도,z_단속위험도,contrib_단속위험도,z_도로폭위험도,contrib_도로폭위험도,z_최근접_소화용수_거리등급,contrib_최근접_소화용수_거리등급,z_소방위험도_점수,contrib_소방위험도_점수,z_집중도,contrib_집중도
마포구,서교동,다우하우스1,2,고위험군,37.55210193,126.9272554,193571.9963,450289.2749,40.59740689,,0.4173904722108617,41.299690153963574,255.81783271577262,46.0,4.876994192801884,69.95152541047968,582.0,2.209182259370391,80.30674550304204,1454.0,3.4971636452085475,48.1461104910248,322.0,4.616536548847413,53.87268952624755,153.0,1.594647721706947,39.25996571249646,1454.0,1.4036421048203256,44.24587574207439,1454.0,-0.4516718961885781,-2.2028012147635105,-0.9319518910919505,-2.058851584387024,0.9017377419990915,3.153524448831668,-0.0775637225909187,-0.35807576020563797,-0.35895626420785515,-0.5724087889114932,0.6546819592442971,0.9189391632615598
마포구,합정동,달리하우스,2,고위험군,37.54692938,126.9103978,192081.8417,449716.4702,43.71907845,,-0.2338057656164736,41.31431300147342,246.41652285741182,46.0,4.897966594143901,66.13902222280272,582.0,2.2080591622454335,80.15786545944664,1454.0,3.4404280403964953,46.3832338855338,322.0,4.552929833746297,47.7366381554019,153.0,1.5945276336769625,39.25947606940617,1454.0,1.4044825451152392,44.3056752169363,1454.0,-0.5512536864180821,-2.7000221409744434,-0.5495150418403141,-1.2133617229271882,0.2859546938410759,0.9838065469738325,1.2048819179748391,5.485742830489103,-0.3782482528414839,-0.6031272915457767,0.4881036040723965,0.6855329921275205
마포구,동교동,TOMI HOUSE,2,고위험군,37.55346185,126.9294684,193767.6573,450440.0608,34.96179117,,-0.15419590720097887,41.31881577828424,242.31350999027347,46.0,4.874600406265077,70.07977324561564,582.0,2.209394653868778,80.32593300290863,1454.0,3.4621045268261397,48.52191113245884,322.0,4.622363807065939,51.8904796050532,153.0,1.5946617909808949,39.25686510822632,1454.0,1.4034869965714172,44.233079624727566,1454.0,-0.47639078028810045,-2.3222146911333112,-0.41684235242331075,-0.9209692649501477,0.9017377419990915,3.1219103185850363,-1.3600093631566765,-6.286458057526219,-0.4940001846432556,-0.7877632191881068,0.7072856503512129,0.9926662131294853
마포구,연남동,나무하우스,2,고위험군,37.55914467,126.9241766,193300.5753,451071.1503,46.90616287,,-0.15626001888931995,41.65018171298102,235.23241996728092,46.0,4.881013009287301,67.94199962308039,582.0,2.2094973717949555,80.32063563466512,1454.0,3.447607077600886,51.6316290460864,322.0,4.824830390252497,49.30945114670135,153.0,1.5945832952919503,39.22720157631677,1454.0,1.4034404931953401,44.237394774268935,1454.0,-0.4891033492535692,-2.3873198105926616,0.40293137516578215,0.8902758144425229,0.9017377419990915,3.1088374214559096,-0.0775637225909187,-0.3742318059377787,1.674020193184182,2.6693646360329004,1.072589060815907,1.5053149205074032
마포구,동교동,HAN 게스트 하우스,2,고위험군,37.55318196,126.9298387,193800.36,450408.9718,31.00845689,,-0.1132784672548155,41.24039892985606,250.59116405693024,46.0,4.874078233147107,70.17485625743298,582.0,2.2093951398877127,80.32663723512876,1454.0,3.4522842760986325,48.39574046939434,322.0,4.627042219283534,51.751365047568335,153.0,1.5946672829657893,39.25857067862228,1454.0,1.4034849925304897,44.23232879289772,1454.0,-0.4516718961885781,-2.201484157737028,-0.21654283507838518,-0.47842868739969074,-0.3298283543169396,-1.138661241419859,-1.3600093631566765,-6.292820741946854,-0.6270483821165563,-0.9999335397979029,0.7072856503512129,0.9926647957000947
마포구,연남동,누비다,2,고위험군,37.56060135,126.9168891,192656.8254,451233.369,30.47845124,,1.0408748663411913,41.716423084226044,215.89243426071133,46.0,4.887113024659965,67.25076880681138,582.0,2.209226441690886,80.28101839111136,1454.0,3.367890946423474,44.60375696780507,322.0,4.665372591299659,44.71407757994813,153.0,1.594524746781543,39.21510671644424,1454.0,1.4036587829419878,44.25735393234964,1454.0,-0.17764540959958847,-0.8681731950252032,-0.8674651337897484,-1.9164269108132341,-1.7666554666856422,-5.949902951700111,-1.3600093631566765,-6.344950406782062,1.3833098817050191,2.205721838846102,0.4238102038306103,0.5948849149072702
마포구,연남동,미로 게스트하우스,2,고위험군,37.55897993,126.9247803,193353.8975,451052.8233,48.54036757,,-0.34625698036649055,41.602361512529974,238.2780588872345,46.0,4.880399937131915,68.0143699098704,582.0,2.2095181812252846,80.32349490848809,1454.0,3.4533647263613267,52.03218849632635,322.0,4.829402098289014,48.61228057705386,153.0,1.5945889288839503,39.22844003614673,1454.0,1.4034235141525087,44.23561887145549,1454.0,-0.525828548487145,-2.5662536149788284,1.288170512732237,2.8462361684001745,0.9017377419990915,3.114029310648373,-0.0775637225909187,-0.3745864046316898,1.7305656771103346,2.7595408694266967,1.072589060815907,1.505296708971799
마포구,연남동,케이하우스,2,고위험군,37.55679233,126.9186601,192812.9371,450810.4759,47.83008289,,0.8270067916770003,41.735888182483315,225.54489889210083,46.0,4.887149584867847,67.86609138851854,582.0,2.2090687467118575,80.27542104787342,1454.0,3.3991270215082436,48.84618100745162,322.0,4.817713991413051,44.98813387104303,153.0,1.5945519520685458,39.23112825987023,1454.0,1.4037587502048638,44.26237639415727,1454.0,-0.2150768626645795,-1.0511128000858787,0.14527911509910857,0.3209315527153955,-0.3298283543169396,-1.1211284716183045,1.2048819179748391,5.804776474227974,0.1832151404958459,0.29214605992616394,0.7277426413372359,1.0215751006743448
마포구,상암동,어반 블룸 상암,2,고위험군,37.57254352,126.8941844,190652.2632,452560.8268,36.44636334,,-0.3954723669817497,41.08211751266933,186.6615449325131,46.0,4.889469713595826,62.470632230600174,582.0,2.2089316197479554,80.17122163296162,1454.0,3.2992110031737605,38.96658578261018,322.0,4.773508394593159,39.28102673785705,153.0,1.5943898277240458,39.16164836740641,1454.0,1.4039562824108558,44.27512833006288,1454.0,-0.5011096643876227,-2.45016052721345,-1.061566831714939,-2.3449285410507854,-0.9456114024749547,-3.1197715437719418,1.2048819179748391,5.7515139499464,0.326241952779644,0.5201568508886929,-1.8498382229016452,-2.597091994486498
마포구,동교동,스테이 블루,2,고위험군,37.55239122,126.9315147,193948.3911,450321.0999,27.8700435,,-0.3440355453815087,41.10203316709658,249.95993546694584,46.0,4.87185057097713,70.38238268820822,582.0,2.209431126381009,80.33178730197129,1454.0,3.4101458437818954,46.40091275373008,322.0,4.64866266942755,51.43910011753662,153.0,1.5946900545797191,39.26432237096078,1454.0,1.4034528483800608,44.22734237454659,1454.0,-0.5011096643876227,-2.4413314045689978,-0.49424089789641623,-1.0919912237428402,-0.3298283543169396,-1.124762791635334,-1.3600093631566765,-6.322224756578378,-1.036836830334323,-1.6534333815561044,-0.1811322438989229,-0.25421056363341527
마포구,연남동,모노크롬하우스(아지트룸),2,고위험군,37.55977646,126.9263265,193490.5844,451141.1205,46.40770382,,-0.9124458527522279,41.689318120627235,239.3144672359286,46.0,4.878826200643483,68.03903107079003,582.0,2.209652724968011,80.33542430642349,1454.0,3.458721980610737,51.81473059714684,322.0,4.825143412360055,47.24381027099882,153.0,1.5945974366618134,39.22667660699273,1454.0,1.4033242493522917,44.22723266927607,1454.0,-0.525828548487145,-2.5654260994054154,-0.7045126325838856,-1.5567282583633701,0.2859546938410759,0.9890377850469431,1.2048819179748391,5.813728049188043,1.8243646563290117,2.909127204518652,0.029282520528740728,0.041092871140138154
마포구,신수동,게스트하우스 하하네,2,고위험군,37.54347927,126.9348039,194238.3526,449331.7742,36.08132211,,-0.4750087109902026,41.524494407412874,209.09411307536843,46.0,4.874785202934152,73.31794350425508,582.0,2.208948988040889,80.29960243492027,1454.0,3.3921474732613572,51.78552363929289,322.0,4.727976314408965,45.97955272576136,153.0,1.5947955535135774,39.312059948779826,1454.0,1.4037663503860223,44.237484019025885,1454.0,-0.5011096643876227,-2.4428019770040823,-0.13917162410132858,-0.3074230182226368,0.2859546938410759,0.9700004921802307,-0.0775637225909187,-0.36671944326725114,-0.14075722035164182,-0.22447898914172917,-1.8498382229016452,-2.5967406509672077
마포구,창전동,Pareto House,2,고위험군,37.55132252,126.9315346,193950.0631,450202.4858,46.66196119,,1.514708245071688,41.162279379338344,245.84642918113897,46.0,4.871734108910221,70.58618860835442,582.0,2.20935585267852,80.3267331277198,1454.0,3.4068864412803372,46.68354149837944,322.0,4.6565642806177445,51.195514767411964,153.0,1.5946973361780066,39.26920075731349,1454.0,1.403504188638847,44.23038203376781,1454.0,-0.15292652550006616,-0.7450173704358011,-1.061566831714939,-2.345378892658794,0.9017377419990915,3.0721180868074516,1.2048819179748391,5.610610101603835,-1.3089203941672232,-2.087331865847537,0.3419822398865189,0.47997350612082423
