화재번호,발생일자,발생시군구,화재유형,발화요인_대분류,발화요인_소분류,발화장소_대분류,발화장소_중분류,재산피해액(천원),재산피해액_백만원,사망자수,부상자수,인명피해계,위도,경도
220803060947455,20220803,송파구,자동차/철도차량,교통사고,교통사고,자동차/철도차량,자동차,64680,64.68,0,0,0,37.512985,127.108053
220512165348890,20220512,강남구,건축/구조물,미상,미상,생활서비스,음식점,64428,64.428,0,0,0,37.503195,127.065006
231120134015148,20231120,마포구,건축/구조물,전기적 요인,층간단락,생활서비스,음식점,64303,64.303,0,0,0,37.54000861,126.9483379
230424133810449,20230424,강남구,건축/구조물,전기적 요인,미확인단락,생활서비스,일상서비스,63560,63.56,0,0,0,37.47551541,127.0534655
230302195642666,20230302,강남구,건축/구조물,부주의,기타(부주의),판매/업무시설,일반업무,62182,62.182,0,0,0,37.51467592,127.0253916
240602121953645,20240602,종로구,건축/구조물,방화의심,방화의심,판매/업무시설,숙박시설,61782,61.782,0,6,6,37.57197489,127.0041992
210130022343342,20210129,중구,건축/구조물,전기적 요인,트래킹에 의한 단락,판매/업무시설,일반업무,61756,61.756,0,0,0,37.5664002,126.9866127
211003000108697,20211002,영등포구,건축/구조물,부주의,불씨/불꽃/화원방치,생활서비스,음식점,60073,60.073,0,0,0,37.5188754,126.9067419
240606034945877,20240606,중구,자동차/철도차량,미상,미상,자동차/철도차량,자동차,59840,59.84,0,0,0,37.56483336,126.976745
220511190535645,20220511,마포구,건축/구조물,전기적 요인,미확인단락,집합시설,종교시설,59614,59.614,0,0,0,37.550809,126.956221
