구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,prediction,residual,coef_구조노후도
마포구,서교동,Park's cozy place,1,저위험군,37.5502364,126.9132802,192336.9053,450083.2708,27.53181221,37.6923235320411,-10.160511322041103,6.7126259910812704
마포구,동교동,플러하우스,2,고위험군,37.55263628,126.9304043,193850.2913,450348.3707,37.58009392,37.75655884243108,-0.17646492243108014,6.7126259910812704
마포구,동교동,AT30,2,고위험군,37.55611834,126.9234654,193237.4597,450735.3145,34.6628118,42.18879525934007,-7.525983459340068,6.7126259910812704
마포구,서교동,와이제이그린하우스,1,저위험군,37.55298533,126.9243484,193315.2002,450387.5245,18.38412321,27.46106603825844,-9.076942828258442,6.7126259910812704
마포구,서교동,스테이 한가,2,고위험군,37.5534261,126.9250483,193377.0871,450436.3952,40.43272563,42.599187520164975,-2.1664618901649746,6.7126259910812704
마포구,망원동,온더집,0,중위험군,37.55051294,126.9064,191728.9561,450114.5465,33.46466143,26.3369481064337,7.127713323566301,6.7126259910812704
마포구,동교동,kyoobee guesthouse,0,중위험군,37.55501325,126.9269668,193546.7508,450612.4165,37.08827618,27.357575815963465,9.730700364036537,6.7126259910812704
마포구,성산동,Jamie House,2,고위험군,37.56347768,126.9083411,191901.888,451553.31,39.91541201,37.442519547191154,2.4728924628088436,6.7126259910812704
마포구,서교동,볼 게스트하우스,0,중위험군,37.54708647,126.9150678,192494.5538,449733.5222,22.80732285,27.357575815963465,-4.550252965963466,6.7126259910812704
마포구,합정동,스테이55,2,고위험군,37.54344528,126.9121278,192234.3614,449329.6329,43.05078217,37.442519547191154,5.608262622808844,6.7126259910812704
마포구,서교동,차차스테이,2,고위험군,37.55316791,126.9271489,193562.6772,450407.5933,32.00569241,37.56742153961613,-5.5617291296161255,6.7126259910812704
마포구,서교동,Calm&Jay,1,저위험군,37.54976964,126.9148403,192474.7123,450031.34,17.38025287,27.664477854493395,-10.284224984493395,6.7126259910812704
마포구,망원동,다온하우스M,0,중위험군,37.55389926,126.9053715,191638.4466,450490.4786,31.12135511,28.0748701153183,3.0464849946816983,6.7126259910812704
마포구,망원동,린덴스튜디오,0,중위험군,37.5516092,126.9052807,191630.1716,450236.3173,33.41491595,26.386908903403686,7.028007046596315,6.7126259910812704
마포구,연남동,디어민 하우스,2,고위험군,37.558396,126.9239173,193277.593,450988.0753,37.80698495,37.442519547191154,0.36446540280884676,6.7126259910812704
마포구,노고산동,신촌플레이스,2,고위험군,37.55187541,126.941741,194851.9852,450263.242,46.1388943,39.20185332620575,6.937040973794247,6.7126259910812704
마포구,연남동,호핑하우스,2,고위험군,37.56037954,126.9216797,193080.076,451208.3872,48.72299246,43.49134460891477,5.231647851085228,6.7126259910812704
