구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,residual,coef_intercept,coef_단속위험도,bw_intercept,bw_단속위험도
중구,충무로2가,트래비스타 호스텔,0,중위험군,37.55986394,126.9889152,199020.6073,451148.3363,25.39347081,-1.5273226213527913,28.14554927827362,1.569415416369018,43.0,65.0
중구,명동,르메르디앙 서울 명동,0,중위험군,37.55896817,126.9819263,198403.0836,451049.0122,26.2215444,1.6382440920116643,25.91879508458924,2.875622824493342,43.0,65.0
중구,황학동,모먼트맨션,0,중위험군,37.56394721,127.0205806,201818.2983,451601.6724,29.39322227,0.6000088245120132,28.05177376108699,1.0434467665658804,43.0,65.0
중구,(만리동,유에이치 스위트 더 서울,0,중위험군,37.55355582,126.9673857,197118.1252,450448.6522,30.69696404,2.1265271807392487,29.097553740677785,1.4617118221525764,43.0,65.0
중구,남학동,홈즈레드 명동,0,중위험군,37.55807414,126.9905121,199161.6811,450949.6743,27.88206405,-1.147473716921052,29.13753474821845,0.46312114358386336,43.0,65.0
중구,(회현동,(주)조선호텔앤리조트 레스케이프,0,중위험군,37.55715446,126.9787036,198118.2962,450847.7716,28.39202443,-0.353154734991449,29.91430878197567,1.4169650830928726,43.0,65.0
중구,충무로2가,호텔롯데 엘세븐명동,0,중위험군,37.55861521,126.9861925,198780.0189,451009.7739,26.97788984,-1.6635997197121206,28.661023988720906,2.485222507158789,43.0,65.0
중구,을지로5가,라마다 바이 윈덤 서울 동대문 (RAMADA BY WYNDHAM SEOUL DONGDAEMUN),0,중위험군,37.56322588,127.0018245,200161.1926,451521.4158,24.5404592,-3.7156390780340516,28.424694967523877,1.3919355130863171,43.0,65.0
중구,(광희동,96번지,0,중위험군,37.56206664,127.0089649,200792.0687,451392.79,23.53454044,-4.976426327849417,28.56438752623201,-1.2612661058252883,43.0,65.0
중구,을지로5가,트레블로지 동대문 호텔,0,중위험군,37.563663,127.0010971,200096.9309,451569.9299,24.73112452,-2.6103109826950863,27.97105668819639,1.7444640746057383,43.0,65.0
중구,(필동,픽셀스테이 명동점,0,중위험군,37.55888617,126.9913853,199238.8373,451039.7925,28.63818624,-0.17176294277841464,29.1444463815431,0.45802676074293647,43.0,65.0
중구,명동,호텔스카이파크명동Ⅱ,0,중위험군,37.56217058,126.9842636,198609.6546,451404.4047,34.80159473,1.1275622078788743,27.729928482724894,3.694651309462354,43.0,65.0
중구,(명동,알로프트서울명동호텔,0,중위험군,37.55952462,126.9811368,198333.3355,451110.7853,17.42653706,-8.894763258803465,26.11117340223739,3.3671630741353953,43.0,65.0
중구,쌍림동,영빈호텔,0,중위험군,37.56030545,127.0047517,200419.8322,451197.2915,33.33498353,2.903136472847123,30.484684508117006,0.10098135568696875,43.0,65.0
중구,쌍림동,호텔더디자이너스 디디피,0,중위험군,37.56105995,127.0033124,200292.6582,451281.0267,24.63283303,-4.7423710207944545,29.55935843816399,0.7897053181487387,43.0,65.0
중구,북창동,호텔 토마스 명동,0,중위험군,37.56039746,126.9775753,198018.6798,451207.7293,27.35952845,2.031354945641347,28.39041380573071,3.57448076971465,43.0,65.0
중구,(남산동,호텔룩홈,0,중위험군,37.55558838,126.9850216,198676.5108,450673.8476,31.17777099,0.90247197469429,30.486422554394533,0.19252499080249402,43.0,65.0
중구,예장동,오리엔스 호텔 앤 레지던스,0,중위험군,37.55730627,126.9904925,199159.9336,450864.45,33.22216427,3.8634747880215734,29.30246906539489,0.19743635317560954,43.0,65.0
중구,충무로2가,이비스 스타일 앰배서더 서울 명동,0,중위험군,37.55893191,126.9885713,198990.2034,451044.8957,24.77247229,-4.499135304856171,28.453204753546203,1.5534215721826516,43.0,65.0
중구,충무로3가,홉인 서울 명동 (HOP INN SEOUL MYEONGDONG),0,중위험군,37.56058087,126.9920256,199295.4337,451227.8792,28.39292284,-0.9382179813359883,29.558764852622748,0.2162390766012968,43.0,65.0
중구,오장동,모닝스카이호텔,0,중위험군,37.5613481,126.9991104,199921.3976,451313.0031,31.89403129,0.7454642431261078,26.741702065435707,1.8780773857493178,43.0,65.0
중구,예장동,하센영인호텔,0,중위험군,37.55378191,126.9924151,199329.785,450473.2726,30.41615646,-0.019501869766497038,30.35598457756715,-0.07122451732874936,43.0,65.0
중구,남대문로5가,호텔마누,0,중위험군,37.55439108,126.9741021,197711.6305,450541.1714,38.22066044,2.6651525687293116,28.286680282261123,1.6622269054827146,43.0,65.0
중구,명동,나인트리 바이 파르나스 서울 명동Ⅰ,0,중위험군,37.55883796,126.9852377,198695.6585,451034.5094,33.18618211,4.821531700856042,28.368953117491483,2.772338957813923,43.0,65.0
중구,명동,더 그랜드호텔 명동,0,중위험군,37.55890463,126.986388,198797.299,451041.8936,30.20916083,2.0395639231533806,28.499047252289092,2.6901896510571714,43.0,65.0
중구,북창동,클라벤 호텔 명동 시티홀,0,중위험군,37.56046238,126.977322,197996.3031,451214.94,23.11147021,-4.006743401636264,28.408627445179206,3.555861901652255,43.0,65.0
중구,(남산동,퍼시픽호텔,0,중위험군,37.556976,126.9846542,198644.069,450827.8622,31.61153998,1.4237888155265033,29.962365234868773,0.8019593504264702,43.0,65.0
중구,태평로2가,플라자호텔,0,중위험군,37.56192055,126.9771259,197979.0216,451376.7839,39.03803173,-1.665654385448157,27.89706645200937,3.737138899377633,43.0,65.0
중구,(장충동,호텔신라,0,중위험군,37.55399997,127.0052469,200463.6251,450497.4605,43.22447024,5.084079488865569,30.73757970917304,1.933588396628698,43.0,65.0
중구,북창동,서울호텔신신,0,중위험군,37.55958613,126.9779037,198047.6741,451117.6744,20.72454379,-4.368937973101556,28.751420074197114,3.4287788850625702,43.0,65.0
중구,오장동,스카이파크호텔 동대문1호점,0,중위험군,37.56144741,127.0012903,200114.0,451324.0258,24.89395184,-2.595462351894202,27.746199898155147,1.4714398681787841,43.0,65.0
중구,예관동,뉴 블랑 센트럴 명동,0,중위험군,37.56140326,126.9978745,199812.2048,451319.127,31.78995525,5.457951483942281,26.51077811619462,1.8130345907061889,43.0,65.0
