구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,prediction,residual,coef_단속위험도
중구,명동,서울 라이트 인 명동,1,저위험군,37.56145726,126.9845635,198636.1419,451325.2302,34.19667612,34.49429358340731,-0.2976174634073132,1.7136683186442125
중구,(남산동,오요5,1,저위험군,37.55618747,126.9840552,198591.1338,450740.3535,24.66420989,35.25735785233595,-10.593147962335951,1.7136683186442125
중구,(남산동,오요6(OYO6),0,중위험군,37.55655506,126.98442,198623.3695,450781.1462,22.5027131,34.68504887012862,-12.182335770128617,1.7136683186442125
중구,을지로6가,케이스타호텔,0,중위험군,37.56374548,127.0058124,200513.5242,451579.0996,32.1453704,32.353788331938745,-0.20841793193874736,1.7136683186442125
중구,주교동,엘림 호스텔,0,중위험군,37.56629135,127.0004515,200039.8861,451861.6455,25.4242058,31.189668891272767,-5.765463091272768,1.7136683186442125
중구,을지로3가,로스터블록,0,중위험군,37.56339033,126.9926879,199353.9731,451539.6914,32.72696791,31.557116320932643,1.1698515890673562,1.7136683186442125
중구,(회현동,제이오너 호스텔,1,저위험군,37.55530397,126.9828408,198483.8116,450642.3144,20.46007534,32.42478769295473,-11.96471235295473,1.7136683186442125
중구,충무로5가,머룸스테이,2,고위험군,37.56119377,127.0008458,200074.73,451295.8743,37.71343046,32.09318403294441,5.620246427055591,1.7136683186442125
중구,(광희동,STAY ON,0,중위험군,37.5618116,127.0067525,200596.5994,451364.4672,36.36215535,33.12357093956065,3.2385844104393513,1.7136683186442125
중구,을지로7가,라하 부티크 디디피,0,중위험군,37.56262124,127.0082658,200730.2962,451454.3384,23.15628176,31.89496372020287,-8.738681960202872,1.7136683186442125
중구,(회현동,호텔 블리스 I,1,저위험군,37.55681031,126.9831084,198507.4825,450809.496,21.11462608,32.087684591524614,-10.973058511524613,1.7136683186442125
중구,서소문동,정동스테이25(JEONGDONG STAY 25),0,중위험군,37.56106147,126.9745929,197755.1957,451281.4936,25.27582847,33.64092430992295,-8.365095839922951,1.7136683186442125
중구,소공동,크라운파크 호텔 서울 명동,0,중위험군,37.56101578,126.9799895,198232.0034,451276.3074,29.1958747,33.629599344070705,-4.433724644070704,1.7136683186442125
중구,황학동,호스텔 소우재,0,중위험군,37.56418869,127.0203495,201797.8721,451628.4694,36.43836708,34.28026701544582,2.1581000645541764,1.7136683186442125
중구,(회현동,호텔블리스Ⅱ,1,저위험군,37.55663789,126.9831709,198513.0041,450790.3584,20.37654026,31.374142698600174,-10.997602438600175,1.7136683186442125
중구,(회현동,보코 언 아이에이치지 호텔,1,저위험군,37.5557044,126.9778591,198043.6355,450686.8494,23.5381471,33.686168990550925,-10.148021890550925,1.7136683186442125
중구,명동,유스테이호스텔(U-STAY HOSTEL),0,중위험군,37.56011013,126.9848633,198662.6016,451175.7104,32.39570051,34.521448751953166,-2.1257482419531684,1.7136683186442125
중구,을지로5가,나인트리 바이 파르나스 서울 동대문,0,중위험군,37.56386326,127.0021197,200187.2712,451592.158,29.13096002,32.76139067539377,-3.63043065539377,1.7136683186442125
중구,남대문로2가,스탠포드호텔 명동,1,저위험군,37.56189911,126.98191,198401.7016,451374.3122,21.72224023,42.436991121952325,-20.714750891952324,1.7136683186442125
중구,신당동,케이그랜드호텔 DDP,2,고위험군,37.56571746,127.0106231,200938.5285,451798.0034,42.58601421,35.50462388600171,7.081390323998292,1.7136683186442125
중구,주교동,zip 1972 hostel,0,중위험군,37.56535668,126.9974748,199776.9002,451757.911,35.13298823,33.56507808019059,1.5679101498094141,1.7136683186442125
중구,충무로3가,스테이모드,0,중위험군,37.55941767,126.9897586,199095.1133,451098.7972,22.80810164,34.22780757163222,-11.419705931632219,1.7136683186442125
중구,을지로5가,미리네 스테이,1,저위험군,37.56263589,127.0024066,200212.625,451455.935,9.876165929,31.72211870167742,-21.84595277267742,1.7136683186442125
중구,을지로7가,스테이 쉼,0,중위험군,37.56263015,127.0080449,200710.7766,451455.3256,24.41990182,31.781479349731413,-7.361577529731413,1.7136683186442125
중구,명동,무드온 명동,2,고위험군,37.56042879,126.9831765,198513.5724,451211.1032,36.88846481,33.2889390716324,3.5995257383676034,1.7136683186442125
중구,(남산동,더큐브 호텔,0,중위험군,37.55609169,126.9854119,198711.0046,450729.7036,29.89795809,31.037471280933975,-1.1395131909339753,1.7136683186442125
중구,황학동,SINDANG GRAND JOY 호스텔,2,고위험군,37.56332856,127.018601,201643.4107,451532.9731,53.20401401,31.555667065796325,21.648346944203677,1.7136683186442125
중구,태평로1가,글로카로카호스텔,1,저위험군,37.56555219,126.9758586,197867.1571,451779.8812,33.59953673,31.0356768026109,2.563859927389096,1.7136683186442125
중구,서소문동,ENA 스위트 호텔,1,저위험군,37.55956061,126.9731035,197623.558,451114.9525,11.80515737,31.581311615322097,-19.776154245322097,1.7136683186442125
