구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,residual,coef_intercept,coef_도로폭위험도,bw_intercept,bw_도로폭위험도
종로구,평창동,동화킴스관광호텔,0,중위험군,37.60669991,126.9743304,197733.3915,456346.8474,38.32306966,1.4044892124556725,34.16698349793005,2.7910615854188077,46.0,1464.0
종로구,당주동,포시즌스 호텔 서울,0,중위험군,37.56801651,126.9746335,197758.993,452053.4204,31.72027245,4.300066092219968,32.83659605836589,2.797028853886353,46.0,1464.0
종로구,와룡동,Hostel Tommy 호스텔 토미,0,중위험군,37.5716747,126.990417,199153.4252,452459.1776,32.68575111,0.23179579901830039,29.70847488543845,2.7848573354201513,46.0,1464.0
종로구,운니동,노블관광호텔,0,중위험군,37.57393452,126.9888707,199016.8561,452710.0065,33.81378816,3.1481892612011357,30.632876907770694,2.785564572094203,46.0,1464.0
종로구,와룡동,바운드 호스텔,0,중위험군,37.57338396,126.9895252,199074.671,452648.8941,29.84933743,-3.391887342259068,30.49543298449278,2.785173163339641,46.0,1464.0
종로구,익선동,호텔 이비스앰배서더 인사동,0,중위험군,37.57168791,126.9884302,198977.9106,452460.6635,30.06805753,2.76987596493775,29.979625200800637,2.7863022907793606,46.0,1464.0
종로구,종로6가,(주) 동승 JW메리어트 동대문 스퀘어 서울,0,중위험군,37.56764454,127.0081243,200717.7489,452011.8647,34.13172046,1.6248125196156735,29.757518074067125,2.788822847144597,46.0,1464.0
종로구,인사동,도미인 익스프레스 서울 인사동,0,중위험군,37.56962018,126.9863919,198797.8158,452231.1937,40.74850581,13.431044336114848,30.000467624409794,2.787925908173477,46.0,1464.0
종로구,효제동,더도아스테이,0,중위험군,37.57184081,127.0017557,200155.1023,452477.5722,24.44987108,-2.9137193322717785,30.044201159912262,2.7854368323433842,46.0,1464.0
성동구,성동,호텔 포코 성수,0,중위험군,37.54070199,127.0562547,204971.6457,449023.0195,43.2702304,8.918580452209127,34.31870758838305,2.804324138119675,46.0,1464.0
중구,(광희동,소테츠호텔즈 더 스프라지르 서울 동대문,0,중위험군,37.5619628,127.0069577,200614.7245,451381.25,29.76813948,3.3357192681008243,29.118915395748225,2.791551381189146,46.0,1464.0
중구,남창동,24게스트하우스 명동타운점,0,중위험군,37.55661038,126.9781102,198065.846,450787.3972,42.33502976,10.530885727196907,29.047001157508554,2.7966870532490153,46.0,1464.0
중구,쌍림동,호텔 더 디자이너스 동대문,0,중위험군,37.56091185,127.004866,200429.9293,451264.5953,31.39745444,1.542796936772568,29.821862513439573,2.791778825946346,46.0,1464.0
중구,명동,솔라리아 니시테츠 호텔 서울 명동,0,중위험군,37.55974994,126.9843743,198619.3878,451135.7407,27.40122378,-0.10472913010287499,30.192783963625725,2.7919003851469526,46.0,1464.0
중구,명동,호텔 스카이파크 센트럴 명동점,0,중위험군,37.56189383,126.9844402,198625.2542,451373.6862,34.47167266,3.2641668093799225,31.174715797460774,2.791358579586899,46.0,1464.0
