구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,prediction,residual,coef_도로폭위험도
종로구,장사동,센추럴,0,중위험군,37.56604937,126.9921087,199302.819,451834.8177,38.31717841,36.34416144581988,1.9730169641801183,5.385803882931744
종로구,창신동,VATICA HOTEL(바티카 호텔),0,중위험군,37.56737832,127.0147475,201302.8834,451982.3886,25.16109034,36.34416144581988,-11.183071105819877,5.385803882931744
종로구,명륜4가,호스텔 데이,1,저위험군,37.57929506,126.9971361,199747.0246,453304.9103,27.63239309,26.036502873770935,1.5958902162290656,5.385803882931744
종로구,숭인동,루미아호텔,1,저위험군,37.57109607,127.0214556,201895.4198,452395.1296,26.92374553,27.113422426074557,-0.1896768960745554,5.385803882931744
종로구,창신동,24guesthouse동대문마켓점,1,저위험군,37.56790086,127.0094303,200833.121,452040.324,21.70793886,26.036502873770935,-4.3285640137709365,5.385803882931744
종로구,관철동,호스텔 클로이,1,저위험군,37.56597443,126.9878264,198924.4936,451826.5406,17.48344907,24.498046370480047,-7.014597300480048,5.385803882931744
종로구,원남동,메이플레이스 호텔 서울 동대문,1,저위험군,37.57336561,126.9979485,199818.7693,452646.8078,14.95589031,26.036502873770935,-11.080612563770936,5.385803882931744
종로구,권농동,언플러그 안국,0,중위험군,37.57427525,126.9904528,199156.6242,452747.8082,34.38596742,36.34416144581988,-1.9581940258198784,5.385803882931744
종로구,수송동,신라스테이 광화문,1,저위험군,37.56990125,126.9803048,198260.0635,452262.4845,19.90447402,24.498046370480047,-4.5935723504800485,5.385803882931744
종로구,인의동,호텔 아트리움,1,저위험군,37.56913495,126.9973365,199764.6917,452177.2551,20.4974136,26.036502873770935,-5.539089273770934,5.385803882931744
종로구,낙원동,베스트웨스턴 종로(인사동),0,중위험군,37.5696394,126.9887561,199006.6737,452233.2992,24.1597545,36.34416144581988,-12.18440694581988,5.385803882931744
종로구,숭인동,아이비씨호텔,0,중위험군,37.57050676,127.022065,201949.2705,452329.7355,39.68270504,38.65184620075621,1.0308588392437912,5.385803882931744
종로구,관철동,호스텔 하루,1,저위험군,37.56622871,126.9835334,198545.2223,451854.8205,20.84757253,24.498046370480047,-3.6504738404800463,5.385803882931744
종로구,익선동,ICON,0,중위험군,37.57209924,126.9881293,198951.3391,452506.3197,24.01764966,34.036476690883546,-10.018827030883546,5.385803882931744
종로구,익선동,호텔 다다-인사,0,중위험군,37.57189895,126.9887524,199006.3786,452484.0831,28.99010129,34.036476690883546,-5.046375400883548,5.385803882931744
종로구,낙원동,종로크라운,0,중위험군,37.57131629,126.9874005,198886.9441,452419.4297,27.58183873,31.728791935947218,-4.1469532059472165,5.385803882931744
종로구,평창동,동화킴스관광호텔,0,중위험군,37.60669991,126.9743304,197733.3915,456346.8474,38.32306966,38.65184620075621,-0.3287765407562091,5.385803882931744
종로구,낙원동,오라카이 인사동 스위츠,1,저위험군,37.57025733,126.9865467,198811.497,452301.9079,15.44674591,24.498046370480047,-9.051300460480046,5.385803882931744
종로구,관수동,호텔베뉴지,1,저위험군,37.56598513,126.9900523,199121.1448,451827.7051,13.84635558,24.498046370480047,-10.651690790480046,5.385803882931744
종로구,관훈동,아미드 호텔 서울,1,저위험군,37.56984481,126.9834118,198534.5493,452256.1673,18.68581043,25.113428971796402,-6.427618541796402,5.385803882931744
종로구,당주동,포시즌스 호텔 서울,0,중위험군,37.56801651,126.9746335,197758.993,452053.4204,31.72027245,31.728791935947218,-0.008519485947218186,5.385803882931744
종로구,와룡동,Hostel Tommy 호스텔 토미,0,중위험군,37.5716747,126.990417,199153.4252,452459.1776,32.68575111,38.65184620075621,-5.9660950907562125,5.385803882931744
종로구,운니동,노블관광호텔,0,중위험군,37.57393452,126.9888707,199016.8561,452710.0065,33.81378816,36.34416144581988,-2.530373285819877,5.385803882931744
종로구,와룡동,바운드 호스텔,0,중위험군,37.57338396,126.9895252,199074.671,452648.8941,29.84933743,38.65184620075621,-8.802508770756212,5.385803882931744
종로구,익선동,호텔 이비스앰배서더 인사동,0,중위험군,37.57168791,126.9884302,198977.9106,452460.6635,30.06805753,34.036476690883546,-3.9684191608835455,5.385803882931744
종로구,종로6가,(주) 동승 JW메리어트 동대문 스퀘어 서울,0,중위험군,37.56764454,127.0081243,200717.7489,452011.8647,34.13172046,38.65184620075621,-4.520125740756214,5.385803882931744
종로구,인사동,도미인 익스프레스 서울 인사동,0,중위험군,37.56962018,126.9863919,198797.8158,452231.1937,40.74850581,34.036476690883546,6.712029119116451,5.385803882931744
종로구,효제동,더도아스테이,0,중위험군,37.57184081,127.0017557,200155.1023,452477.5722,24.44987108,34.036476690883546,-9.586605610883545,5.385803882931744
종로구,창신동,케이스테이,1,저위험군,37.56874973,127.0101841,200899.709,452134.5456,24.7643374,24.498046370480047,0.26629102951995165,5.385803882931744
종로구,창신동,오리지날 백패커스,1,저위험군,37.56968368,127.0117502,201038.0539,452238.2193,31.80805952,26.036502873770935,5.771556646229065,5.385803882931744
중구,(장충동,앰배서더 서울 풀만 호텔,1,저위험군,37.55742965,127.0016071,200141.9987,450878.1024,33.10607195,30.19033543265633,2.915736517343671,5.385803882931744
성동구,성동,호텔 포코 성수,0,중위험군,37.54070199,127.0562547,204971.6457,449023.0195,43.2702304,36.34416144581988,6.926068954180124,5.385803882931744
중구,(회현동,루미아 호텔,1,저위험군,37.55527178,126.9789824,198142.881,450638.811,19.18754948,25.113428971796402,-5.925879491796401,5.385803882931744
중구,(광희동,소테츠호텔즈 더 스프라지르 서울 동대문,0,중위험군,37.5619628,127.0069577,200614.7245,451381.25,29.76813948,34.036476690883546,-4.268337210883548,5.385803882931744
중구,명동,호텔 크레토,1,저위험군,37.55924412,126.9872993,198877.8237,451079.5617,7.095617712,25.113428971796402,-18.017811259796403,5.385803882931744
중구,남창동,24게스트하우스 명동타운점,0,중위험군,37.55661038,126.9781102,198065.846,450787.3972,42.33502976,38.65184620075621,3.683183559243787,5.385803882931744
중구,쌍림동,호텔 더 디자이너스 동대문,0,중위험군,37.56091185,127.004866,200429.9293,451264.5953,31.39745444,36.34416144581988,-4.946707005819878,5.385803882931744
중구,명동,솔라리아 니시테츠 호텔 서울 명동,0,중위험군,37.55974994,126.9843743,198619.3878,451135.7407,27.40122378,34.036476690883546,-6.635252910883548,5.385803882931744
중구,태평로2가,24게스트하우스 서울시청점,1,저위험군,37.56195615,126.9755355,197838.5061,451380.7705,37.75795798,31.728791935947218,6.029166044052783,5.385803882931744
중구,명동,호텔 스카이파크 센트럴 명동점,0,중위험군,37.56189383,126.9844402,198625.2542,451373.6862,34.47167266,36.34416144581988,-1.8724887858198755,5.385803882931744
중구,을지로5가,에이큐브 호텔,0,중위험군,37.56347491,127.0012488,200110.3357,451549.0543,34.3849298,36.34416144581988,-1.9592316458198766,5.385803882931744
중구,북창동,소테츠호텔즈 더 스프라지르 서울 명동,0,중위험군,37.55930346,126.9779712,198053.6387,451086.3,21.95857565,36.34416144581988,-14.385585795819878,5.385803882931744
중구,주교동,2U호스텔,0,중위험군,37.56586745,126.9974009,199770.3781,451814.6006,35.96093302,38.65184620075621,-2.690913180756212,5.385803882931744
중구,장교동,롯데시티호텔명동,1,저위험군,37.56418691,126.9872883,198876.9251,451628.1532,16.07173597,24.498046370480047,-8.426310400480048,5.385803882931744
중구,충무로2가,호텔 스카이파크3,0,중위험군,37.55856041,126.9865871,198814.8843,451003.6867,35.85209991,38.65184620075621,-2.799746290756211,5.385803882931744
중구,(남산동,자자백팩커스,0,중위험군,37.55605441,126.9856314,198730.397,450725.563,31.79717838,36.34416144581988,-4.54698306581988,5.385803882931744
중구,명동,서울 라이트 인 명동,1,저위험군,37.56145726,126.9845635,198636.1419,451325.2302,34.19667612,28.65187892936544,5.544797190634558,5.385803882931744
중구,(남산동,오요5,1,저위험군,37.55618747,126.9840552,198591.1338,450740.3535,24.66420989,25.113428971796402,-0.4492190817964037,5.385803882931744
중구,(남산동,오요6(OYO6),0,중위험군,37.55655506,126.98442,198623.3695,450781.1462,22.5027131,34.036476690883546,-11.533763590883545,5.385803882931744
