구,동,숙소명,승인연도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,업종,건물용도명,총층수,시설규모/연면적,위험점수_AHP,AHP_매칭방식,업종그룹,공통_3등급,업종군별_3등급,r50m_property_fire_count,r50m_property_fire_exists,r50m_property_damage_sum_천원,log1p_r50m_property_damage_sum_천원,r50m_property_damage_max_천원,nearest_property_fire_distance_m
종로구,와룡동,클래식 아파트먼트 익선,1965,76,63.2,1.244643844056864,0.1851,1.0,37.57389547,126.9897488,관광숙박업,숙박시설,6,392.0,56.79,exact,기존숙박군,위험,위험,3,1,133.0,4.897839799950911,89.0,13.002431213877092
종로구,효제동,하우스 오손 종묘점,1991,19,73.7,0.9573707576176196,0.4183,0.25,37.56890164,127.00203539,관광숙박업,숙박시설,6,180.0,53.34,exact,기존숙박군,위험,위험,0,0,0.0,0.0,0.0,112.11125231446472
종로구,관수동,HELLO HOSTEL,1965,24,87.5,0.7206876474967924,0.1851,0.12,37.56619998,126.99118829,관광숙박업,숙박시설,6,288.0,51.94,exact,기존숙박군,위험,위험,1,1,121.0,4.804021044733257,121.0,18.128826925251417
종로구,청진동,하나데이즈 종로광화문(Hana Days Jongno-Gwanghwamun,1971,0,0.0,2.597384633214691,0.1766,0.18,37.56915801,126.9800544,관광숙박업,숙박시설,7,228.0,54.69,exact,기존숙박군,위험,위험,0,0,0.0,0.0,0.0,83.13666773979375
종로구,숭인동,브릭 스테이 (BRIC STAY),1999,27,55.6,0.3035351275471273,0.1365,0.85,37.57248011,127.01971336,관광숙박업,숙박시설,4,258.0,38.31,exact,기존숙박군,보통,보통,1,1,469.0,6.152732694704104,469.0,40.00379032168218
종로구,충신동,연경당,2019,37,67.6,0.6931471805599453,0.1079,1.0,37.57203715,127.00395269,관광숙박업,제1종근린생활시설,9,78.0,43.99,exact,기존숙박군,보통,보통,1,1,61782.0,11.03138352469794,61782.0,22.801727791766485
종로구,숭인동,호텔 DM,2020,11,100.0,0.8746092615811812,0.1065,0.25,37.57059843,127.01860129,관광숙박업,숙박시설,11,2994.0,30.75,exact,기존숙박군,안전,안전,1,1,108.0,4.6913478822291435,108.0,49.63196174606749
종로구,원남동,오라카이 대학로 호텔,2019,5,0.0,1.0632729222228008,0.1079,0.18,37.57297519,126.99797784,관광숙박업,숙박시설,20,19413.0,24.35,exact,기존숙박군,안전,안전,0,0,0.0,0.0,0.0,61.14274250074916
종로구,창신동,D-STAY HOSTEL,1968,6,0.0,0.1482530044498824,0.1808,0.08,37.56798355,127.00952148,관광숙박업,숙박시설,6,248.0,40.99,exact,기존숙박군,보통,보통,2,1,1580.0,7.365812837209472,1100.0,27.925961333117044
종로구,돈의동,더 메이 호텔,2020,21,71.4,0.9408455369813622,0.1065,0.45,37.56923344,126.98879056,관광숙박업,숙박시설,11,847.0,24.36,exact,기존숙박군,안전,안전,1,1,301.0,5.71042701737487,301.0,26.703193245567245
종로구,숭인동,루나하우스,1970,30,46.7,1.2512891288770671,0.4553,0.85,37.57353634,127.0219178,관광숙박업,숙박시설,4,83.0,44.57,exact,기존숙박군,보통,보통,0,0,0.0,0.0,0.0,67.52322330978939
종로구,익선동,엠제이호텔,2005,18,55.6,2.672021859258811,0.1279,0.7,37.57227399,126.98806987,관광숙박업,숙박시설,8,1041.0,26.36,exact,기존숙박군,안전,안전,1,1,162.0,5.093750200806762,162.0,16.4498334581457
종로구,익선동,킹스가든,2012,21,71.4,2.500969678805677,0.1179,0.7,37.57179889,126.98893263,관광숙박업,숙박시설,10,365.0,24.39,exact,기존숙박군,안전,안전,4,1,2416.0,7.790282380703483,1776.0,30.4467899037985
종로구,관철동,수레지던스,1981,5,0.0,0.5596157879354227,0.1623,0.55,37.56655068,126.98415388,관광숙박업,숙박시설,6,213.0,53.76,exact,기존숙박군,위험,위험,0,0,0.0,0.0,0.0,54.0506184100684
종로구,창신동,동대문 서울달빛,1982,10,40.0,1.9997770917556368,0.1608,1.0,37.56916257,127.01374879,관광숙박업,숙박시설,4,385.0,27.51,exact,기존숙박군,안전,안전,1,1,731.0,6.595780513961311,731.0,38.61294203922525
종로구,연건동,브루클린,2025,11,63.6,1.0283354452521425,0.1,1.0,37.57244418,127.00083322,관광숙박업,숙박시설,12,1331.0,31.44,exact,기존숙박군,안전,안전,0,0,0.0,0.0,0.0,54.90037072147458
종로구,숭인동,케이디 호스텔,2019,22,90.9,0.7940648516932153,0.1079,0.7,37.57044997,127.01867554,관광숙박업,숙박시설,11,518.0,34.75,exact,기존숙박군,안전,보통,1,1,108.0,4.6913478822291435,108.0,34.74582644890896
종로구,장사동,센추럴,1969,25,64.0,2.574111725223541,0.1794,0.85,37.56604937,126.99210865,관광숙박업,"숙박시설(호텔), 위락시설(주점영업)",10,6309.0,46.1,exact,기존숙박군,보통,보통,2,1,116.0,4.762173934797756,105.0,13.466075094458528
종로구,창신동,VATICA HOTEL(바티카 호텔),1969,14,71.4,0.0564856021345574,0.1794,0.85,37.56737832,127.01474752,관광숙박업,영업용,9,3292.0,33.99,exact,기존숙박군,안전,보통,0,0,0.0,0.0,0.0,67.91741905700724
종로구,명륜4가,호스텔 데이,1998,5,0.0,2.6288008294480694,0.138,0.18,37.57929506,126.99713608,관광숙박업,숙박시설,8,349.0,34.82,exact,기존숙박군,안전,보통,0,0,0.0,0.0,0.0,53.008095968961854
종로구,숭인동,루미아호텔,2017,2,100.0,0.2694761079552084,0.1108,0.25,37.57109607,127.02145559,관광숙박업,관광숙박시설,15,1998.0,39.09,exact,기존숙박군,보통,보통,1,1,1129.0,7.029972911706386,1129.0,35.792857697745006
종로구,창신동,24guesthouse동대문마켓점,1992,6,0.0,0.2810012094609484,0.1465,0.18,37.56790086,127.00943028,관광숙박업,근린생활시설,6,152.0,31.72,exact,기존숙박군,안전,안전,2,1,1580.0,7.365812837209472,1100.0,16.403314379821445
종로구,관철동,호스텔 클로이,1985,14,0.0,0.4418327522790392,0.1565,0.08,37.56597443,126.98782642,관광숙박업,"근린생활시설, 업무시설",6,293.0,49.95,exact,기존숙박군,보통,위험,0,0,0.0,0.0,0.0,105.76826239384901
종로구,원남동,메이플레이스 호텔 서울 동대문,2014,17,70.6,1.2008429113170085,0.115,0.18,37.57336561,126.99794846,관광숙박업,숙박시설(관광호텔),15,4943.0,29.53,exact,기존숙박군,안전,안전,0,0,0.0,0.0,0.0,69.85465288182657
종로구,권농동,언플러그 안국,1997,54,72.2,2.3135541243646194,0.1394,0.85,37.57427525,126.99045283,관광숙박업,숙박시설,6,1353.0,38.08,exact,기존숙박군,보통,보통,2,1,78.0,4.3694478524670215,62.0,22.69803011843961
종로구,수송동,신라스테이 광화문,2015,2,50.0,0.589606501619105,0.1136,0.08,37.56990125,126.98030475,관광숙박업,"숙박시설(관광호텔 및 부대시설),업무시설,판매시설",23,17595.0,42.83,exact,기존숙박군,보통,보통,0,0,0.0,0.0,0.0,53.51017687896877
