구,동,숙소명,승인연도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,업종,업소명,X좌표,Y좌표,관리건축물대장PK,연면적(㎡),기타용도,지상층수,지하층수,총층수,건물용도명_direct,지역구분명_direct,주변환경명_direct,객실수_direct,시설규모_direct,건축연면적_direct,총층수_direct,지상층수_direct,지하층수_direct,건물용도명_통합,지역구분명_통합,객실수_통합,시설규모_통합,연면적_통합,총층수_통합,총층수_0층만보정,총층수_현재값과차이,주택유형_분류,지역분류_상업주거,상업지역여부,주거지역여부,주택가주변_여부,역세권_인접여부,유흥가_인접여부
종로구,창신동,동대문인순,1934,2,50.0,2.585960082443016,0.2295,0.08,37.56877711,127.01021919,관광숙박업,동대문인순,200902.807232,452137.584347,1002116828,272.63,"점포, 도서실",5.0,1.0,6.0,숙박시설,상업지역,기타,0.0,46.0,0.0,6.0,5.0,1.0,숙박시설,상업지역,,46.0,46.0,6.0,6.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,권농동,스테이 종로 온당,2009,66,71.2,2.277267285009756,0.1222,0.85,37.57416521,126.99046732,관광숙박업,스테이 종로 온당,199157.903208,452735.594737,10021100186947,140.38,관광숙박시설(호스텔),2.0,1.0,3.0,숙박시설,상업지역,기타,0.0,140.0,0.0,3.0,2.0,1.0,숙박시설,상업지역,,140.0,140.0,3.0,3.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,종로6가,편안정,1980,2,50.0,0.7023638356648694,0.1637,0.18,37.56925877,127.006942,관광숙박업,편안정,200613.281664,452191.016681,1002129286,703.1,근린생활시설,5.0,1.0,6.0,숙박시설,상업지역,기타,0.0,106.0,0.0,6.0,5.0,1.0,숙박시설,상업지역,,106.0,106.0,6.0,6.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,낙원동,소락방 주식회사,1971,7,85.7,0.3642775497015497,0.1766,0.08,37.57009871,126.98769431,관광숙박업,소락방 주식회사,198912.882065,452284.289,100216733,262.8,근린생활시설,6.0,0.0,6.0,숙박시설,상업지역,기타,0.0,88.0,0.0,6.0,6.0,0.0,숙박시설,상업지역,,88.0,88.0,6.0,6.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,연지동,스테이누아 종로,1992,17,94.1,1.4960019827707285,0.4165,0.08,37.56957912,126.99966041,관광숙박업,스테이누아 종로,199969.9997,452226.549323,100215947,454.58,제2종근린생활시설,5.0,1.0,6.0,숙박시설,상업지역,기타,0.0,77.0,0.0,6.0,5.0,1.0,숙박시설,상업지역,,77.0,77.0,6.0,6.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,관철동,1996 종로인,1996,2,0.0,1.2840155119994725,0.1408,0.12,37.56632523,126.98626896,관광숙박업,1996 종로인,198786.901723,451865.494242,1002119652,2600.33,제2종근린생활시설,7.0,2.0,9.0,숙박시설,상업지역,기타,0.0,281.0,0.0,9.0,7.0,2.0,숙박시설,상업지역,,281.0,281.0,9.0,9.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,관수동,THE EXTAY LOUNGE,2023,21,90.5,0.8184642999558599,0.1022,0.55,37.56665459,126.98850671,관광숙박업,THE EXTAY LOUNGE,198984.604875,451902.022816,1000000000000001505482,2987.26,제2종근린생활시설,11.0,2.0,13.0,숙박시설,상업지역,기타,24.0,914.0,0.0,13.0,11.0,2.0,숙박시설,상업지역,24.0,914.0,914.0,13.0,13.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,관철동,먼슬리브 종로 종각역 호텔 스테이,1992,2,0.0,1.7394910406822983,0.1465,0.08,37.56594442,126.98577426,관광숙박업,먼슬리브 종로 종각역 호텔 스테이,198743.189528,451823.235572,1002124486,1943.52,근린생활시설(교육연구및복지시설),9.0,2.0,11.0,숙박시설,상업지역,기타,11.0,315.0,0.0,11.0,9.0,2.0,숙박시설,상업지역,11.0,315.0,315.0,11.0,11.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,견지동,더프리마호텔 종로,1971,0,0.0,0.414123170851279,0.1766,0.08,37.57038151,126.98267937,관광숙박업,더프리마호텔 종로,198469.854519,452315.746209,100218684,6074.37,숙박시설,11.0,1.0,12.0,숙박시설,일반상업지역,기타,155.0,6074.0,6074.0,12.0,11.0,1.0,숙박시설,일반상업지역,155.0,6074.0,6074.0,12.0,12.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,숭인동,서울앤호텔 동대문,2017,10,100.0,1.6992974632002564,0.1108,1.0,37.5705788,127.02004352,관광숙박업,서울앤호텔 동대문,201770.687982,452337.690749,10021100207026,2507.0,"숙박시설(호스텔),근린생활시설",14.0,2.0,16.0,숙박시설,일반상업지역,기타,101.0,2507.0,171.0,16.0,14.0,2.0,숙박시설,일반상업지역,101.0,2507.0,171.0,16.0,16.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,와룡동,클래식 아파트먼트 익선,1965,76,63.2,1.244643844056864,0.1851,1.0,37.57389547,126.9897488,관광숙박업,클래식 아파트먼트 익선,199094.426974,452705.663556,1002112734,528.91,숙박시설,5.0,1.0,6.0,숙박시설,상업지역,기타,0.0,392.0,0.0,6.0,5.0,1.0,숙박시설,상업지역,,392.0,392.0,6.0,6.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,효제동,하우스 오손 종묘점,1991,19,73.7,0.9573707576176196,0.4183,0.25,37.56890164,127.00203539,관광숙박업,하우스 오손 종묘점,200179.814529,452151.358602,1002121301,554.04,숙박시설,5.0,1.0,6.0,숙박시설,상업지역,기타,0.0,180.0,0.0,6.0,5.0,1.0,숙박시설,상업지역,,180.0,180.0,6.0,6.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,관수동,HELLO HOSTEL,1965,24,87.5,0.7206876474967924,0.1851,0.12,37.56619998,126.99118829,관광숙박업,HELLO HOSTEL,199221.50943,451851.540973,100215467,969.32,제1종근린생활시설,6.0,0.0,6.0,숙박시설,상업지역,기타,0.0,288.0,0.0,6.0,6.0,0.0,숙박시설,상업지역,,288.0,288.0,6.0,6.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,청진동,하나데이즈 종로광화문(Hana Days Jongno-Gwanghwamun,1971,0,0.0,2.597384633214691,0.1766,0.18,37.56915801,126.9800544,관광숙박업,하나데이즈 종로광화문(Hana Days Jongno-Gwanghwamun,198237.929526,452179.998289,1002117292,1578.9,숙박시설,6.0,1.0,7.0,숙박시설,일반상업지역,기타,0.0,228.0,0.0,7.0,6.0,1.0,숙박시설,일반상업지역,,228.0,228.0,7.0,7.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,숭인동,브릭 스테이 (BRIC STAY),1999,27,55.6,0.3035351275471273,0.1365,0.85,37.57248011,127.01971336,관광숙박업,브릭 스테이 (BRIC STAY),201741.476647,452548.70796,1002127596,258.29,숙박시설,3.0,1.0,4.0,숙박시설,준주거지역,주택가주변,0.0,258.0,0.0,4.0,3.0,1.0,숙박시설,준주거지역,,258.0,258.0,4.0,4.0,0.0,,주거지역,0.0,1.0,1.0,0.0,0.0
종로구,충신동,연경당,2019,37,67.6,0.6931471805599453,0.1079,1.0,37.57203715,127.00395269,관광숙박업,연경당,200349.182282,452499.369331,10021100218065,635.2,제1종근린생활시설,8.0,1.0,9.0,,일반상업지역,,0.0,78.0,0.0,9.0,8.0,1.0,제1종근린생활시설,일반상업지역,,78.0,78.0,9.0,9.0,0.0,,상업지역,1.0,0.0,,,
종로구,숭인동,호텔 DM,2020,11,100.0,0.8746092615811812,0.1065,0.25,37.57059843,127.01860129,관광숙박업,호텔 DM,201643.277883,452339.843126,10021100221445,2994.06,숙박시설,9.0,2.0,11.0,숙박시설,일반상업지역,학교정화(상대),100.0,2994.0,2994.0,11.0,9.0,2.0,숙박시설,일반상업지역,100.0,2994.0,2994.0,11.0,11.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,원남동,오라카이 대학로 호텔,2019,5,0.0,1.0632729222228008,0.1079,0.18,37.57297519,126.99797784,관광숙박업,오라카이 대학로 호텔,199821.363678,452603.475535,10021100215645,19412.5,숙박시설(관광숙박시설),15.0,5.0,20.0,숙박시설,일반상업지역,,232.0,19413.0,19413.0,20.0,15.0,5.0,숙박시설,일반상업지역,232.0,19413.0,19413.0,20.0,20.0,0.0,,상업지역,1.0,0.0,,,
종로구,창신동,D-STAY HOSTEL,1968,6,0.0,0.1482530044498824,0.1808,0.08,37.56798355,127.00952148,관광숙박업,D-STAY HOSTEL,200841.176869,452049.502625,100217757,732.78,제2종근린생활시설,5.0,1.0,6.0,숙박시설,상업지역,기타,15.0,248.0,248.0,6.0,5.0,1.0,숙박시설,상업지역,15.0,248.0,248.0,6.0,6.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,돈의동,더 메이 호텔,2020,21,71.4,0.9408455369813622,0.1065,0.45,37.56923344,126.98879056,관광숙박업,더 메이 호텔,199009.71657,452188.241668,10021100219325,1992.3,일반숙박시설,10.0,1.0,11.0,숙박시설,일반상업지역,기타,25.0,847.0,847.0,11.0,10.0,1.0,숙박시설,일반상업지역,25.0,847.0,847.0,11.0,11.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,숭인동,루나하우스,1970,30,46.7,1.2512891288770671,0.4553,0.85,37.57353634,127.0219178,관광숙박업,루나하우스,201936.189136,452665.98063,1002122366,262.58,숙박시설,3.0,1.0,4.0,숙박시설,준주거지역,학교정화(상대),5.0,83.0,83.0,4.0,3.0,1.0,숙박시설,준주거지역,5.0,83.0,83.0,4.0,4.0,0.0,,주거지역,0.0,1.0,0.0,0.0,0.0
종로구,익선동,엠제이호텔,2005,18,55.6,2.672021859258811,0.1279,0.7,37.57227399,126.98806987,관광숙박업,엠제이호텔,198946.090371,452525.716079,1002118184,1347.59,숙박시설,7.0,1.0,8.0,숙박시설,일반상업지역,학교정화(상대),29.0,1041.0,1041.0,8.0,7.0,1.0,숙박시설,일반상업지역,29.0,1041.0,1041.0,8.0,8.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,익선동,킹스가든,2012,21,71.4,2.500969678805677,0.1179,0.7,37.57179889,126.98893263,관광숙박업,킹스가든,199022.300982,452472.976007,10021100193437,547.56,숙박시설,9.0,1.0,10.0,숙박시설,일반상업지역,학교정화(상대),17.0,365.0,0.0,10.0,9.0,1.0,숙박시설,일반상업지역,17.0,365.0,365.0,10.0,10.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,관철동,수레지던스,1981,5,0.0,0.5596157879354227,0.1623,0.55,37.56655068,126.98415388,관광숙박업,수레지던스,198600.044395,451890.546463,1002121110,678.65,제2종근린생활시설,5.0,1.0,6.0,숙박시설,일반상업지역,기타,17.0,213.0,213.0,6.0,5.0,1.0,숙박시설,일반상업지역,17.0,213.0,213.0,6.0,6.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,창신동,동대문 서울달빛,1982,10,40.0,1.9997770917556368,0.1608,1.0,37.56916257,127.01374879,관광숙박업,동대문 서울달빛,201214.620228,452180.406568,1002116887,817.19,숙박시설,3.0,1.0,4.0,숙박시설,일반상업지역,,19.0,385.0,385.0,4.0,3.0,1.0,숙박시설,일반상업지역,19.0,385.0,385.0,4.0,4.0,0.0,,상업지역,1.0,0.0,,,
종로구,연건동,브루클린,2025,11,63.6,1.0283354452521425,0.1,1.0,37.57244418,127.00083322,관광숙박업,브루클린,200073.606446,452544.537881,1000000000000004990625,1330.79,숙박시설,10.0,2.0,12.0,숙박시설,일반상업지역,학교정화(상대),32.0,1331.0,1331.0,12.0,10.0,2.0,숙박시설,일반상업지역,32.0,1331.0,1331.0,12.0,12.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,숭인동,케이디 호스텔,2019,22,90.9,0.7940648516932153,0.1079,0.7,37.57044997,127.01867554,관광숙박업,케이디 호스텔,201649.840329,452323.368075,10021100215685,2899.06,업무시설,9.0,2.0,11.0,숙박시설,일반상업지역,학교정화(상대),19.0,518.0,518.0,11.0,9.0,2.0,숙박시설,일반상업지역,19.0,518.0,518.0,11.0,11.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,장사동,센추럴,1969,25,64.0,2.574111725223541,0.1794,0.85,37.56604937,126.99210865,관광숙박업,센추럴,199302.818541,451834.817165,1002111398,6309.22,"숙박시설(호텔), 위락시설(주점영업)",9.0,1.0,10.0,,,,78.0,6309.0,0.0,10.0,9.0,1.0,"숙박시설(호텔), 위락시설(주점영업)",,78.0,6309.0,6309.0,10.0,10.0,0.0,,,,,,,
