승인연도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,총층수,시설규모/연면적,구,동,업종,건물용도명,업종그룹,실제등급,예측등급,target_col,target_label,best_model
1990,3,0.0,0.2089011945986666,0.42,0.04,37.55028336,126.91354347,4,82.0,마포구,서교동,외국인관광도시민박업,다가구주택,외국인관광도시민박업,안전,안전,공통_3등급,공통 기준 3등급,LightGBM
1970,9,66.7,1.5444054421632458,0.4553,0.55,37.54468753,126.95409171,3,200.71,마포구,공덕동,숙박업,다가구주택(2가구) 및 근린생활시설,기존숙박군,위험,보통,공통_3등급,공통 기준 3등급,LightGBM
2000,35,85.7,1.260731138144545,0.1351,0.85,37.5468965,126.97425371,3,217.0,용산구,후암동,외국인관광도시민박업,단독주택,외국인관광도시민박업,안전,안전,공통_3등급,공통 기준 3등급,LightGBM
2000,65,92.3,0.0,0.1351,0.08,37.5698123,126.963913,5,60.0,종로구,행촌동,외국인관광도시민박업,다세대주택,외국인관광도시민박업,위험,위험,공통_3등급,공통 기준 3등급,LightGBM
2019,7,57.1,0.058188157683169,0.1079,0.04,37.57304815,127.00317208,15,1844.0,종로구,이화동,관광숙박업,숙박시설,기존숙박군,안전,안전,공통_3등급,공통 기준 3등급,LightGBM
2011,14,85.7,0.9718605830289658,0.1194,0.7,37.54890658,126.90646945,5,25.0,마포구,합정동,외국인관광도시민박업,다세대주택,외국인관광도시민박업,보통,보통,공통_3등급,공통 기준 3등급,LightGBM
1968,4,75.0,0.4608152031913293,0.4588,0.55,37.54428506,126.94551102,2,37.0,마포구,염리동,외국인관광도시민박업,단독주택,외국인관광도시민박업,안전,보통,공통_3등급,공통 기준 3등급,LightGBM
1971,40,87.5,1.261313350941181,0.1766,0.85,37.56260061,127.00623347,4,478.51,중구,(광희동,숙박업,숙박시설(여관),기존숙박군,위험,보통,공통_3등급,공통 기준 3등급,LightGBM
2001,4,0.0,0.0,0.1337,0.45,37.55076046,126.90166562,6,76.0,마포구,망원동,외국인관광도시민박업,다가구용 주택(공동주택적용),외국인관광도시민박업,위험,위험,공통_3등급,공통 기준 3등급,LightGBM
2017,0,0.0,0.0183491386681965,0.1108,0.04,37.51035018,127.10264186,1,420309.54,송파구,신천동,숙박업,"판매시설,문화및집회시설,업무시설,숙박시설,관광휴게시설",기존숙박군,안전,안전,공통_3등급,공통 기준 3등급,LightGBM
1994,8,37.5,0.3622929362429556,0.413,0.7,37.55223742,126.90160605,4,35.0,마포구,망원동,외국인관광도시민박업,다가구용 주택(공동주택적용),외국인관광도시민박업,위험,위험,공통_3등급,공통 기준 3등급,LightGBM
1998,17,70.6,1.9423323277074287,0.54,0.7,37.55645178,126.92222662,5,46.0,마포구,동교동,외국인관광도시민박업,다가구용 주택(공동주택적용),외국인관광도시민박업,보통,위험,공통_3등급,공통 기준 3등급,LightGBM
1968,12,8.3,0.1204461530758671,0.4588,0.45,37.54510642,126.97476565,2,121.0,용산구,후암동,외국인관광도시민박업,단독주택,외국인관광도시민박업,보통,보통,공통_3등급,공통 기준 3등급,LightGBM
1998,16,50.0,0.8395458835828857,0.138,0.7,37.4974769,127.05824989,4,66.0,강남구,대치동,외국인관광도시민박업,다가구용 주택(공동주택적용),외국인관광도시민박업,위험,위험,공통_3등급,공통 기준 3등급,LightGBM
1989,62,64.5,1.9691385772893697,0.1509,0.85,37.57360608,126.98919248,1,753.77,종로구,운니동,숙박업,여관,기존숙박군,보통,보통,공통_3등급,공통 기준 3등급,LightGBM
1991,19,94.7,3.454512440429877,0.4183,1.0,37.54986386,126.90917579,3,33.0,마포구,합정동,외국인관광도시민박업,다가구용단독주택(4가구),외국인관광도시민박업,보통,보통,공통_3등급,공통 기준 3등급,LightGBM
1992,43,95.3,0.4865906529205328,0.4165,0.85,37.55668401,126.90404137,4,70.0,마포구,망원동,외국인관광도시민박업,다가구용 주택(공동주택적용),외국인관광도시민박업,위험,위험,공통_3등급,공통 기준 3등급,LightGBM
1969,28,71.4,1.1212633137050063,0.1794,0.18,37.55608254,126.96801535,3,384.85,중구,중림동,숙박업,영업용,기존숙박군,위험,위험,공통_3등급,공통 기준 3등급,LightGBM
1966,0,0.0,0.0,0.4623,0.7,37.55154622,126.92906524,3,44.0,마포구,창전동,외국인관광도시민박업,단독주택,외국인관광도시민박업,안전,안전,공통_3등급,공통 기준 3등급,LightGBM
2000,8,87.5,0.7678443237670619,0.1351,0.0,37.51506078,127.02016128,4,43.0,강남구,신사동,외국인관광도시민박업,다가구용 주택(공동주택적용),외국인관광도시민박업,위험,위험,공통_3등급,공통 기준 3등급,LightGBM
2014,14,42.9,0.6931471805599453,0.115,0.55,37.55403706,126.97637629,5,488.0,중구,남창동,관광숙박업,숙박시설(호스텔),기존숙박군,안전,안전,공통_3등급,공통 기준 3등급,LightGBM
1993,17,94.1,2.1053329556125777,0.4148,0.7,37.558396,126.92391727,3,87.0,마포구,연남동,외국인관광도시민박업,다가구용 주택(공동주택적용),외국인관광도시민박업,위험,위험,공통_3등급,공통 기준 3등급,LightGBM
1995,31,100.0,0.7859289140109115,0.1422,0.85,37.50115544,127.09937276,4,36.0,송파구,석촌동,외국인관광도시민박업,다가구용 주택(공동주택적용),외국인관광도시민박업,위험,위험,공통_3등급,공통 기준 3등급,LightGBM
1970,1,100.0,0.0622423088772209,0.178,1.0,37.51563943,126.90706857,1,547.64,영등포구,(영등포동,숙박업,"주택,점포",기존숙박군,보통,보통,공통_3등급,공통 기준 3등급,LightGBM
1995,24,95.8,1.0854020569313032,0.4113,0.85,37.55631513,126.9115941,6,92.0,마포구,성산동,외국인관광도시민박업,"근린생활시설, 단독주택(1가구)",외국인관광도시민박업,보통,보통,공통_3등급,공통 기준 3등급,LightGBM
1992,28,82.1,2.451005098112319,0.4165,0.7,37.53861002,127.05772063,6,46.0,성동구,성동,외국인관광도시민박업,"근린생활시설,주택",외국인관광도시민박업,안전,위험,공통_3등급,공통 기준 3등급,LightGBM
2008,10,100.0,0.0,0.1237,0.04,37.52666668,126.84626483,9,706.56,강서구,화곡동,숙박업,숙박시설(여관),기존숙박군,보통,보통,공통_3등급,공통 기준 3등급,LightGBM
2003,3,100.0,0.6348290101388586,0.1308,0.04,37.5564618,126.81033092,3,40.0,강서구,공항동,외국인관광도시민박업,"단독주택,다가구주택",외국인관광도시민박업,위험,보통,공통_3등급,공통 기준 3등급,LightGBM
1968,19,89.5,0.796004565999653,0.5978,1.0,37.55362244,126.92964581,4,60.0,마포구,동교동,외국인관광도시민박업,다가구용 주택(공동주택적용),외국인관광도시민박업,보통,보통,공통_3등급,공통 기준 3등급,LightGBM
