최종위험순위,AHP위험순위,사각지대_위험순위,기대피해액순위,구,동,숙소명,업종,업종별_군집명,위험점수_AHP,사각지대_위험도점수,주변건물수_검증상태,주변건물수_보정출처,기대피해액_백만원,예상_화재발생확률,조건부_예상피해액_백만원,소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도
46,46,2518,3905,마포구,연남동,SSOL HOUSE,외국인관광도시민박업,외국인관광도시민박업 군집 1,84.41,46.845778157479494,원본유지,,0.0169834554378777,0.1109579144999858,0.1530621363461185,0.6803,20,95.0,0.3664629503048952,0.4289,0.7,37.56364481,126.9189287
47,47,2232,3908,마포구,연남동,guesthouse pajamaparty,외국인관광도시민박업,외국인관광도시민박업 군집 1,83.75,48.149335402641384,원본유지,,0.0168863668277688,0.1114419242686975,0.1515261598234267,0.6628,16,100.0,0.6305739401073279,0.457,0.7,37.56217134,126.92291184
48,48,2031,3974,마포구,연남동,누크 하우스,외국인관광도시민박업,외국인관광도시민박업 군집 1,83.58,49.00400161210731,원본유지,,0.012331032338792,0.084432154299384,0.1460466387612006,0.6526,23,91.3,0.2661402286770261,0.4483,0.85,37.56266461,126.92061752
49,49,2015,33,강남구,신사동,세계여행자의집,외국인관광도시민박업,외국인관광도시민박업 군집 0,83.48,49.08828671370158,원본유지,,0.1457498574609564,0.662327731707648,0.2200570057442356,0.7296,2,50.0,1.30287687838485,0.1723,0.0,37.51602118,127.01987968
50,50,3419,1547,마포구,연남동,갤러리 하우스,외국인관광도시민박업,외국인관광도시민박업 군집 0,83.46,41.92122395162025,원본유지,,0.0769895711661451,0.4851486625606915,0.158692741230661,0.6603,21,90.5,1.1733445779952238,0.4553,0.18,37.561575,126.92413511
51,51,3423,3765,강남구,논현동,히즈플랜,외국인관광도시민박업,외국인관광도시민박업 군집 1,83.45,41.900517383246886,원본유지,,0.0229861804757351,0.1377725343731735,0.1668415303552037,0.7274,28,100.0,0.9386979041241014,0.1322,0.85,37.50742692,127.02905622
52,52,2592,3560,강서구,가양동,스테이240,외국인관광도시민박업,외국인관광도시민박업 군집 0,83.11,46.445277519009885,보정,data\서울10구_숙소_소방거리_유클리드.csv,0.0304184816500221,0.1456228285128093,0.2088853922195753,0.6949,4,100.0,0.0961438605529022,0.4254,0.45,37.56917783,126.83840511
53,53,2067,4008,송파구,방이동,늘푸른 인더바인,외국인관광도시민박업,외국인관광도시민박업 군집 1,83.09,48.778511929754494,원본유지,,0.0090137416716649,0.0486182727193156,0.1853982292563817,0.8268,23,82.6,0.9221558513265532,0.1036,1.0,37.51059523,127.11756001
54,54,4024,1159,강남구,청담동,펜타리움,숙박업,숙박업 군집 2,82.95,36.923738054113784,원본유지,,0.0850375470627065,0.4226956159512767,0.2011791555285699,0.6828,1,100.0,0.1369658550731574,0.1608,0.04,37.51971041,127.0543304
55,55,3399,3506,영등포구,신길동,파크여관,숙박업,숙박업 군집 0,82.9,42.083051309967786,원본유지,,0.0320108390886479,0.2829521006628935,0.1131316537804586,0.5097,59,83.1,0.4353180712578455,0.4553,1.0,37.50920872,126.90966994
56,56,525,2004,마포구,염리동,호성여관,숙박업,숙박업 군집 3,82.88,58.01271226839317,원본유지,,0.0666721406322251,0.4361330524569202,0.1528711026523513,0.5097,42,2.4,0.7290791897860087,0.4623,0.55,37.55368716,126.94658501
57,57,2509,3940,송파구,방이동,혀니스테이 잠실,외국인관광도시민박업,외국인관광도시민박업 군집 1,82.68,46.872409841206455,원본유지,,0.0154570733761563,0.0849208845480386,0.182017338354648,0.7638,16,93.8,0.8493964970441248,0.1394,0.85,37.50911748,127.11380393
