구,동,숙소명,위도,경도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,총층수,시설규모/연면적,nearest5_mean_damage_thousand_krw,nearest5_median_damage_thousand_krw,nearest5_min_distance_km,nearest5_mean_distance_km,nearest1_damage_thousand_krw,nearest1_distance_km,nearest1_fire_year,nearest2_damage_thousand_krw,nearest2_distance_km,nearest2_fire_year,nearest3_damage_thousand_krw,nearest3_distance_km,nearest3_fire_year,nearest4_damage_thousand_krw,nearest4_distance_km,nearest4_fire_year,nearest5_damage_thousand_krw,nearest5_distance_km,nearest5_fire_year
종로구,관철동,수레지던스,37.56655068,126.98415388,5,0.0,0.5596157879354227,0.1623,0.55,6,213.0,439.0,102.0,0.05405069306796229,0.07931166219381962,11,0.05405069306796229,2022,102,0.07919409668168266,2024,16,0.08777102004049442,2021,1650,0.08777102004049442,2017,416,0.08777148113846432,2023
종로구,창신동,동대문 서울달빛,37.56916257,127.01374879,10,40.0,1.9997770917556368,0.1608,1.0,4,385.0,442.8,210.0,0.03861299537369236,0.06579797775074354,731,0.03861299537369236,2023,11,0.05187082827611888,2020,30,0.053313737704252316,2017,1232,0.09248150537345279,2019,210,0.09271082202620139,2022
종로구,연건동,브루클린,37.57244418,127.00083322,11,63.6,1.0283354452521425,0.1,1.0,12,1331.0,363.2,54.0,0.05490044655309636,0.07093780478773337,54,0.05490044655309636,2024,33,0.05747715198408525,2021,253,0.06712741920770147,2024,1465,0.08270799400500994,2021,11,0.09247601218877383,2020
종로구,숭인동,케이디 호스텔,37.57044997,127.01867554,22,90.9,0.7940648516932153,0.1079,0.7,11,518.0,140.4,108.0,0.034745874441888515,0.05119291096915157,108,0.034745874441888515,2021,137,0.04636639368953288,2020,3,0.049774209151281675,2018,36,0.05399813565279206,2017,418,0.07107994191026272,2023
종로구,장사동,센추럴,37.56604937,126.99210865,25,64.0,2.574111725223541,0.1794,0.85,10,6309.0,61.6,91.0,0.013466093694593643,0.03270580976145684,11,0.013466093694593643,2023,105,0.01386767060502543,2024,91,0.025826917580028575,2019,100,0.04713578438886785,2017,1,0.06323258253876869,2020
종로구,창신동,VATICA HOTEL(바티카 호텔),37.56737832,127.01474752,14,71.4,0.0564856021345574,0.1794,0.85,9,3292.0,19303.4,9795.0,0.05351173639815212,0.08115276657449937,49627,0.05351173639815212,2019,36586,0.06791751286854195,2022,237,0.06833481567886697,2020,9795,0.09901395548037566,2017,272,0.11698581244656013,2020
종로구,명륜4가,호스텔 데이,37.57929506,126.99713608,5,0.0,2.6288008294480694,0.138,0.18,8,349.0,5363.8,759.0,0.053008169186862415,0.11390809757714546,20901,0.053008169186862415,2021,119,0.07036641965680025,2024,4930,0.09604435361155556,2017,759,0.1647610529195438,2021,110,0.18536049251096537,2019
종로구,숭인동,루미아호텔,37.57109607,127.02145559,2,100.0,0.2694761079552084,0.1108,0.25,15,1998.0,669.2,506.0,0.01278823417418161,0.024889923062261014,200,0.01278823417418161,2019,506,0.01278823417418161,2018,1289,0.0279406191597625,2018,222,0.03513962066623362,2018,1129,0.03579290713694572,2024
종로구,창신동,24guesthouse동대문마켓점,37.56790086,127.00943028,6,0.0,0.2810012094609484,0.1465,0.18,6,152.0,501.2,480.0,0.016403337037044257,0.0521842522051343,1100,0.016403337037044257,2023,480,0.028292826296039478,2024,749,0.07046823951825266,2019,60,0.07152901403015914,2022,117,0.07422784414417595,2024
종로구,관철동,호스텔 클로이,37.56597443,126.98782642,14,0.0,0.4418327522790392,0.1565,0.08,6,293.0,2488.2,300.0,0.08455309784743062,0.10206354696041897,7988,0.08455309784743062,2017,4097,0.10445417167528002,2020,5,0.10576840848719528,2022,300,0.10584972013673934,2018,51,0.10969233665544964,2018
