구,동,숙소명,승인연도,소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,업종,건물용도명,총층수,연면적,건물나이_2026,AHP_전체변수,EWM_전체변수,AHP순위,EWM순위,순위차_EWM-AHP
종로구,와룡동,클래식 아파트먼트 익선,1965,0.1658,76,63.2,1.244643844056864,0.1851,1.0,37.57389547,126.9897488,관광숙박업,숙박시설,6,392.0,61,37.30685032821195,16.621750656979764,1500,458,-1042
종로구,효제동,하우스 오손 종묘점,1991,0.4028,19,73.7,0.9573707576176196,0.4183,0.25,37.56890164,127.00203539,관광숙박업,숙박시설,6,180.0,35,33.21177652991633,12.934288863867248,2051,1639,-412
종로구,관수동,HELLO HOSTEL,1965,0.2112,24,87.5,0.7206876474967924,0.1851,0.12,37.56619998,126.99118829,관광숙박업,숙박시설,6,288.0,61,21.312271356644864,10.809914278195308,3513,2443,-1070
종로구,청진동,하나데이즈 종로광화문(Hana Days Jongno-Gwanghwamun,1971,0.5007,0,0.0,2.597384633214691,0.1766,0.18,37.56915801,126.9800544,관광숙박업,숙박시설,7,228.0,55,26.495957183803824,7.840122233770365,2954,3319,365
종로구,숭인동,브릭 스테이 (BRIC STAY),1999,0.2685,27,55.6,0.3035351275471273,0.1365,0.85,37.57248011,127.01971336,관광숙박업,숙박시설,4,258.0,27,31.28782246601956,10.206943060171318,2298,2600,302
종로구,충신동,연경당,2019,0.3749,37,67.6,0.6931471805599453,0.1079,1.0,37.57203715,127.00395269,관광숙박업,제1종근린생활시설,9,78.0,7,38.811991063906596,12.533977420208151,1289,1789,500
종로구,숭인동,호텔 DM,2020,0.3044,11,100.0,0.8746092615811812,0.1065,0.25,37.57059843,127.01860129,관광숙박업,숙박시설,11,2994.0,6,24.020218325488997,10.036034072924489,3245,2650,-595
종로구,원남동,오라카이 대학로 호텔,2019,0.2308,5,0.0,1.0632729222228008,0.1079,0.18,37.57297519,126.99797784,관광숙박업,숙박시설,20,19413.0,7,12.28257500049762,5.353972621061092,4096,3883,-213
종로구,창신동,D-STAY HOSTEL,1968,0.1266,6,0.0,0.1482530044498824,0.1808,0.08,37.56798355,127.00952148,관광숙박업,숙박시설,6,248.0,58,8.521638181190728,3.6895730687869714,4211,4092,-119
종로구,돈의동,더 메이 호텔,2020,0.1735,21,71.4,0.9408455369813622,0.1065,0.45,37.56923344,126.98879056,관광숙박업,숙박시설,11,847.0,6,21.172674895370655,9.444052584560295,3526,2862,-664
종로구,숭인동,루나하우스,1970,0.2056,30,46.7,1.2512891288770671,0.4553,0.85,37.57353634,127.0219178,관광숙박업,숙박시설,4,83.0,56,36.721868107896455,14.760621896456582,1576,986,-590
종로구,익선동,엠제이호텔,2005,0.1761,18,55.6,2.672021859258811,0.1279,0.7,37.57227399,126.98806987,관광숙박업,숙박시설,8,1041.0,21,27.095876791050276,11.717594123155068,2882,2123,-759
종로구,익선동,킹스가든,2012,0.1433,21,71.4,2.500969678805677,0.1179,0.7,37.57179889,126.98893263,관광숙박업,숙박시설,10,365.0,14,26.718098699872417,12.319926580092174,2931,1870,-1061
종로구,관철동,수레지던스,1981,0.4058,5,0.0,0.5596157879354227,0.1623,0.55,37.56655068,126.98415388,관광숙박업,숙박시설,6,213.0,45,26.730712993691384,6.287457865753463,2929,3669,740
종로구,창신동,동대문 서울달빛,1982,0.1337,10,40.0,1.9997770917556368,0.1608,1.0,37.56916257,127.01374879,관광숙박업,숙박시설,4,385.0,44,29.52114016922232,11.000830480648494,2545,2377,-168
종로구,연건동,브루클린,2025,0.3379,11,63.6,1.0283354452521425,0.1,1.0,37.57244418,127.00083322,관광숙박업,숙박시설,12,1331.0,1,35.40045361552126,10.938550621509236,1735,2396,661
종로구,숭인동,케이디 호스텔,2019,0.2984,22,90.9,0.7940648516932153,0.1079,0.7,37.57044997,127.01867554,관광숙박업,숙박시설,11,518.0,7,31.65902884413139,11.736972128285663,2253,2114,-139
종로구,장사동,센추럴,1969,0.1947,25,64.0,2.574111725223541,0.1794,0.85,37.56604937,126.99210865,관광숙박업,"숙박시설(호텔), 위락시설(주점영업)",10,6309.0,57,33.67067609146162,14.818866711556774,1991,968,-1023
종로구,창신동,VATICA HOTEL(바티카 호텔),1969,0.1108,14,71.4,0.0564856021345574,0.1794,0.85,37.56737832,127.01474752,관광숙박업,영업용,9,3292.0,57,27.368925706747955,10.986704560406674,2833,2382,-451
