gu_key,dong_key,gu_label,gwr_factor,mgwr_factor
Gangnam-gu,도곡동,강남구,주변건물수,데이터 없음
Seodaemun-gu,창천동,서대문구,데이터 없음,데이터 없음
Jung-gu,의주로2가,중구,데이터 없음,데이터 없음
Gangnam-gu,율현동,강남구,데이터 없음,데이터 없음
Seongbuk-gu,종암동,성북구,데이터 없음,데이터 없음
Seodaemun-gu,연희동,서대문구,데이터 없음,데이터 없음
Gangdong-gu,천호동,강동구,데이터 없음,데이터 없음
Jongno-gu,구기동,종로구,데이터 없음,데이터 없음
Jung-gu,필동2가,중구,도로폭위험,데이터 없음
Jung-gu,정동,중구,집중도,데이터 없음
Jung-gu,충무로4가,중구,단속위험,도로폭위험
Gangdong-gu,둔촌동,강동구,데이터 없음,데이터 없음
Gwangjin-gu,중곡동,광진구,데이터 없음,데이터 없음
Jung-gu,예장동,중구,노후도,노후도
Gangseo-gu,내발산동,강서구,주변건물수,노후도
Gangdong-gu,상일동,강동구,데이터 없음,데이터 없음
Jongno-gu,신영동,종로구,집중도,데이터 없음
Gangnam-gu,개포동,강남구,데이터 없음,데이터 없음
Jung-gu,남대문로3가,중구,데이터 없음,데이터 없음
Jongno-gu,행촌동,종로구,집중도,도로폭위험
Seodaemun-gu,봉원동,서대문구,데이터 없음,데이터 없음
Gangseo-gu,등촌동,강서구,주변건물수,노후도
Jung-gu,충정로1가,중구,데이터 없음,데이터 없음
Gangnam-gu,일원동,강남구,집중도,노후도
Gangnam-gu,세곡동,강남구,데이터 없음,데이터 없음
Gangnam-gu,신사동,강남구,소방위험,도로폭위험
Gangseo-gu,외발산동,강서구,단속위험,데이터 없음
Gangbuk-gu,수유동,강북구,데이터 없음,데이터 없음
Gangnam-gu,수서동,강남구,데이터 없음,데이터 없음
Gangseo-gu,오쇠동,강서구,데이터 없음,데이터 없음
Jung-gu,을지로1가,중구,데이터 없음,단속위험
Mapo-gu,아현동,마포구,도로폭위험,데이터 없음
Seocho-gu,신원동,서초구,데이터 없음,데이터 없음
Mapo-gu,염리동,마포구,주변건물수,집중도
Seocho-gu,양재동,서초구,단속위험,노후도
Nowon-gu,상계동,노원구,데이터 없음,데이터 없음
Seodaemun-gu,충정로3가,서대문구,데이터 없음,데이터 없음
Gangdong-gu,명일동,강동구,데이터 없음,데이터 없음
Mapo-gu,성산동,마포구,노후도,노후도
Jongno-gu,부암동,종로구,집중도,데이터 없음
Seocho-gu,방배동,서초구,도로폭위험,노후도
Seodaemun-gu,홍제동,서대문구,집중도,데이터 없음
Gangnam-gu,압구정동,강남구,데이터 없음,데이터 없음
Nowon-gu,월계동,노원구,데이터 없음,데이터 없음
Mapo-gu,공덕동,마포구,도로폭위험,노후도
Seodaemun-gu,홍은동,서대문구,데이터 없음,데이터 없음
Mapo-gu,상암동,마포구,노후도,도로폭위험
Seodaemun-gu,냉천동,서대문구,데이터 없음,데이터 없음
Seodaemun-gu,신촌동,서대문구,데이터 없음,데이터 없음
Seodaemun-gu,남가좌동,서대문구,데이터 없음,데이터 없음
Mapo-gu,서교동,마포구,주변건물수,노후도
Seocho-gu,원지동,서초구,데이터 없음,데이터 없음
Jung-gu,만리동1가,중구,노후도,데이터 없음
Jung-gu,쌍림동,중구,소방위험,노후도
Jung-gu,을지로2가,중구,주변건물수,데이터 없음
Jung-gu,인현동1가,중구,소방위험,데이터 없음
Jongno-gu,홍지동,종로구,집중도,데이터 없음
Mapo-gu,대흥동,마포구,주변건물수,노후도
Jung-gu,회현동2가,중구,집중도,데이터 없음
Seodaemun-gu,충정로2가,서대문구,데이터 없음,데이터 없음
Mapo-gu,상수동,마포구,노후도,노후도
Jongno-gu,명륜4가,종로구,데이터 없음,데이터 없음
Jung-gu,태평로1가,중구,데이터 없음,데이터 없음
Jung-gu,초동,중구,소방위험,도로폭위험
Jung-gu,명동2가,중구,주변건물수,데이터 없음
Gwanak-gu,남현동,관악구,데이터 없음,데이터 없음
Jongno-gu,홍파동,종로구,집중도,데이터 없음
