gu_key,dong_key,gu_label,fallback_score,fallback_n,gwr_model_score,gwr_n,mgwr_model_score,mgwr_n,gwr_score_filled,mgwr_score_filled,gwr_filled_from_final,mgwr_filled_from_final
Dongjak-gu,상도1동,동작구,,,,,,,,,False,False
Dongjak-gu,신대방동,동작구,,,,,,,,,False,False
Eunpyeong-gu,진관동,은평구,,,,,,,,,False,False
Geumcheon-gu,가산동,금천구,,,,,,,,,False,False
Guro-gu,가리봉동,구로구,,,,,,,,,False,False
Guro-gu,고척동,구로구,,,,,,,,,False,False
Guro-gu,신도림동,구로구,,,,,,,,,False,False
Guro-gu,오류동,구로구,,,,,,,,,False,False
Jungnang-gu,묵동,중랑구,,,,,,,,,False,False
Jongno-gu,옥인동,종로구,35.81074841833333,6.0,33.46681652,2.0,31.407519620452355,1.0,33.46681652,31.407519620452355,False,False
Jongno-gu,사직동,종로구,46.15916934999999,3.0,49.41784938,1.0,,,49.41784938,46.15916934999999,False,True
Jung-gu,필동1가,중구,,,,,,,,,False,False
Eunpyeong-gu,수색동,은평구,,,,,,,,,False,False
Jongno-gu,청운동,종로구,26.554735598571426,7.0,21.345501525,2.0,23.560129304165372,2.0,21.345501525,23.560129304165372,False,False
Eunpyeong-gu,녹번동,은평구,,,,,,,,,False,False
Eunpyeong-gu,불광동,은평구,,,,,,,,,False,False
Eunpyeong-gu,갈현동,은평구,,,,,,,,,False,False
Jongno-gu,당주동,종로구,37.73950361,2.0,,,,,37.73950361,37.73950361,True,True
Eunpyeong-gu,역촌동,은평구,,,,,,,,,False,False
Eunpyeong-gu,신사동,은평구,,,,,,,,,False,False
Jongno-gu,명륜3가,종로구,37.10049236142857,14.0,35.538901556666666,3.0,,,35.538901556666666,37.10049236142857,False,True
Jungnang-gu,상봉동,중랑구,,,,,,,,,False,False
Gangbuk-gu,번동,강북구,,,,,,,,,False,False
Gangnam-gu,자곡동,강남구,,,,,,,,,False,False
Jongno-gu,관훈동,종로구,19.972133791111112,9.0,16.8226857025,4.0,22.709067521437927,1.0,16.8226857025,22.709067521437927,False,False
Jongno-gu,서린동,종로구,,,,,,,,,False,False
Jongno-gu,창신동,종로구,31.829953152853335,75.0,32.057282633999996,41.0,33.38405456406883,11.0,32.057282633999996,33.38405456406883,False,False
Jongno-gu,숭인동,종로구,32.12523354556757,74.0,31.655444104285717,35.0,34.22350768149633,10.0,31.655444104285717,34.22350768149633,False,False
Jung-gu,방산동,중구,,,,,,,,,False,False
Jung-gu,남학동,중구,38.1686996075,4.0,27.88206405,1.0,,,27.88206405,38.1686996075,False,True
Jung-gu,충무로3가,중구,27.417621022222225,9.0,23.47482333,4.0,19.70412585774021,1.0,23.47482333,19.70412585774021,False,False
Jung-gu,장교동,중구,15.958451929999999,2.0,16.07173597,2.0,,,16.07173597,15.958451929999999,False,True
Jongno-gu,돈의동,종로구,21.825918559999998,7.0,15.852225981999998,5.0,,,15.852225981999998,21.825918559999998,False,True
Jungnang-gu,면목동,중랑구,,,,,,,,,False,False
Gangseo-gu,과해동,강서구,,,,,,,,,False,False
Gangseo-gu,공항동,강서구,28.245534825,34.0,30.725702091,10.0,,,30.725702091,28.245534825,False,True
Jongno-gu,효제동,종로구,29.019676883846156,13.0,28.758877633333334,9.0,,,28.758877633333334,29.019676883846156,False,True
Jongno-gu,익선동,종로구,31.0660288,13.0,33.417023578333335,6.0,26.89115911290025,1.0,33.417023578333335,26.89115911290025,False,False
Jongno-gu,재동,종로구,,,,,,,,,False,False
Jung-gu,주자동,중구,34.67678956,1.0,34.67678956,1.0,,,34.67678956,34.67678956,False,True
Gangseo-gu,마곡동,강서구,25.58110314,8.0,25.58110314,8.0,,,25.58110314,25.58110314,False,True
Mapo-gu,토정동,마포구,,,,,,,,,False,False
Gangseo-gu,오곡동,강서구,,,,,,,,,False,False
Nowon-gu,공릉동,노원구,,,,,,,,,False,False
Seongbuk-gu,돈암동,성북구,,,,,,,,,False,False
Jongno-gu,관수동,종로구,20.177565932666667,15.0,24.5171116025,4.0,24.952373183177716,4.0,24.5171116025,24.952373183177716,False,False
Jongno-gu,묘동,종로구,35.4930036,2.0,,,,,35.4930036,35.4930036,True,True
Jongno-gu,장사동,종로구,28.1926833,2.0,28.1926833,2.0,,,28.1926833,28.1926833,False,True
Jung-gu,충무로5가,중구,27.896063206666668,6.0,28.5642926775,4.0,26.51724753633212,1.0,28.5642926775,26.51724753633212,False,False
Jung-gu,주교동,중구,28.892362853636367,11.0,30.76698564142857,7.0,26.58548259044474,3.0,30.76698564142857,26.58548259044474,False,False
Jongno-gu,운니동,종로구,32.157071578,5.0,31.3511978975,4.0,,,31.3511978975,32.157071578,False,True
Eunpyeong-gu,대조동,은평구,,,,,,,,,False,False
Guro-gu,온수동,구로구,,,,,,,,,False,False
Jongno-gu,필운동,종로구,36.645512216,5.0,34.02911507666667,3.0,40.28010884563477,1.0,34.02911507666667,40.28010884563477,False,False
Jongno-gu,통의동,종로구,35.74911076,1.0,,,,,35.74911076,35.74911076,True,True
Jongno-gu,체부동,종로구,29.83452030875,8.0,31.16243028,4.0,32.58481427534568,1.0,31.16243028,32.58481427534568,False,False
Jung-gu,봉래동2가,중구,,,,,,,,,False,False
Jongno-gu,견지동,종로구,15.15989744,1.0,,,,,15.15989744,15.15989744,True,True
Jongno-gu,낙원동,종로구,22.295813220000003,37.0,23.3673874605,20.0,20.744571279596325,5.0,23.3673874605,20.744571279596325,False,False
Jongno-gu,종로2가,종로구,23.63052917666667,3.0,22.91093724,1.0,,,22.91093724,23.63052917666667,False,True
Jung-gu,필동3가,중구,,,,,,,,,False,False
Jung-gu,회현동1가,중구,,,,,,,,,False,False
Jongno-gu,종로4가,종로구,32.43761249,1.0,,,,,32.43761249,32.43761249,True,True
Jongno-gu,송현동,종로구,,,,,,,,,False,False
Jungnang-gu,중화동,중랑구,,,,,,,,,False,False
Jungnang-gu,망우동,중랑구,,,,,,,,,False,False
Guro-gu,궁동,구로구,,,,,,,,,False,False
Guro-gu,천왕동,구로구,,,,,,,,,False,False
Jongno-gu,봉익동,종로구,23.817104845,2.0,15.92274082,1.0,33.38854405232454,1.0,15.92274082,33.38854405232454,False,False
Gangseo-gu,화곡동,강서구,28.458596357396825,126.0,29.565751281458333,48.0,27.550518397447465,12.0,29.565751281458333,27.550518397447465,False,False
Jongno-gu,종로5가,종로구,30.79787696625,8.0,27.39253444,4.0,,,27.39253444,30.79787696625,False,True
Jongno-gu,사간동,종로구,38.54821948,3.0,32.8999814,1.0,,,32.8999814,38.54821948,False,True
Jung-gu,산림동,중구,37.3940048,6.0,25.46694922,2.0,35.139970162324325,1.0,25.46694922,35.139970162324325,False,False
Jongno-gu,교남동,종로구,,,,,,,,,False,False
Jung-gu,서소문동,중구,19.8564777325,4.0,30.53976772,1.0,14.4479114085873,1.0,30.53976772,14.4479114085873,False,False
Jung-gu,북창동,중구,24.90925141285714,14.0,23.93818226888889,9.0,,,23.93818226888889,24.90925141285714,False,True
Jongno-gu,충신동,종로구,37.524866063333334,15.0,34.5570260875,4.0,42.71898473610466,4.0,34.5570260875,42.71898473610466,False,False
Jongno-gu,송월동,종로구,,,,,,,,,False,False
Jongno-gu,종로6가,종로구,31.83542113333333,6.0,25.16261073,3.0,,,25.16261073,31.83542113333333,False,True
Jongno-gu,이화동,종로구,29.953703327142858,7.0,22.278249563333333,3.0,35.569129411558684,2.0,22.278249563333333,35.569129411558684,False,False
Jongno-gu,연건동,종로구,35.60506702153846,13.0,32.7392984225,4.0,38.57320650700179,1.0,32.7392984225,38.57320650700179,False,False
Jongno-gu,혜화동,종로구,32.05120424,3.0,27.95593005,2.0,27.470468996458948,1.0,27.95593005,27.470468996458948,False,False
Jongno-gu,연지동,종로구,25.651589064285712,7.0,27.81965246333333,3.0,26.13807249369984,1.0,27.81965246333333,26.13807249369984,False,False
Jung-gu,남산동1가,중구,,,,,,,,,False,False
Jung-gu,수하동,중구,,,,,,,,,False,False
Jung-gu,중림동,중구,30.887545252307692,13.0,32.60194477,7.0,30.880929713678963,3.0,32.60194477,30.880929713678963,False,False
Gangnam-gu,역삼동,강남구,26.196404748796994,133.0,26.057381780289855,69.0,21.731416644095752,10.0,26.057381780289855,21.731416644095752,False,False
Mapo-gu,도화동,마포구,33.16222532021739,46.0,33.14635387047619,21.0,37.407488839475455,3.0,33.14635387047619,37.407488839475455,False,False
Gwangjin-gu,능동,광진구,,,,,,,,,False,False
Gangseo-gu,염창동,강서구,19.810533616666667,9.0,17.495431855,6.0,,,17.495431855,19.810533616666667,False,True
Jung-gu,저동2가,중구,,,,,,,,,False,False
Jung-gu,흥인동,중구,29.433539355,2.0,27.55357155,1.0,,,27.55357155,29.433539355,False,True
Jung-gu,을지로5가,중구,25.016290969916668,12.0,27.399542685714287,7.0,29.631054628862405,3.0,27.399542685714287,29.631054628862405,False,False
Jongno-gu,평동,종로구,,,,,,,,,False,False
Jung-gu,소공동,중구,31.402343436666666,3.0,,,,,31.402343436666666,31.402343436666666,True,True
Jongno-gu,명륜1가,종로구,33.06995348555555,9.0,35.26467955333334,3.0,,,35.26467955333334,33.06995348555555,False,True
Jongno-gu,종로3가,종로구,,,,,,,,,False,False
Jongno-gu,인의동,종로구,24.976386345,2.0,,,,,24.976386345,24.976386345,True,True
Jongno-gu,화동,종로구,34.49219198,1.0,34.49219198,1.0,,,34.49219198,34.49219198,False,True
Jongno-gu,권농동,종로구,36.75047844333333,3.0,32.19474877,1.0,,,32.19474877,36.75047844333333,False,True
Jung-gu,남대문로1가,중구,,,,,,,,,False,False
Jung-gu,을지로7가,중구,29.884217087142854,7.0,28.621746465,2.0,35.56599746865036,2.0,28.621746465,35.56599746865036,False,False
Jung-gu,순화동,중구,27.7726142225,4.0,28.391865785,2.0,,,28.391865785,27.7726142225,False,True
Jung-gu,무교동,중구,25.15223178,1.0,25.15223178,1.0,,,25.15223178,25.15223178,False,True
Jung-gu,황학동,중구,31.144777046857143,35.0,30.968342152666665,15.0,31.71329177027161,7.0,30.968342152666665,31.71329177027161,False,False
Jung-gu,충무로2가,중구,26.90335803111111,9.0,25.732550606666667,6.0,37.15250047705151,1.0,25.732550606666667,37.15250047705151,False,False
Jung-gu,명동1가,중구,,,,,,,,,False,False
Jung-gu,삼각동,중구,,,,,,,,,False,False
Jung-gu,남창동,중구,32.039947069,10.0,21.44125262,3.0,30.910840113351124,1.0,21.44125262,30.910840113351124,False,False
Jongno-gu,평창동,종로구,36.604260430000004,3.0,36.60424557666667,3.0,,,36.60424557666667,36.604260430000004,False,True
Gangbuk-gu,우이동,강북구,,,,,,,,,False,False
Gangdong-gu,고덕동,강동구,,,,,,,,,False,False
Jongno-gu,원남동,종로구,22.7295714646,10.0,20.893207777666667,6.0,,,20.893207777666667,22.7295714646,False,True
Jongno-gu,가회동,종로구,,,,,,,,,False,False
Jung-gu,묵정동,중구,34.485083715,2.0,34.485083715,2.0,,,34.485083715,34.485083715,False,True
Jongno-gu,원서동,종로구,32.96971520666667,6.0,33.182224082,5.0,,,33.182224082,32.96971520666667,False,True
Jung-gu,무학동,중구,25.960725695,4.0,25.95652037,2.0,17.737085026663937,1.0,25.95652037,17.737085026663937,False,False
Jongno-gu,인사동,종로구,34.178897915,2.0,,,,,34.178897915,34.178897915,True,True
Jongno-gu,누하동,종로구,36.65072637666666,9.0,32.9531941875,4.0,,,32.9531941875,36.65072637666666,False,True
Jongno-gu,수송동,종로구,20.466671943333335,3.0,19.90447402,3.0,,,19.90447402,20.466671943333335,False,True
Jongno-gu,훈정동,종로구,,,,,,,,,False,False
Jongno-gu,동숭동,종로구,33.52774879366667,30.0,33.10821997923077,13.0,35.18180099826634,6.0,33.10821997923077,35.18180099826634,False,False
Jongno-gu,신문로1가,종로구,,,,,,,,,False,False
Jongno-gu,관철동,종로구,25.404696333793105,29.0,27.177789831818185,11.0,28.192426535308652,2.0,27.177789831818185,28.192426535308652,False,False
Jung-gu,입정동,중구,27.93682438,1.0,,,,,27.93682438,27.93682438,True,True
Jung-gu,봉래동1가,중구,,,,,,,,,False,False
Jung-gu,충무로1가,중구,24.183364740000002,2.0,24.183364740000002,2.0,,,24.183364740000002,24.183364740000002,False,True
Jung-gu,남대문로5가,중구,32.42224825777778,9.0,34.81027770666667,3.0,39.12755159586603,1.0,34.81027770666667,39.12755159586603,False,False
Jung-gu,오장동,중구,25.364726539,10.0,23.448859914,5.0,26.511439490916718,3.0,23.448859914,26.511439490916718,False,False
Jung-gu,예관동,중구,26.599754005,2.0,,,,,26.599754005,26.599754005,True,True
Jung-gu,남산동2가,중구,,,,,,,,,False,False
Jung-gu,남산동3가,중구,,,,,,,,,False,False
Jung-gu,저동1가,중구,,,,,,,,,False,False
Jung-gu,광희동1가,중구,,,,,,,,,False,False
Jung-gu,광희동2가,중구,,,,,,,,,False,False
Jung-gu,장충동1가,중구,,,,,,,,,False,False
Gangdong-gu,암사동,강동구,,,,,,,,,False,False
Jongno-gu,교북동,종로구,27.17721169,1.0,,,,,27.17721169,27.17721169,True,True
Gwangjin-gu,군자동,광진구,,,,,,,,,False,False
Jung-gu,을지로3가,중구,33.362641294285716,7.0,32.75363854,4.0,28.944416726284096,1.0,32.75363854,28.944416726284096,False,False
Jung-gu,태평로2가,중구,31.2308399775,4.0,27.09831392,1.0,26.01521400722202,1.0,27.09831392,26.01521400722202,False,False
Jung-gu,회현동3가,중구,,,,,,,,,False,False
Jung-gu,남대문로4가,중구,21.12396286,4.0,21.66600312,2.0,,,21.66600312,21.12396286,False,True
Mapo-gu,하중동,마포구,,,,,,,,,False,False
Gangdong-gu,강일동,강동구,,,,,,,,,False,False
Gangseo-gu,개화동,강서구,37.3071482875,4.0,27.58311222,1.0,,,27.58311222,37.3071482875,False,True
Gangseo-gu,가양동,강서구,30.198524256666662,3.0,25.79873468,1.0,,,25.79873468,30.198524256666662,False,True
Jung-gu,장충동2가,중구,,,,,,,,,False,False
Seodaemun-gu,북가좌동,서대문구,,,,,,,,,False,False
Seocho-gu,우면동,서초구,23.42846321,2.0,,,25.27737922220141,1.0,23.42846321,25.27737922220141,True,False
Gangnam-gu,청담동,강남구,30.265423365555552,18.0,31.631436389999998,10.0,41.491208777314576,3.0,31.631436389999998,41.491208777314576,False,False
Jung-gu,남대문로2가,중구,21.72224023,1.0,,,,,21.72224023,21.72224023,True,True
Jung-gu,을지로4가,중구,20.886663406666667,3.0,20.88926405333333,3.0,,,20.88926405333333,20.886663406666667,False,True
Jung-gu,의주로1가,중구,,,,,,,,,False,False
Jung-gu,을지로6가,중구,26.034306374444444,9.0,30.748045141666665,6.0,37.274524385100904,2.0,30.748045141666665,37.274524385100904,False,False
Jung-gu,다동,중구,29.64576957,3.0,32.53907464,1.0,,,32.53907464,29.64576957,False,True
Gangnam-gu,삼성동,강남구,29.34399707066,50.0,27.941479945319998,25.0,35.03998652936863,8.0,27.941479945319998,35.03998652936863,False,False
Gangnam-gu,도곡동,강남구,38.331102683333334,3.0,30.126631205000002,2.0,,,30.126631205000002,38.331102683333334,False,True
Seodaemun-gu,창천동,서대문구,,,,,,,,,False,False
Jung-gu,의주로2가,중구,,,,,,,,,False,False
Gangnam-gu,율현동,강남구,,,,,,,,,False,False
Seongbuk-gu,종암동,성북구,,,,,,,,,False,False
Seodaemun-gu,연희동,서대문구,,,,,,,,,False,False
Gangdong-gu,천호동,강동구,,,,,,,,,False,False
Jongno-gu,구기동,종로구,39.4035922,2.0,39.64260737,1.0,,,39.64260737,39.4035922,False,True
Jung-gu,필동2가,중구,,,,,,,,,False,False
Jung-gu,정동,중구,,,,,,,,,False,False
Jung-gu,충무로4가,중구,28.89096341222222,9.0,28.901833498000002,5.0,27.320184478573545,1.0,28.901833498000002,27.320184478573545,False,False
Gangdong-gu,둔촌동,강동구,,,,,,,,,False,False
Gwangjin-gu,중곡동,광진구,,,,,,,,,False,False
Jung-gu,예장동,중구,35.759712236666665,12.0,36.92066294222222,9.0,36.56613905035563,2.0,36.92066294222222,36.56613905035563,False,False
Gangseo-gu,내발산동,강서구,29.626303138000004,10.0,30.2780428875,4.0,34.27293773041769,1.0,30.2780428875,34.27293773041769,False,False
Gangdong-gu,상일동,강동구,,,,,,,,,False,False
Jongno-gu,신영동,종로구,17.78686364,1.0,17.78686364,1.0,,,17.78686364,17.78686364,False,True
Gangnam-gu,개포동,강남구,24.772971955,2.0,26.08175407,1.0,,,26.08175407,24.772971955,False,True
Jung-gu,남대문로3가,중구,22.45564255,1.0,,,,,22.45564255,22.45564255,True,True
Jongno-gu,행촌동,종로구,32.98674878,9.0,32.10675619,5.0,35.30182175191176,2.0,32.10675619,35.30182175191176,False,False
Seodaemun-gu,봉원동,서대문구,,,,,,,,,False,False
Gangseo-gu,등촌동,강서구,26.2191691815,20.0,25.887380486363636,11.0,28.73085779716447,3.0,25.887380486363636,28.73085779716447,False,False
Jung-gu,충정로1가,중구,,,,,,,,,False,False
Gangnam-gu,일원동,강남구,35.86075027125,8.0,31.86189055,1.0,37.0165515174813,1.0,31.86189055,37.0165515174813,False,False
Gangnam-gu,세곡동,강남구,,,,,,,,,False,False
Gangnam-gu,신사동,강남구,31.981010931388887,36.0,33.78143941916667,12.0,36.47447140665911,3.0,33.78143941916667,36.47447140665911,False,False
Gangseo-gu,외발산동,강서구,31.517041500000005,5.0,30.971443907500003,4.0,,,30.971443907500003,31.517041500000005,False,True
Gangbuk-gu,수유동,강북구,,,,,,,,,False,False
Gangnam-gu,수서동,강남구,,,,,,,,,False,False
Gangseo-gu,오쇠동,강서구,,,,,,,,,False,False
Jung-gu,을지로1가,중구,42.77342793,1.0,,,43.8893256661317,1.0,42.77342793,43.8893256661317,True,False
Mapo-gu,아현동,마포구,44.596212224999995,6.0,37.222003055,4.0,,,37.222003055,44.596212224999995,False,True
Seocho-gu,신원동,서초구,40.37749379,1.0,,,,,40.37749379,40.37749379,True,True
Mapo-gu,염리동,마포구,35.845570720000005,22.0,32.676694631,10.0,25.556910306701468,1.0,32.676694631,25.556910306701468,False,False
Seocho-gu,양재동,서초구,30.9101752,9.0,27.225355340000004,3.0,39.1293130885809,1.0,27.225355340000004,39.1293130885809,False,False
Nowon-gu,상계동,노원구,,,,,,,,,False,False
Seodaemun-gu,충정로3가,서대문구,,,,,,,,,False,False
Gangdong-gu,명일동,강동구,,,,,,,,,False,False
Mapo-gu,성산동,마포구,34.43934395388889,72.0,33.414798165294116,34.0,37.30655712026349,13.0,33.414798165294116,37.30655712026349,False,False
Jongno-gu,부암동,종로구,38.0558595575,8.0,36.042378066666664,3.0,,,36.042378066666664,38.0558595575,False,True
Seocho-gu,방배동,서초구,31.369551837727272,22.0,32.695617203,10.0,31.19195989974463,3.0,32.695617203,31.19195989974463,False,False
Seodaemun-gu,홍제동,서대문구,,,,,,,,,False,False
Gangnam-gu,압구정동,강남구,,,,,,,,,False,False
Nowon-gu,월계동,노원구,,,,,,,,,False,False
Mapo-gu,공덕동,마포구,34.400124335769235,26.0,32.590110757333335,15.0,36.18090754986227,2.0,32.590110757333335,36.18090754986227,False,False
Seodaemun-gu,홍은동,서대문구,,,,,,,,,False,False
Mapo-gu,상암동,마포구,28.66109470939394,33.0,28.417657437142857,21.0,19.38268756409055,2.0,28.417657437142857,19.38268756409055,False,False
Seodaemun-gu,냉천동,서대문구,,,,,,,,,False,False
Seodaemun-gu,신촌동,서대문구,,,,,,,,,False,False
Seodaemun-gu,남가좌동,서대문구,,,,,,,,,False,False
Mapo-gu,서교동,마포구,33.80232799409589,219.0,33.77397555935484,93.0,34.24465332080919,27.0,33.77397555935484,34.24465332080919,False,False
Seocho-gu,원지동,서초구,,,,,,,,,False,False
Jung-gu,만리동1가,중구,,,,,,,,,False,False
Jung-gu,쌍림동,중구,28.745839888,5.0,29.78842366666667,3.0,33.542681174030506,1.0,29.78842366666667,33.542681174030506,False,False
Jung-gu,을지로2가,중구,13.5787579,1.0,13.5787579,1.0,,,13.5787579,13.5787579,False,True
Jung-gu,인현동1가,중구,,,,,,,,,False,False
Jongno-gu,홍지동,종로구,41.6975350375,8.0,40.208764734,5.0,,,40.208764734,41.6975350375,False,True
Mapo-gu,대흥동,마포구,40.512515775714284,21.0,44.704010112000006,10.0,59.03807547876988,1.0,44.704010112000006,59.03807547876988,False,False
Jung-gu,회현동2가,중구,,,,,,,,,False,False
Seodaemun-gu,충정로2가,서대문구,,,,,,,,,False,False
Mapo-gu,상수동,마포구,36.0617737224138,29.0,40.05217541333333,9.0,45.55683898149147,3.0,40.05217541333333,45.55683898149147,False,False
Jongno-gu,명륜4가,종로구,35.36860193375,8.0,28.144740279999997,3.0,,,28.144740279999997,35.36860193375,False,True
Jung-gu,태평로1가,중구,28.7132277425,4.0,31.2195513,2.0,,,31.2195513,28.7132277425,False,True
Jung-gu,초동,중구,27.151704988,5.0,27.92492876,2.0,28.66302968097612,1.0,27.92492876,28.66302968097612,False,False
Jung-gu,명동2가,중구,,,,,,,,,False,False
Gwanak-gu,남현동,관악구,,,,,,,,,False,False
Jongno-gu,홍파동,종로구,,,,,,,,,False,False
Seodaemun-gu,대현동,서대문구,,,,,,,,,False,False
Mapo-gu,당인동,마포구,30.714607532307692,13.0,31.927024949999996,5.0,,,31.927024949999996,30.714607532307692,False,True
Jung-gu,만리동2가,중구,,,,,,,,,False,False
Seocho-gu,반포동,서초구,24.69547587125,16.0,22.037741472222223,9.0,36.14643579376801,2.0,22.037741472222223,36.14643579376801,False,False
Mapo-gu,연남동,마포구,38.78011983814655,232.0,38.231298464848486,99.0,40.75953226250374,41.0,38.231298464848486,40.75953226250374,False,False
Seocho-gu,서초동,서초구,25.698754460625,32.0,24.754569554444444,18.0,26.45886880571222,1.0,24.754569554444444,26.45886880571222,False,False
Nowon-gu,중계동,노원구,,,,,,,,,False,False
Mapo-gu,창전동,마포구,34.19908109621622,37.0,34.63259427529412,17.0,,,34.63259427529412,34.19908109621622,False,True
Jongno-gu,무악동,종로구,21.12645048,1.0,,,,,21.12645048,21.12645048,True,True
Seodaemun-gu,대신동,서대문구,,,,,,,,,False,False
Gangnam-gu,대치동,강남구,32.7821515536,25.0,32.61189752111111,18.0,32.656507151998724,5.0,32.61189752111111,32.656507151998724,False,False
Mapo-gu,신공덕동,마포구,29.587710400000002,6.0,38.24298657,1.0,,,38.24298657,29.587710400000002,False,True
Seongbuk-gu,안암동4가,성북구,,,,,,,,,False,False
Mapo-gu,중동,마포구,34.7407130225,4.0,35.413804819999996,2.0,,,35.413804819999996,34.7407130225,False,True
Nowon-gu,하계동,노원구,,,,,,,,,False,False
Mapo-gu,현석동,마포구,,,,,,,,,False,False
Seodaemun-gu,천연동,서대문구,,,,,,,,,False,False
Gwangjin-gu,구의동,광진구,,,,,,,,,False,False
Seongdong-gu,하왕십리동,성동구,41.94403205263158,19.0,42.67666951333334,6.0,34.24185072474515,2.0,42.67666951333334,34.24185072474515,False,False
Seongbuk-gu,정릉동,성북구,,,,,,,,,False,False
Songpa-gu,장지동,송파구,,,,,,,,,False,False
