?,???,GWR_???,MGWR_???,gwr_score,mgwr_score,gwr_n,mgwr_n
성동구,옥수동,False,True,34.913033175,,2.0,
성동구,용답동,False,True,41.03349877,,4.0,
성동구,응봉동,False,False,47.4611473,47.993156683146445,1.0,1.0
성동구,하왕십리동,False,False,42.67666951333334,34.24185072474515,6.0,2.0
성동구,행당동,False,False,30.676228069,25.31248616549767,10.0,3.0
성동구,홍익동,False,True,38.859559106666666,,3.0,
성북구,길음동,True,True,,,,
성북구,돈암동,True,True,,,,
성북구,동선동1가,True,True,,,,
성북구,동선동2가,True,True,,,,
성북구,동선동3가,True,True,,,,
성북구,동선동4가,True,True,,,,
성북구,동선동5가,True,True,,,,
성북구,동소문동1가,True,True,,,,
성북구,동소문동2가,True,True,,,,
성북구,동소문동3가,True,True,,,,
성북구,동소문동4가,True,True,,,,
성북구,동소문동5가,True,True,,,,
성북구,동소문동6가,True,True,,,,
성북구,동소문동7가,True,True,,,,
성북구,보문동1가,True,True,,,,
성북구,보문동2가,True,True,,,,
성북구,보문동3가,True,True,,,,
성북구,보문동4가,True,True,,,,
성북구,보문동5가,True,True,,,,
성북구,보문동6가,True,True,,,,
성북구,보문동7가,True,True,,,,
성북구,삼선동1가,True,True,,,,
성북구,삼선동2가,True,True,,,,
성북구,삼선동3가,True,True,,,,
성북구,삼선동4가,True,True,,,,
성북구,삼선동5가,True,True,,,,
성북구,상월곡동,True,True,,,,
성북구,석관동,True,True,,,,
성북구,성북동,True,True,,,,
성북구,성북동1가,True,True,,,,
성북구,안암동1가,True,True,,,,
성북구,안암동2가,True,True,,,,
성북구,안암동3가,True,True,,,,
성북구,안암동4가,True,True,,,,
성북구,안암동5가,True,True,,,,
성북구,장위동,True,True,,,,
성북구,정릉동,True,True,,,,
성북구,종암동,True,True,,,,
성북구,하월곡동,True,True,,,,
송파구,가락동,False,True,32.07023142,,4.0,
송파구,거여동,False,True,36.12207753,,1.0,
송파구,마천동,False,True,34.71901514,,2.0,
송파구,문정동,False,True,25.22582715375,,8.0,
송파구,방이동,False,False,33.432675661666664,39.81600110756786,24.0,8.0
송파구,삼전동,False,False,35.87249308545454,35.97400546313003,11.0,3.0
송파구,석촌동,False,False,32.72998852789474,37.12734360998736,19.0,5.0
송파구,송파동,False,False,29.65148223625,31.827495713018568,16.0,5.0
송파구,신천동,False,True,22.07869221,,3.0,
송파구,오금동,True,True,,,,
송파구,잠실동,False,False,29.27393600473684,34.73463785941009,19.0,8.0
송파구,장지동,True,True,,,,
송파구,풍납동,False,False,26.64227889,30.592498873619395,3.0,1.0
양천구,목동,True,True,,,,
양천구,신월동,True,True,,,,
양천구,신정동,True,True,,,,
영등포구,당산동,True,False,,37.769955888165335,,2.0
영등포구,당산동1가,True,True,,,,
영등포구,당산동2가,True,True,,,,
영등포구,당산동3가,True,True,,,,
영등포구,당산동4가,True,True,,,,
영등포구,당산동5가,True,True,,,,
영등포구,당산동6가,True,True,,,,
영등포구,대림동,False,False,27.86387499,39.98825309871519,4.0,1.0
영등포구,도림동,False,False,37.4213219275,42.39111442299311,4.0,1.0
영등포구,문래동1가,True,True,,,,
영등포구,문래동2가,True,True,,,,
영등포구,문래동3가,True,True,,,,
영등포구,문래동4가,True,True,,,,
영등포구,문래동5가,True,True,,,,
영등포구,문래동6가,True,True,,,,
영등포구,신길동,False,False,34.66471490962963,37.1969400620366,27.0,10.0
영등포구,양평동,True,False,,37.03515168566998,,3.0
영등포구,양평동1가,True,True,,,,
영등포구,양평동2가,True,True,,,,
영등포구,양평동3가,True,True,,,,
영등포구,양평동4가,True,True,,,,
영등포구,양평동5가,True,True,,,,
영등포구,양평동6가,True,True,,,,
영등포구,양화동,True,True,,,,
영등포구,여의도동,False,True,29.93735385857143,,7.0,
영등포구,영등포동,False,False,40.77236845,33.68187593410773,3.0,10.0
영등포구,영등포동1가,True,True,,,,
영등포구,영등포동2가,True,True,,,,
영등포구,영등포동3가,True,True,,,,
영등포구,영등포동4가,True,True,,,,
영등포구,영등포동5가,True,True,,,,
영등포구,영등포동6가,True,True,,,,
영등포구,영등포동7가,True,True,,,,
영등포구,영등포동8가,True,True,,,,
용산구,갈월동,False,False,30.202661626153844,41.20973387051451,13.0,4.0
용산구,남영동,False,False,35.3017107875,16.151347125225687,4.0,1.0
용산구,도원동,True,True,,,,
용산구,동빙고동,False,True,22.747904495,,2.0,
용산구,동자동,False,False,38.62135464466667,37.97724092341126,15.0,7.0
용산구,문배동,False,True,25.20935344,,1.0,
용산구,보광동,False,False,40.22695078416667,37.36896081313104,12.0,1.0
용산구,산천동,True,True,,,,
용산구,서계동,False,False,37.71556978512196,40.30953374767669,41.0,12.0
용산구,서빙고동,True,True,,,,
용산구,신계동,True,True,,,,
용산구,신창동,False,True,31.15370284,,1.0,
용산구,용문동,False,True,34.604721293333334,,3.0,
용산구,용산동1가,True,True,,,,
용산구,용산동2가,True,True,,,,
용산구,용산동3가,True,True,,,,
용산구,용산동4가,True,True,,,,
용산구,용산동5가,True,True,,,,
용산구,용산동6가,True,True,,,,
용산구,원효로1가,False,False,34.23150802,33.22860270659787,1.0,1.0
용산구,원효로2가,False,True,27.26759681,,4.0,
용산구,원효로3가,False,True,28.854269645,,2.0,
용산구,원효로4가,True,True,,,,
용산구,이촌동,False,True,26.286848046666663,,3.0,
용산구,이태원동,False,False,33.69442173253521,36.743904112999495,71.0,6.0
용산구,주성동,True,True,,,,
용산구,청암동,True,True,,,,
용산구,청파동1가,True,True,,,,
용산구,청파동2가,True,True,,,,
용산구,청파동3가,True,True,,,,
용산구,한강로1가,False,True,43.133589025000006,,2.0,
용산구,한강로2가,True,True,,,,
용산구,한강로3가,False,True,31.620370266,,10.0,
용산구,한남동,False,False,38.7409899,42.90365613589169,11.0,3.0
용산구,효창동,False,False,34.44815724,36.32274355291237,3.0,1.0
용산구,후암동,False,False,34.136588314,32.52750369730762,20.0,5.0
은평구,갈현동,True,True,,,,
은평구,구산동,True,True,,,,
은평구,녹번동,True,True,,,,
은평구,대조동,True,True,,,,
은평구,불광동,True,True,,,,
은평구,수색동,True,True,,,,
은평구,신사동,True,True,,,,
은평구,역촌동,True,True,,,,
은평구,응암동,True,True,,,,
은평구,증산동,True,True,,,,
은평구,진관동,True,True,,,,
종로구,가회동,True,True,,,,
종로구,견지동,True,True,,,,
종로구,경운동,True,True,,,,
종로구,계동,False,True,21.8401548,,2.0,
종로구,공평동,True,True,,,,
종로구,관수동,False,False,24.5171116025,24.95237318317772,4.0,4.0
종로구,관철동,False,False,27.177789831818185,28.19242653530865,11.0,2.0
종로구,관훈동,False,False,16.8226857025,22.709067521437927,4.0,1.0
종로구,교남동,True,True,,,,
종로구,교북동,True,True,,,,
종로구,구기동,False,True,39.64260737,,1.0,
종로구,궁정동,True,True,,,,
종로구,권농동,False,True,32.19474877,,1.0,
종로구,낙원동,False,False,23.3673874605,20.744571279596325,20.0,5.0
종로구,내수동,False,True,25.45688496,,2.0,
종로구,내자동,True,True,,,,
종로구,누상동,False,True,37.0589768775,,4.0,
종로구,누하동,False,True,32.9531941875,,4.0,
종로구,당주동,True,True,,,,
종로구,도렴동,True,True,,,,
종로구,돈의동,False,True,15.852225981999998,,5.0,
종로구,동숭동,False,False,33.10821997923077,35.18180099826634,13.0,6.0
종로구,명륜1가,False,True,35.26467955333334,,3.0,
종로구,명륜2가,False,True,21.53596102,,1.0,
종로구,명륜3가,False,True,35.538901556666666,,3.0,
종로구,명륜4가,False,True,28.14474028,,3.0,
종로구,묘동,True,True,,,,
종로구,무악동,True,True,,,,
종로구,봉익동,False,False,15.92274082,33.38854405232454,1.0,1.0
종로구,부암동,False,True,36.04237806666666,,3.0,
종로구,사간동,False,True,32.8999814,,1.0,
종로구,사직동,False,True,49.41784938,,1.0,
종로구,삼청동,False,True,56.07902177,,1.0,
종로구,서린동,True,True,,,,
종로구,세종로,True,True,,,,
종로구,소격동,False,True,51.18970741,,1.0,
종로구,송월동,True,True,,,,
종로구,송현동,True,True,,,,
종로구,수송동,False,True,19.90447402,,3.0,
종로구,숭인동,False,False,31.65544410428572,34.22350768149633,35.0,10.0
종로구,신교동,False,True,38.10330545,,1.0,
종로구,신문로1가,True,True,,,,
종로구,신문로2가,False,True,34.81453741,,1.0,
종로구,신영동,False,True,17.78686364,,1.0,
종로구,안국동,True,True,,,,
종로구,연건동,False,False,32.7392984225,38.57320650700179,4.0,1.0
종로구,연지동,False,False,27.81965246333333,26.13807249369984,3.0,1.0
종로구,예지동,True,True,,,,
종로구,옥인동,False,False,33.46681652,31.407519620452355,2.0,1.0
종로구,와룡동,False,True,32.68575111,,2.0,
종로구,운니동,False,True,31.3511978975,,4.0,
종로구,원남동,False,True,20.893207777666667,,6.0,
종로구,원서동,False,True,33.182224082,,5.0,
종로구,이화동,False,False,22.278249563333333,35.569129411558684,3.0,2.0
종로구,익선동,False,False,33.417023578333335,26.89115911290025,6.0,1.0
종로구,인사동,True,True,,,,
종로구,인의동,True,True,,,,
종로구,장사동,False,True,28.1926833,,2.0,
종로구,재동,True,True,,,,
종로구,적선동,True,True,,,,
종로구,종로1가,True,True,,,,
종로구,종로2가,False,True,22.91093724,,1.0,
종로구,종로3가,True,True,,,,
종로구,종로4가,True,True,,,,
종로구,종로5가,False,True,27.39253444,,4.0,
종로구,종로6가,False,True,25.16261073,,3.0,
종로구,중학동,True,True,,,,
종로구,창성동,True,True,,,,
종로구,창신동,False,False,32.057282634,33.38405456406883,41.0,11.0
종로구,청운동,False,False,21.345501525,23.56012930416537,2.0,2.0
종로구,청진동,False,True,21.85697839,,1.0,
종로구,체부동,False,False,31.16243028,32.58481427534568,4.0,1.0
종로구,충신동,False,False,34.5570260875,42.71898473610466,4.0,4.0
종로구,통의동,True,True,,,,
종로구,통인동,False,True,39.24446346,,3.0,
종로구,팔판동,True,True,,,,
종로구,평동,True,True,,,,
종로구,평창동,False,True,36.60424557666667,,3.0,
종로구,필운동,False,False,34.02911507666667,40.28010884563477,3.0,1.0
종로구,행촌동,False,False,32.10675619,35.30182175191176,5.0,2.0
종로구,혜화동,False,False,27.95593005,27.470468996458948,2.0,1.0
종로구,홍지동,False,True,40.208764734,,5.0,
종로구,홍파동,True,True,,,,
종로구,화동,False,True,34.49219198,,1.0,
종로구,효자동,False,False,34.675553275,47.59690067117205,2.0,1.0
종로구,효제동,False,True,28.75887763333333,,9.0,
종로구,훈정동,True,True,,,,
중구,광희동1가,True,True,,,,
중구,광희동2가,True,True,,,,
중구,남대문로1가,True,True,,,,
중구,남대문로2가,True,True,,,,
중구,남대문로3가,True,True,,,,
중구,남대문로4가,False,True,21.66600312,,2.0,
중구,남대문로5가,False,False,34.81027770666667,39.12755159586603,3.0,1.0
중구,남산동1가,True,True,,,,
중구,남산동2가,True,True,,,,
중구,남산동3가,True,True,,,,
중구,남창동,False,False,21.44125262,30.910840113351124,3.0,1.0
중구,남학동,False,True,27.88206405,,1.0,
중구,다동,False,True,32.53907464,,1.0,
중구,만리동1가,True,True,,,,
중구,만리동2가,True,True,,,,
중구,명동1가,True,True,,,,
중구,명동2가,True,True,,,,
중구,무교동,False,True,25.15223178,,1.0,
중구,무학동,False,False,25.95652037,17.737085026663937,2.0,1.0
중구,묵정동,False,True,34.485083715,,2.0,
중구,방산동,True,True,,,,
중구,봉래동1가,True,True,,,,
중구,봉래동2가,True,True,,,,
중구,북창동,False,True,23.93818226888889,,9.0,
중구,산림동,False,False,25.46694922,35.139970162324325,2.0,1.0
중구,삼각동,True,True,,,,
중구,서소문동,False,False,30.53976772,14.4479114085873,1.0,1.0
중구,소공동,True,True,,,,
중구,수표동,True,True,,,,
중구,수하동,True,True,,,,
중구,순화동,False,True,28.391865785,,2.0,
중구,신당동,False,False,34.2283373808,31.958746872999928,25.0,6.0
중구,쌍림동,False,False,29.78842366666667,33.542681174030506,3.0,1.0
중구,예관동,True,True,,,,
중구,예장동,False,False,36.92066294222222,36.56613905035563,9.0,2.0
중구,오장동,False,False,23.448859914,26.51143949091672,5.0,3.0
중구,을지로1가,True,False,,43.8893256661317,,1.0
중구,을지로2가,False,True,13.5787579,,1.0,
중구,을지로3가,False,False,32.75363854,28.944416726284096,4.0,1.0
중구,을지로4가,False,True,20.88926405333333,,3.0,
중구,을지로5가,False,False,27.399542685714287,29.631054628862405,7.0,3.0
중구,을지로6가,False,False,30.748045141666665,37.2745243851009,6.0,2.0
중구,을지로7가,False,False,28.621746465,35.56599746865036,2.0,2.0
중구,의주로1가,True,True,,,,
중구,의주로2가,True,True,,,,
중구,인현동1가,True,True,,,,
중구,인현동2가,True,True,,,,
중구,입정동,True,True,,,,
중구,장교동,False,True,16.07173597,,2.0,
중구,장충동1가,True,True,,,,
중구,장충동2가,True,True,,,,
중구,저동1가,True,True,,,,
중구,저동2가,True,True,,,,
중구,정동,True,True,,,,
중구,주교동,False,False,30.76698564142857,26.58548259044474,7.0,3.0
중구,주자동,False,True,34.67678956,,1.0,
중구,중림동,False,False,32.60194477,30.880929713678963,7.0,3.0
중구,초동,False,False,27.92492876,28.66302968097612,2.0,1.0
중구,충무로1가,False,True,24.18336474,,2.0,
중구,충무로2가,False,False,25.732550606666667,37.15250047705151,6.0,1.0
중구,충무로3가,False,False,23.47482333,19.70412585774021,4.0,1.0
중구,충무로4가,False,False,28.901833498,27.320184478573545,5.0,1.0
중구,충무로5가,False,False,28.5642926775,26.51724753633212,4.0,1.0
중구,충정로1가,True,True,,,,
중구,태평로1가,False,True,31.2195513,,2.0,
중구,태평로2가,False,False,27.09831392,26.01521400722202,1.0,1.0
중구,필동1가,True,True,,,,
중구,필동2가,True,True,,,,
중구,필동3가,True,True,,,,
중구,황학동,False,False,30.968342152666665,31.71329177027161,15.0,7.0
중구,회현동1가,True,True,,,,
중구,회현동2가,True,True,,,,
중구,회현동3가,True,True,,,,
중구,흥인동,False,True,27.55357155,,1.0,
중랑구,망우동,True,True,,,,
중랑구,면목동,True,True,,,,
중랑구,묵동,True,True,,,,
중랑구,상봉동,True,True,,,,
중랑구,신내동,True,True,,,,
중랑구,중화동,True,True,,,,
