gu_key,dong_key,gwr_score,gwr_n,mgwr_score,mgwr_n
Mapo-gu,합정동,35.060240523750004,40.0,43.465836225411515,7.0
Seocho-gu,반포동,22.037741472222223,9.0,36.14643579376801,2.0
Seocho-gu,방배동,32.695617203,10.0,31.19195989974463,3.0
Seocho-gu,서초동,24.754569554444444,18.0,26.45886880571222,1.0
Seocho-gu,양재동,27.225355340000004,3.0,39.1293130885809,1.0
Seocho-gu,우면동,,,25.27737922220141,1.0
Seocho-gu,잠원동,24.525322732,5.0,33.6679229829494,1.0
Seongdong-gu,도선동,28.729723659999998,15.0,33.12060970388899,7.0
Seongdong-gu,마장동,35.804653439999996,4.0,,
Seongdong-gu,사근동,43.40244994,1.0,,
Seongdong-gu,성동,35.393633803863636,44.0,35.63379558484387,7.0
Seongdong-gu,송정동,29.735368183333332,6.0,25.077918322475256,1.0
Seongdong-gu,옥수동,34.913033175,2.0,,
Seongdong-gu,용답동,41.03349877,4.0,,
Seongdong-gu,응봉동,47.4611473,1.0,47.993156683146445,1.0
Seongdong-gu,하왕십리동,42.67666951333334,6.0,34.24185072474515,2.0
Seongdong-gu,행당동,30.676228069,10.0,25.31248616549767,3.0
Seongdong-gu,홍익동,38.859559106666666,3.0,,
Songpa-gu,가락동,32.07023142,4.0,,
Songpa-gu,거여동,36.12207753,1.0,,
Songpa-gu,마천동,34.719015139999996,2.0,,
Songpa-gu,문정동,25.22582715375,8.0,,
Songpa-gu,방이동,33.432675661666664,24.0,39.81600110756786,8.0
Songpa-gu,삼전동,35.87249308545454,11.0,35.97400546313003,3.0
Songpa-gu,석촌동,32.72998852789474,19.0,37.12734360998736,5.0
Songpa-gu,송파동,29.65148223625,16.0,31.827495713018568,5.0
Songpa-gu,신천동,22.07869221,3.0,,
Songpa-gu,잠실동,29.27393600473684,19.0,34.73463785941009,8.0
Songpa-gu,풍납동,26.64227889,3.0,30.592498873619395,1.0
Yeongdeungpo-gu,(당산동,31.91580698,21.0,,
Yeongdeungpo-gu,(문래동,23.964197419999998,2.0,,
Yeongdeungpo-gu,(양평동,29.091381495,18.0,,
Yeongdeungpo-gu,(영등포동,30.246969269534883,43.0,,
Yeongdeungpo-gu,당산동,,,37.769955888165335,2.0
Yeongdeungpo-gu,대림동,27.86387499,4.0,39.98825309871519,1.0
Yeongdeungpo-gu,도림동,37.4213219275,4.0,42.39111442299311,1.0
Yeongdeungpo-gu,선유동,37.408609600000005,2.0,,
Yeongdeungpo-gu,신길동,34.66471490962963,27.0,37.1969400620366,10.0
Yeongdeungpo-gu,양평동,,,37.03515168566998,3.0
Yeongdeungpo-gu,여의도동,29.93735385857143,7.0,,
Yeongdeungpo-gu,영등포동,40.772368449999995,3.0,33.68187593410773,10.0
