구,동,숙소명,경도,위도,fire_count_150m,x_5181,y_5181,승인연도,소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,최근접_소화용수_거리등급,총층수,연면적,최종_화재위험점수,cluster_k2,lisa_I,lisa_p,lisa_q,lisa_significant,lisa_type
종로구,숭인동,호텔 DM,127.01860129,37.57059843,8,201643.27750080585,452339.8436264887,2020,0.3044,11,100.0,0.8746092615811812,0.1065,0.25,2,11,8.00469951054955,33.42988417908574,0,0.22646435936575326,0.157,1,False,Not significant
종로구,원남동,오라카이 대학로 호텔,126.99797784,37.57297519,9,199821.3637646393,452603.47566635,2019,0.2308,5,0.0,1.0632729222228008,0.1079,0.18,1,20,9.873749734272172,20.17938461374393,0,0.34657023868963394,0.125,1,False,Not significant
종로구,창신동,D-STAY HOSTEL,127.00952148,37.56798355,5,200841.1771873129,452049.5023978533,1968,0.1266,6,0.0,0.1482530044498824,0.1808,0.08,2,6,5.517452896464707,20.16464623429126,0,0.012867282177585987,0.416,3,False,Not significant
종로구,돈의동,더 메이 호텔,126.98879056,37.56923344,14,199009.71617253908,452188.2420502248,2020,0.1735,21,71.4,0.9408455369813622,0.1065,0.45,0,11,6.742880635791903,20.41099594288111,0,2.8024567902512763,0.004,1,True,High-High
종로구,숭인동,루나하우스,127.0219178,37.57353634,8,201936.1889891573,452665.9807155389,1970,0.2056,30,46.7,1.2512891288770671,0.4553,0.85,0,4,4.430816798843313,33.465793104077626,1,0.5181500662951777,0.019,1,True,High-High
종로구,익선동,엠제이호텔,126.98806987,37.57227399,13,198946.0905686869,452525.7155790665,2005,0.1761,18,55.6,2.672021859258811,0.1279,0.7,1,8,6.948897222313312,33.54902481665283,1,3.3220595229586385,0.001,1,True,High-High
종로구,익선동,킹스가든,126.98893263,37.57179889,16,199022.3007029637,452472.97566592233,2012,0.1433,21,71.4,2.500969678805677,0.1179,0.7,1,10,5.902633333401366,33.04410901497242,1,5.426589930729311,0.001,1,True,High-High
종로구,관철동,수레지던스,126.98415388,37.56655068,9,198600.04431997173,451890.5460008952,1981,0.4058,5,0.0,0.5596157879354227,0.1623,0.55,1,6,5.365976015021851,24.467242712312554,0,0.3953871585899851,0.105,1,False,Not significant
종로구,창신동,동대문 서울달빛,127.01374879,37.56916257,7,201214.62064970512,452180.4060977867,1982,0.1337,10,40.0,1.9997770917556368,0.1608,1.0,1,4,5.955837369464831,34.31353779608964,1,0.011876873140850185,0.447,1,False,Not significant
종로구,연건동,브루클린,127.00083322,37.57244418,6,200073.6066091858,452544.53811663593,2025,0.3379,11,63.6,1.0283354452521425,0.1,1.0,2,12,7.194436851100335,41.457498756748414,1,0.013813293567847459,0.328,1,False,Not significant
종로구,숭인동,케이디 호스텔,127.01867554,37.57044997,8,201649.84017847225,452323.3675945637,2019,0.2984,22,90.9,0.7940648516932153,0.1079,0.7,2,11,6.251903883165888,38.18098207701414,1,0.26078032488686204,0.111,1,False,Not significant
종로구,장사동,센추럴,126.99210865,37.56604937,11,199302.8189700064,451834.81770574895,1969,0.1947,25,64.0,2.574111725223541,0.1794,0.85,1,10,8.749890955535259,39.14725780438111,1,1.603020218710572,0.005,1,True,High-High
종로구,창신동,VATICA HOTEL(바티카 호텔),127.01474752,37.56737832,4,201302.8833528346,451982.3885586112,1969,0.1108,14,71.4,0.0564856021345574,0.1794,0.85,0,9,8.099554282376364,25.625251106023523,1,0.12792890582126384,0.142,3,False,Not significant
종로구,명륜4가,호스텔 데이,126.99713608,37.57929506,2,199747.0246409989,453304.9103100939,1998,0.1867,5,0.0,2.6288008294480694,0.138,0.18,2,8,5.857933154483459,27.35913451777168,0,0.6270404170789188,0.004,3,True,Low-Low
종로구,숭인동,루미아호텔,127.02145559,37.57109607,8,201895.419822056,452395.12962544855,2017,0.3287,2,100.0,0.2694761079552084,0.1108,0.25,2,15,7.6004023345004,31.764905185992014,0,0.22646435936575324,0.155,1,False,Not significant
종로구,창신동,24guesthouse동대문마켓점,127.00943028,37.56790086,6,200833.1210247645,452040.3239614565,1992,0.129,6,0.0,0.2810012094609484,0.1465,0.18,2,6,5.030437921392435,20.673846636390124,0,-0.010099961863960219,0.375,4,False,Not significant
종로구,관철동,호스텔 클로이,126.98782642,37.56597443,5,198924.49358411224,451826.5406315616,1985,0.2744,14,0.0,0.4418327522790392,0.1565,0.08,1,6,5.683579767338681,16.477354882484267,0,-0.005506513055650982,0.438,2,False,Not significant
종로구,원남동,메이플레이스 호텔 서울 동대문,126.99794846,37.57336561,8,199818.7693015716,452646.8078197685,2014,0.2365,17,70.6,1.2008429113170085,0.115,0.18,0,15,8.505929999137527,19.254067184154625,0,0.3637282214501883,0.055,1,False,Not significant
종로구,권농동,언플러그 안국,126.99045283,37.57427525,13,199156.6241731525,452747.8082019014,1997,0.1658,54,72.2,2.3135541243646194,0.1394,0.85,1,6,7.21081845347222,37.87811627054643,1,3.8561632100452425,0.001,1,True,High-High
종로구,수송동,신라스테이 광화문,126.98030475,37.56990125,5,198260.0635281629,452262.4844535804,2015,0.4643,2,50.0,0.589606501619105,0.1136,0.08,1,23,9.77542688246861,23.949825240879733,0,-0.08359514279690808,0.075,2,False,Not significant
종로구,인의동,호텔 아트리움,126.99733645,37.56913495,6,199764.69172789573,452177.25507965777,2004,0.2167,31,74.2,0.3467462995973981,0.1293,0.18,1,17,9.207335862955883,24.70964494315212,0,0.12275145720163799,0.004,1,True,High-High
종로구,낙원동,베스트웨스턴 종로(인사동),126.98875606,37.5696394,13,199006.67370481792,452233.29924313,2016,0.1658,18,61.1,1.8758425864385964,0.1122,0.85,0,12,7.380879035564116,27.9181053303984,1,2.2004417800767695,0.005,1,True,High-High
종로구,숭인동,아이비씨호텔,127.02206499,37.57050676,9,201949.2705145456,452329.7355342991,2016,0.3595,18,88.9,0.9974430536743816,0.1122,1.0,2,22,8.005700678662542,44.75144846123599,1,0.29775331878928274,0.17,1,False,Not significant
종로구,관철동,호스텔 하루,126.98353342,37.56622871,10,198545.2223366013,451854.8205254232,1967,0.3997,4,25.0,2.415417623490573,0.1823,0.08,0,14,6.3784261836515865,19.341217394306923,0,0.6711306952315378,0.049,1,True,High-High
종로구,익선동,ICON,126.98812931,37.57209924,14,198951.3390567781,452506.3196915821,2012,0.1735,19,47.4,2.7817292841849,0.1179,0.7,0,10,6.759255270663693,26.89115911290025,1,3.651708632827219,0.001,1,True,High-High
종로구,익선동,호텔 다다-인사,126.98875238,37.57189895,14,199006.3786196949,452484.0830550901,2013,0.1482,22,77.3,1.9857296100625288,0.1165,0.7,1,10,6.863803391452954,32.92134720636558,1,3.833691170522064,0.001,1,True,High-High
종로구,낙원동,종로크라운,126.9874005,37.57131629,7,198886.94407205103,452419.4297160971,1988,0.1947,8,62.5,0.9824726387554562,0.1523,0.55,1,11,8.363342466597977,29.269956950141328,0,0.2793795235560458,0.024,1,True,High-High
종로구,평창동,동화킴스관광호텔,126.97433044,37.60669991,1,197733.3915099701,456346.8474161145,1990,0.5451,0,0.0,0.0,0.1494,1.0,2,6,8.061802274538348,38.33182727628919,0,0.9339920839883745,0.001,3,True,Low-Low
종로구,낙원동,오라카이 인사동 스위츠,126.98654665,37.57025733,18,198811.49704462776,452301.9079272357,2002,0.2337,19,94.7,0.6194439847728106,0.1322,0.08,0,30,10.725709333961984,20.36996832032176,0,6.56320383250879,0.001,1,True,High-High
종로구,관수동,호텔베뉴지,126.9900523,37.56598513,13,199121.1448369271,451827.7050614305,1994,0.2195,24,75.0,0.2811160606808903,0.1436,0.08,0,13,8.799360083179907,16.974018851161183,0,1.9868003052421281,0.008,1,True,High-High
종로구,관훈동,아미드 호텔 서울,126.98341181,37.56984481,12,198534.5492685304,452256.167278387,1985,0.3626,5,60.0,1.2127064842946906,0.1565,0.12,0,18,9.6601412939044,20.612086530608064,0,1.2554925181271224,0.024,1,True,High-High
종로구,당주동,포시즌스 호텔 서울,126.97463351,37.56801651,0,197758.992986032,452053.4204191853,2015,0.6046,11,9.1,0.0120121564480035,0.1136,0.55,2,32,11.116410187381648,35.40277238074549,0,0.8496433860942321,0.012,3,True,Low-Low
종로구,와룡동,Hostel Tommy 호스텔 토미,126.99041695,37.5716747,28,199153.42517668265,452459.1776093727,1965,0.0959,62,69.4,2.1717454920352344,0.1851,1.0,0,4,6.152732694704104,33.43254979675519,1,19.330170561455574,0.001,1,True,High-High
종로구,운니동,노블관광호텔,126.98887068,37.57393452,13,199016.85607084565,452710.0064908718,2005,0.1556,22,54.5,3.049457672910154,0.1279,0.85,1,6,7.114769448366463,36.4955192640993,1,3.268649154249978,0.001,1,True,High-High
종로구,와룡동,바운드 호스텔,126.98952523,37.57338396,21,199074.67101795904,452648.89405614894,2013,0.1556,90,66.7,0.9784679768260464,0.248,1.0,0,6,7.301822342137932,34.80673708806067,1,7.041240122505423,0.001,1,True,High-High
종로구,익선동,호텔 이비스앰배서더 인사동,126.98843016,37.57168791,16,198977.91063082856,452460.6635213336,2013,0.1581,12,58.3,2.352052076140245,0.1165,0.7,1,12,9.57129614009839,33.993374427071004,1,4.374324726843975,0.001,1,True,High-High
종로구,종로6가,주) 동승 JW메리어트 동대문 스퀘어 서울,127.00812433,37.56764454,8,200717.74892437088,452011.86466061743,2015,0.1658,15,73.3,1.9090851529441544,0.1136,1.0,1,16,10.63902349958786,39.09920586839071,1,-0.030905382042562365,0.45,4,False,Not significant
종로구,인사동,도미인 익스프레스 서울 인사동,126.9863919,37.56962018,30,198797.815797546,452231.1936651586,2018,0.2481,26,88.5,3.678599523494187,0.1094,0.7,2,16,8.421562960400987,46.12826241602921,1,13.285253403384964,0.001,1,True,High-High
종로구,효제동,더도아스테이,127.00175573,37.57184081,7,200155.10234337,452477.5721707976,2020,0.3718,13,84.6,2.205256749033484,0.1065,0.7,0,11,4.564348191467836,28.467991774609168,1,0.001969367569917017,0.478,1,False,Not significant
종로구,창신동,케이스테이,127.01018412,37.56874973,5,200899.7090442633,452134.5455707981,1970,0.129,2,50.0,2.577167206594277,0.178,0.08,1,6,6.212606095751519,23.77726159563672,0,0.04042797502744142,0.233,3,False,Not significant
종로구,창신동,오리지날 백패커스,127.01175024,37.56968368,5,201038.05387246163,452238.2192797013,1966,0.1433,2,100.0,1.4376179213932505,0.1837,0.18,2,6,5.6240175061873385,31.853046049533635,0,-0.010099961863960219,0.414,2,False,Not significant
중구,장충동,앰배서더 서울 풀만 호텔,127.00160709,37.55742965,3,200141.99873929736,450878.1024411745,1963,0.3935,3,0.0,0.0,0.188,0.45,2,20,10.401236143406718,31.75122824340717,0,0.49265898681174247,0.002,3,True,Low-Low
성동구,성동,호텔 포코 성수,127.0562547,37.54070199,10,204971.64573525035,449023.0195011626,2014,0.2394,14,42.9,4.611152257665639,0.115,0.85,2,13,8.064174104746268,46.51318767051059,1,0.037951952435601934,0.444,1,False,Not significant
중구,회현동,루미아 호텔,126.97898241,37.55527178,3,198142.8810077828,450638.8109561808,2015,0.2223,0,0.0,0.0219789067187752,0.1136,0.12,2,6,6.863803391452954,20.41499148989569,0,0.301714954936226,0.059,3,False,Not significant
중구,광희동,소테츠호텔즈 더 스프라지르 서울 동대문,127.00695765,37.5619628,5,200614.72454878,451381.24996497255,2015,0.3196,10,70.0,1.3909133069761852,0.1136,0.7,1,25,9.438590860658538,34.38453430771769,1,0.008273833369276742,0.458,3,False,Not significant
중구,명동,호텔 크레토,126.98729931,37.55924412,3,198877.823743196,451079.5616872809,2015,0.0877,5,0.0,0.4885317068067778,0.1136,0.12,0,10,7.228388451573604,8.449110423689902,0,0.32080935812377764,0.041,3,True,Low-Low
중구,남창동,24게스트하우스 명동타운점,126.97811019,37.55661038,7,198065.84604851183,450787.39720676985,1964,0.2167,41,70.7,0.8002011767241046,0.1866,1.0,2,11,5.5909869805108565,42.50089608544912,1,-0.04756816028474884,0.342,4,False,Not significant
중구,쌍림동,호텔 더 디자이너스 동대문,127.00486601,37.56091185,5,200429.9293321233,451264.5952978897,2015,0.4213,53,67.9,0.616029877215514,0.1136,0.85,1,20,8.477412321404392,36.88914610360835,1,0.031241077410822944,0.299,3,False,Not significant
중구,명동,솔라리아 니시테츠 호텔 서울 명동,126.98437425,37.55974994,6,198619.3878342585,451135.7406616765,1971,0.1001,23,69.6,1.7060041108251514,0.1766,0.7,0,24,9.424644974623188,28.70614757740309,1,0.013813293567847459,0.335,1,False,Not significant
중구,태평로2가,24게스트하우스 서울시청점,126.97553552,37.56195615,2,197838.5061227833,451380.7704567887,1960,0.3564,3,0.0,2.1118068261818674,0.1922,0.55,2,6,5.883322388488279,34.677976174098504,0,-0.031581592350402726,0.443,2,False,Not significant
중구,명동,호텔 스카이파크 센트럴 명동점,126.9844402,37.56189383,12,198625.25423441644,451373.6861522442,2002,0.184,28,85.7,2.0163512467186298,0.1322,0.85,1,23,9.830217690608354,38.99038494877039,1,1.670931541798475,0.008,1,True,High-High
중구,을지로5가,에이큐브 호텔,127.00124884,37.56347491,6,200110.33568651183,451549.0543394728,1985,0.3349,49,85.7,0.6879433526849182,0.1565,0.85,1,10,7.778211474512493,37.608052108886106,1,0.0005281516612876367,0.495,1,False,Not significant
중구,북창동,소테츠호텔즈 더 스프라지르 서울 명동,126.97797124,37.55930346,8,198053.6386652969,451086.2999903117,2015,0.2112,15,73.3,0.123132685403624,0.1136,0.85,0,22,9.830916859701292,26.78231435582783,1,0.3808862042107427,0.042,1,True,High-High
중구,주교동,2U호스텔,126.99740093,37.56586745,3,199770.3781095892,451814.6006218073,1967,0.251,21,0.0,1.9250905212729232,0.1823,1.0,1,5,5.883322388488279,33.77928661603896,1,0.2253373421860194,0.12,3,False,Not significant
중구,장교동,롯데시티호텔명동,126.9872883,37.56418691,2,198876.92514570573,451628.1531850207,2015,0.2423,3,0.0,0.752336051950276,0.1136,0.08,1,30,10.13994211791001,18.563578427379813,0,0.3109018525528444,0.144,3,False,Not significant
중구,충무로2가,호텔 스카이파크3,126.98658709,37.55856041,3,198814.88433521293,451003.6867227514,1969,0.1086,27,81.5,0.7798304197287472,0.1794,1.0,1,11,8.67709870892586,37.15250047705151,1,0.28262055174867434,0.081,3,False,Not significant
중구,남산동,자자백팩커스,126.98563136,37.55605441,1,198730.39701085328,450725.5629802914,1985,0.1457,0,0.0,0.0,0.1565,0.85,2,5,6.411818267709897,30.483795823116346,0,0.9339920839883746,0.001,3,True,Low-Low
중구,명동,서울 라이트 인 명동,126.98456352,37.56145726,13,198636.14189503508,451325.2302371874,1969,0.1658,19,68.4,1.7510884294971272,0.1794,0.35,2,17,6.228511003591184,34.27095867438606,0,1.879979567824807,0.011,1,True,High-High
중구,남산동,오요5,126.98405523,37.55618747,1,198591.1337696882,450740.353511948,1983,0.1175,1,100.0,2.128231705849268,0.1594,0.12,1,5,6.416732282512326,26.19367205758961,0,0.9339920839883746,0.001,3,True,Low-Low
중구,남산동,오요6(OYO6),126.98441998,37.55655506,1,198623.3695299265,450781.1462231749,2011,0.1086,3,100.0,1.845368919833436,0.1194,0.7,0,6,5.564520407322694,25.99035587407892,1,0.9003967264215805,0.001,3,True,Low-Low
중구,을지로6가,케이스타호텔,127.00581237,37.56374548,4,200513.5241625234,451579.0995727424,1986,0.2954,19,47.4,0.6931471805599453,0.1551,0.85,1,15,8.649448770536708,33.7478741015637,1,0.08055320182954201,0.288,3,False,Not significant
중구,주교동,엘림 호스텔,127.00045147,37.56629135,6,200039.88611596063,451861.6454750232,1968,0.3626,34,58.8,0.1177830356563834,0.1808,0.7,0,6,6.7816250018379245,25.829652398489863,1,0.0005281516612876388,0.478,1,False,Not significant
중구,을지로3가,로스터블록,126.99268792,37.56339033,17,199353.9730635688,451539.69135285495,1971,0.0838,37,78.4,0.2993933318726824,0.1766,1.0,1,3,4.763881877142913,33.102433130029844,1,5.950065504290668,0.001,1,True,High-High
중구,회현동,제이오너 호스텔,126.98284082,37.55530397,0,198483.8116406389,450642.3144308706,2006,0.1506,3,0.0,0.7282385003712154,0.1265,0.08,2,4,6.419994928147142,20.84710170061811,0,1.3806392379276307,0.001,3,True,Low-Low
중구,충무로5가,머룸스테이,127.00084581,37.56119377,5,200074.730047434,451295.8742945903,1955,0.3135,32,62.5,0.5643439291313687,0.4817,0.45,1,2,3.784189633918261,34.94182814422289,1,0.031241077410822944,0.295,3,False,Not significant
중구,광희동,STAY ON,127.00675249,37.5618116,6,200596.59939158263,451364.4672266017,1966,0.3318,9,55.6,1.0736109864626924,0.1837,1.0,1,6,4.382026634673881,35.09985251680504,1,-0.0074429334826482535,0.43,4,False,Not significant
