구,법정동코드,법정동명,면적_m2,면적_ha,전체건물수,전체연면적합계_m2,상가수,상가연면적합계_m2,상가입체화재하중_분자,숙박시설수,숙박연면적합계_m2,숙박입체화재하중_분자,복합입체화재하중_분자,상가수_per_ha,숙박시설수_per_ha,상가연면적_per_ha,숙박연면적_per_ha,상가_입체화재하중밀도,숙박_입체화재하중밀도,복합_입체화재하중밀도,상가숙박_개수,상가숙박_개수_per_ha
마포구,1144011000,노고산동,307645.938463,30.764594,1187,496843.541,210,125205.005,211322.955,69,55910.22,55910.22,267233.175,6.826029,2.242838,4069.775978,1817.356026,0.686903,0.181736,0.868639,279,9.068867
영등포구,1156012700,양평동3가,478240.367296,47.824037,356,868892.611,78,130162.78,297267.66,6,5004.3,5004.3,302271.96,1.630979,0.12546,2721.702075,104.639849,0.621586,0.010464,0.63205,84,1.756439
용산구,1117010900,청파동1가,197051.514068,19.705151,879,265669.02,119,37174.98,81794.35,15,4137.75,4137.75,85932.1,6.03903,0.761222,1886.5615,209.983162,0.415091,0.020998,0.43609,134,6.800252
용산구,1117012500,한강로2가,452583.078282,45.258308,692,747612.775,257,274143.452,726792.704,2,742.48,742.48,727535.184,5.678515,0.044191,6057.306717,16.405386,1.605877,0.001641,1.607517,259,5.722706
용산구,1117010200,용산동2가,1176271.787725,117.627179,1820,447935.322,154,97412.625,1921102.565,33,9697.51,9697.51,1930800.075,1.309221,0.280547,828.147253,82.442766,1.633213,0.008244,1.641457,187,1.589769
용산구,1117011100,청파동3가,229012.56489,22.901256,591,180901.43,120,39607.41,71926.96,5,1563.87,1563.87,73490.83,5.239887,0.218329,1729.486328,68.28752,0.314074,0.006829,0.320903,125,5.458216
성동구,1120012200,용답동,1594074.860168,159.407486,2098,828558.125,251,181059.265,608634.47,9,5000.32,5000.32,613634.79,1.574581,0.056459,1135.826613,31.368163,0.38181,0.003137,0.384947,260,1.63104
성동구,1120010600,사근동,667794.535132,66.779454,975,318974.151,51,21748.29,48984.37,2,254.84,254.84,49239.21,0.763708,0.029949,325.673375,3.816144,0.073352,0.000382,0.073734,53,0.793657
성동구,1120011000,금호동2가,228290.066556,22.829007,939,228547.364,73,32384.39,53954.926,3,415.41,415.41,54370.336,3.197686,0.131412,1418.563255,18.196587,0.236344,0.00182,0.238163,76,3.329098
송파구,1171011100,방이동,4463269.314124,446.326931,2848,3640354.78,596,542536.3429,1060169.66,54,64205.975,64205.975,1124375.635,1.335344,0.120988,1215.558159,143.854136,0.237532,0.014385,0.251917,650,1.456332
송파구,1171010700,가락동,3430398.402251,343.03984,2789,3450719.396,697,776721.009,2398961.909,8,30031.18,30031.18,2428993.089,2.031834,0.023321,2264.229742,87.544292,0.699325,0.008754,0.708079,705,2.055155
마포구,1144012100,동교동,418776.703356,41.87767,956,764015.6122,518,386885.7572,728730.638,136,219875.355,219875.355,948605.993,12.36936,3.247554,9238.473728,5250.419931,1.740141,0.525042,2.265183,654,15.616915
용산구,1117011700,원효로3가,152256.086888,15.225609,472,169248.53,122,43913.23,110949.61,4,772.63,772.63,111722.24,8.012816,0.262715,2884.169093,50.745426,0.728704,0.005075,0.733778,126,8.275531
용산구,1117013200,동빙고동,408069.95057,40.806995,785,290294.1,62,26881.36,68240.75,5,1319.44,1319.44,69560.19,1.519347,0.122528,658.743923,32.333672,0.167228,0.003233,0.170461,67,1.641875
송파구,1171010300,풍납동,2347272.831504,234.727283,2597,1941901.5174,318,179322.435,435587.485,8,8472.38,8472.38,444059.865,1.354764,0.034082,763.960766,36.094568,0.185572,0.003609,0.189181,326,1.388846
송파구,1171010100,잠실동,5209585.940309,520.958594,3154,5639306.5673,483,755794.309,2954467.036,49,264501.802,264501.802,3218968.838,0.927137,0.094057,1450.776161,507.721353,0.567121,0.050772,0.617893,532,1.021194
성동구,1120011100,금호동3가,322673.589984,32.267359,1195,2559145.979,140,36678.9777,62282.7577,7,1279.7,1279.7,63562.4577,4.33875,0.216937,1136.720787,39.659273,0.193021,0.003966,0.196987,147,4.555687
용산구,1117010500,남영동,64623.101294,6.46231,255,81834.673,139,33354.413,52020.945,9,2272.01,2272.01,54292.955,21.509336,1.392691,5161.376092,351.578608,0.80499,0.035158,0.840148,148,22.902027
송파구,1171010600,삼전동,954900.69745,95.49007,2084,1196079.631,282,253075.125,497372.15,23,15255.05,15255.05,512627.2,2.953187,0.240863,2650.276889,159.755355,0.520863,0.015976,0.536838,305,3.194049
마포구,1144010700,마포동,225681.031767,22.568103,216,278784.201,46,15878.11,29949.61,2,45604.71,45604.71,75554.32,2.038275,0.088621,703.564224,2020.759549,0.132708,0.202076,0.334784,48,2.126896
서초구,1165010600,잠원동,3010181.45938,301.018146,1263,2831674.454,342,498408.77,1844086.69,7,34582.563,34582.563,1878669.253,1.136144,0.023254,1655.743272,114.88531,0.612616,0.011489,0.624105,349,1.159399
용산구,1117012400,한강로1가,239083.388568,23.908339,488,320059.787,177,46480.935,83103.194,6,1326.49,1326.49,84429.684,7.403275,0.250958,1944.130677,55.482316,0.347591,0.005548,0.353139,183,7.654233
영등포구,1156011400,당산동4가,300492.910681,30.049291,423,722375.085,128,112540.015,235287.4,2,669.36,669.36,235956.76,4.259668,0.066557,3745.180369,22.275401,0.783005,0.002228,0.785232,130,4.326225
성동구,1120010300,홍익동,172648.042663,17.264804,663,172416.61,180,63164.44,105694.09,4,990.41,990.41,106684.5,10.425835,0.231685,3658.566818,57.36584,0.612194,0.005737,0.617931,184,10.65752
마포구,1144011100,신수동,598041.57294,59.804157,1143,830862.2575,204,113046.86,199535.4,14,3668.73,3668.73,203204.13,3.411134,0.234097,1890.284307,61.345735,0.333648,0.006135,0.339783,218,3.645232
마포구,1144010500,용강동,299757.062418,29.975706,342,262465.8,130,83372.34,154994.35,4,2085.19,2085.19,157079.54,4.336845,0.133441,2781.330299,69.562665,0.517067,0.006956,0.524023,134,4.470287
영등포구,1156011200,당산동2가,163116.649526,16.311665,237,377168.33,95,119732.87,304832.49,6,4033.97,4033.97,308866.46,5.824053,0.367835,7340.321809,247.30584,1.868801,0.024731,1.893531,101,6.191888
성동구,1120010400,도선동,137499.219102,13.749922,637,294781.416,155,61344.646,118527.44,30,31015.13,31015.13,149542.57,11.272791,2.181831,4461.454138,2255.658629,0.862023,0.225566,1.087589,185,13.454622
