구,동,숙소명,위도,경도,승인연도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,총층수,시설규모/연면적,업종,건물용도명,match_radius_m,fire_count_within_match_radius,is_train_matched,split,nearest5_mean_damage_thousand_krw,nearest5_median_damage_thousand_krw,nearest5_mean_distance_m,nearest1_distance_m,nearest1_damage_thousand_krw,nearest1_fire_year,nearest2_damage_thousand_krw,nearest2_distance_m,nearest2_fire_year,nearest3_damage_thousand_krw,nearest3_distance_m,nearest3_fire_year,nearest4_damage_thousand_krw,nearest4_distance_m,nearest4_fire_year,nearest5_damage_thousand_krw,nearest5_distance_m,nearest5_fire_year,predicted_damage_thousand_krw,prediction_model,pred_linear_raw_damage_thousand_krw,pred_ridge_log1p_damage_thousand_krw,pred_random_forest_log1p_damage_thousand_krw
종로구,창신동,호스텔 메가 동대문역,37.56790086,127.00943028,1992,6,0.0,0.2810012094609484,0.1465,0.18,6,152.0,관광숙박업,근린생활시설,44,2,1,train_matched,501.2,480.0,52.18425220513431,16.403337037044256,1100,2023,480,28.29282629603948,2024,749,70.46823951825267,2019,60,71.52901403015915,2022,117,74.22784414417596,2024,1345.487724938207,random_forest_log1p,1044743.9857765593,3592.603571762347,1345.487724938207
종로구,봉익동,포레스트 스테이 종로,37.57018563,126.99144197,2007,11,81.8,0.3761947258080512,0.1251,0.08,5,285.0,관광숙박업,"근린생활시설,숙박시설",44,0,0,test_unmatched,197.4,11.0,58.38529426102589,48.81978906621587,803,2023,172,56.32772578592161,2021,11,56.45471224236793,2018,0,62.08099264314032,2023,1,68.2432515674837,2021,1099.9269639109646,random_forest_log1p,0.0,641.0473832914553,1099.9269639109646
종로구,관철동,MOMENTO HOSTEL,37.56655742,126.98379997,1959,4,0.0,0.6931471805599453,0.1937,0.12,5,435.0,관광숙박업,"근린생활시설,숙박시설",44,1,1,train_matched,439.0,102.0,51.330793098691515,23.306025054940356,11,2022,102,52.348581881120765,2024,16,60.332900523957164,2021,1650,60.332900523957164,2017,416,60.33355750948213,2023,833.8739314955818,random_forest_log1p,12051.236642866905,856.0131193683382,833.8739314955818
종로구,숭인동,더온재,37.57228397,127.02039051,1994,9,33.3,0.7105211484959985,0.1436,0.85,5,152.0,관광숙박업,"근린생활시설, 숙박시설",44,2,1,train_matched,98790.2,147.0,50.06966589632405,22.58507040225997,56,2022,56,22.58507040225997,2022,469,52.82878674572056,2022,493223,72.59275813465463,2017,147,79.75664379672507,2018,2393.1814963156357,random_forest_log1p,6237.474318667912,1106.5435678279418,2393.1814963156357
중구,남창동,케이팝 서울타워 호스텔,37.55403706,126.97637629,2014,14,42.9,0.6931471805599453,0.115,0.55,5,488.0,관광숙박업,숙박시설(호스텔),44,0,0,test_unmatched,78.8,49.0,80.0437889754971,51.603767694861844,283,2021,11,70.20007821478347,2024,49,79.03903006544226,2020,50,96.99103425398971,2017,1,102.38503464840818,2018,1132.4154605549827,random_forest_log1p,6994.4682054060395,1078.6996971398153,1132.4154605549827
종로구,창신동,247 HOSTEL SEOUL,37.56817447,127.01314811,1989,5,20.0,2.290649742444773,0.1509,0.25,5,261.0,관광숙박업,숙박시설,44,0,0,test_unmatched,1655.4,205.0,98.03967138662247,78.12642757423386,7700,2019,205,85.70578681166809,2022,49,100.36938325782316,2017,113,111.80608734413117,2022,210,114.19067194525601,2022,5899.620538756146,random_forest_log1p,1682101.2684471605,3170.080126964028,5899.620538756146
종로구,관철동,찰나 호스텔,37.56664615,126.98332934,1975,3,0.0,1.0608719606852626,0.1708,0.08,7,104.0,관광숙박업,숙박시설,44,7,1,train_matched,418.8,16.0,27.08817977166541,24.302444303179705,11,2022,16,26.765926043282622,2021,1650,26.765926043282622,2017,416,26.766997060285668,2023,1,30.839605408296432,2018,868.3359887463772,random_forest_log1p,283070.13834926614,1363.965694066296,868.3359887463772
종로구,종로2가,스테이울림,37.56718514,126.98358024,1972,15,33.3,1.2794312155775294,0.1752,0.55,8,104.0,관광숙박업,숙박시설,44,0,0,test_unmatched,474.0,239.0,49.87186510388234,45.00389687500326,416,2023,1650,45.00474068893557,2017,16,45.00474068893557,2021,49,48.25491091098486,2017,239,66.09103635555246,2023,848.2723760027824,random_forest_log1p,465377.86889018776,1463.330612534402,848.2723760027824
종로구,종로5가,편안정 종로5가점,37.56810507,127.0045472,1967,12,0.0,0.0130720815673527,0.1823,0.08,7,91.0,관광숙박업,숙박시설,44,0,0,test_unmatched,980.0,466.0,138.68238082886668,108.57152284273651,132,2018,2002,137.6316521916248,2018,2206,140.88884079173684,2023,466,150.93718436237873,2018,94,155.3827039558565,2019,839.0738820451734,random_forest_log1p,431803.5335229161,1909.1722073343417,839.0738820451734
종로구,창신동,동대문 스테이가든,37.56946846,127.01349641,1959,6,100.0,1.8129221675840912,0.4747,0.25,2,226.0,관광숙박업,숙박시설,44,3,1,train_matched,160.0,17.0,46.764405024711316,19.267171756780442,11,2020,30,32.64736337718563,2017,731,41.42552200547306,2023,17,69.80169584547137,2023,11,70.68027213864607,2019,2867.4065727194497,random_forest_log1p,1941160.5679444873,2415.635173143119,2867.4065727194497
종로구,종로5가,고유리(Goyu;re),37.56730221,127.0037223,1975,5,0.0,0.0575238441381866,0.1708,0.08,5,64.0,관광숙박업,숙박시설,44,0,0,test_unmatched,655.4,266.0,106.23906339059052,85.12516020966521,266,2019,2528,92.10766959117657,2018,56,92.10766959117657,2019,15,125.81819089831339,2019,412,136.03662666262082,2017,774.0833555131509,random_forest_log1p,420877.92402744817,1786.494925091999,774.0833555131509
종로구,충신동,온코리아 스테이,37.57265524,127.00336668,1994,8,75.0,0.8026314134016336,0.1436,1.0,6,299.0,관광숙박업,숙박시설,44,0,0,test_unmatched,4317.0,430.0,94.6639343356632,90.28777132582871,20,2021,5073,94.207670658182,2019,430,94.207670658182,2018,16049,95.33697008368394,2023,13,99.27958895243941,2018,975.8784708963907,random_forest_log1p,486665.499534528,2311.1550892764526,975.8784708963907
종로구,낙원동,하프레스트 호스텔,37.56953983,126.98762245,2000,16,75.0,1.5746285077682394,0.5361,0.08,7,554.0,관광숙박업,숙박시설,44,2,1,train_matched,39.8,27.0,40.454988166862876,19.705571507665944,55,2022,27,22.072530471421718,2021,12,51.04610730030839,2019,100,51.3619050244364,2017,5,58.088826530481924,2024,330.07533730936274,random_forest_log1p,146101.71618255792,761.904964877728,330.07533730936274
종로구,숭인동,엔조이스테이 호스텔,37.57029351,127.01912285,2024,48,66.7,1.1337273076890122,0.1011,0.7,5,596.0,관광숙박업,숙박시설,44,2,1,train_matched,8200.6,108.0,46.71248323806047,21.16939312089956,36,2017,3,31.36200479703338,2018,108,52.89286231844678,2021,40438,58.310667475076656,2024,418,69.82748847884598,2023,1676.7289353500826,random_forest_log1p,0.0,997.1431410833691,1676.7289353500826
종로구,창신동,이온호텔,37.56975326,127.01196959,2022,3,66.7,1.6502405363066972,0.1036,0.18,8,963.0,관광숙박업,숙박시설,44,1,1,train_matched,686.2,22.0,57.588104351647154,35.13916797084155,0,2022,22,51.60395044484341,2024,2169,57.48742960288282,2020,11,64.13155349823295,2020,1229,79.57842024143501,2019,3847.9681611194274,random_forest_log1p,1511153.675645953,2657.539924696732,3847.9681611194274
종로구,관철동,오아시스 트레블러스 종로,37.56702341,126.98663866,1969,1,0.0,1.652923024373839,0.1794,0.55,7,183.0,관광숙박업,"점포, 노래연습장, 일반음식점",44,0,0,test_unmatched,12439.0,100.0,102.94755006054234,69.3356491342138,61756,2021,330,75.48243841476406,2019,100,78.74213661627117,2018,9,128.44334857399318,2022,0,162.7341775634694,2022,1211.1362315708973,random_forest_log1p,221329.5339573254,1038.163747752608,1211.1362315708973
종로구,관철동,스테이 마루 종로,37.56669767,126.98479778,1965,3,0.0,0.3677247801253173,0.4641,0.55,8,234.0,관광숙박업,숙박시설,44,0,0,test_unmatched,312.6,107.0,108.04567371967096,61.25240042457498,107,2019,239,96.3095170780116,2023,11,112.5871190049752,2022,1104,132.0670858138054,2021,102,138.0122462769877,2024,802.044426795459,random_forest_log1p,233144.10648063634,1176.169234082507,802.044426795459
