구,동,숙소명,승인연도,소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,x_5181,y_5181,최근접_소화용수_거리등급,업종,건물용도명,총층수,연면적,최종_화재위험점수,cluster_k3,cluster
종로구,연지동,스테이누아 종로,1992,0.2954,17,94.1,1.4960019827707285,0.4165,0.08,37.56957912,126.99966041,199969.99948880167,452226.5494915817,1,관광숙박업,숙박시설,6,4.356708826689592,32.04509291990597,0,0
종로구,관철동,1996 종로인,1996,0.3349,2,0.0,1.2840155119994725,0.1408,0.12,37.56632523,126.98626896,198786.9014396665,451865.4942857504,1,관광숙박업,숙박시설,9,5.641907070938114,18.8675451006514,1,1
종로구,관수동,THE EXTAY LOUNGE,2023,0.2744,21,90.5,0.8184642999558599,0.1022,0.55,37.56665459,126.98850671,198984.60479649177,451902.022856804,0,관광숙박업,숙박시설,13,6.818924065275521,24.036632666604508,0,0
종로구,관철동,먼슬리브 종로 종각역 호텔 스테이,1992,0.341,2,0.0,1.7394910406822983,0.1465,0.08,37.56594442,126.98577426,198743.1896952721,451823.235338292,0,관광숙박업,숙박시설,11,5.755742213586912,13.741622041504566,0,0
종로구,견지동,더프리마호텔 종로,1971,0.3842,0,0.0,0.414123170851279,0.1766,0.08,37.57038151,126.98267937,198469.85428918863,452315.7464052829,0,관광숙박업,숙박시설,12,8.711937268208748,13.766490642016482,0,0
종로구,숭인동,서울앤호텔 동대문,2017,0.3318,10,100.0,1.6992974632002564,0.1108,1.0,37.5705788,127.02004352,201770.6876308864,452337.6911238064,2,관광숙박업,숙박시설,16,5.147494476813453,44.48963183612818,2,2
종로구,와룡동,클래식 아파트먼트 익선,1965,0.1658,76,63.2,1.244643844056864,0.1851,1.0,37.57389547,126.9897488,199094.4271252305,452705.6635670773,0,관광숙박업,숙박시설,6,5.973809611869261,32.13697393964809,0,0
종로구,효제동,하우스 오손 종묘점,1991,0.4028,19,73.7,0.9573707576176196,0.4183,0.25,37.56890164,127.00203539,200179.81475769155,452151.3590032406,1,관광숙박업,숙박시설,6,5.198497031265826,33.691147743304406,0,0
종로구,관수동,HELLO HOSTEL,1965,0.2112,24,87.5,0.7206876474967924,0.1851,0.12,37.56619998,126.99118829,199221.50903375345,451851.5408769832,0,관광숙박업,숙박시설,6,5.666426688112432,18.27178596296994,0,0
종로구,청진동,하나데이즈 종로광화문(Hana Days Jongno-Gwanghwamun,1971,0.5007,0,0.0,2.597384633214691,0.1766,0.18,37.56915801,126.9800544,198237.9293614697,452179.998138356,0,관광숙박업,숙박시설,7,5.43372200355424,19.577019086817213,0,0
종로구,숭인동,브릭 스테이 (BRIC STAY),1999,0.2685,27,55.6,0.3035351275471273,0.1365,0.85,37.57248011,127.01971336,201741.47631546104,452548.7082822138,1,관광숙박업,숙박시설,4,5.556828061699537,30.67480751702137,2,2
종로구,충신동,연경당,2019,0.3749,37,67.6,0.6931471805599453,0.1079,1.0,37.57203715,127.00395269,200349.182318633,452499.3695269848,1,관광숙박업,제1종근린생활시설,9,4.3694478524670215,34.807095900088584,2,2
종로구,숭인동,호텔 DM,2020,0.3044,11,100.0,0.8746092615811812,0.1065,0.25,37.57059843,127.01860129,201643.27750080585,452339.8436264887,2,관광숙박업,숙박시설,11,8.00469951054955,33.42988417908574,2,2
종로구,원남동,오라카이 대학로 호텔,2019,0.2308,5,0.0,1.0632729222228008,0.1079,0.18,37.57297519,126.99797784,199821.3637646393,452603.47566635,1,관광숙박업,숙박시설,20,9.873749734272172,20.17938461374393,1,1
종로구,창신동,D-STAY HOSTEL,1968,0.1266,6,0.0,0.1482530044498824,0.1808,0.08,37.56798355,127.00952148,200841.1771873129,452049.5023978533,2,관광숙박업,숙박시설,6,5.517452896464707,20.16464623429126,1,1
종로구,돈의동,더 메이 호텔,2020,0.1735,21,71.4,0.9408455369813622,0.1065,0.45,37.56923344,126.98879056,199009.71617253908,452188.2420502248,0,관광숙박업,숙박시설,11,6.742880635791903,20.41099594288111,0,0
종로구,숭인동,루나하우스,1970,0.2056,30,46.7,1.2512891288770671,0.4553,0.85,37.57353634,127.0219178,201936.1889891573,452665.9807155389,0,관광숙박업,숙박시설,4,4.430816798843313,33.465793104077626,0,0
종로구,익선동,엠제이호텔,2005,0.1761,18,55.6,2.672021859258811,0.1279,0.7,37.57227399,126.98806987,198946.0905686869,452525.7155790665,1,관광숙박업,숙박시설,8,6.948897222313312,33.54902481665283,2,2
종로구,익선동,킹스가든,2012,0.1433,21,71.4,2.500969678805677,0.1179,0.7,37.57179889,126.98893263,199022.3007029637,452472.97566592233,1,관광숙박업,숙박시설,10,5.902633333401366,33.04410901497242,2,2
종로구,관철동,수레지던스,1981,0.4058,5,0.0,0.5596157879354227,0.1623,0.55,37.56655068,126.98415388,198600.04431997173,451890.5460008952,1,관광숙박업,숙박시설,6,5.365976015021851,24.467242712312554,1,1
종로구,창신동,동대문 서울달빛,1982,0.1337,10,40.0,1.9997770917556368,0.1608,1.0,37.56916257,127.01374879,201214.62064970512,452180.4060977867,1,관광숙박업,숙박시설,4,5.955837369464831,34.31353779608964,2,2
종로구,연건동,브루클린,2025,0.3379,11,63.6,1.0283354452521425,0.1,1.0,37.57244418,127.00083322,200073.6066091858,452544.53811663593,2,관광숙박업,숙박시설,12,7.194436851100335,41.457498756748414,2,2
종로구,숭인동,케이디 호스텔,2019,0.2984,22,90.9,0.7940648516932153,0.1079,0.7,37.57044997,127.01867554,201649.84017847225,452323.3675945637,2,관광숙박업,숙박시설,11,6.251903883165888,38.18098207701414,2,2
종로구,장사동,센추럴,1969,0.1947,25,64.0,2.574111725223541,0.1794,0.85,37.56604937,126.99210865,199302.8189700064,451834.81770574895,1,관광숙박업,"숙박시설(호텔), 위락시설(주점영업)",10,8.749890955535259,39.14725780438111,2,2
종로구,창신동,VATICA HOTEL(바티카 호텔),1969,0.1108,14,71.4,0.0564856021345574,0.1794,0.85,37.56737832,127.01474752,201302.8833528346,451982.3885586112,0,관광숙박업,영업용,9,8.099554282376364,25.625251106023523,0,0
종로구,명륜4가,호스텔 데이,1998,0.1867,5,0.0,2.6288008294480694,0.138,0.18,37.57929506,126.99713608,199747.0246409989,453304.9103100939,2,관광숙박업,숙박시설,8,5.857933154483459,27.35913451777168,1,1
종로구,숭인동,루미아호텔,2017,0.3287,2,100.0,0.2694761079552084,0.1108,0.25,37.57109607,127.02145559,201895.419822056,452395.12962544855,2,관광숙박업,관광숙박시설,15,7.6004023345004,31.764905185992014,2,2
종로구,창신동,24guesthouse동대문마켓점,1992,0.129,6,0.0,0.2810012094609484,0.1465,0.18,37.56790086,127.00943028,200833.1210247645,452040.3239614565,2,관광숙박업,근린생활시설,6,5.030437921392435,20.673846636390124,1,1
종로구,관철동,호스텔 클로이,1985,0.2744,14,0.0,0.4418327522790392,0.1565,0.08,37.56597443,126.98782642,198924.49358411224,451826.5406315616,1,관광숙박업,"근린생활시설, 업무시설",6,5.683579767338681,16.477354882484267,1,1
종로구,원남동,메이플레이스 호텔 서울 동대문,2014,0.2365,17,70.6,1.2008429113170085,0.115,0.18,37.57336561,126.99794846,199818.7693015716,452646.8078197685,0,관광숙박업,숙박시설(관광호텔),15,8.505929999137527,19.254067184154625,0,0
종로구,권농동,언플러그 안국,1997,0.1658,54,72.2,2.3135541243646194,0.1394,0.85,37.57427525,126.99045283,199156.6241731525,452747.8082019014,1,관광숙박업,숙박시설,6,7.21081845347222,37.87811627054643,2,2
종로구,수송동,신라스테이 광화문,2015,0.4643,2,50.0,0.589606501619105,0.1136,0.08,37.56990125,126.98030475,198260.0635281629,452262.4844535804,1,관광숙박업,"숙박시설(관광호텔 및 부대시설),업무시설,판매시설",23,9.77542688246861,23.949825240879733,0,0
종로구,인의동,호텔 아트리움,2004,0.2167,31,74.2,0.3467462995973981,0.1293,0.18,37.56913495,126.99733645,199764.69172789573,452177.25507965777,1,관광숙박업,호텔,17,9.207335862955883,24.70964494315212,0,0
종로구,낙원동,베스트웨스턴 종로(인사동),2016,0.1658,18,61.1,1.8758425864385964,0.1122,0.85,37.5696394,126.98875606,199006.67370481792,452233.29924313,0,관광숙박업,숙박시설,12,7.380879035564116,27.9181053303984,0,0
종로구,숭인동,아이비씨호텔,2016,0.3595,18,88.9,0.9974430536743816,0.1122,1.0,37.57050676,127.02206499,201949.2705145456,452329.7355342991,2,관광숙박업,호텔,22,8.005700678662542,44.75144846123599,2,2
종로구,관철동,호스텔 하루,1967,0.3997,4,25.0,2.415417623490573,0.1823,0.08,37.56622871,126.98353342,198545.2223366013,451854.8205254232,0,관광숙박업,숙박시설,14,6.3784261836515865,19.341217394306923,0,0
종로구,익선동,ICON,2012,0.1735,19,47.4,2.7817292841849,0.1179,0.7,37.57209924,126.98812931,198951.3390567781,452506.3196915821,0,관광숙박업,근린생활시설,10,6.759255270663693,26.89115911290025,0,0
종로구,익선동,호텔 다다-인사,2013,0.1482,22,77.3,1.9857296100625288,0.1165,0.7,37.57189895,126.98875238,199006.3786196949,452484.0830550901,1,관광숙박업,숙박시설,10,6.863803391452954,32.92134720636558,2,2
종로구,낙원동,종로크라운,1988,0.1947,8,62.5,0.9824726387554562,0.1523,0.55,37.57131629,126.9874005,198886.94407205103,452419.4297160971,1,관광숙박업,숙박시설,11,8.363342466597977,29.269956950141328,0,0
종로구,평창동,동화킴스관광호텔,1990,0.5451,0,0.0,0.0,0.1494,1.0,37.60669991,126.97433044,197733.3915099701,456346.8474161145,2,관광숙박업,숙박시설(관광호텔),6,8.061802274538348,38.33182727628919,1,1
종로구,낙원동,오라카이 인사동 스위츠,2002,0.2337,19,94.7,0.6194439847728106,0.1322,0.08,37.57025733,126.98654665,198811.49704462776,452301.9079272357,0,관광숙박업,호텔,30,10.725709333961984,20.36996832032176,0,0
종로구,관수동,호텔베뉴지,1994,0.2195,24,75.0,0.2811160606808903,0.1436,0.08,37.56598513,126.9900523,199121.1448369271,451827.7050614305,0,관광숙박업,숙박시설,13,8.799360083179907,16.974018851161183,0,0
종로구,관훈동,아미드 호텔 서울,1985,0.3626,5,60.0,1.2127064842946906,0.1565,0.12,37.56984481,126.98341181,198534.5492685304,452256.167278387,0,관광숙박업,숙박시설,18,9.6601412939044,20.612086530608064,0,0
종로구,당주동,포시즌스 호텔 서울,2015,0.6046,11,9.1,0.0120121564480035,0.1136,0.55,37.56801651,126.97463351,197758.992986032,452053.4204191853,2,관광숙박업,호텔,32,11.116410187381648,35.40277238074549,1,1
종로구,와룡동,Hostel Tommy 호스텔 토미,1965,0.0959,62,69.4,2.1717454920352344,0.1851,1.0,37.5716747,126.99041695,199153.42517668265,452459.1776093727,0,관광숙박업,숙박시설,4,6.152732694704104,33.43254979675519,0,0
종로구,운니동,노블관광호텔,2005,0.1556,22,54.5,3.049457672910154,0.1279,0.85,37.57393452,126.98887068,199016.85607084565,452710.0064908718,1,관광숙박업,숙박시설,6,7.114769448366463,36.4955192640993,2,2
종로구,와룡동,바운드 호스텔,2013,0.1556,90,66.7,0.9784679768260464,0.248,1.0,37.57338396,126.98952523,199074.67101795904,452648.89405614894,0,관광숙박업,숙박시설,6,7.301822342137932,34.80673708806067,0,0
종로구,익선동,호텔 이비스앰배서더 인사동,2013,0.1581,12,58.3,2.352052076140245,0.1165,0.7,37.57168791,126.98843016,198977.91063082856,452460.6635213336,1,관광숙박업,호텔,12,9.57129614009839,33.993374427071004,2,2
종로구,종로6가,주) 동승 JW메리어트 동대문 스퀘어 서울,2015,0.1658,15,73.3,1.9090851529441544,0.1136,1.0,37.56764454,127.00812433,200717.74892437088,452011.86466061743,1,관광숙박업,숙박시설,16,10.63902349958786,39.09920586839071,2,2
종로구,인사동,도미인 익스프레스 서울 인사동,2018,0.2481,26,88.5,3.678599523494187,0.1094,0.7,37.56962018,126.9863919,198797.815797546,452231.1936651586,2,관광숙박업,호텔,16,8.421562960400987,46.12826241602921,2,2
종로구,효제동,더도아스테이,2020,0.3718,13,84.6,2.205256749033484,0.1065,0.7,37.57184081,127.00175573,200155.10234337,452477.5721707976,0,관광숙박업,업무시설,11,4.564348191467836,28.467991774609168,0,0
종로구,창신동,케이스테이,1970,0.129,2,50.0,2.577167206594277,0.178,0.08,37.56874973,127.01018412,200899.7090442633,452134.5455707981,1,관광숙박업,숙박시설,6,6.212606095751519,23.77726159563672,0,0
종로구,창신동,오리지날 백패커스,1966,0.1433,2,100.0,1.4376179213932505,0.1837,0.18,37.56968368,127.01175024,201038.05387246163,452238.2192797013,2,관광숙박업,숙박시설,6,5.6240175061873385,31.853046049533635,2,2
중구,장충동,앰배서더 서울 풀만 호텔,1963,0.3935,3,0.0,0.0,0.188,0.45,37.55742965,127.00160709,200141.99873929736,450878.1024411745,2,숙박업,"숙박시설,호텔, 관광호텔, 관람집회시설, 근린생활시설, 영업, 운동시설",20,10.401236143406718,31.75122824340717,1,1
성동구,성동,호텔 포코 성수,2014,0.2394,14,42.9,4.611152257665639,0.115,0.85,37.54070199,127.0562547,204971.64573525035,449023.0195011626,2,관광숙박업,관광호텔,13,8.064174104746268,46.51318767051059,2,2
중구,회현동,루미아 호텔,2015,0.2223,0,0.0,0.0219789067187752,0.1136,0.12,37.55527178,126.97898241,198142.8810077828,450638.8109561808,2,관광숙박업,호텔,6,6.863803391452954,20.41499148989569,1,1
중구,광희동,소테츠호텔즈 더 스프라지르 서울 동대문,2015,0.3196,10,70.0,1.3909133069761852,0.1136,0.7,37.5619628,127.00695765,200614.72454878,451381.24996497255,1,관광숙박업,호텔,25,9.438590860658538,34.38453430771769,2,2
중구,명동,호텔 크레토,2015,0.0877,5,0.0,0.4885317068067778,0.1136,0.12,37.55924412,126.98729931,198877.823743196,451079.5616872809,0,관광숙박업,관광호텔,10,7.228388451573604,8.449110423689902,0,0
중구,남창동,24게스트하우스 명동타운점,1964,0.2167,41,70.7,0.8002011767241046,0.1866,1.0,37.55661038,126.97811019,198065.84604851183,450787.39720676985,2,관광숙박업,"업무시설, 제1종근린생활시설",11,5.5909869805108565,42.50089608544912,2,2
중구,쌍림동,호텔 더 디자이너스 동대문,2015,0.4213,53,67.9,0.616029877215514,0.1136,0.85,37.56091185,127.00486601,200429.9293321233,451264.5952978897,1,관광숙박업,관광호텔,20,8.477412321404392,36.88914610360835,2,2
