구,동,숙소명,승인연도,소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,x_5181,y_5181,최근접_소화용수_거리등급,업종,건물용도명,총층수,연면적
중구,태평로2가,24게스트하우스 서울시청점,1960,0.3564,3,0.0,2.1118068261818674,0.1922,0.55,37.56195615,126.97553552,197838.50612278332,451380.7704567887,2,관광숙박업,제2종근린생활시설,6,358.0
중구,명동,호텔 스카이파크 센트럴 명동점,2002,0.184,28,85.7,2.0163512467186298,0.1322,0.85,37.56189383,126.9844402,198625.25423441644,451373.6861522442,1,관광숙박업,"숙박시설, 제2종근린생활시설",23,18586.0
중구,을지로5가,에이큐브 호텔,1985,0.3349,49,85.7,0.6879433526849182,0.1565,0.85,37.56347491,127.00124884,200110.33568651183,451549.0543394728,1,관광숙박업,"관광숙박시설, 근린생활시설",10,2387.0
중구,북창동,소테츠호텔즈 더 스프라지르 서울 명동,2015,0.2112,15,73.3,0.123132685403624,0.1136,0.85,37.55930346,126.97797124,198053.6386652969,451086.2999903117,0,관광숙박업,관광숙박시설(관광호텔),22,18599.0
중구,주교동,2U호스텔,1967,0.251,21,0.0,1.9250905212729232,0.1823,1.0,37.56586745,126.99740093,199770.37810958916,451814.6006218073,1,관광숙박업,"점포, 사무실, 숙박시설",5,358.0
중구,장교동,롯데시티호텔명동,2015,0.2423,3,0.0,0.752336051950276,0.1136,0.08,37.56418691,126.9872883,198876.92514570573,451628.1531850207,1,관광숙박업,관광호텔,30,25334.0
중구,충무로2가,호텔 스카이파크3,1969,0.1086,27,81.5,0.7798304197287472,0.1794,1.0,37.55856041,126.98658709,198814.88433521293,451003.6867227514,1,관광숙박업,호텔,11,5866.0
중구,남산동,자자백팩커스,1985,0.1457,0,0.0,0.0,0.1565,0.85,37.55605441,126.98563136,198730.39701085328,450725.5629802914,2,관광숙박업,숙박시설,5,608.0
중구,명동,서울 라이트 인 명동,1969,0.1658,19,68.4,1.7510884294971272,0.1794,0.35,37.56145726,126.98456352,198636.14189503508,451325.2302371874,2,관광숙박업,"사무실, 근린생활시설,숙박시설",17,506.0
중구,남산동,오요5,1983,0.1175,1,100.0,2.128231705849268,0.1594,0.12,37.55618747,126.98405523,198591.1337696882,450740.353511948,1,관광숙박업,"숙박시설, 주택",5,611.0
