구,동,숙소명,승인연도,소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,x_5181,y_5181,최근접_소화용수_거리등급,업종,건물용도명,총층수,연면적
중구,회현동,제이오너 호스텔,2006,0.1506,3,0.0,0.7282385003712154,0.1265,0.08,37.55530397,126.98284082,198483.81164063892,450642.3144308706,2,관광숙박업,숙박시설,4,613.0
중구,충무로5가,머룸스테이,1955,0.3135,32,62.5,0.5643439291313687,0.4817,0.45,37.56119377,127.00084581,200074.730047434,451295.8742945903,1,관광숙박업,숙박시설,2,43.0
중구,광희동,STAY ON,1966,0.3318,9,55.6,1.0736109864626924,0.1837,1.0,37.5618116,127.00675249,200596.59939158263,451364.4672266017,1,관광숙박업,영업,6,79.0
중구,을지로7가,라하 부티크 디디피,2012,0.2597,24,95.8,0.4663738611951568,0.1179,0.85,37.56262124,127.0082658,200730.2962148024,451454.3384028216,0,관광숙박업,"제1종근린생활시설, 업무시설, 관광숙박시설",13,328.0
중구,회현동,호텔 블리스 I,2025,0.0898,9,88.9,0.5616258388634469,0.1,0.08,37.55681031,126.98310837,198507.482452309,450809.49595476897,2,관광숙박업,관광숙박시설,8,1048.0
중구,서소문동,정동스테이25(JEONGDONG STAY 25),2024,0.3718,2,0.0,1.3293120501244582,0.1011,0.7,37.56106147,126.97459289,197755.19571897227,451281.4936316292,1,관광숙박업,제2종근린생활시설,10,1348.48
중구,소공동,크라운파크 호텔 서울 명동,1971,0.1867,7,71.4,1.3237147044676525,0.1766,0.85,37.56101578,126.9799895,198232.00342930667,451276.3073778232,0,관광숙박업,"업무시설, 근린생활시설, 관광숙박시설",18,10258.0
중구,황학동,호스텔 소우재,1984,0.192,51,82.4,1.6453061451866118,0.158,1.0,37.56418869,127.0203495,201797.8721398109,451628.4694356519,1,관광숙박업,근린생활시설(소매점),4,301.52
중구,회현동,호텔블리스Ⅱ,2025,0.0959,4,100.0,0.2089589163222533,0.1,0.08,37.55663789,126.9831709,198513.00407747697,450790.35839437816,2,관광숙박업,숙박시설,7,468.0
중구,회현동,보코 언 아이에이치지 호텔,1979,0.2452,3,33.3,1.3516741604732871,0.1652,0.12,37.5557044,126.97785909,198043.63550769063,450686.8494071406,1,관광숙박업,숙박시설,21,26031.0
중구,명동,유스테이호스텔(U-STAY HOSTEL),1964,0.1198,19,52.6,1.7645098267806796,0.1866,0.7,37.56011013,126.98486327,198662.60160417395,451175.7104187975,1,관광숙박업,숙박시설,6,398.0
중구,을지로5가,나인트리 바이 파르나스 서울 동대문,2019,0.3749,26,76.9,0.8946039777841406,0.1079,0.7,37.56386326,127.00211965,200187.27124684607,451592.1579998256,1,관광숙박업,관광숙박시설,23,8872.0
중구,남대문로2가,스탠포드호텔 명동,2021,0.1867,6,33.3,5.676753802268282,0.105,0.08,37.56189911,126.98190996,198401.7015538737,451374.3121891582,0,관광숙박업,"숙박시설,판매시설,근린생활시설",22,12100.0
중구,신당동,케이그랜드호텔 DDP,1971,0.1001,4,0.0,2.25044254165524,0.4535,0.55,37.56571746,127.0106231,200938.5284729713,451798.0033596581,2,관광숙박업,숙박시설,7,294.0
중구,주교동,zip 1972 hostel,1963,0.2365,9,22.2,1.2918251737361308,0.188,1.0,37.56535668,126.99747477,199776.90018145292,451757.9109637574,1,관광숙박업,"근린생활시설,교육연구시설,관광숙박시설",3,179.0
중구,충무로3가,스테이모드,1965,0.067,3,0.0,1.6193781504839415,0.1851,0.7,37.55941767,126.98975855,199095.1133079861,451098.7971631648,0,관광숙박업,관광숙박시설(호스텔),4,276.52
중구,을지로5가,미리네 스테이,2022,0.3749,7,57.1,0.3809454909338458,0.1036,0.08,37.56263589,127.00240658,200212.62502347317,451455.9349882996,0,관광숙박업,숙박시설,4,89.0
중구,을지로7가,스테이 쉼,1996,0.2656,22,90.9,0.4102843945441133,0.1408,0.85,37.56263015,127.00804487,200710.7766229064,451455.32561407017,0,관광숙박업,숙박시설,6,179.0
중구,명동,무드온 명동,1956,0.1153,7,14.3,1.155343917473199,0.48,1.0,37.56042879,126.98317648,198513.57242597576,451211.1032490588,0,관광숙박업,"영업, 점포",4,289.69
중구,남산동,더큐브 호텔,2003,0.1408,0,0.0,0.0425596144187959,0.1308,0.85,37.55609169,126.98541188,198711.0045534644,450729.7036035063,2,외국인관광도시민박업,근린생활시설및단독주택,4,870.63
중구,황학동,SINDANG GRAND JOY 호스텔,1955,0.1457,25,84.0,0.2986770404591526,0.9051,0.7,37.56332856,127.01860099,201643.41070559,451532.9731090851,1,관광숙박업,관광숙박시설(호스텔),2,200.2
중구,태평로1가,글로카로카호스텔,1971,0.4735,2,0.0,0.041672696400568,0.1766,0.55,37.56555219,126.97585864,197867.1570509121,451779.8812271267,2,관광숙박업,"호텔, 관람집회시설, 근린생활시설, 업무시설",26,2280.0
중구,서소문동,ENA 스위트 호텔,2017,0.412,3,0.0,0.3113518165376857,0.1108,0.18,37.55956061,126.97310353,197623.55804409643,451114.9525318081,0,관광숙박업,숙박시설(관광호텔),28,14134.9
중구,남대문로4가,호텔 그레이스리 서울,2018,0.2774,3,100.0,1.0595929651036675,0.1094,0.25,37.55884724,126.97618148,197895.4907544846,451035.70354299096,0,관광숙박업,업무시설,26,17909.0
중구,광희동,더 페이즈,2018,0.3471,21,100.0,0.6931471805599453,0.1094,1.0,37.56088977,127.00776838,200686.36427222608,451262.1619143894,0,관광숙박업,숙박시설,5,168.0
