구,동,숙소명,위도,경도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,총층수,시설규모/연면적,nearest5_mean_damage_thousand_krw,nearest5_median_damage_thousand_krw,nearest5_min_distance_km,nearest5_mean_distance_km,nearest1_damage_thousand_krw,nearest1_distance_km,nearest2_damage_thousand_krw,nearest2_distance_km,nearest3_damage_thousand_krw,nearest3_distance_km,nearest4_damage_thousand_krw,nearest4_distance_km,nearest5_damage_thousand_krw,nearest5_distance_km
종로구,낙원동,하프레스트 호스텔,37.56953983,126.98762245,16,75.0,1.5746285077682394,0.5361,0.08,7,554.0,111.4,27.0,0.019705571507665942,0.04728037387105362,55,0.019705571507665942,27,0.022072530471421718,5,0.058088826530481925,465,0.060633509519046835,5,0.07590143132665168
종로구,숭인동,엔조이스테이 호스텔,37.57029351,127.01912285,48,66.7,1.1337273076890122,0.1011,0.7,5,596.0,9641.6,3039.0,0.052892862318446775,0.07919722971505652,108,0.052892862318446775,40438,0.058310667475076655,418,0.06982748847884598,3039,0.10714839548217531,4205,0.10780673482073792
종로구,창신동,이온호텔,37.56975326,127.01196959,3,66.7,1.6502405363066972,0.1036,0.18,8,963.0,8394.6,31.0,0.035139167970841545,0.08175858787023073,0,0.035139167970841545,22,0.051603950444843415,31,0.08610940229075752,40180,0.1137383995290313,1740,0.12220201911567985
종로구,관철동,오아시스 트레블러스 종로,37.56702341,126.98663866,1,0.0,1.652923024373839,0.1794,0.55,7,183.0,12654.8,440.0,0.06933564913421379,0.14102507788687796,61756,0.06933564913421379,9,0.12844334857399317,0,0.16273417756346936,440,0.16461125678298194,1069,0.18000095737973157
종로구,관철동,스테이 마루 종로,37.56669767,126.98479778,3,0.0,0.3677247801253173,0.4641,0.55,8,234.0,294.4,102.0,0.09630951707801158,0.12341212249437292,239,0.09630951707801158,11,0.11258711900497519,1104,0.1320670858138054,102,0.1380122462769877,16,0.13808464429808476
종로구,창신동,동대문인순,37.56877711,127.01021919,2,50.0,2.585960082443016,0.2295,0.08,6,46.0,678.6,480.0,0.10610426929413386,0.13157000454911166,31,0.10610426929413386,480,0.12262215773694324,1100,0.1340079706850349,42,0.14718396022594088,1740,0.14793166480350547
종로구,권농동,스테이 종로 온당,37.57416521,126.99046732,66,71.2,2.277267285009756,0.1222,0.85,3,140.0,180.8,62.0,0.03113256476094452,0.05649483764660669,16,0.03113256476094452,62,0.03433837183599112,89,0.05000317670703821,28,0.0720579396109719,709,0.09494213531808766
종로구,종로6가,편안정,37.56925877,127.006942,2,50.0,0.7023638356648694,0.1637,0.18,6,106.0,118.8,29.0,0.034368046562608785,0.11145708832314946,11,0.034368046562608785,29,0.07158752916111323,55,0.13301980347984338,488,0.15864601286022698,11,0.15966404955195498
종로구,낙원동,소락방 주식회사,37.57009871,126.98769431,7,85.7,0.3642775497015497,0.1766,0.08,6,88.0,71.4,27.0,0.06917468017381088,0.08252699273933221,55,0.06917468017381088,27,0.0739640710396767,264,0.08721063851374666,11,0.09051437162166855,0,0.09177120234775833
종로구,연지동,스테이누아 종로,37.56957912,126.99966041,17,94.1,1.4960019827707285,0.4165,0.08,6,77.0,3375.2,220.0,0.009506174909502339,0.03651187269812295,220,0.009506174909502339,15716,0.01286657506996567,0,0.03369077062399131,14,0.043924936619179886,926,0.08257090626797552
종로구,관철동,1996 종로인,37.56632523,126.98626896,2,0.0,1.2840155119994725,0.1408,0.12,9,281.0,12662.8,440.0,0.031422700125477585,0.14428906764290153,61756,0.031422700125477585,9,0.055111346008527254,440,0.20654237417682178,1104,0.2133073163252631,5,0.21506160157841794
종로구,관수동,THE EXTAY LOUNGE,37.56665459,126.98850671,21,90.5,0.8184642999558599,0.1022,0.55,13,914.0,1277.4,440.0,0.01485676631693559,0.04715937176139575,5,0.01485676631693559,4299,0.023492902295516486,440,0.026762618455762784,9,0.07587778114907072,1634,0.09480679058969314
종로구,관철동,먼슬리브 종로 종각역 호텔 스테이,37.56594442,126.98577426,2,0.0,1.7394910406822983,0.1465,0.08,11,315.0,13127.8,1104.0,0.06639525140282915,0.14106639457623796,9,0.06639525140282915,61756,0.0896079388248313,1104,0.16042481641141743,17,0.19232058532370938,2753,0.1965833809184026
종로구,견지동,더프리마호텔 종로,37.57038151,126.98267937,0,0.0,0.414123170851279,0.1766,0.08,12,6074.0,309.4,97.0,0.08160596364224185,0.10915422110515724,97,0.08160596364224185,458,0.10224090466345519,31,0.10779457204185908,0,0.11236393467400903,961,0.1417657305042211
종로구,숭인동,서울앤호텔 동대문,37.5705788,127.02004352,10,100.0,1.6992974632002564,0.1108,1.0,16,171.0,8867.6,459.0,0.09038780908435999,0.10572545277278296,318,0.09038780908435999,6,0.09449434455716169,40438,0.10612297058191056,3117,0.10880647459220646,459,0.1288156650482761
종로구,와룡동,클래식 아파트먼트 익선,37.57389547,126.9897488,76,63.2,1.244643844056864,0.1851,1.0,6,392.0,46.8,28.0,0.013002449173600005,0.04990579795567157,28,0.013002449173600005,89,0.023014279281022083,16,0.04055711480606362,11,0.08647597369696725,90,0.0864791728207049
종로구,효제동,하우스 오손 종묘점,37.56890164,127.00203539,19,73.7,0.9573707576176196,0.4183,0.25,6,180.0,10858.0,248.0,0.11211140716912181,0.1516356692362668,248,0.11211140716912181,81,0.1242832106244401,926,0.15280330699123507,52955,0.18093557685107214,80,0.18804484454546502
종로구,관수동,HELLO HOSTEL,37.56619998,126.99118829,24,87.5,0.7206876474967924,0.1851,0.12,6,288.0,89.4,105.0,0.018128851965853666,0.07171060468647802,121,0.018128851965853666,105,0.06917028025908335,56,0.08308510349967646,11,0.09192279026210025,154,0.09624599744567641
종로구,청진동,하나데이즈 종로광화문(Hana Days Jongno-Gwanghwamun,37.56915801,126.9800544,0,0.0,2.597384633214691,0.1766,0.18,7,228.0,432.2,96.0,0.08313678257305009,0.12387908645954479,96,0.08313678257305009,1660,0.0958560018937178,9,0.12637290741540697,33,0.14634364485495063,363,0.1676860955605985
종로구,숭인동,브릭 스테이 (BRIC STAY),37.57248011,127.01971336,27,55.6,0.3035351275471273,0.1365,0.85,4,258.0,190.8,56.0,0.040003845577270755,0.06410163953168051,469,0.040003845577270755,0,0.042603955225485726,373,0.06892161706989104,56,0.0844893898928775,56,0.0844893898928775
종로구,충신동,연경당,37.57203715,127.00395269,37,67.6,0.6931471805599453,0.1079,1.0,9,78.0,12703.6,282.0,0.022801759286854312,0.09986255270343623,61782,0.022801759286854312,27,0.0742876338450248,282,0.09366867803048516,1414,0.13524075810775352,13,0.17331393424706337
종로구,숭인동,호텔 DM,37.57059843,127.01860129,11,100.0,0.8746092615811812,0.1065,0.25,11,2994.0,16815.4,5214.0,0.04963203030065285,0.07557866899877708,108,0.04963203030065285,5214,0.06297515911999685,37899,0.06744857008910814,418,0.08738239322880022,40438,0.11045519225532734
종로구,원남동,오라카이 대학로 호텔,37.57297519,126.99797784,5,0.0,1.0632729222228008,0.1079,0.18,20,19413.0,290.2,193.0,0.058854010458728116,0.08339599797399946,0,0.058854010458728116,784,0.061142826954702065,193,0.0930500836769814,45,0.10114547114679451,429,0.10278759763279126
종로구,창신동,D-STAY HOSTEL,37.56798355,127.00952148,6,0.0,0.1482530044498824,0.1808,0.08,6,248.0,431.6,401.0,0.027925999906097693,0.06269264737044968,1100,0.027925999906097693,480,0.02953383014507534,60,0.07592995784887056,117,0.0816913692581178,401,0.09838207969408697
종로구,돈의동,더 메이 호텔,37.56923344,126.98879056,21,71.4,0.9408455369813622,0.1065,0.45,11,847.0,3719.2,264.0,0.023244585771204366,0.07583658013259786,0,0.023244585771204366,301,0.026703230129588678,90,0.08395072753623319,264,0.12139808374024995,17941,0.12388627348571311
종로구,숭인동,루나하우스,37.57353634,127.0219178,30,46.7,1.2512891288770671,0.4553,0.85,4,83.0,55.4,6.0,0.01808287831787007,0.07547306713287323,0,0.01808287831787007,165,0.06752331657683774,100,0.08219549184334483,6,0.08692470667997472,6,0.12263894224633874
