기대피해액_순위,구,동,시설명,예상_화재발생확률,조건부_예상피해액_백만원,기대피해액_백만원,소방위험도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,반경100m_화재수
81,강남구,논현동,메종 184 강남,0.6918591711510167,0.1900792791059802,0.1315080924952462,0.6018,13,76.9,1.1622267376623028,0.1422,0.0,37.50371116,127.02540894,0
82,성동구,성동,오늘 성수 스테이,0.8271820094511904,0.1585358363484719,0.131137991680754,0.251,19,5.3,3.380994674344636,0.4272,0.12,37.54388005,127.05832762,0
83,중구,광희동,케이 게스트하우스 동대문프리미엄점,0.860412358490916,0.1522510982122465,0.1309987264956311,0.3873,32,81.2,2.688099414682861,0.1237,0.18,37.56094517,127.00596078,0
84,영등포구,당산동,이가빌 BNB,0.7378182966464931,0.1773497868617904,0.1308519176529848,0.449,18,33.3,4.474341903584354,0.1337,0.7,37.52622906,126.89880353,1
85,중구,남산동,욜로게스트하우스2,0.6723966868467558,0.1944898403599977,0.1307743242834169,0.1198,0,0.0,1.891014427323396,0.105,0.12,37.55629987,126.98470749,0
86,성동구,성동,파루스셀라 성수,0.8451003226166861,0.1545915508212455,0.1306453694728484,0.2774,11,36.4,4.127134385045092,0.4377,0.12,37.54588143,127.05228953,0
87,마포구,연남동,영미하우스,0.6943659895489123,0.1880377575678093,0.1305670236061304,0.5216,9,66.7,1.917886467678368,0.1394,0.12,37.55770396,126.92456328,0
88,송파구,가락동,가락관광호텔,0.6686030820248392,0.1950202323109006,0.1303911283802683,0.4947,2,50.0,2.607688781388509,0.1509,0.25,37.49113403,127.11792898,0
89,송파구,가락동,가락관광호텔,0.6686030820248392,0.1950202323109006,0.1303911283802683,0.4947,2,50.0,2.607688781388509,0.1509,0.25,37.49113403,127.11792898,0
90,송파구,문정동,코지,0.5082877138530605,0.2564002188429023,0.1303250810670832,0.745,1,0.0,0.1632575728897233,0.1022,0.04,37.48586194,127.12218095,0
91,종로구,창신동,만소호스텔,0.6820927302008011,0.1909461791376655,0.1302430006494215,0.129,1,0.0,2.0452685997537494,0.1509,0.08,37.56851942,127.00992254,0
92,종로구,창신동,엘로호스텔,0.6986022078288077,0.1853962763005215,0.129518247946784,0.1108,0,0.0,2.3398948736369443,0.1766,0.25,37.56817166,127.01029436,0
93,종로구,숭인동,U-STAY HOSTEL,0.6681967386602969,0.1933020864468248,0.1291638237399991,0.1894,3,0.0,1.8643198527313989,0.1408,0.18,37.56976898,127.01545561,0
94,영등포구,영등포동,오베르,0.7029666641868059,0.1836226995092076,0.1290806365429639,0.1531,9,11.1,1.7443572303334711,0.1036,0.18,37.5158422,126.90195893,0
95,마포구,성산동,마포테라스하우스,0.7032259000449631,0.1834342334495307,0.1289957039166041,0.5216,19,68.4,1.0972990908431492,0.1094,0.04,37.56061517,126.90591638,0
96,중구,남산동,에밀리 메니지먼트,0.6899713266574201,0.1867879081339706,0.12887830077876,0.1556,0,0.0,2.621513019964349,0.1011,0.85,37.55520422,126.98413451,0
97,강남구,역삼동,라이언 스테이,0.5933931366443924,0.2171298695960112,0.128843374378765,0.3997,1,0.0,1.1403938226830648,0.1408,0.04,37.50507993,127.04148518,0
98,용산구,이태원동,와이낫슬립(Why Not Sleep),0.7501985243535213,0.1713760680968471,0.1285660733957633,0.2597,6,0.0,3.2086348857548064,0.4535,0.08,37.53117208,126.99046509,0
99,종로구,통인동,서촌 가온재,0.93082824625065,0.1377502049372961,0.128221781682451,0.3564,48,75.0,3.4615708370021983,0.1293,0.25,37.57711555,126.96952642,0
100,용산구,이태원동,나이브 하우스,0.7252608684331635,0.1767092803598041,0.1281603261339509,0.2365,1,0.0,3.1452902126323314,0.42,0.08,37.53258983,126.99017275,0
101,종로구,통인동,다원,0.9281892296710144,0.1380378644945683,0.1281252591106453,0.3502,45,77.8,3.5784431336082694,0.1394,0.25,37.57721877,126.96923985,0
102,서초구,서초동,주식회사 르호텔드서초,0.6737686581364184,0.1901273506647283,0.1281018499324062,0.4947,12,58.3,1.474639003267792,0.1036,0.12,37.48437074,127.01239392,1
103,송파구,송파동,송파스테이,0.6427194996041387,0.1991997193371564,0.128029543933662,0.5739,5,60.0,1.6972135233164862,0.1408,0.12,37.50587144,127.10805896,0
104,용산구,이태원동,MINGOO HOUSE,0.720300194891371,0.1770260107753378,0.1275118700623177,0.2337,1,0.0,3.089755175772274,0.4148,0.08,37.53222403,126.99039616,0
105,강남구,신사동,강남 인 하우스,0.6265853488180435,0.2034871084746467,0.1275020408435615,0.7384,8,87.5,0.7678443237670619,0.1351,0.0,37.51506078,127.02016128,0
106,중구,회현동,신세계,0.6871971292924568,0.1854889671452587,0.1274674857376446,0.1787,5,20.0,1.865801301628454,0.1194,0.12,37.55494665,126.98150043,0
107,서초구,서초동,초이스,0.6671847596910776,0.1907143664738365,0.1272417187654827,0.6729,13,84.6,1.5230532982352798,0.1279,0.12,37.48304857,127.0070971,0
108,용산구,이태원동,Comfy Stay,0.7893457436151364,0.1611375637442377,0.1271932500780268,0.2568,23,39.1,2.624805306908057,0.1394,0.45,37.53052295,126.99131629,0
109,종로구,창신동,동명,0.6772745694358263,0.1877207078491406,0.1271384615827152,0.1198,1,0.0,2.1107266791768704,0.1837,0.08,37.56827627,127.01007825,0
110,종로구,효제동,청원 NEST,0.633911635144273,0.2005376613225052,0.1271231567969577,0.3718,13,0.0,1.1535280462642243,0.1251,0.18,37.56941664,127.00343731,0
111,중구,회현동,대영호텔,0.6517872438193387,0.194756419884697,0.1269397501327685,0.1947,0,0.0,1.9467034850747087,0.1766,0.12,37.55561992,126.97951078,0
112,종로구,관철동,주)서울큐브 종로,0.6213518657226312,0.2042191260655444,0.1268919349970712,0.4089,4,25.0,1.4000876832522264,0.1122,0.12,37.56636189,126.9838774,0
113,강남구,신사동,다도,0.6011066933252236,0.2107175422771383,0.1266637250638286,0.716,4,75.0,0.7830421846764933,0.1394,0.0,37.51870635,127.01919064,3
114,종로구,창신동,247 HOSTEL SEOUL,0.7269536416484594,0.1742007068375093,0.1266358382132631,0.0918,5,20.0,2.290649742444773,0.1509,0.25,37.56817447,127.01314811,0
115,성동구,송정동,루프하우스,0.6352804838527673,0.1985826790832174,0.1261557004527651,0.3656,3,33.3,1.55814461804655,0.105,0.12,37.54816492,127.06740401,0
116,서초구,양재동,지원하우스,0.6554652775351613,0.1917949156498191,0.1257149076162415,0.5422,8,75.0,1.1758019273592395,0.1351,0.0,37.48037737,127.03842139,0
117,중구,장충동,써미트호텔,0.6401504001715818,0.1962586739482675,0.1256350686651274,0.3595,6,16.7,1.699539747131287,0.1565,0.18,37.5594974,127.00609868,0
118,중구,장충동,봉우물산(주)써미트호텔,0.6401504001715818,0.1962586739482675,0.1256350686651274,0.3595,6,16.7,1.699539747131287,0.1565,0.18,37.5594974,127.00609868,0
119,강남구,역삼동,여운,0.6905994927857781,0.1817105535365815,0.1254892161061861,0.1894,7,28.6,1.7930919144618336,0.1408,0.0,37.4889495,127.03232512,0
