추정_구,대표_동,방문생활인구수_00_03시,방문생활인구수_04_07시,방문생활인구수_08_11시,방문생활인구수_12_15시,방문생활인구수_16_19시,방문생활인구수_20_23시,25개월평균_방문생활인구수
용산구,한강로2가,274.54400000000004,268.2,393.93800000000005,579.53,482.724,322.3988,2321.3348
서초구,양재동,331.37760000000003,327.858,361.6968,382.12199999999996,342.236,321.246,2066.5364
종로구,계동,126.24040000000001,134.92079999999999,437.9112,738.1616,384.7052,147.548,1969.4871999999998
마포구,상암동,135.70266666666666,188.25799999999998,330.416,361.5466666666667,326.6193333333333,260.5373333333333,1603.08
종로구,명륜4가,231.96933333333334,216.48,237.42333333333332,281.7353333333333,314.44533333333334,299.1793333333333,1581.2326666666665
마포구,망원동,221.81300000000002,208.171,275.355,382.50600000000003,267.608,203.42000000000002,1558.873
중구,신당동,229.86759999999998,217.178,206.004,211.9196,236.6716,280.8032,1382.4440000000002
강서구,화곡동,249.18400000000003,246.364,234.6864,208.96759999999998,200.9204,231.31439999999998,1371.4368
성동구,성수동1가,99.115,92.176,164.732,444.429,384.025,161.541,1346.0179999999998
중구,황학동,211.54899999999998,224.28400000000002,255.88000000000002,204.827,209.892,231.705,1338.137
종로구,명륜2가,205.9964,192.8836,169.49400000000003,183.5796,226.502,236.938,1215.3935999999999
영등포구,영등포동5가,216.98919999999998,223.1388,193.7292,134.1988,122.4576,158.0812,1048.5947999999999
강서구,가양동,204.01600000000002,222.44299999999998,194.089,127.23800000000001,118.725,164.072,1030.583
서초구,방배동,71.91640000000001,77.2624,168.7504,196.82240000000002,207.9328,144.17520000000002,866.8596000000001
성동구,용답동,141.87866666666667,161.11933333333334,176.53266666666664,119.086,110.27133333333333,142.86533333333333,851.7533333333333
중구,장충동2가,130.50799999999998,138.58266666666665,151.05666666666667,154.708,149.50533333333334,91.26466666666667,815.6253333333334
종로구,동숭동,96.75399999999999,89.59200000000001,99.26559999999999,152.8132,194.4296,169.59439999999998,802.4487999999999
송파구,가락동,115.2604,111.5592,129.17520000000002,134.8332,133.622,125.4544,749.9044
영등포구,당산동3가,155.0336,160.9616,140.04319999999998,93.904,80.238,106.8032,736.9836
마포구,공덕동,31.082666666666668,64.01866666666666,172.83666666666667,134.20933333333335,138.34333333333333,118.59933333333333,659.09
강서구,등촌동,58.470666666666666,50.292,119.79400000000001,143.944,146.35533333333333,96.09933333333333,614.9553333333333
성동구,행당동,109.0072,102.4592,91.3036,90.2976,92.512,110.1364,595.716
용산구,한남동,52.0184,39.432,64.5736,128.58520000000001,148.1864,117.1908,549.9864
영등포구,당산동6가,80.55333333333333,75.346,93.348,99.932,101.66666666666667,95.088,545.9340000000001
성동구,도선동,93.3432,97.71440000000001,106.6584,77.5548,75.8796,85.3608,536.5112
용산구,청파동2가,88.332,85.69500000000001,85.896,81.622,90.524,87.744,519.813
용산구,원효로2가,61.705200000000005,62.168,80.81,84.3656,86.1952,73.04440000000001,448.2884
용산구,원효로3가,47.263999999999996,50.800666666666665,63.132666666666665,76.08200000000001,69.11999999999999,53.208666666666666,359.608
영등포구,당산동5가,52.034666666666666,53.79066666666667,62.374,54.28933333333334,53.68333333333333,57.85466666666667,334.02666666666664
강서구,공항동,48.96266666666667,47.632666666666665,60.11866666666666,53.80266666666667,53.242666666666665,53.548,317.3073333333333
강남구,도곡동,38.614000000000004,36.666799999999995,44.0084,52.8388,57.04600000000001,47.074,276.248
영등포구,문래동2가,20.617,27.833999999999996,72.99600000000001,55.924,53.784000000000006,43.643,274.798
송파구,신천동,22.866799999999998,24.682399999999998,52.1596,73.9236,64.2028,33.57,271.4052
영등포구,당산동2가,43.624,45.40266666666666,53.438,42.63066666666667,36.547333333333334,39.23066666666667,260.8733333333334
강서구,방화동,22.589999999999996,22.915,29.444,31.7,32.557,27.849,167.055
성동구,금호동4가,10.915,11.248,13.934000000000001,14.187000000000001,14.027000000000001,12.292,76.603
송파구,석촌동,8.3004,8.345600000000001,13.1184,15.9692,15.788800000000002,12.6204,74.14280000000001
송파구,문정동,7.684,7.1972000000000005,8.964,10.2804,10.238,7.4012,51.7648
송파구,오금동,4.683,6.518000000000001,10.995999999999999,10.396,9.925,8.363,50.881
강서구,내발산동,8.448,8.158,8.47,7.627,7.324000000000001,8.013,48.04
강남구,개포동,6.42,6.296,6.660666666666667,5.828666666666666,5.56,6.537333333333334,37.30266666666667
