,주변건물수_50m,주변_사용승인일유효건물수_50m,주변_사용승인일유효률_50m,주변_노후건물수_30년이상_50m,주변_노후건물비율_30년이상_50m,주변_초노후건물수_50년이상_50m,주변_초노후건물비율_50년이상_50m,주변_평균건물연한_50m,주변_중위건물연한_50m,주변_최대건물연한_50m,주변_평균사용승인연도_50m,주변_연면적합계_m2_50m,주변_노후연면적비율_30년이상_50m,주변_초노후연면적비율_50년이상_50m,최근접_노후건물거리_30년이상_m_50m,최근접_초노후건물거리_50년이상_m_50m,주변건물수_100m,주변_사용승인일유효건물수_100m,주변_사용승인일유효률_100m,주변_노후건물수_30년이상_100m,주변_노후건물비율_30년이상_100m,주변_초노후건물수_50년이상_100m,주변_초노후건물비율_50년이상_100m,주변_평균건물연한_100m,주변_중위건물연한_100m,주변_최대건물연한_100m,주변_평균사용승인연도_100m,주변_연면적합계_m2_100m,주변_노후연면적비율_30년이상_100m,주변_초노후연면적비율_50년이상_100m,최근접_노후건물거리_30년이상_m_100m,최근접_초노후건물거리_50년이상_m_100m
주변_평균사용승인연도_50m,-0.2950131454872997,-0.11304568312809189,0.34785185668641705,-0.348825320375707,-0.7915169673759849,-0.6199768199058528,-0.8637772444183155,-0.9999301138548145,-0.9502811228372329,-0.7637827457134863,1.0,0.03338396547239149,-0.6039125534428861,-0.6659040541995682,0.08600206794833049,0.26211107057244004,-0.30099660194276145,-0.12356132139631457,0.32920561670159254,-0.3362927821725453,-0.7157436758614398,-0.6173653918504415,-0.7592591335317249,-0.854925544419426,-0.8038341550095432,-0.6520698556613351,0.8549392790201087,0.03498993149717461,-0.47902075529465876,-0.5822406477724008,0.3214636670835941,0.4753261563341658
주변_연면적합계_m2_50m,-0.009643671401475049,-0.0035255507493564104,0.027690671845149176,-0.015616148254042509,-0.03420898168085759,-0.017446047636789568,-0.027563826222074,-0.033282152959592845,-0.03337823467023622,-0.031778793495707953,0.03338396547239149,1.0,-0.04398549862520034,-0.028859632093333774,-0.011713922558976065,0.0037071837841689487,-0.011792141917765654,-0.005649105654192264,0.024688563796035966,-0.022137381126968586,-0.04097430279153877,-0.01844640125713295,-0.01998938154062927,-0.02756058556224849,-0.024283056800434976,-0.023165334410111982,0.027599676661740916,0.9831698138062624,-0.04039475528241027,-0.02510715159550108,-0.018070077443284923,0.04877934688287503
주변_노후연면적비율_30년이상_50m,0.15836981896801425,0.08697175512795077,-0.17776112752539427,0.29977620739910715,0.811483499215979,0.2545038278175985,0.3788825508762749,0.6034161676284087,0.5871903491586546,0.3582736521901744,-0.6039125534428861,-0.04398549862520034,1.0,0.4764036442085171,-0.10522491337909451,-0.13827296952497006,0.17383127897068598,0.10363636259529461,-0.14169312629777372,0.2667188322720488,0.6167058373358719,0.25896748554345006,0.3188337743494931,0.4646165142691829,0.4607364710612548,0.2790605886283916,-0.4649057900782162,-0.05214233233806002,0.7091328320952485,0.37454521893341197,-0.35068797836467436,-0.23553461619206323
주변_초노후연면적비율_50년이상_50m,0.1135163265048141,-0.02739821050141074,-0.3095307729760806,0.1118850049966965,0.4269639766036824,0.4068028269843238,0.784724855630066,0.6659972701481773,0.6475943194145096,0.432646672889246,-0.6659040541995682,-0.028859632093333774,0.4764036442085171,1.0,0.011110757131228706,-0.16051520496329527,0.12434788540336233,-0.016159958498452708,-0.30857279597555237,0.11543943790756607,0.40028496937418273,0.39583802189332634,0.633516568195637,0.5844951088383129,0.5636669740323537,0.40633683145087734,-0.5842070886654314,-0.032494086170211364,0.32091925344081523,0.7263062406640464,-0.09572804738975611,-0.33162323312600867
최근접_노후건물거리_30년이상_m_50m,-0.4935941824125584,-0.5459483213984073,-0.22210839506718424,-0.5296065408685166,-0.14919206891003292,-0.33554902468624187,-0.04629422032604952,-0.08640053277465737,-0.0988867436775414,-0.2786218094426832,0.08600206794833049,-0.011713922558976065,-0.10522491337909451,0.011110757131228706,1.0,0.5804104830976031,-0.41943771206928393,-0.4740909413625026,-0.2646709332473383,-0.4500188325863735,-0.11815753844394578,-0.278158216034249,-0.02024895077654868,-0.042643264127922874,-0.031035479067442102,-0.14188380134840115,0.04270826832222694,-0.010856712787719583,-0.09172867027473247,-0.008916788136389157,1.0,0.48661326460802606
최근접_초노후건물거리_50년이상_m_50m,-0.3839819482371459,-0.325152875146122,0.037125712241702157,-0.37221612297887113,-0.2079158059138298,-0.5262642461599052,-0.26041807804401657,-0.26290463595163305,-0.24404178213000605,-0.33483638351150596,0.26211107057244004,0.0037071837841689487,-0.13827296952497006,-0.16051520496329527,0.5804104830976031,1.0,-0.29591726937868745,-0.24130683917173607,0.037671665666316835,-0.2948527238926297,-0.1962645433185422,-0.4164763729681989,-0.2224216559392767,-0.22882394104342446,-0.18405516589164772,-0.2547947703535178,0.22851672459382286,0.012591107555713644,-0.10903452094012142,-0.1331933310691418,0.5804104830976031,1.0
주변건물수_100m,0.931638732490287,0.8564854761646106,0.14954687697255795,0.8417543113467065,0.2842082821042422,0.6650636134944621,0.24168200557788533,0.3009431859807717,0.24232049281361207,0.5918000929372709,-0.30099660194276145,-0.011792141917765654,0.17383127897068598,0.12434788540336233,-0.41943771206928393,-0.29591726937868745,1.0,0.9263588573450878,0.21934153545118507,0.9217015672823263,0.30603038527433196,0.7355867029196177,0.20082321157434968,0.2634520630939225,0.18639545199665367,0.5304960806986652,-0.2638786924143457,-0.015062684706014465,0.16576855405985044,0.08365094494197325,-0.5278316010518207,-0.5111975766359471
주변_사용승인일유효건물수_100m,0.8683722253603862,0.9363173506160082,0.39439082513657925,0.8605531635806121,0.19460422924316087,0.5558436465638839,0.060417408875257685,0.12333735212956999,0.07927443481887833,0.4734339561487702,-0.12356132139631457,-0.005649105654192264,0.10363636259529461,-0.016159958498452708,-0.4740909413625026,-0.24130683917173607,0.9263588573450878,1.0,0.48173852938624606,0.9330821089000407,0.20071561342693955,0.6075814079151611,0.017571962499749447,0.07619856691893882,0.021847337376953505,0.3855111844806545,-0.0768097158162808,-0.007730839868671711,0.11305681888344508,-0.030320201587503783,-0.5761668351551239,-0.48295381910961427
주변_사용승인일유효률_100m,0.21289722033154884,0.45536001956727973,0.81483092076623,0.3000219458693117,-0.1323547919607095,0.02150047600168193,-0.3554036836209628,-0.32952519694194987,-0.305131481092895,-0.0910611794844783,0.32920561670159254,0.024688563796035966,-0.14169312629777372,-0.30857279597555237,-0.2646709332473383,0.037671665666316835,0.21934153545118507,0.48173852938624606,1.0,0.3235000709679695,-0.16261464794409505,0.013327683685883603,-0.3781182345985928,-0.3665552141810908,-0.3362420305589019,-0.1507415798914158,0.3661462460663814,0.0433700685511849,-0.09498065717491555,-0.2731090828458314,-0.3804271360578462,-0.1227285720953295
주변_노후건물수_30년이상_100m,0.8618507181935862,0.8684550500361427,0.24706300788118182,0.9226376393205925,0.39344010577438604,0.6769380529281765,0.23434960578918584,0.33613040278816053,0.2859304106237073,0.5810780581515448,-0.3362927821725453,-0.022137381126968586,0.2667188322720488,0.11543943790756607,-0.4500188325863735,-0.2948527238926297,0.9217015672823263,0.9330821089000407,0.3235000709679695,1.0,0.4299135828847657,0.7440739841573702,0.20163276921482748,0.3024052098929829,0.2408271425438285,0.5166105636725423,-0.3029121195781155,-0.026553451880692563,0.26849471542064585,0.09575462613919666,-0.5353299412052449,-0.4982876728052908
